title, publication, authors, date, year, month, url, content
"Trump threatens Cuba with 'full and complete' embargo, 'highest-level sanctions,' citing Venezuela role",https://www.foxnews.com,"['Gregg Re', 'Gregg Re Is An Editor', 'Attorney Based In Los Angeles. Follow Him On Twitter']",,,,https://www.foxnews.com/politics/trump-cuba-embargo-sanctions-citing-venezuela,"As Venezuela plunged into a dramatic televised scene of chaos and violence on Tuesday, President Trump warned he would impose a ""full and complete embargo"" and sanctions on Cuba if its troops do not cease operations in the ravaged South American nation.

National Security Adviser John Bolton alleged earlier Tuesday that Cuban troops were keeping Maduro in power in Caracas.

“It’s a very delicate moment,” Bolton said, adding that ""all options"" remained on the table -- including, potentially, a U.S. military intervention. “The president wants to see a peaceful transfer of power.""

Trump's dramatic threat came hours after his administration resoundingly endorsed an ongoing Venezuelan opposition effort, headed by Juan Guaido and Leopoldo Lopez, to spark a military uprising against embattled President Nicolas Maduro. The Trump administration also has worked to roll back Obama-era easing of Cold War sanctions on Cuba.

Secretary of State Mike Pompeo told reporters Tuesday that Maduro had been on his way out of the country bound for Cuba, but that Russia told him to remain. Bolton, meanwhile, warned Russia against interfering.

The U.S. government said about 20,000 Cuban troops and agents have been working in Venezuela to prop up Maduro's government, a figure disputed by Cuba.

In February, Navy Adm. Craig S. Faller, commander of U.S. Southern Command, testified before the Senate Armed Services Committee that Maduro, fearing for his own safety, has “completely surround[ed]” himself with Cuban security.

“I think it’s a good sense of where the loyalty of the Venezuelan people are, that his immediate security force is made up of Cubans,” Faller told the committee.

In January, the White House announced billions of dollars in crippling new sanctions against Maduro and the country's state-owned oil monopoly PDVSA, less than a week after Trump first acknowledged Guaido as Venezuela's legitimate leader.

The White House has long linked Venezuela's fortunes to Cuba. At a major foreign policy address earlier this year, Trump declared: ""When Venezuela is free, and Cuba is free, and Nicaragua is free, this will become the first free hemisphere in all of human history.""

Trump continued, as the crowd roared: ""The days of socialism and communism are numbered not only in Venezuela, but in Nicaragua and Cuba as well. Do we love Cuba? Do we love Nicaragua? Great countries. Great potential.""

The U.S. and about 50 other nations have taken the position that Maduro's re-election last year was marred by fraud and he is not the legitimate president of Venezuela, a once prosperous nation that has the world's largest proven oil reserves.

VENEZUELANS CLASH WITH PRO-MADURO CODE PINK ACTIVISTS OUTSIDE DC EMBASSY

In January, the administration took the unusual step of recognizing Guaido, the opposition leader of the National Assembly, as interim president. It also imposed punishing sanctions on the country's oil sector, deepening the country's economic crisis.

Despite these and other measures, Maduro, the hand-picked successor to Chavez, has retained his hold on the country and the support of the security services.

That support had seemed to crack Tuesday with the launch of what the opposition was calling ""Operation Freedom,"" which began with the early-morning release of a short video of Guaido and Lopez alongside a few dozen national guardsmen urging people to ""take to the streets.""

In a video broadcast live on telecasts across the world, an armored vehicle could be seen driving over the center of a road, hitting a crowd of demonstrators loyal to Guaido who were purportedly throwing rocks at security forces. Dozens of injuries have been reported.

Sen. Marco Rubio, R-FL., denounced the actions by Venezuelan security forces, saying that “military and security leaders must realize they are and will be held responsible for this,” he said on Twitter.

CLICK HERE TO GET THE FOX NEWS APP

""What we are seeing today in Venezuela is the will of the people to peacefully change the course of their country from one of despair to one of freedom and democracy,"" Pompeo tweeted in an early reaction. ""The U.S. stands with them.""

Still, the Trump administration was caught slightly off-guard by Guaido's decision to launch the campaign on Tuesday. Elliott Abrams, the special representative for Venezuela, said the administration had expected major marches and protests to take place on Wednesday for the May Day holiday.

Fox News' Lucia Suarez Sang and The Associated Press contributed to this report."
Why Trump Wants to Block Deutsche Bank From Sharing His Financial Records,https://www.nytimes.com,['David Enrich'],04-30-2019,2019,4,https://www.nytimes.com/2019/04/30/business/deutsche-bank-donald-trump.html,"Over two decades, Deutsche Bank lent Donald J. Trump billions of dollars, even as his tarnished financial record put him off limits for most of Wall Street.

“You are a great friend,” Mr. Trump wrote to his Deutsche Bank contact in 1998. “We have a great relationship,” he said in 2013. “They are totally happy with me,” he declared three years later.

Now, Deutsche Bank is putting the president on the defensive.

Lawyers for the bank have spent months cooperating with investigators from two Democratic-controlled congressional committees, which issued what one lawmaker called a “friendly subpoena” to the bank in mid-April. The bank could end up sharing decades of his personal and corporate financial records.

That prospect prompted Mr. Trump to file a lawsuit in federal court in Manhattan on Monday in an attempt to block Deutsche Bank and another financial company, Capital One, from sharing documents. Mr. Trump’s lawyers said the subpoenas had no legitimate purpose and were an attempt to pry into his finances for political gain."
Iranian economy collapsing as Trump administration tightens sanctions: report,https://www.foxnews.com,['Elizabeth Llorente'],,,,https://www.foxnews.com/world/iranian-economy-collapsing-as-trump-administration-tightens-sanctions-report,"Iran’s economy is on the brink thanks to the Trump administration’s sanctions, according to the International Monetary Fund (IMF).

Iran is in a deep recession, with inflation at roughly 40 percent, the organization said, marking the highest such level since 1980.

The crisis is intensifying a chasm between President Hassan Rouhani’s allies and those who oppose diplomatic exchanges with the U.S. government, the Financial Times noted.

And Iran’s problems are expected only to worsen once President Trump’s promised sanctions on the leading buyers of the Islamic Republic’s oil take effect. They include Japan, South Korea, Turkey, India and China.

The administration had granted oil sanctions waivers when it re-imposed sanctions on Iran after Trump pulled the U.S. out of the landmark 2015 nuclear deal.

IRANIAN LAWMAKERS CONVENE WITH CHANTS OF 'DEATH TO AMERICA'

Trump has declared the landmark 2015 agreement “horrible,” leaving the Iranian government flush with cash to fuel conflict in the Middle East. Iran has accused the U.S. of reneging on the nuclear agreement, signed by the Obama administration, and of causing Iranian economic unrest.

IRAN'S FOREIGN MINISTER ACCUSES TRUMP OFFICIALS, MIDEAST ALLIES OF 'DRAGGING' US INTO CONFLICT WITH IRAN

The Trump administration is seeking to further ramp up pressure on Iran by strangling the revenue it gets from oil exports.

The oil sanctions waivers were granted in part to give the countries that had been granted them more time to find alternate energy sources but also to prevent a shock to global oil markets from the sudden removal of Iranian crude.

The Iranian government is responding defiantly.

“The enemy wants to drag us to the negotiating table through economic pressure,” said General Qasem Soleimani, commander of the overseas arm of the hardline Revolutionary Guards, on Monday, according to the Financial Times. “Any negotiations under the current circumstances will be mere surrender and we definitely will not undergo this humiliation.”

CLICK HERE TO GET THE FOX NEWS APP

The IMF noted the U.S. sanctions-- as well as a more sluggish Saudi economy and conflicts in Iraq, Syria and Yemen -- had adversely affected growth in the region.

Rouhani’s problems are by no means just triggered by international forces. Iranians have complained that jobs are harder to come by and the cost of living has risen.

“Every day when I go shopping, I think yesterday I was better off than today,” one woman, identified only as Maryam, told the FT. “I wake up every morning and realize there has been a jump in the price of chicken or a doubling in the price of onions and tomatoes.”

The Associated Press contributed to this report."
Trump and Democrats Agree to Pursue $2 Trillion Infrastructure Plan,https://www.nytimes.com,"['Annie Karni', 'Emily Cochrane', 'Alan Rappeport']",04-30-2019,2019,4,https://www.nytimes.com/2019/04/30/us/politics/trump-infrastructure-plan.html,"The original plan was also one that everyone rejected from the beginning — Mr. Trump even criticized public-private partnerships, which were key to the plan’s financing — and no new plan has been put forward since.

But Democrats went to the White House for a meeting, intent to play along as if there was a chance.

Ms. Pelosi requested the meeting with Mr. Trump, in part to change the conversation from impeachment to infrastructure and to demonstrate that Democrats want to proceed with a policy agenda, and not merely with investigations of the president.

For Mr. Trump, an infrastructure deal would provide him with a bipartisan achievement he could point to while campaigning.

Democrats arrived on Tuesday with a dozen-member delegation of lawmakers. Mr. Trump was accompanied by Elaine Chao, the transportation secretary, as well as seven White House aides, including his daughter Ivanka Trump, who is also a presidential adviser; Larry Kudlow, the director of the National Economic Council; and Pat Cipollone, the White House counsel.

“I would like to do something,” Mr. Trump told the group, according to a Democratic aide. “It may not be typically Republican.” The president made it clear that he had never supported the public-private partnership model to fund a bill that his aides, like Gary D. Cohn, his former top economic adviser, had pitched. “That was a Gary bill,” he said of his earlier attempt at an infrastructure bill. “That bill was so stupid.”

Meetings between the president and the two Democratic leaders have often taken a surprising turn.

Mr. Trump has conducted supposedly closed-door sessions on live television, or shuttled his guests to the Situation Room for maximum privacy. They, in turn, have surprised him by getting out their versions of what happened as soon as they got to the driveway in front of the White House, where reporters are usually waiting.

In September 2017, for instance, after Mr. Schumer and Ms. Pelosi joined the president for in-house Chinese food, they announced that Mr. Trump had agreed to work on an immigration deal, including protections for thousands of young immigrants from deportation. Mr. Trump was later forced to backtrack from that position."
"Trump Calls For Asylum-Seekers To Pay Fees, Proposing New Restrictions",https://www.npr.org,['Laurel Wamsley'],04-30-2019,2019,4,https://www.npr.org/2019/04/30/718627010/trump-calls-for-asylum-seekers-to-pay-fees-proposing-new-restrictions,"Trump Calls For Asylum-Seekers To Pay Fees, Proposing New Restrictions

Enlarge this image toggle caption Pep Companys/AFP/Getty Images Pep Companys/AFP/Getty Images

President Trump is calling for his administration to restrict the asylum process, issuing a presidential memorandum that proposes charging asylum-seekers fees and other broad changes.

Trump's proposals were widely criticized by Democrats and immigration advocates, who predicted a new legal battle over the president's policy.

""Seeking asylum is a right under U.S. and international law — not a privilege to pay for,"" said Rep. Raul Grijalva of Arizona.

In the memo, Trump said he is giving Attorney General William Barr and acting Homeland Security Secretary Kevin McAleenan 90 days to propose new regulations to speed up the processing of asylum claims, charge application fees for those seeking asylum, and to bar work authorization for certain applicants.

Issued Monday evening, the memo also calls on Homeland Security personnel to ""improve the integrity"" of credible fear determinations, and to prioritize the deportation of immigrants who have received final orders of removal.

Trump often mocks the asylum system, calling it a ""loophole"" that attracts immigrants to the U.S. This memo is the Trump administration's latest effort to make it harder for migrants to stay in the country, and it comes amid a spike in border crossings, including a large number of families seeking asylum.

Trump derided the current immigration laws as ""weak, ineffective and dangerous,"" but he has made little effort to work with Congress to change them.

In response to Trump's proposals, immigrants' rights advocates said they found the idea of charging asylum-seekers fees to process their applications to be particularly egregious.

""[T]he idea that we will charge asylum seekers a fee to seek refuge from persecution, torture, or death is offensive and counter to our values,"" the American Civil Liberties Union tweeted.

The Immigration and Nationality Act already includes a provision that permits the U.S. to impose fees on foreign nationals seeking asylum or work authorization. But critics say such fees may be impossible for many asylum-seekers to pay, unless financial waivers are granted liberally.

Melissa Crow, senior supervising attorney at the Southern Poverty Law Center, says the memorandum is another in a string of the Trump administration's attacks on vulnerable asylum-seekers. ""We've seen it over and over again, from turning away asylum-seekers at ports of entry, to trying to make those who enter between ports of entry ineligible for asylum, and most recently until now, sending asylum-seekers back to Mexico to wait for their court hearings,"" she says. ""The Trump administration has had their hand slapped numerous times by the courts, and I suspect that this time will be no different.""

It's too soon to tell exactly how the proposed measures would play out for asylum-seekers, because the actual regulations have yet to be written by the attorney general and DHS. But Crow says one of her concerns is that the proposed changes could prevent migrants from applying for different types of relief for which they may be eligible.

When migrants come to the U.S. border and express a desire to apply for asylum, the first step is often the credible-fear interview, in which they must convince an asylum officer that they have a credible fear of returning home.

If they make it over that hurdle, they can apply for any type of relief that's available to them. For instance, people who were trafficked can apply for a T visa, and young people who have been abused, abandoned or neglected by a parent may apply for special immigrant juvenile status.

But with the proposed changes, Crow worries people may only be referred for asylum or withholding of removal proceedings — categories that have different standards and which aren't available to some people, including those who have previously been deported and then unlawfully reentered the country.

As it released Trump's memo, the White House included a sheet of statistics and arguments to bolster its case. ""Our immigration system has reached a breaking point as we continue to see an overwhelming surge of migrants, with more than 100,000 arriving at our border in March alone,"" it states. ""As a result of loopholes in United States immigration law, migrants claiming fear are often released into communities across the United States, where they often remain indefinitely.""

The memo also proposes regulations to require nearly all asylum applications to be decided in immigration court within 180 days of filing, not including appeals. U.S. immigration courts are notoriously backlogged, and it's not clear whether the proposed changes would also provide additional resources as they aim to speed up the courts' work.

Whatever the final language of the proposed regulations, they are likely to be challenged in court.

Crow says she sees an irony in the administration's latest moves to crack down on asylum-seekers, noting that the U.S. has recently cut off aid to El Salvador, Guatemala, and Honduras — a move that's unlikely to improve the quality of life in countries that are among the biggest producers of people seeking asylum.

And when people in those countries seek a better life, Crow says, ""we're making it even more difficult for them to reach safety once they flee.""

NPR White House correspondent Tamara Keith contributed to this report."
Dem senator warns Trump’s Florida estate will soon be underwater: ‘It’s going to be Mar-a-Lagoon’,https://www.foxnews.com,['Adam Shaw'],,,,https://www.foxnews.com/politics/dem-senator-warns-trumps-florida-estate-will-soon-be-underwater-its-going-to-be-mar-a-lagoon,"Sen. Ed Markey, D-Mass., in promoting his Green New Deal, warned Tuesday that President Trump’s Florida estate will be underwater within 15 years if the U.S. does not act to stop climate change.

“Within 15 years, Mar-a-Lago’s going to be underwater for over 100 days a year, it’s going to be Mar-a-Lagoon, not Mar-a-Lago,” Markey said in a discussion on the Green New Deal at the Council on Foreign Relations.

Markey, who has long focused on environmental issues, introduced a resolution on the Green New Deal in February along with Rep. Alexandria Ocasio-Cortez, D-N.Y. While the legislation failed a Senate test vote last month, the Green New Deal has spread into the Democratic mainstream -- and Markey’s resolution was co-signed by a number of top 2020 Democratic presidential hopefuls.

That push for a Green New Deal has been accompanied by increasingly apocalyptic language from Democratic lawmakers, who have seized on a U.N. report that concluded significant actions must be taken by 2030 to reduce climate change.

2020 hopeful Beto O’Rourke, after he unveiled a climate change initiative that would cost $5 trillion over 10 years to reach zero carbon emissions by 2050, said Monday that society has 10 years to “make the kind of bold change that we need.”

Ocasio-Cortez put it more bluntly in January: “Millennials and people, you know, Gen Z and all these folks that will come after us are looking up and we’re like: ‘The world is gonna end in 12 years if we don’t address climate change and your biggest issue is how are we gonna pay for it?'""

Republicans, including in the White House, have been skeptical about climate change and have opposed Democrats’ government-focused ideas to combat the threat. But Markey on Tuesday declared the question was not up for debate.

""It's no longer a debatable subject, regardless of how much money the Koch brothers throw at the phony science, no matter how much greenwashing the fossil fuel industry seeks to engage in,” he said. “That debate is over."""
"Alexandria Ocasio-Cortez insists the Veterans Affairs administration isn't broken, but many veterans strongly disagree",https://www.businessinsider.com,['Eliza Relman'],04-30-2019,2019,4,https://www.businessinsider.com/alexandria-ocasio-cortez-va-veterans-affairs-isnt-broken-veterans-disagree-2019-4,"Rep. Alexandria Ocasio-Cortez again insisted that the Department of Veterans Affairs isn't broken and argued that the healthcare system should be fully funded and protected from privatization, despite years of dysfunction, long wait times, and substandard care.

""There is a myth that all VAs everywhere are broken,"" she said at a town hall in Corona, Queens on Saturday. ""Because if we can starve them of budgets and make sure that they can't do their job, then we can say the whole system should be thrown away.""

She went on, ""I'm not gonna back down from protecting the VA, I'm not gonna back down from saying we should fund it.""

Ocasio-Cortez's repeated claim that the department has 48,000 vacancies is higher than the number on record. VA officials reported last fall that the department has more than 45,000 vacant positions, about 11% of VA's total workforce. Almost 17% of management posts were unfilled last year.

Democratic lawmakers have argued that those positions should be filled before the department outsources healthcare services to private providers.

Read more: A 2020 candidate who served in the Marines says Alexandria Ocasio-Cortez and Trump are both wrong about the Veterans Affairs administration

The VA has for years suffered from excessively long wait times, corruption scandals, and underfunding. In 2016, the former director of the VA's crisis hotline said one third of calls to the suicide-prevention hotline went unanswered. Between 2005 and 2015, an average of 20 veterans died by suicide every day — a rate that is 1.5 times higher than among adults who haven't served in the military, after adjusting for gender and age.

A September 2018 Military Times poll found just 20 percent of active duty troops hold a ""favorable"" view of the VA, with 40 percent saying their view of the administration is ""unfavorable.""

Lawmakers have long debated efforts to privatize the system, which proponents say would offer veterans higher quality and more easily accessible care and critics say would increase healthcare costs and funnel taxpayer dollars into private corporations.

A 2018 ProPublica and PolitiFact investigation found that wait times were longer and costs higher for veterans who received private healthcare during four years of the Veterans Choice program. In response to the report, VA Secretary Robert Wilkie agreed that the department was ""taken advantage of"" in paying $2 billion in fees to private companies tasked with booking veterans' appointments with private doctors.

This particular debate began when Ocasio-Cortez argued at another town hall earlier this month that Americans should resist efforts to privatize the VA's services.

""All I can think of is that classic refrain that my parents always taught me growing up, is that: 'if it ain't broke, don't fix it,'"" she said, arguing that Trump and his allies are ""trying to fix the VA for a for-profit healthcare industry that does not put people or veterans first.""

Congressional Republicans took issue with Ocasio-Cortez's remarks, calling her praise of the VA ""offensive."" Some Democrats, including Rep. Seth Moulton, a 2020 candidate and Marine veteran, have also criticized Ocasio-Cortez's stance.

Moulton argued that private insurance ""should be an option"" for veterans seeking care through the VA. Recent efforts to expand veterans' access to private care have received bipartisan support.

But last Wednesday, Trump tweeted that he agrees with Ocasio-Cortez that the VA ""is not broken,"" arguing that his administration had fixed it.

Read more: 7 things you should never say to a veteran

""Rep. Alexandria Ocasio-Cortez is correct, the VA is not broken, it is doing great. But that is only because of the Trump Administration,"" the president wrote. ""We got Veterans Choice & Accountability passed.""

Paul Reickhoff, founder of Iraq and Afghanistan Veterans of America, tweeted in response to the exchange, ""Oh boy. Here we go. It was bound to happen sooner or later. @realDonaldTrump vs. @AOC on Twitter. With veterans, the VA, truth, and the real best interests of veterans stuck in the crossfire.""

He added, ""And no, the VA is not doing great. It does some things great. Others ok. Others badly. That's the complex truth most vets know and have experienced. Like with most issues in America, the truth is not on the ideological extremes.""

Last year, Trump signed the VA Mission Act, which significantly increased the number of veterans eligible for private healthcare. More than a third — 36% — of veterans' healthcare is now provided by the private sector, up from 22% in 2014. But Trump declined to approve a bipartisan bill to fund the new law earlier this year."
State Department preparing for clash of civilizations with China,https://www.washingtonexaminer.com,[],04-30-2019,2019,4,https://www.washingtonexaminer.com/policy/defense-national-security/state-department-preparing-for-clash-of-civilizations-with-china,"Secretary of State Mike Pompeo’s team is developing a strategy for China based on the idea of “a fight with a really different civilization” for the first time in American history.

“This is a fight with a really different civilization and a different ideology and the United States hasn't had that before,” Kiron Skinner, the director of policy planning at the State Department, said Monday evening at a security forum in Washington, D.C.

Skinner is leading an effort to develop a concept of U.S.-China relations on the scale of what she called “Letter X” — the unsigned essay by George Kennan, who assessed “the sources of Soviet conduct” in 1947 and outlined the containment strategy that guided American strategists for the rest of the Cold War. China poses a unique challenge, she said, because the regime in Beijing isn’t a child of Western philosophy and history.

“The Soviet Union and that competition, in a way it was a fight within the Western family,” Skinner said, noting Karl Marx’s indebtedness to Western political ideas. “It’s the first time that we will have a great power competitor that is not Caucasian.”

Skinner credited retired Army Gen. H.R. McMaster, who served as White House national security adviser from March 2017 to March 2018, with recognizing the need for a National Security Strategy organized around the return of great power competition with Russia and China. But those two rivals are not equivalent, she said, identifying Russia as a mere “global survivor” that pales in comparison to China.

[Related: Pompeo: China threatens 'our continued democracy']

“We see it as a more fundamental long-term threat,” Skinner told New America CEO Anne Marie Slaughter. “In China, we have an economic competitor, we have an ideological competitor, one that really does seek a global reach that many of us didn't expect a couple of decades ago.”

Slaughter, who served as the head of policy planning for the State Department from 2009 to 2011, suggested that Skinner was offering the U.S.-China relationship as the ""clash of civilizations"" outlined in another landmark essay that discussed how geopolitics would change after the collapse of the Soviet Union. Skinner concurred.

""Some of those tenets, but a little bit different,"" she answered. ""I think we have to take the rose-colored glasses off and get real about the nature of the threat. And, I think we also have to give a kind of respect for, I think, what the Chinese seek to accomplish.""

[Also read: State Department compares China to Nazi Germany in human rights briefing]

Trump has made a trade war with China one of the major undertakings of his administration, in pursuit of a trade deal to rebalance the relationship between the world’s two largest economies. U.S. officials have also rebranded the Asia Pacific region as the Indo-Pacific, partly as a nod to China’s surge in Africa and the potential for India to function as a counter-weight to the Communist power.

But Pompeo has sounded the alarm about China’s influence around the world, warning of security threats in Europe and the Arctic, as well as predatory lending in the Western Hemisphere.

“Trade is not the only problem and maybe not the biggest in the long run with China,” Skinner said. “But we're now looking more deeply and broadly at China. And, I think State is in the lead in that broader attempt to get something like a Letter X for China, what Kennan wrote. You can't have a policy without an argument underneath it.”

Pompeo’s team has rebuked China repeatedly for human rights abuses, especially the hostility to religious beliefs displayed by the regime’s mass detention of Uighur Muslims and the persecution of Christians and other religious minorities. But Skinner suggested that human rights arguments might not be as useful against China as they were against the Soviet Union, which was weakened by a 1975 agreement that allowed Soviet dissidents to cooperate indirectly with Western powers to advocate for “the rights of emigration and religious freedom,” according to the State Department.

“It was a really important Western concept that opened the door really to undermine the Soviet Union, a totalitarian state, on human rights principles,” she said. “That's not really possible with China.”"
Defense Department agrees to send approximately 320 personnel to US southern border,https://www.cnn.com,"['Kate Sullivan', 'Barbara Starr']",04-29-2019,2019,4,https://www.cnn.com/2019/04/29/politics/dod-personnel-us-southern-border/index.html,"Washington (CNN) Acting Secretary of Defense Patrick Shanahan on Monday approved a Department of Homeland Security request for additional support at the US southern border, according to a Pentagon spokesman.

""DoD personnel will assist in driving high-capacity (Customs and Border Patrol) vehicles to transport migrants; providing administrative support, including providing heating, meal distribution and monitoring the welfare of individuals in CBP custody; and attorney support to (Immigration and Customs Enforcement),"" Lt. Col. Jamie Davis told CNN.

Davis said approximately ""320 DoD personnel will be required to support the DHS request for assistance through September 30, 2019, at an estimated cost of $7.4M.""

CNN reported last week the DHS had requested 280 additional US troops and other logistical support for operations on the southern border.

The request comes after CBP released data showing there were more apprehensions on the US southern border in March than in any other month in more than a decade.

Read More"
"DHS won't answer questions about staff, funding for office to fight domestic terror",https://www.nbcnews.com,"['Laura Strickler', 'Laura Strickler Is An Investigative Producer In The Nbc News Investigative Unit Based In Washington.', 'Julia Ainsley', 'Julia Ainsley Is A National Security Reporter For Nbc News.']",,,,https://www.nbcnews.com/politics/national-security/dhs-won-t-answer-questions-about-staff-funding-office-fight-n997821,"DHS won't answer questions about staff, funding for office to fight domestic terror

Former DHS officials who previously worked on terrorism prevention worry the new office lacks the funding and staff to be effective."
