title, publication, authors, date, year, month, url, content
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Sarcastr0,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7746901,"Which for all her ham-handedness Hillary conceded in her deplorables comment.
The side that erased all the nuance was the other side that assumed."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Thrax2,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7746789,"the prior administration sicced the intelligence services and FBI on him before he even got the nomination
His campaign had extensive clandestine contact with agents of a foreign government. You think the FBI was supposed to ignore that?"
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Brett Bellmore,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7746956,"Every Presidential campaign that stands any chance of winning has extensive contacts with foreign governments, and if they're not of the same party as the outgoing administration, they're likely to be ""clandestine"", too.
There's a reason why the Logan act hasn't actually been enforced, like, EVER."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,David Bremer,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7746813,"Well that, and also shorthand for totalitarian-like persecution of political opponents. One thing about mass chanting is it doesn't provide occasion for fine distinctions. Trump obviously enjoys that. So do too many of his supporters.
As well as his detractors, since it allows them to feel morally superior to what they consider a basket of deplorables. Nuance would require them to understand why some people may support Trump over Hillary, without being bigoted or racist."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Brett Bellmore,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7746970,"You'd have to inform me of them, before I could be upset about them.
Illegal stuff, mind you, not simply disagreeing with a President's lawful decisions."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Thrax2,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7747399,"Like, say, this or this."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Thrax2,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7746797,"You're equally upset about the many violations of information security by this administration, I know, which is why you post about them constantly."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Millennial Lawyer,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7747030,"Now, indulging Arthur and taking the whataboutism bait, the reality is ""scandals"" and partisan investigations of this nature are inevitably, necessarily political -- even when they're justified. A realist must acknowledge there is always a political aspect of any investigation of the likes of Clinton, Obama, or Trump. Even a county DA may be politically motivated with reelection in mind as they go about prosecuting local criminals. So, this is all kind of by design, and the pursuit of politics either for ideology or self-interest isn't mutually exclusive with the pursuit of justice, although they're certainly in conflict and the former threatens to destroy the latter. If you're trying to push for a debate about the scandals Arthur mentioned, on Benghazi, I really never paid close attention to that. It sounded like there was some arguably negligent discharge of duties, and a political lie about a video, but nothing criminal, and the degree of hoopla raised by Republicans certainly came off as primarily political. With the birther thing, I'm not aware of any facts that justified the conspiracy theorizing at all. With the emails, quite obviously that was an enormously political matter, but also there's no getting around the fact that ordinary people have been jailed for less negligent handling of classified information."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Sarcastr0,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7747331,"Your understanding of the facts remains as idiosyncratic as ever. As is your slipping into weird memerific language whenever this kinda stuff comes up.
Excluding the middle between partisan and political seems very convenient. It's a fuzzy line sometimes, but the recent meh about the Trump admins' e-mail policies shows how purely partisan y'all have gotten.
Whattaboutism is all your side has left; Trump's clearly got shady stuff in whatever is going to be investigated, from finances to taxes to Russia to clearences. So you guys just keep calling it all Fake News or banging on about Irannian payments. Good luck with that."
"Do You Wish the FBI Had Shut Down ""Lock Her Up"" Language Because It Was ""Hate Speech""?",reason.com,Millennial Lawyer,04-04-2019,2019,4,https://reason.com/volokh/2019/04/03/do-you-wish-the-fbi-had-shut-down-lock-h#comment_7747547,"I see you've failed to offer any substantive response as usual. Care to elaborate on the ""facts"" you supposedly have some understanding of but won't specify? Or the ""weird"" language you reference but won't specify?
The only coherent thing in your reply is that you've offered up a fresh new round of vague whataboutisms - ""Trump admins' email policies"" - never heard of this - and unspecified ""shady stuff"" that Trump has ""clearly got"" going on with Russia, taxes, finances, clearances, and just ""whatever is going to be investigated.""
It's really pathetic. You sound just like the worst conspiracy theorists that used to rant about the Clintons or something. ""He's clearly got some shady stuff going on, I have no idea what it is but I just know it, it will turn up, in the next investigation, or maybe the one after that, or the one after that, but for sure at some point.""
Never mind we just had the mother of all investigations to end all investigations with a special counsel, Trump campaign being wiretapped and spied on all along, illegal pillaging of NSA databases, FBI raiding his attorney's offices, maximum pressure to ""flip"" brought on Trump's associates by prosecutors fishing for process crimes and past unrelated matters with serious jail time being dispensed, etc etc
Unbelievable."
