title, publication, authors, date, year, month, url, content
Notre-Dame fire: How will the cathedral be restored? - BBC News,www.bbc.com,Gareth Evans Bbc News,04-16-2019,2019,4,https://www.bbc.com/news/world-europe-47952055,"Image copyright Getty Images Image caption Hundreds of millions of euros have been pledged to help rebuild Notre-Dame The dramatic sight of Notre-Dame being ravaged by flames on Monday captivated people around the world.
The French cathedral, which dates back more than 850 years, has been partially destroyed despite the best efforts of firefighters who worked throughout the night.
Now, as investigators work to establish the cause of the blaze, attention has turned to how the building can be repaired.
A number of companies and business tycoons have pledged hundreds of millions of euros between them towards the restoration effort.
So can the famous landmark be returned to its former glory?
John David is better positioned than most to judge whether the famous cathedral can be saved.
The master stonemason was part of a team of craftsmen who worked to rebuild England's York Minster cathedral when it was badly damaged by fire in 1984. It was set alight after it was hit by lightning, causing £2.25m ($3m) in damage.
""We went in and there were piles of charred timbers on the floor,"" he recalls. ""There was black ash and soot and the whole building smelt of smoke. There was a sort of gloom in the place.""
But he says the team was confident it could be repaired and he feels equally optimistic about Notre-Dame. ""There was no fear about putting it back and I imagine that's the same in this case"" he says.
""It's quite achievable to see it [restored] and it's an opportunity to show that this work can still be done,"" he says.
Image caption John David helped repair York Minster after it was hit by a lightning strike in 1984 Mr David says the restoration team must first remove the Notre-Dame's burnt scaffolding. There were extensive renovation works taking place at the time of the fire and a huge scaffold was covering much of its exterior.
""The scaffolding will be in the way and will have to be delicately taken down because it's suffered with the heat,"" he says.
He explains that a protective cover will then need to be placed over the cathedral to shield it from the wind and rain.
Any fallen timber and other debris inside the cathedral will need to be cleared out, Mr David says. But this debris won't just be removed and forgotten about.
""Early phases of the work will include the archaeological recording of surviving fragments of timber, stone and artworks,"" says Dr Kate Giles, from the University of York's department of archaeology.
""This will enable the Notre-Dame team to salvage what can be reused and provide crucial evidence for the design of new fabrics in the building,"" she says.
Image copyright Getty Images Image caption The fire at Notre-Dame raged for more than 15 hours Surveying the damage Once the cathedral is cleared, experts say a thorough survey will need to be carried out to establish the extent of the damage and to ensure it is safe to re-enter.
""Safety will be the prime concern,"" says Dr Amira Elnokaly, a lecturer in archaeology at the University of Lincoln. ""There should be critical inspections to avoid any risks of further collapses or falling debris.""
The survey will then turn to the stonework at the top of the cathedral near the roof.
""The upper stone work, the vaulting and the top windows, will have been baked and the temperature will have spoiled and weakened the stone,"" says Paul Binski, a history of medieval art professor at the University of Cambridge.
""The first thing they're going to do is a massive survey of the stone,"" he says. ""They're going to have to scaffold the whole building and look very closely at its condition.""
Image copyright AFP Image caption A view of the stone ceiling inside the Notre-Dame before the fire This is because the stone ceiling will have taken the brunt of the impact when the timber roof above collapsed, experts suggest.
""The 19th Century spire, the 19th Century roofing, what will have happened is that these will have crashed down on to the stone vault underneath, the rib vault, which rises to 108ft (33m),"" Prof Binski says.
""The vaulting system will have shielded what's in the church from the inferno above,"" he adds. ""Of course, it will likely have come down in parts, but it will have done a major protective job.""
Indeed, images appear to show that the pulpit, pews and altar have escaped the fire largely unscathed.
If some of the stonework does need to be replaced then, Prof Binski says, the team will probably use traditional methods to do so.
""It's important to look at the original construction methods and try to emulate them."" he explains. ""This involves building an awful lot of wood scaffolding inside the church because [stone vaulting] is built around a kind of wooden structure - like a mould.
""They're not built with cement but with something that's rather like putty.""
Prof Binski says that if a large amount of the stone vaulting needs to be replaced it could be ""the biggest vaulting operation of this type undertaken since the Middle Ages"".
""The question is how long this is going to take and my guess is 5-10 years minimum to get the whole thing re-vaulted,"" he says.
This estimate highlights the challenges facing the restoration team if they are to meet President Emmanuel Macron's suggested timescale. The French leader wants Notre-Dame rebuilt by the time Paris hosts the Summer Olympics in 2024.
But Mr David says this is a feasible goal. ""I don't think it will take 10 years,"" he says. ""It might take two years to decide what to do, but [five years] is quite achievable.""
The moment the spire fell The story of the fire in graphics Why blaze was difficult to tackle Photos from inside the cathedral appear to show that at least one of its famed rose windows has survived, although there are concerns for some of the other stained-glass windows.
So how will the experts protect and restore these?
""They will do an initial survey when they establish what the highest priorities are in terms of historical and artistic significance,"" says Sarah Brown, an expert in stained glass windows.
Image copyright Getty Images Image caption At least one of the three famous rose windows is reported to have survived the fire ""I suspect all of the windows will require some attention because a fire of that size will generate so much smoke and soot,"" she says. ""Even if the windows are in relatively good order they're certainly going to require cleaning.
""The biggest problem will be the heating up and then the rapid cooling down of the glass as it's been struck by water from the cannons,"" Ms Brown explains. ""This will bring about thermal shock that will cause micro-fractures in the glass which will be really difficult to stabilise.""
She continues: ""They will need to re-lead these windows because the lead that keeps it all together will no longer hold good, but you cannot even attempt that until you've stabilised the heat-induced micro-fractures in the glass.
There are modern adhesives that can do that, however.""
And what if one of the cathedral's windows has been completely destroyed? ""The big question then is how they go about re-glazing the building,"" Ms Brown says.
""You can't leave it with nothing in the window,"" she says. ""Some might call for a new stained glass window but it's too early to say what should be done. Windows can be remarkably resilient, so let's hope that's been the case here."""
Christchurch shootings- Outpouring of UK support to Muslim community,www.bbc.com,,04-16-2019,2019,4,https://www.bbc.com/news/uk-47583215,"Report End of Twitter post by @AkeelaAhmed
Flags have been lowered to half mast at Downing Street and the Foreign Office, as well as in the British town of Christchurch in Dorset, which is twinned with its New Zealand namesake.
Mohammed Kozbar, the vice president of the Muslim Association of Britain, said Muslims in the UK would not be intimidated by terror attacks.
The Archbishop of Canterbury, Justin Welby, shared a post on Twitter urging Christians to go along to Friday prayers at local mosques.
And the Bishop of London, Sarah Mullally, told the BBC that ""an attack against faith anywhere is an attack on faith everywhere"". 'Sadness, solidarity and anger'
By Alex Therrien from BBC News, at the East London Mosque
There was sadness and solidarity, but also anger, at a vigil at the East London Mosque, held in memory of the victims of the New Zealand attack.
Posters saying ""no to Islamophobia"" and ""this will not divide us"" were held up as Mayor of London Sadiq Khan and faith leaders gave short speeches. But among many of the gatherers the BBC spoke to there was also anger and fear.
Fear about whether such an attack could happen in the UK. And anger at what they see as the normalisation of Islamophobia in parts of the media and among politicians.
""These are the ones we should be pointing the finger at,"" said one man who refused to give his name.
""They are the ones who caused this.""
The London mayor did not name politicians or the media directly, but strongly hinted at their role in influencing people and having a role in them becoming radicalised.
""There is a responsibility on all of us to be very careful in the language we use,"" he urged.
The mayor added that diversity in London was a strength, not a weakness. ""We don't simply tolerate it - we embrace and respect it.""
Scottish First Minister Nicola Sturgeon was due to attend a vigil at Glasgow Central Mosque on Friday evening, and said the events in New Zealand ""will feel very personal and close to home"" for Muslims.
Meanwhile, Jeremy Corbyn, the leader of the opposition, laid flowers at the High Commission of New Zealand in London, where members of an anti-terrorism group had gathered.
MPs have observed a minute's silence in the House of Commons.
British security minister Ben Wallace called the attack ""repugnant"" and said the UK ""stands shoulder to shoulder with New Zealand against terrorism"".
He said he and Home Secretary Sajid Javid would speak to counter-terrorism police chiefs and the security services on Friday, ""to discuss what further measures we can take to protect our mosques and our communities from any threats here in the United Kingdom"".
Mr Wallace added: ""Our police and security services treat all threats the same and all terrorists the same no matter what communities, religion or background they come from. A terrorist is a terrorist and we shall deal with them exactly the same."""
Canada group sues government over Google's Sidewalk Labs - BBC News,www.bbc.com,,04-16-2019,2019,4,https://www.bbc.com/news/world-us-canada-47956760,"Canada group sues government over Google's Sidewalk Labs 16 April 2019 These are external links and will open in a new window Close share panel Image copyright Sidewalk Labs Image caption The city envisaged by Sidewalk Labs would collect data from a range of sources The Canadian Civil Liberties Association is suing three levels of government over a Google-backed plan to build a smart neighbourhood in Toronto.
The association says the project is ""invalid and needs to be reset"".
It is run by the publicly funded Waterfront Toronto and Google-affiliated Sidewalk Labs.
Privacy advocates are concerned the project will increase surveillance and outsource government responsibilities to a private corporation.
""Canada is not Google's lab rat,"" said the association's executive director and general counsel MJ Bryant. ""We can do better. Our freedom from unlawful public surveillance is worth fighting for.""
The association is suing Waterfront Toronto, municipal, provincial and federal governments. Although Waterfront Toronto is funded through federal, provincial and municipal purses, it does not report to the city or the province.
Sidewalk Labs - a firm owned by Google's parent Alphabet - won a bid with Waterfront Toronto in October 2017 to develop a 12-acre patch of industrial landscape in Toronto, Ontario into a ""smart city"".
But the deal struck between the government-funded organisation and Sidewalk Labs has been mired in controversy and shrouded in secrecy.
In February, the Toronto Star reported that Sidewalk Labs intends to expand onto 300 adjacent acres and build a light-rail line - in exchange for a cut of development fees and property taxes.
The land is potentially worth billions, according to the Star.
Jim Balsillie, the former co-CEO of BlackBerry, called the project a ""colonizing experiment in surveillance capitalism attempting to bulldoze important urban, civic and political issues.
""Of all the misguided innovation strategies Canada has launched over the past three decades, this purported smart city is not only the dumbest but also the most dangerous""."
Eleanor Cross: Restoration of Northampton monument begins - BBC News,www.bbc.com,,04-16-2019,2019,4,https://www.bbc.com/news/uk-england-northamptonshire-47949436,"These are external links and will open in a new window Close share panel Image caption Work was supposed to begin in the autumn, but was delayed Restoration work has started on a 13th Century monument to a medieval queen that was ""falling apart"".
The Eleanor Cross on London Road, Northampton, was built in 1291 for Queen Eleanor, the wife of King Edward I, but needs urgent masonry repairs.
The £95,000 work by Northampton Borough Council and Historic England was due to start last autumn, but was delayed.
Scaffolding has been put up and contractors will start lime mortar work on cracks to conclude in late summer.
Mike Ingram, a local resident who has been campaigning to save the cross, said it was a ""huge relief"" that it had not toppled over in the winter because of its poor state.
In January, a Northampton Borough Council meeting heard Queen Eleanor would be ""turning in her tomb"" because her monument had been rotting.
And more than 1,600 people signed a petition calling for netting to protect the monument during the winter months. 'A jewel and joy'
Twelve crosses were built by King Edward I after Queen Eleanor's death near Lincoln in 1290.
They were constructed at each place her funeral cortege stopped on its way to London. The cross in Northampton is one of only three which remain.
Dr David Carrington, from Skillington Workshop, the conservator tasked with completing the repair work, said he would do all he could to ""arrest the rate of decay"".
He said: ""We will look at two things - the structure and corroding iron work. It [the cross] is up there with the best work of the period [13th Century].""
Henry Sanders, from architects Acanthus Clews, said: ""This sort of project is very, very rare. It's also a monument that sticks in people's imagination.
""[The crosses] are intrinsic to the love story between Edward I and Queen Eleanor. It is a jewel and joy to work on as an architect."" Image caption The cross in Northampton is one of only three that remain Related Topics "
A rasher of bacon 'ups cancer risk' - BBC News,www.bbc.com,,04-17-2019,2019,4,https://www.bbc.com/news/health-47947965,"A rasher of bacon a day 'ups cancer risk' 17 April 2019 These are external links and will open in a new window Close share panel Image copyright Getty Images Even small amounts of red and processed meat - such as a rasher of bacon a day - can increase the risk of bowel cancer, according to research.
The latest study led by Oxford University and funded by Cancer Research UK, adds to evidence, including from the World Health Organization, that eating red meat can be harmful.
But exactly how big is the risk? And how much is too much?
Here's what you need to know. What the study found:
Researchers analysed data from almost half a million people involved in the UK Biobank study.
Over the six years of their study they found 2,609 people developed bowel cancer.
They estimate: Eating three rashers of bacon a day rather than just one could increase the risk of bowel cancer by 20% For every 10,000 people in the study who ate 21g a day of red and processed meat, 40 were diagnosed with bowel cancer The comparable figure for those who ate 76g a day, was 48
According to the NHS, 76g of cooked red meat is equivalent to about half an 8oz sirloin steak. A slice of ham or rasher of bacon is about 23g of processed meat. How much is too much?
It's not clear. Cancer Research UK (CRUK) says 5,400 of the 41,804 cases of bowel cancer seen each year in the UK could be prevented if people did not eat processed meat at all.
According to Emma Shields, information manager at CRUK, ""This study shows the more meat you eat, the higher your risk of getting cancer and obviously the reverse is true - the less you eat the less likely you are to get bowel cancer,""
But she acknowledges smoking poses a much bigger risk, causing 54,300 cases of cancer each year.
Public Health England says from its surveys many people eat too much red and processed meat.
And experts advise people who eat lots of it to find ways to cut down.
The Department of Health advises anyone eating more than 90g a day of red and processed meat should cut down to 70g. Is eating some OK?
NHS guidance says there are some benefits of red meat - iron and protein content, for example - that must be balanced against potential risks.
People can still eat meat and be healthy. What makes it risky?
Processed meat - including bacon, some sausages, hot dogs, salami - is modified to either extend its shelf-life or change the taste - the main methods are smoking, curing, or adding salt or preservatives.
It is thought the chemicals involved in the processing could be increasing the risk of cancer. High temperature cooking, such as on a barbecue, can also create carcinogenic chemicals.
When it comes to red meat like beef, lamb and pork, there are suggestions that one of the proteins (that gives it its red colour) can damage the gut when it is broken down.
But experts are still trying to fully understand the link. What do experts say?
Prof Gunter Kuhnle, at the University of Reading, described the study as a very thorough analysis of the link between meat intake and bowel (also known as colorectal) cancer.
He said: ""The results confirm previous findings that both, red and processed meat consumption, increase the risk of colorectal cancer.
""The increase in risk of approximately 20% per 50g increase of red and processed meat intake is in line with what has been reported previously, and confirms these findings.
""The study also shows that dietary fibre reduces the risk of colorectal cancer. An increased consumption of fibre, as shown by this study, would be of considerably more benefit.""
Carrie Ruxton, of the Meat Advisory Panel, an industry-funded body, said: ""Red meat provides valuable nutrients, such as protein, iron, zinc, vitamin D and B vitamins.""
She said it was known that ""a range of lifestyle factors have a significant impact on the risk of bowel cancer, most notably age, genetics, lack of dietary fibre, inactivity and high alcohol consumption"". "
"'Assange smeared faeces in Ecuador embassy,' says president - BBC News",www.bbc.com,,04-17-2019,2019,4,https://www.bbc.com/news/av/world-latin-america-47956607/assange-smeared-faeces-in-ecuador-embassy-says-president,"Media playback is unsupported on your device Video 'Assange smeared faeces in Ecuador embassy,' says president
Ecuadorian President Lenin Moreno has told the BBC why his government decided to revoke Julian Assange's asylum.
The Wikileaks co-founder was arrested in London on 11 April after seven years in the Ecuadorian embassy.
Mr Moreno accused Mr Assange of rubbing excrement on the embassy walls. Mr Assange's lawyer has accused Ecuador of ""outrageous allegations"". 17 Apr 2019"
Profile: Joko Widodo - BBC News,www.bbc.com,,04-17-2019,2019,4,https://www.bbc.com/news/world-asia-28422179,"These are external links and will open in a new window Close share panel Image copyright Getty Images Image caption Mr Widodo won support partly due to his likeable and humble demeanour Joko Widodo was elected as Indonesia's president in July 2014, in a win that marked a sea change in the country's politics.
Coming from a humble background, he stands in sharp contrast to the country's previous leaders, who hailed from the political and military elite.
In 2014 Mr Widodo - more commonly known as Jokowi - stood on a ""man of the people"" anti-corruption platform, promising to tackle poverty and to stamp out nepotism and intolerance. He won decisively.
But the race is not over. Mr Widodo will stand for election again this year against his long-time rival, Prabowo Subianto.
Five years on from the last campaign, his one-of-us image has lost some of its sheen. Rise to the top
Born in 1961 in Solo, a city in the centre of Java, Mr Widodo is the son of a wood-seller.
The furniture-maker began his political career with the Indonesian Democratic Party of Struggle (PDIP) when he was elected mayor of Solo in 2005.
Mr Widodo then ran to be Jakarta's governor, winning a resounding victory in 2012. Image copyright Getty Images Image caption Mr Widodo's career was built on his 'man of the people' image
He was seen to empathise with the poor and grew in popularity through measures such as relocating slum-dwellers and boosting small businesses.
He first campaigned for the presidency on a platform of stamping out corruption, nepotism and intolerance - and pushed for investment in education, meritocracy and increased use of technology in governance.
At Mr Widodo's inauguration in October 2014, he called for a spirit of unity and hard work, and promised to restore national pride as well as building a stronger maritime presence. Religion and resistance
Mr Widodo's administration had a somewhat shaky start.
Critics warned that he lacked experience in national politics and international relations.
His government rushed into some policies, such as banning the sale of alcohol in small shops and mandating Indonesian proficiency among foreign workers, only to backtrack on them later due to their unpopularity or unfeasibility.
Mr Widodo's first international controversy came in April 2015 when he faced global pressure to pardon two Australian members of the Bali Nine drug smuggling ring, who faced death sentences.
He refused, saying a hardline stance against drugs was necessary to protect Indonesia. Image copyright AFP Image caption Mr Widodo faced faced international pressure to free Australian drug traffickers Myuran Sukumaran and Andrew Chan
In recent years, Mr Widodo has pushed to advance Indonesia's infrastructure - building roads, dams and railways. Why Indonesia's next leader will need China
But in order to do it, he has welcomed Chinese investment and accepted loans and partnerships with foreign companies.
His rival, Mr Prabowo, has accused him of selling out the country to foreigners, and opposition lawmakers claim Indonesia is facing an influx of Chinese workers.
A long and occasionally violent history of anti-Chinese sentiment means these are contentious issues, especially in an election year.
Indonesia has in recent years seen conservative religious groups grow increasingly vocal.
Former Jakarta governor and Mr Widodo's ally Basuki Tjahaja Purnama, known more commonly as Ahok, was accused of blasphemy for comments he made during a pre-election speech in September 2016.
After mass rallies in the streets, he was imprisoned for two years - seen as a setback for religious tolerance.
Mr Widodo has shown that he is clearly aware of this rising trend, and has been working hard to display his Islamic credentials. Image copyright Getty Images Image caption Mr Widodo and his running mate Ma'ruf Amin (right)
Though he himself has been shown to be a religious moderate, he surprised many by picking Ma'ruf Amin as his running mate for the 2019 election.
He's a powerful cleric who played a key role in the protests that led to Ahok's downfall.
The move has been seen as an attempt to sway more conservative Muslim voters his way, but may have lost him some support among younger, liberal voters. Related Topics "
Brexit- Crockery records Parliamentary 'dog's dinner',www.bbc.com,,04-17-2019,2019,4,https://www.bbc.com/news/av/uk-england-london-47935411/brexit-crockery-records-parliamentary-dog-s-dinner,"Media playback is unsupported on your device Video Brexit: Crockery records Parliamentary 'dog's dinner'
Brexit-inspired tableware is being made to record Britain's exit from the EU.
Ceramics artist Harriet Coles said she was inspired after her son suggested making egg cups for hard and soft-boiled Brexit.
Ms Cole works references to Article 50 of the Lisbon Treaty, and the EU flag, into the distinctive blue and white pattern of her crockery.
Brexitware, made in the ceramics heartland of Stoke-on-Trent, is currently on sale in several museums, including the V&A. 15 Apr 2019"
BBC - Future - The border guards you can’t win over with a smile,www.bbc.com,Molly Kendrick,04-17-2019,2019,4,http://www.bbc.com/future/story/20190416-the-ai-border-guards-you-cant-reason-with,"Future Now The border guards you can’t win over with a smile Governments are testing artificial intelligence to reduce queues at passport control, spot potentially dangerous travellers and detect smuggled goods at their borders, but can this technology be trusted? By Molly Kendrick 17 April 2019
International travel is increasing at a rapid rate. In 2017, a record 1.4 billion tourists visited other countries last year and that number is expected to reach 1.8 billion by 2030 .
This swelling number of globetrotters also means growing queues at passport control. The vast majority of people who are detained by border agents don’t present a threat, which slows down the already often lengthy process of crossing an international border. Border crossing agents have a tough job. They have to make hundreds of judgement-calls every hour about whether someone should be allowed to enter a country. With the looming threat of terrorist attacks, people trafficking and smuggling, there is a lot of pressure to get it right.
Although they may have some additional intelligence on their computer system, when border guards examine most travellers, they’re relying on their own hunches and experience . And for many border control officers, that experience may not amount to much – it’s a position with a high turnover rate; border guards in the US quit at double the rate of other law enforcement positions.
You might also like:
* How your voice betrays a doomed romance
Anyone who has been stopped from entering a country at immigration, even briefly, will know what an upsetting and stressful experience it can be. Staring into the hard eyes of a border guard as they examine your passport is always a nerve-wracking experience.
But there could soon be another, unseen border agent with a hand in these decisions – one that cannot be reasoned with or softened with a smile. View image of A border guard checking a passport (Credit: Getty)
A number of governments around the world are now funding research on systems powered by artificial intelligence that can help to assess travellers at border crossings.
One of these is being developed by US technology firm Unisys, a company that began working with US Customs and Border Patrol following the 9/11 terrorist attacks in 2001, to develop technology for identifying dangerous passengers long before they board a flight. Their threat assessment system, called LineSight, slurps up data about travellers from different government agencies and other sources to give them a mathematical risk evaluation.
They have since expanded its capability to look for other types of traveller or cargo that might be of concern to border officials. John Kendall, director of the border and national security program at Unisys, uses an example of two fictional travellers to illustrate how LineSight works.
Romain and Sandra are ticketed passengers who have valid passports and valid visas. They would pass through most security systems unquestioned, but LineSight’s algorithm picks up something fishy about Romain’s travel patterns – she’s visited the country several times over the past few years with a number of children who had different last names, something predictive analytics associates with human trafficking.
“Romain also purchased her ticket using a credit card from a bank associated with a sex trafficking ring in Eastern Europe,” says Kendall. LineSight is able to obtain this information from the airline Romain is flying with and cross check it with law enforcement databases. View image of The prototype Line Sight system (Credit: Molly Kendrick)
“All of this information can be gathered and sent to a customs official before Romain and Sandra check in for their flight,” adds Kendall. “We collect data from multiple sources. Different governments collect different information, whether it’s from their own databases, from travel agencies. It’s not neat.”
The system can take a similar approach to analysing cargo shipments, helping to pull together relevant information that might identify potential cases of smuggling.
The power of Unisys’s AI approach is the ability to ingest and assess a huge amount of data in a very short amount of time – it takes just two seconds for LineSight to process all of the relevant data and complete a threat assessment..
Algorithms trained to recognise patterns or behavior with historic data sets can reflect the biases that exist in that information
But there are concerns about using AI to analyse data in this way. Algorithms trained to recognise patterns or behaviour with historic data sets can reflect the biases that exist in that information. Algorithms trained on data from the US legal system, for example, were found to replicate an unfair bias against black defendants, who were incorrectly identified as likely reoffend at nearly twice the rate as white criminals . The algorithm was replicating the human bias that existed in the US justice system.
Erica Posey of the Brennan Center for Justice fears similar biases could creep into algorithms used to make immigration decisions.
“Any predictive algorithm trained on existing data sets about who has been prevented from travelling in the past will almost certainly rely heavily on proxies to replicate past patterns,” she says.
According to Kendall, Unisys hope to deal with this by allowing its algorithm learn from its mistakes.
“If they stop somebody, and it turns out there was nothing wrong, that automatically updates the algorithm,” he says. “So every time we do an assessment the algorithm gets smarter. It’s not based on intuition, it’s not based on my bias – it’s based on the full population of travellers that come through.”
The company also says LineSight doesn’t assign one piece of data more weight than another, instead presenting all the relevant information to the border and customs officers.
There are some who hope that artificial intelligence might be better at picking up signs of deception
But there are other teams that are looking to go even further by allowing machines to make judgements about whether travellers can be trusted. Human border officers make decisions about this based on a person’s body language and the way they answer their questions. There are some who hope that artificial intelligence might be better at picking up signs of deception.
Aaron Elkins, a computer scientist at San Diego State University, points out that humans are typically only able to spot deception in other people 54 % of the time . By comparison, AI-powered machine vision systems have been able to achieve an accuracy of over 80% in multiple studies. Infrared cameras that can pick up on changes in blood flow and pattern recognition systems capable of detecting subtle ticks have all been used. View image of A queue at passport control in an airport (Credit: Getty)
Elkins himself is one of the inventors behind Avatar (Automated Virtual Agent for Truth Assessments in Real Time), a screening system that could soon be working with real-life border agents. Avatar uses a display that features a virtual border agent that asks travellers questions while the machine scrutinises the subject’s posture, eye movements, and changes in their voice.
After experiments of tens of thousands of subjects lying in a laboratory setting, the Avatar team believes they have managed to teach the system to pick up on the physical manifestations of deception.
Another system, called iBorder Ctrl is to be tested at three land border crossings in Hungary, Greece and Latvia . It too features an automated interviewer that will interrogate travellers and has been trained on videos of people either telling the truth or lying.
There is an ongoing debate about whether such AI “lie detectors” actually work
Keeley Crocket, an expert in computational intelligence at Manchester Metropolitan University in the UK, who is one of those developing iBorder Ctrl, says the system looks for micro-gestures – subtle nonverbal facial cues that include blushing as well as subtle backward and forward movement. Crocket has high hopes for this first phase of field tests, saying the team are hoping the system will “obtain 85% accuracy” in the field tests."
Missing Catherine Shaw- Body found in Guatemala,www.bbc.com,,04-16-2019,2019,4,https://www.bbc.com/news/uk-england-oxfordshire-47532752,"These are external links and will open in a new window Close share panel Image copyright Lucie Blackman Trust Image caption Catherine Shaw left her accommodation in Guatemala in the early hours of 5 March A body has been found in the search for a 23-year-old British woman who went missing in Guatemala, the country's police force has said.
Catherine Shaw, from Witney, was reported missing after she left Hotel Mayachik near Lake Atitlan on 5 March.
Guatemalan police said search teams have located a body at San Juan La Laguna.
Formal identification has not taken place but Ms Shaw's family have been informed of the find.
In a statement The Lucie Blackman Trust, which has been helping Ms Shaw's family, said it was ""saddened to announce that a body has been found in the search for Catherine Shaw"".
It added: ""Formal identification has not taken place but the body is believed to be Catherine.""
The body was discovered shortly after a jacket believed to be Ms Shaw's was found nearby. Image copyright Lucie Blackman Trust Image caption Search efforts were redeployed and intensified in San Juan La Laguna where a jacket was found
Ms Shaw set out travelling in September 2018.
She had been with a friend in Guatemala for two weeks having previously visited Mexico and California.
People searching for Ms Shaw said she left Hotel Mayachik twice; first at 01:37 local time, returned, then left again at 05:23 heading in the direction of Lake Atitlan. You may also be interested in:"
