title, publication, authors, date, year, month, url, content
"'Our Hopes in the Hand of Our Creator': Trump on Synagogue Attack, Venezuela, Religious Freedom",www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/politics/2019/may/our-hopes-in-the-hand-of-our-creator-trump-on-synagogue-attack-venezuela-religious-freedom,"'Our Hopes in the Hand of Our Creator': Trump on Synagogue Attack, Venezuela, Religious Freedom
WASHINGTON – On Thursday the country came together simply to pray. The National Day of Prayer is held on the first Thursday of May each year, and people of all faiths came together at the White House to pray.
""On this day of prayer we once again place our hopes in the hand of our Creator,"" Trump said.
The National Day of Prayer kicked off in the Rose Garden with a call for Americans to follow 'The Golden Rule.'
This year's theme was ""Love One Another"", designed with the goal of putting aside politics for prayer.
""As we unite on this day of prayer, we renew our resolve to protect communities of faith and to ensure that all people can live, pray and worship in peace,"" said Trump.
President Trump said prayer is needed now more than ever in the wake of attacks on places of worship.
Rabbi Yisroel Goldstein spoke out after getting wounded during a shooting at a synagogue near San Diego.
""Mister President when you called me, I was at home, weeping,"" Goldstein said. ""You were the first person who began my healing.""
The Commander-in-Chief then prayed for healing in Venezuela where tensions have reached a boiling point.
More protestors are expected there as opposition leader Juan Guaido renewed his calls this week for the overthrow of dictator Nicolas Maduro.
""The brutal repression of Venezuelan people must end,"" Trump said.
""The Bible says pray for all those who are in authority and that's a long prayer list,"" Pastor Jack Graham said.
Pastor Graham is on the President's Faith Advisory Council.
He told CBN News they met Wednesday about mobilizing Christians to help with the humanitarian crisis at the border and tasking churches to help revitalize cities through economic development.
""These are urgent times and we need to pray not just 'easy does it' prayers but we need to pray with compassion and passion,"" Graham said.
President Trump also showcased new faith-based protections for healthcare workers as well as faith-based adoption.
He also touted how federal employees can now take paid time off to observe religious holidays."
How Israel Stopped Syria from Becoming a Global Nuclear Nightmare,www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/israel/2019/may/how-israel-stopped-syria-from-becoming-a-global-nuclear-nightmare,"On September 6, 2007, shortly after midnight, Israeli fighters advanced on Deir ez-Zour in Syria. Israel often flew into Syria as a warning to President Bashar al-Assad. But this time, there was no warning and no explanation. This was a covert operation, with one goal: to destroy a nuclear reactor being built by North Korea under a tight veil of secrecy in the Syrian desert.
Gordon Robertson talks with Yaakov Katz about his new book, Shadow Strike , on Friday's 700 Club.
Shadow Strike tells, for the first time, the story of the espionage, political courage, military might and psychological warfare behind Israel's daring operation to stop one of the greatest known acts of nuclear proliferation. It also brings Israel's powerful military and diplomatic alliance with the United States to life, revealing the debates President Bush had with Vice President Cheney and Israeli Prime Minister Ehud Olmert as well as the diplomatic and military planning that took place in the Oval Office, the Prime Minister's Office in Jerusalem, and inside the IDF's underground war room beneath Tel Aviv.
These two countries remain united in a battle to prevent nuclear proliferation, to defeat Islamic terror, and to curtail Iran's attempts to spread its hegemony throughout the Middle East. Yaakov Katz's Shadow Strike explores how this operation continues to impact the world we live in today and if what happened in 2007 is a sign of what Israel will need to do one day to stop Iran's nuclear program. It also asks: had Israel not carried out this mission, what would the Middle East look like today?
"
'God Has Not Given Us a Spirit of Fear': Bieber Urges Fans to Turn to Jesus When Battling Anxiety,www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/entertainment/2019/may/god-has-not-given-us-a-spirit-of-fear-bieber-urges-fans-to-turn-to-jesus-when-battling-anxiety,"Justin Bieber is opening up to fans about his battle with anxiety and how he relies on God to cope.
""Don't stop fighting - the battle has already won,"" he wrote in a heartfelt message on Instagram Thursday.
""Fight for what you love and who you love don't let fear and anxiety win...God has not given us a spirit of fear but of power love and of a sound mind!"" Bieber said, quoting 2 Timothy 1:7.
View this post on Instagram Don't stop fighting the battle has already won.. fight for what you love and who you love don't let fear and anxiety win..god has not given us a spirit of fear but of power love and of a sound mind! I havent believed the truth about myself I haven't believed I am loved I haven't believed I am forgiven it's a hard thing for me to wrap my head around. I hang my head in shame and I wallow in sadnes about the the people who have betrayed me. Jesus has given me freedom and the persuit of getting to know his character is never ending. Gods character never changes he is the same yesterday now and forever. He is always good!. I won't be afraid to be vulnerable before him.. his power is made strong in our weakness. God isn't afraid of your pain and your brokenness he actually welcomes it. Come to me all who are weary and burdened and I will give you rest! these are words from Jesus! There is hope and it's in him.!! He loves and cares for you! For god so loved the world that he gave his only son so that whoever believes him wont die but have eternal life! You are that whoever and he accepts you as you are!! He loves and forgives you and welcomes you into his arms every time you mess He is a perfect and loving god who adores you!
A post shared by Justin Bieber (@justinbieber) on May 2, 2019 at 6:59am PDT
Although the pop star has been very open about his faith in Christ, he says he still struggles with his identity as a child of God.
He recently reached out publicly for prayer, admitting his struggle with depression in the aftermath of years of wild living. But he told fans a few weeks ago that ""God is faithful and UR prayers really work.""
Now he's continuing that conversation on Instagram saying, ""I haven't believed the truth about myself - I haven't believed I am loved - I haven't believed I am forgiven it's a hard thing for me to wrap my head around. I hang my head in shame and I wallow in sadness about the people who have betrayed me.""
Then he put the focus on Jesus.
""Jesus has given me freedom and the pursuit of getting to know his character is never ending. God's character never changes - he is the same yesterday now and forever. He is always good! I won't be afraid to be vulnerable before him.. his power is made strong in our weakness. God isn't afraid of your pain and your brokenness he actually welcomes it. Come to me all who are weary and burdened and I will give you rest! these are words from Jesus!""
He encouraged others to put their trust in Jesus as well.
""There is hope and it's in him!! He loves and cares for you! For God so loved the world that he gave his only son so that whoever believes him won't die but have eternal life! You are that whoever and he accepts you as you are!! He loves and forgives you and welcomes you into his arms every time you mess. He is a perfect and loving God who adores you!""
Bieber regularly uses his huge social media platform to share the gospel message with his more than 100 million followers.
He recently married model Hailey Baldwin, who told Vogue magazine in 2016 that she believes God has given her fame to ""not be quiet about Him, but to reach people and inspire people.""
"
'Dangerous': Facebook Permanently Bans Anti-Semite and Right-Wing Activists from Platform,www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/us/2019/may/dangerous-facebook-permanently-bans-anti-semite-and-right-wing-activists-from-platform,"'Dangerous': Facebook Permanently Bans Anti-Semite and Right-Wing Activists from Platform 05-03-2019 Emily Jones Instagram & Facebook Logos
Facebook announced that it has permanently banned ""dangerous individuals and organizations"" from its main platform and from Instagram.
Anti-Semite and Nation of Islam leader Louis Farrakhan, Infowars founder Alex Jones, Milo Yiannopoulos, Laura Loomer, and Paul Joseph Watson are among the high profile figures purged from the platform.
Facebook says these figures violated the company's policy against hate and violence.
""We've always banned individuals or organizations that promote or engage in violence and hate, regardless of ideology,"" a statement from a Facebook representative said, according to The New York Times . ""The process for evaluating potential violators is extensive and it is what led us to our decision to remove these accounts today.""
Facebook told CNN that when making its decision, it examines if the person or organization has ever called for violence against people based on ethnicity, race, or nationality, used hate speech, or identifies with a hateful ideology.
Most of the personalities Facebook deplatformed Thursday are also banned from Twitter.
Some are happy to see these figures removed from social media.
""The social media companies not only have the right, but an ethical responsibility to remove disinformation and hate speech and those who spread it from their platforms,"" Paul Barrett, deputy director of New York University's Stern Center for Business and Human Rights told the Times.
But critics believe the censorship is dangerous.
Journalist Tim Pool, who reports on social media censorship, believes Facebook made a mistake.
""I cannot stress how much of a dramatic escalation this is. I don't care whether you like these people or not this is going to rapidly radicalize many, many people,"" he said. Very weird and the people who got banned of didn't know before it happened.
I cannot stress how much of a dramatic escalation this is.
I don't care whether you like these people or not this is going to rapidly radicalized many many people https://t.co/SMBuMSHfm1
— Tim Pool (@Timcast) May 2, 2019
Economist and political commentator Eric Weinstein says Facebook does not consistently enforce its anti-hate policies.
""I'm not a free speech absolutist. Nor is the US absolutist. Companies are not the government,"" he explained.
""What I oppose here is *simple* statements from Tech Utopians about how they are against *all* Hate, Violence & Misinformation while *selectively* enforcing & profiteering."" The great danger is selective, cryptic & inconsistent rules tilting all discussion. This leads to an appearance of 'conversation' that can sway opinion, elections, civil society etc.
It is a new threat: the *appearance* of a fair & civil public discussion which is really fixed.
— Eric Weinstein (@EricRWeinstein) May 3, 2019
""The great danger is selective, cryptic & inconsistent rules tilting all discussion. This leads to an appearance of 'conversation' that can sway opinion, elections, civil society etc,"" he said. ""It is a new threat: the *appearance* of a fair & civil public discussion which is really fixed."""
Palestinian Authority Turns to Russia to Save it From Economic Collapse,www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/israel/2019/may/palestinian-authority-turns-to-russia-to-save-it-from-economic-collapse,"Palestinian Authority Turns to Russia to Save it From Economic Collapse 05-03-2019 Emily Jones
JERUSALEM, Israel - The Palestinian Authority is urging Russia to help solve its financial crisis after Israel began deducting terror salaries from its monthly transfer of tax revenues to the PA.
The Jerusalem Post reported Friday that the PA rejected a solution from the European Union to provide funds to Palestinian terrorists' families on a needs-based system, but refused to give any money to terrorists themselves.
""There have been attempts to find alternative channels to pay the prisoners and martyrs allowances, which we will not accept,"" PA Deputy Prime Minister and Minister of Information Nabil Abu Rudaineh said on Thursday.
""Israel must pay the whole funds without any deductions,"" Rudaineh continued, adding that Israel ""must honor all agreements and pay the funds in full.""
PA President Mahmoud Abbas met with head of the Russian Representative Office in Ramallah Aganin Rashidovich on Thursday and discussed the PA's financial crisis with him.
The Jerusalem Post did not say what the Russian response was.
Abbas claims that Israel's decision to deduct terror salaries from the monthly transfer of tax revenues to the PA has put the Palestinian economy on the verge of collapse.
The Palestinian Authority is protesting Israel's decision by refusing to accept any of its tax revenues, which according to the UN, makes up 65% of the PA's budget.
On Thursday, Israel's public broadcaster KAN reported that the PA rejected and returned to Israel the tax and tariff revenues that it had received at the beginning of the week, which totaled to about NIS 500 million ($138.8 million). Palestinian officials said this was the third time the PA has refused to accept the money since the beginning of the year."
American Jews on Guard After Recent Attacks Prove Anti-Semitism is Alive in America,www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/israel/2019/may/american-jews-on-guard-after-recent-attacks-prove-anti-semitism-is-alive-in-america,"American Jews on Guard After Recent Attacks Prove Anti-Semitism is Alive in America 05-03-2019 Aftermath of the Chabad of Poway synagogue attack in California (AP Photo)
JERUSALEM, Israel – Israel is calling on the world to take renewed action against anti-Semitism.
This comes after a spike in hateful acts including last week’s deadly attack on a US synagogue, the second in six months.
""Barely six months ago we saw the worst attack on Jews in American history,” Israel’s UN ambassador Danny Danon said while addressing the UN. “We spoke about it right here. From the Tree of Life Synagogue in Pittsburgh to the Chabad synagogue in Poway California, anti-Semitism is no longer a fringe bigotry in the US.”
Danon spoke just days after a 19-year-old gunman fired on worshippers in the Chabad synagogue in California, killing one woman and injuring three others.
It was eerily similar to the October tragedy in Pittsburgh where another lone gunman attacked a synagogue killing eleven.
Both had posted anti-Semitic remarks online prior to their actions.
“Then as now, all the right people are saying all the right things. They express their sympathies and call for an end to this violence and bigotry. But it seems we have learned nothing from the Pittsburgh attack. And it will likely to continue to do nothing following the attack in San Diego,” he said.
Danon wants action, saying the time for just talk is over.
“Those who engage in anti-Semitism must be punished. Whether it's here at the UN, political leaders, editors, policy pundits or college professors it doesn't matter…. until it becomes criminal this bigotry will persist,” he said.
Meanwhile, the Anti-Defamation League released statistics showing that anti-Semitic acts in the US alone more than doubled in 2018.
David Schizer, head of the Joint Distribution Committee tells CBN News the Jewish community has to be brave and do the best it can.
“I think we always have to be vigilant, needless to say, to be American and Jewish is an incredibly comfortable thing. This is the greatest place in the world to be if you’re Jewish but it doesn’t mean everyone in the country necessarily feels that way,” he explained.
Robert Dunn, who is a Philadelphia native, says he’s not afraid to be identified as a Jew but says they have to be careful.
“We have to protect ourselves and our family. When we go to synagogue particularly during high holidays we now have security and I’m always looking around to make sure that I recognize most if not all the people in the synagogue,” Dunn told CBN News.
Researchers at Tel Aviv University confirmed the spike on a global level.
""We have seen among Jews worldwide, but especially in Western Europe and in Northern America, a rising concern, a rising feeling of insecurity -- a feeling of doubting their belonging to their place, of being part of society around them and of the political parties they used to be part of.,” said Professor Dian Porat.
Porat says this puts tremendous stress on the Jewish people.
She cautions against reports that indicate attacks might be decreasing.
“There is more protection of sites, of community centers, synagogues etc. and less Jews, and this is I would say is a tragic phenomena.""
For now, vigilance is the answer but in the long run authorities must find a way to uproot anti-Semitism and stop it in its tracks."
High School May Remove George Washington Mural that 'Traumatizes Students and Community Members',www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/us/2019/may/high-school-may-remove-george-washington-mural-that-traumatizes-students-and-community-members,"High School May Remove George Washington Mural that 'Traumatizes Students and Community Members' 05-03-2019 Mark Martin President George Washington (Painting by Gilbert Stuart: Public Domain)
A mural depicting the ""Life of Washington"" on the walls of George Washington High School in San Francisco may be removed, following the recommendation of a working group.
The San Francisco Unified School District may take down the 13-panel mural because of concerns it offends and demeans Native Americans and African Americans.
""SFUSD convened a 'Reflection and Action Working Group' that was comprised of members of the local Native American community, students, school representatives, district representatives, local artists and historians,"" a spokeswoman for the district, Laura Dudnick, told The College Fix .
The group, which met in recent months, decided the mural ""traumatizes students and community members.""
""At its conclusion the group voted and the majority recommended that the 'Life of Washington' mural be archived and removed because the mural does not represent SFUSD values,"" Dudnick continued.
Victor Arnautoff, a Russian American painter and professor of art, helped paint the mural 83 years ago, according to the Richmond District Blog . The Richmond District is a neighborhood of San Francisco. The Works Progress Administration funded the project as part of the New Deal.
Advocates who want to keep the mural on the walls say the recommendation by the working group ignores the artist's intention and is an effort to erase history.
Historian Fergus M. Bordewich wrote in the The Wall Street Journal , ""A San Francisco mural has become the latest high-profile target of self-appointed censors who want to erase both history and art of which they disapprove.""
""The mural's painter, Victor Arnautoff, was a protégé of Diego Rivera and a communist,"" Bordewich wrote. ""He included those images not to glorify Washington, but rather to provoke a nuanced evaluation of his legacy.""
Bordewich also issued a statement to CBN News about the mural: ""The activists and bureaucrats who are determined to remove or destroy an artistically superb and historically accurate set of 1930s murals presenting the life of George Washington are guilty not only of embracing willful censorship but they are also astonishingly ignorant of the history they want to suppress. The claim that the murals somehow celebrate African-American slavery and the genocide of Native Americans is absurd. In his will, Washington freed every slave he owned and provided for them financially. And he advocated an exceptionally enlightened policy toward native tribes. The artist also, by the way, presented enslaved people and Native Americans not in any degraded or demeaning way but as people of both strength and dignity. There's nothing wrong with debating the meaning of our national history, but those who challenge it ought to at least get their facts right.""
Bordewich told The Fix there ""is a deeply wrongheaded habit to project today's norms, values, ideals backwards in time to find our ancestors inevitably falling short.""
Dudnick says the mural could stay on the walls of George Washington High School, however. She said the superintendent and staff are now looking over the working group's recommendation and considering what should be done with the artwork.
CBN News reached out to the San Francisco Unified School District for comment. At the time of publication, the district had not yet responded to our inquiry."
Palestinian Authority Turns to Russia to Save it From Economic Collapse - CBN News,www1.cbn.com,,05-03-2019,2019,5,https://www1.cbn.com/cbnnews/israel/2019/may/palestinian-authority-turns-to-russia-to-save-it-from-economic-collapse,"Palestinian Authority Turns to Russia to Save it From Economic Collapse 05-03-2019 Emily Jones
JERUSALEM, Israel - The Palestinian Authority is urging Russia to help solve its financial crisis after Israel began deducting terror salaries from its monthly transfer of tax revenues to the PA.
The Jerusalem Post reported Friday that the PA rejected a solution from the European Union to provide funds to Palestinian terrorists' families on a needs-based system, but refused to give any money to terrorists themselves.
""There have been attempts to find alternative channels to pay the prisoners and martyrs allowances, which we will not accept,"" PA Deputy Prime Minister and Minister of Information Nabil Abu Rudaineh said on Thursday.
""Israel must pay the whole funds without any deductions,"" Rudaineh continued, adding that Israel ""must honor all agreements and pay the funds in full.""
PA President Mahmoud Abbas met with head of the Russian Representative Office in Ramallah Aganin Rashidovich on Thursday and discussed the PA's financial crisis with him.
The Jerusalem Post did not say what the Russian response was.
Abbas claims that Israel's decision to deduct terror salaries from the monthly transfer of tax revenues to the PA has put the Palestinian economy on the verge of collapse.
The Palestinian Authority is protesting Israel's decision by refusing to accept any of its tax revenues, which according to the UN, makes up 65% of the PA's budget.
On Thursday, Israel's public broadcaster KAN reported that the PA rejected and returned to Israel the tax and tariff revenues that it had received at the beginning of the week, which totaled to about NIS 500 million ($138.8 million). Palestinian officials said this was the third time the PA has refused to accept the money since the beginning of the year."
NKorean Defector Details Persecution and False Religion of Kim's Regime: 'They Are Not Gods... There Is a Real God',www1.cbn.com,,05-03-2019,2019,5,http://www1.cbn.com/cbnnews/us/2019/may/nkorean-defector-details-persecution-and-false-religion-of-kims-regime-they-are-not-gods-there-is-a-real-god,"North Korea is known as one of the most dangerous places on earth to be a Christian.
Choi Jeong-hun is a former member of the North Korean military but defected in December of 2016.
He is currently visiting the United States for what's known as the North Korean Freedom Week, an event held each year for the liberation and free unification of North Koreans.
""I come from North Korea and China border area in Yangang Province,"" Jeong-hun told CBN News via a translator. ""In 1988, I was enlisted to the North Korean military. In '94 I was in Mirim military academy. In 1997, I became a lieutenant.""
Jeong-hun is also a Christian.
As a member of the North Korean military, he shared how he had witnessed the execution of high-ranking military officials at the hands of Kim Jong Un's brutal regime.
""If you criticize them or these kind people, those who were not compliant, regardless of who they are, they are getting execution or they get harshly penalized,"" said Jeong-hun.
He went on to say, ""For example, just like Jang Song-thaek, who was his uncle, he was using a machine gun to kill his uncle. In North Korea, only the direction of Kim Jong Un, they regard it as this is the order that comes from god. Therefore, so if you are not compliant to his directives or if you criticized them, then there is merciless - they go to concentration camps or were executed. I have seen firsthand and I have also seen all these people who experienced this.""
Jeong-hun also explained the false religious beliefs of the North Korean dictator.
""Kim Jong Un has his own sort of religion and he cripples the people mentally in North Korea,"" he said. ""The people who lived as a Christian, when Kim Jong Un, when he took the leadership of North Korea, they were mostly executed.""
He added that many Christians who escaped execution, went on to spread the gospel, including himself.
""Me, after I defected, to the North Korean people I am showing them that Kim Jong Il, Kim Jong Un, they are not gods and to show them there is a real God and also to renew the things that they know in North Korea that these are wrong.""
Jeong-hun arrived in South Korea in 2006 and now works to secretly spread the gospel of Jesus Christ and the word of God to believers inside North Korea via flash drives, memory sticks and other technology.
Possessing a Bible in North Korea could get you 15 years of hard labor in a prison camp, or worse.
Yet Jeong-hun says the mission must go on.
""We are spreading them inside North Korea,"" said Jeong-hun.
"
State Attorney General Vows to Fight Human Traffickers Who 'Enslave Children and Adults' at Kentucky Derby | CBN News,www1.cbn.com,Benjamin Gill,05-03-2019,2019,5,https://www1.cbn.com/cbnnews/us/2019/may/state-attorney-general-vows-to-fight-human-traffickers-who-enslave-children-and-adults-nbsp-at-kentucky-derby,"The 145th Kentucky Derby takes place this weekend. But the state's attorney general is warning that the legendary horse race draws more than sports fans. Like every major sporting event, the Derby also attracts human traffickers.
Kentucky Attorney General Andy Beshear said, ""The grim fact is large sporting events like the derby draw not only racing enthusiasts, but also individuals who have enslave children and adults and enslave them for sex and labor.""
Beshear, Advocates: 'Help Us Find Human Trafficking Victims' during Derby: Everyone encouraged to know the signs of human trafficking and report it - https://t.co/2RG9Vp0hBJ pic.twitter.com/a9mosSDQuK
— KY Attorney General (@kyoag) April 22, 2019
""Victims are also the most marginalized, victims of abuse and violence, runaways, refugees and immigrants, the lost, the lonely, the left behind. That's exactly who my faith says we are supposed to service,"" Beshear said.
The state attorney general says Kentucky is partnering with Catholic Charities to train 9,000 people on how to spot and report trafficking during the derby.
At a recent press conference, Beshear called on citizens to help fight trafficking by recognizing the signs:
There is no one single indicator of human trafficking, but a combination of any of these signs is commonly seen in victims:
Traveling in groups and may have identical tattoos or branding. Unable to identify what town or state they are in or where they are staying. Lacking official identification documents or personal possessions. May appear malnourished or have physical injuries. Avoiding eye contact and adhering to limited, scripted or rehearsed responses in social interactions. May express a loss of sense of time. Possessing multiple pre-paid credit cards One woman shared her tale of being trafficked at the derby at a press conference. Summer Dickerson says she was sitting on Millionaire's Row at the Kentucky Derby four years ago and no one knew she was being trafficked.
""Four years ago, I was being sold on Oaks and Derby. Four years later, I'm part of the solution,"" she said. Now she's running the Women of the Well ministry to help rescue trafficking victims.
Amy Leenerts, founder and director of Free2Hope, is also fighting trafficking at the Derby. Her group runs a Derby outreach program which is specifically aimed at helping child victims.
""This year Free2Hope is focusing its efforts on our Derby City Traffic Jam, which works to identify and assist runaway and missing kids who are vulnerable to traffickers at all times, but even more so with the increase in demand for commercial sex that large events like Derby inevitably bring,"" said Leenerts.
Donna Pollard, founder of Survivors' Corner, says it's a year-round battle.
""This time of year should be filled with jubilation for everyone in our community, but unfortunately the crowds drawn for these celebratory events are used to enslave and exploit the vulnerable,"" Pollard said. ""Human trafficking has devastating long term impacts on victims and their families, but with the leadership and support of Attorney General Andy Beshear, our community has hope for healing and prevention.""
In the weeks leading up to the Derby, Beshear has been speaking out.
""By raising awareness with partners, our community will be better prepared to stop traffickers this Derby,"" said Beshear. ""While there is no one single indicator of trafficking, there are several signs that are common in victims including traveling together, having identical tattoos, branding and not being able to identify where they are or where they are staying.""
Meanwhile, Beshear tweeted his support for People Against Trafficking Humans and ""their 7th annual Anti-Human Trafficking Prayer Service and Public Awareness Rally"" which took place this week ahead of the Kentucky Derby.
People Against Trafficking Humans - @PATHCoalitionky will host their 7th annual Anti-Human Trafficking Prayer Service and Public Awareness Rally ahead of the Kentucky Derby tomorrow afternoon at 4:30 at Jefferson Park Square in Louisville. https://t.co/kVYR1DiVdG pic.twitter.com/SPvDZgAFoE
— KY Attorney General (@kyoag) April 29, 2019
"
