title, publication, authors, date, year, month, url, content
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,SWDC,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-5,"Washington DC is a sanctuary city where illegals are enabled to vandalize the Lincoln memorial itself and are set free never paying to repair the vandalism back to the tent they live in.
Literally!"
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,Bkhuna,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-6,I could do with losing the Lincoln memorial.
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,aemoreira1981,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-24,Great idea! I'd look for all the gated communities & drop them off with tents. Then watch the wall get funded.
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,Jayden Lewis,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-7,So you do not care for America history and a Great American.
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,cogent_1,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-8,"I love American history but care little for the President that circumvented the law by suspending articles of the Constitution such as suspending the writ of Habeas Corpus, closing courts by force, and arresting citizens and elected officials without cause. Lincoln also raised troops without the consent of Congress, closed-down newspapers whose writers displayed any dissent to U.S. policy.
He was also a war criminal; overseeing the actions of Union generals in razing Southern cities, raping women, killing children, and throwing the South into generations of poverty.
If he hadn't been shot, he wouldn't have been remembered as a martyr. Just another tyrant."
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,poison pill,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-9,HAHAHAHAHA it was the 1860s.
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,Karen,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-10,A Shitstain for all ages.
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,Amadio Viviani,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-11,Screw that. Drop them off in front of these scumbag federal judges homes. Flood their neighborhoods with illegals. Let’s see how they like it.
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,aemoreira1981,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-12,Nancy's home address is a good drop off location.
Trump Floats Dropping Illegals Off In Sanctuary Cities,dailycaller.com,poison pill,04-12-2019,2019,4,https://dailycaller.com/2019/04/12/trump-floats-dropping-illegals-off-in-sanctuary-cities/#post-13,I drive by her house on the way to work. She bought the two houses next door and is doing the Soviet stealth wealth thing. Hooking them all together inside but looking separate outside. All Mexican labor working on it for the past year.
