title, publication, authors, date, year, month, url, content
"Now Cancer-Free, Colorado Senator Announces Bid For President | Daily Wire",www.dailywire.com,Kassy Dillon,05-02-2019,2019,5,https://www.dailywire.com/news/46675/now-cancer-free-colorado-senator-announces-bid-kassy-dillon,"Now Cancer-Free, Colorado Senator Announces Bid For President ""I plan to run for president."" Zach Gibson/Getty Images May 2, 2019 views After initially delaying his presidential campaign announcement due to a cancer diagnosis, Sen. Michael Bennet (D-CO) formally announced he is running on Thursday morning. “I plan to run for president,” Bennet said in an interview on CBS This Morning. While writing a book about American politics, Bennet said he “became convinced in that process that if we continue to go down the path, we’re going … to be the first generation of Americans to leave less opportunity, not more to the next generation.”
“I just need to do everything I can do to make sure we don’t do that,” he said. Bennet explained that he believes partisan politics has been an issue in the U.S. before President Trump, but that “he has certainly made matters worse.” ""If we keep going down this road, we’re going to be the first generation of Americans to leave less opportunity, not more."" -- @SenatorBennet https://t.co/X7ass6bczO pic.twitter.com/6IhnFxjnVo — CBS This Morning (@CBSThisMorning) May 2, 2019 Bennet, 54, was diagnosed with prostate cancer last month but said a recent surgery successfully removed the cancer, NPR reports.​ Bennet made his intentions to run clear in other recent interviews but said his diagnosis was an obstacle.
""The idea was to announce sometime in April,"" Bennet said in an interview with the Colorado Independent . ""That was the plan. We hired some staff. We interviewed people for positions in New Hampshire and Iowa. And then I went for the physical. In my last physical, my PSA was high. They did a biopsy, and it was clear. But this time, it was not clear.""​ ""I'm looking forward to running in 2020,"" Bennet said on CNN’s “State of the Union” with Jake Tapper a week after being diagnosed. ""This obviously was unexpected. But we caught it early. It's something that I think we're going to be able to treat. And I don't think it should keep me off the trail.""​ In Bennet’s first tweet about his presidential bid, he explained he is running because “we cannot be the first generation to leave less to our kids, not more.” “That’s why I’m running for President. Let’s build opportunity for every American and restore integrity to our government,” he added. We cannot be the first generation to leave less to our kids, not more. That’s why I’m running for President. Let’s build opportunity for every American and restore integrity to our government. — Michael Bennet (@MichaelBennet) May 2, 2019 Bennet graduated from Wesleyan University and Yale Law School. After serving in the private sector, Bennet was selected to be the superintendent of Denver Public Schools in 2005. In 2009 he was selected by Colorado Gov. Bill Ritter to fill a vacated seat in the U.S. Senate. In 2010 he successfully won a campaign for a full term in the Senate and in 2016 won a reelection campaign. Bennet is the 21st Democrat to join the presidential race in hopes of securing the Democratic nomination. His brother, James Bennet, who is an editorial page editor for The New York Times, will recuse himself from 2020 election coverage. In a statement, the Times said James Bennet “will not discuss, assign or edit any editorials, Op-Eds, columns or other Opinion pieces focused on candidates or major issues in the campaign.” “As long as Sen. Bennet’s campaign is active, responsibility for all political coverage will be handled by the deputy editorial page editors, Kathleen Kingsbury and James Dao,” the Times added. “Even prior to the announcement, James has not been involved in any editorial decisions related to the senator.” . @nytimes editorial page editor James Bennet has recused himself from 2020 election coverage following the announcement that his brother Senator Michael Bennet intends to run for president. Full statement follows. pic.twitter.com/w7UiX85gDQ"
James Comey: 'It's Sad I Have To Flee The Country In This Stupid Egyptian Goatherd Disguise.' [Satire] | Daily Wire,www.dailywire.com,Andrew Klavan,05-02-2019,2019,5,https://www.dailywire.com/news/46694/james-comey-its-sad-i-have-flee-country-stupid-andrew-klavan,"The following is satirical.
Top officials are deeply upset about Attorney General Bill Barr’s announcement that he is investigating the reasons the FBI spied on Donald Trump’s campaign.
In a statement made while he was pasting on a fake beard and disguising himself as an Egyptian goatherd, former FBI Director James Comey said, “It is a very sad day for this nation when I have to leave town as quickly as possible in this ridiculous getup. I can’t believe that anyone could doubt the righteousness of the most righteous person this universe has produced since Paul Scofield in A Man for all Seasons , and you can’t get any more righteous than he was, believe you me.” Mr. Comey than excused himself, climbed out the bathroom window and has not been seen since.
In a statement delivered to the bottom of a table in O’Malley’s bar in Chappaqua, Hillary Clinton vehemently denied any collusion with the Russians, saying, “Yes, I paid a foreign national to gather Russian disinformation on Donald Trump and yes I passed that completely false disinformation to the FBI and yes they used that totally invented slander to get a warrant to spy on the Trump campaign but the crucial element of intent was not there. Just ask James Comey, if you can ever find him.”
Former CIA Director John Brennan, in an impassioned speech delivered from a car speeding toward the Canadian border, said, “I am so aggrieved by this odious calumny that I have decided to change my name and live in an undisclosed location until the heat’s off. You’ll never take me alive, John Law.”
Andrew McCabe, Peter Strzok and Lisa Page could not be reached for comment without dodging a fusillade of machine gun fire from the abandoned warehouse in which they were holed up."
CNN: Trump’s Economic Approval Rating ‘The Highest Number We’ve Ever Seen’ For His Administration | Daily Wire,www.dailywire.com,Ashe Schow,05-02-2019,2019,5,https://www.dailywire.com/news/46691/cnn-trumps-economic-approval-rating-highest-number-ashe-schow,"May 2, 2019 views
While discussing President Donald Trump’s recent polling numbers, a CNN analyst made a startling exclamation.
When the topic of the president’s approval rating on the economy came up, CNN’s David Chalian said Trump’s 56% approval was “the highest number we’ve ever seen at CNN polling.” Chalian was making the claim in reference to only Trump, saying a few seconds later, “It’s the high watermark in the entirety of the Trump presidency in CNN polling.”
Indeed, it is the highest approval rating on the economy that Trump has received during his presidency from CNN, but it is not the highest approval rating CNN has ever seen.
Former President Barack Obama, for example, beat that number twice during his eight years as president — in the first months of his presidency in 2009 and as he was leaving office in 2017. Both of these numbers should be looked at with a grain of salt. He entered office with high hopes. Remember, he had won the Nobel Peace Prize for a speech he gave before he was inaugurated. His approval rating on the economy jumped eight points from before the 2016 election to just before Trump was inaugurated, so one can also assume that might have had more to do with apathy over Trump than anything Obama had actually accomplished.
Trump is now in his third year as president. At this same point in Obama’s presidency, his approval rating for the economy was just 42%. So on that, at least according to CNN polling , Trump has him beat.
Other polls, however, have not been so kind to Trump. Real Clear Politics averaged Obama’s approval rating on the economy at 57%, which is far higher than CNN’s average.
Newsweek reported in March that former President Bill Clinton’s economic approval rating blows everyone else out of the water:
While Trump’s economy rating essentially matched Obama’s, they both paled in comparison to President Bill Clinton’s, who had the record economic approval rating of 81 percent in 1999. The record low rating since Gallup began polling on the economy, at the start of President Ronald Reagan’s term, was 17 percent for President George H. W. Bush in 1992. Trump’s latest rating is well above the average rating of 43 percent. Trump’s economic approval rating never dipped below 45 percent.
CNN further reported that Trump’s high economic approval rating comes after the economy performed better than expected during the first quarter, growing 3.2% compared to the expected 2.5%. (CNN conveniently left those numbers out of its report on Trump’s economic approval rating.)
Mick Mulvaney, the acting White House chief of staff, said at a recent conference in Los Angeles that Trump’s handling of the economy would help him win re-election in 2020.
""You hate to sound like a cliché, but are you better off than you were four years ago? It's pretty simple, right? It's the economy, stupid. I think that's easy. People will vote for somebody they don't like if they think it's good for them,"" Mulvaney said."
"WATCH: Dem Rep. Steve Cohen Eats KFC, Carries Chicken Statue In Hearing To Mock 'Chicken' AG William Barr | Daily Wire",www.dailywire.com,Emily Zanotti,05-02-2019,2019,5,https://www.dailywire.com/news/46709/watch-dem-rep-steve-cohen-eats-kfc-carries-chicken-emily-zanotti,"Cohen did not keep all the chicken for himself. He did offer drumsticks to a couple of female aides seated in front of him.
Later, at an impromptu press conference, Cohen brandished the plastic chicken for reporters, explaining that: “Chicken Barr should have shown up today and answered questions … this man was picked to be Donald Trump’s fixer. The black socks look clean compared to this team. It's a sad day in America.”
Cohen eventually put the chicken down behind AG William Barr's name placard at the congressional witness table for a photo opportunity. It’s official... a plastic chicken where a U.S. Attorney General should be. #ChickenBarr pic.twitter.com/CHfoaiPSvo — Trish Zornio (@trish_zornio) May 2, 2019
Thanks to Cohen's efforts, ""#ChickenBarr"" began trending on Twitter, as progressive social media activists caught on to the joke.
Other legislators, including Rep. Jerry Nadler (D-NY), who called the hearing, chose to leave their mark on Barr in other ways. Nadler gave a speech to Barr's empty chair (sans plastic chicken), berating him for failing to appear and connecting Barr's decision not to testify to further, secretive Trump administration policies.
Barr said Wednesday that he would not attend the House hearings on Thursday after a dispute with Democrats over whether committee staff members and outside legal counsel, rather than legislators themselves, should be allowed to question the acting Attorney General, according to CNN . The Attorney General's office also refused to turn over a full, unredacted version of the Mueller report to Nadler and other Democratic legislators, despite a subpoena.
Nadler has said repeatedly that he will not be satisfied until he obtains a full, clean version of Special Counsel Robert Mueller's report and a copy of the evidence Mueller used to come to the conclusion that President Donald Trump and the 2016 Trump presidential campaign did not collude with Russian officials to alter the outcome of the 2016 presidential election.
On Wednesday, Barr spent hours in front of a Senate committee where, instead of being questioned on the content of Mueller's report, he was repeatedly interrogated over a letter, issued in early April, describing the contents of Mueller's report as clearing the president of collusion charges. Democrats were focused on how Barr characterized the report, despite having actual copies of the report in hand.
Nadler did promise retribution for Barr's absence, telling reporters ominously that House Democrats ""will have no choice but to move quickly to hold the attorney general in contempt if he stalls or fails to negotiate in good faith. If he does not provide this committee with the information it demands and the respect it deserves, Mr. Barr’s moment of accountability will come soon enough.”"
"KNOWLES: Sorry, AOC, Bernie, Nordic Countries Are Not Socialist | Daily Wire",www.dailywire.com,Daily Wire,05-02-2019,2019,5,https://www.dailywire.com/news/46677/knowles-sorry-aoc-bernie-nordic-countries-are-not-daily-wire,"KNOWLES: Sorry, AOC, Bernie, Nordic Countries Are Not Socialist Yana Paskova/Bloomberg via Getty Images May 2, 2019 views
On Thursday’s episode of “The Michael Knowles Show,” the host debunks the talking points claiming that Nordic countries are socialist and that the United States should model their countries after their example. Transcript and video below.
Bernie, AOC, they want to tell you that the socialism that they're pushing is like the Nordic countries. It's not like Venezuela. Not a lie. The Nordic countries have relatively free economies, and they have no minimum wage. None of those countries have a minimum wage.
Sweden has a universal school choice, a far more free-market approach to education than even the United States has. Iceland has a freer economy than the United States, according to the Heritage Foundation index for economic freedom.
If AOC wants to be more like Iceland, then she ought to support freeing up the economy, not increased socialism. The former Danish Prime Minister Lars Rasmussen puts the point very clearly. He says, ""Denmark is far from a socialist planned economy. Denmark is a market economy.""
But what AOC and Bernie Sanders are pushing is a socialist planned economy. And it's so disingenuous if you hear Bernie Sanders or AOC talk about this. Bernie Sanders didn't have his honeymoon in Denmark, and he didn't go on his honeymoon to Iceland. He went on his honeymoon in 1988, the day after he got married, to the Soviet Union. In fact, I'm sorry to say we have video of this Bernie Sanders shirtless drinking vodka singing commie songs with the Russkies in the Soviet Union in 1988.
Bernie Sanders was so enthralled with the Soviet Union, with Soviet communism, the most repressive regime on Earth, and one of the most repressive regimes in the history of the world, that he took his honeymoon there. He didn't want to go to Scandinavia, he wanted to go there, worse even than Venezuela. And to remind you that he's not pushing policies that would bring us to Iceland, and he's pushing the policies of Latin America — just three years earlier in 1985, Bernie Sanders was defending socialist breadlines in Latin America.
Bernie Sanders: ""It's funny sometimes American journalists talk about how bad a country is because people are lining up for food. That's a good thing. In other countries, people don't line up for food. The rich get the food and the poor starve to death.""
Bernie says, ""bread lines are a good thing, in a lot of countries the rich get food and the poor starve to death."" Right, in socialist countries that's what happens. That's what's happening in Venezuela right now. And if they don't starve to death, they get run over by tanks. That doesn't happen in the United States. Nobody starves to death in the United States. The biggest problem afflicting the poor in the United States is obesity. The problem among the poor in the United States is that they're eating too much — that's not what happens in socialist countries. They starve to death while the rich and the well-connected and the cronies all benefit. "
Poynter Removes Unreliable List Of ‘Unreliable News Websites’ | Daily Wire,www.dailywire.com,Ashe Schow,05-03-2019,2019,5,https://www.dailywire.com/news/46736/poynter-removes-unreliable-list-unreliable-news-ashe-schow,"Poynter Removes Unreliable List Of ‘Unreliable News Websites’ Nipitphon Na Chiangmai / EyeEm / Getty Images
Ouch, that’s embarrassing.
On Tuesday, the Poynter Institute published a list of allegedly “unreliable” news websites. The list included nearly every conservative media outlet and virtually no liberal media outlets. Within a day of publication, Poynter had to issue a correction and removed two websites from the list. Following more complaints, the organization has now removed the list entirely.
In a “ letter from the editor ” published Thursday, Poynter’s managing editor Barbara Allen apologized for the list, acknowledging that it was itself unreliable.
Allen first explained how the list was created, which consisted of other lists created by biased “journalists” and “fact-checkers,” such as Snopes and Politifact. The intention of the list was to help others – such as advertisers – boycott allegedly “unreliable” news websites by allowing them “to gauge the legitimacy of the information they were consuming.”
As Allen notes, it was not just websites on the list that complained, but also “readers who objected to the inclusion of certain sites, and the exclusion of others.” Poynter then decided to “audit” the list (as opposed to doing this before publication) and “found weaknesses in the methodology.” The organization “detected inconsistencies” between the original lists and their “own rendering” of the final version.
“Therefore, we are removing this unreliable sites list until we are able to provide our audience a more consistent and rigorous set of criteria. The list was intended to be a starting place for readers and journalists to learn more about the veracity of websites that purported to offer news; it was not intended to be definitive or all encompassing,” Allen wrote. “We regret that we failed to ensure that the data was rigorous before publication, and apologize for the confusion and agitation caused by its publication. We pledge to continue to hold ourselves to the highest standards.”
Poynter had already published a correction to the list shortly after it was put online, removing my former employer The Washington Examiner and Indian outlet FirstPost from the list.
“This index previously listed The Washington Examiner and FirstPost as unreliable news sources. After reviewing our methodology, we found that neither met the criteria for inclusion, so both were removed,” the correction read.
Read Allen’s full statement below:
Dear readers:
On Tuesday, April 30, Poynter posted a list of 515 “unreliable” news websites, built from pre-existing databases compiled by journalists, fact-checkers and researchers around the country. Our aim was to provide a useful tool for readers to gauge the legitimacy of the information they were consuming.
Soon after we published, we received complaints from those on the list and readers who objected to the inclusion of certain sites, and the exclusion of others. We began an audit to test the accuracy and veracity of the list, and while we feel that many of the sites did have a track record of publishing unreliable information, our review found weaknesses in the methodology. We detected inconsistencies between the findings of the original databases that were the sources for the list and our own rendering of the final report.
Therefore, we are removing this unreliable sites list until we are able to provide our audience a more consistent and rigorous set of criteria. The list was intended to be a starting place for readers and journalists to learn more about the veracity of websites that purported to offer news; it was not intended to be definitive or all encompassing. We regret that we failed to ensure that the data was rigorous before publication, and apologize for the confusion and agitation caused by its publication. We pledge to continue to hold ourselves to the highest standards.
— Barbara Allen, managing editor, Poynter.org"
Woman Who Married Herself: It Was The Best Day Of My Life | Daily Wire,www.dailywire.com,Hank Berrien,05-03-2019,2019,5,https://www.dailywire.com/news/46742/woman-who-married-herself-it-was-best-day-my-life-hank-berrien,"May 3, 2019 views
Writing in The Telegraph, a 42-year-old British woman chortled that the best day of her life came last June — the day she married herself .
Melissa Denton, a two-time divorcee with two children, writes, “The idea to marry myself came to me in January last year, when I was at work one day. Three weeks before, on Christmas Eve, I had received a text message from my boyfriend of five and a half years: ‘I can’t do this any more, it’s over,’ it said … It was devastating and left me in a funk, unable to eat, sleep or smile.”
Seizing upon the idea of marrying herself, Denton recalls a TV interview with Sophie Tanner, who had married herself in May 2015. Denton writes, “I was so down, and knew that I needed to learn to love myself before I would be able to attract the right people into my life. For years, I had poured myself into relationship after relationship, losing myself in the process. It was time to put ‘me’ first - a way to affirm that I can be happy on my own and to move on from the relationship.”
Denton bought a ring and set the wedding date. She admits her colleagues thought she was crazy, but she had previously shaved her head to raise money for a cancer charity and later dyed her hair pink and wore a nose ring.
Denton writes that her children, Ruby, 15, and Jasper, 11, were initially skeptical but came around, as did her family, but her brother did not bring his son to the wedding because he thought it would confuse him. She writes, “I’m hoping his opinion has now changed.”
Denton’s mother was initially against the idea, but Denton notes, “She soon came around. At the end of the day, she told me she was really proud.”
The wedding featured “a DJ, live band, karaoke and a huge vegan feast.”
Denton writes, “For the first time in my adult life, I was single and happy - the experience was empowering. Rather than wasting my time, energy and love on someone else, I was putting myself first.""
Denton explains, “My potted and relentless history with men started at 16, when my father died in a car accident.” She segues to her two failed marriages, then adds, “Relationships only got more difficult from there, as I bounced from one man to the next with little time in between to heal or become independent. I often transferred emotions from my last relationship into the next, all the way until that awful Christmas Eve text. “
She describes the wedding: “The atmosphere at the wedding was amazing, and everyone was celebrating, including a couple of ex-boyfriends and some former in-laws. It was just like any other wedding - just without a groom. I walked down the aisle, in a pink dress, with a big smile - towards no-one. A friend gave me away and another officiated. I repeated the vows and put the ring on myself, and we passed a paper plate around the 130-person congregation for everyone to sign in lieu of a register, as it’s not a legal procedure. It was the best day of my life.”
Denton concludes that now that she is fulfilled, she is “ready for a new challenge – and to start cheating on myself – so I applied to go on First Dates. I didn’t consider that for some people it might be a bit too mad. Instead, I planned to joke that I was married, but a bit bored.”
She’s committed to the idea of marrying herself, though: “Some people don’t understand it – but to me, it made absolute sense and that’s why I’m going to renew my vows at a similar ceremony every year, even if I am in a relationship. I have even bought four wedding dresses that can be used in the future. It is a way to centre and value myself, as well as remember that I can receive love that is equal, not one-sided. “
And there’s this: “Being Mrs Denton has taught me to be happy in my own company and skin, to not put pressure on myself to look or act in a certain way. Confidence is the most attractive thing a person can have and the marriage has given me that. My marriage to myself might not have come with a wedding night or honeymoon, but the plans for the future are far more exciting.” Recommended For You"
CA Senate Votes To Keep Trump Off Primary Ballot Unless He Releases Tax Returns | Daily Wire,www.dailywire.com,Hank Berrien,05-03-2019,2019,5,https://www.dailywire.com/news/46750/ca-senate-votes-keep-trump-primary-ballot-unless-hank-berrien,"CA Senate Votes To Keep Trump Off Primary Ballot Unless He Releases Tax Returns Photo by Tim Boyle/Getty Images May 3, 2019 views
On Thursday, the California state Senate took a shot at President Trump, passing a bill that would require presidential candidates to release five years' worth of income tax returns or not appear on the primary ballot.
As AP reported , a similar bill was passed in 2017, but Gov. Jerry Brown, who himself would not release his tax returns while in office, vetoed the bill, claiming it was unconstitutional. Brown stated , ""Today we require tax returns, but what would be next? Five years of health records? A certified birth certificate? High school report cards? And will these requirements vary depending on which political party is in power?""
But new California Governor Gavin Newsom may well sign the bill, which is coauthored by state Sen. Mike McGuire and state Sen. Scott Wiener, who authored the 2017 bill.
In 2017, McGuire stated, ""For decades, every president has put their personal beliefs aside and put our country first and released their returns. The American people shouldn’t be in the dark about their president’s financial entanglements."" Wiener added, ""This bill is about giving the American people the honesty and transparency they deserve from anyone who wishes to serve as their president.”
This week, McGuire stated, “We believe that President Trump, if he truly doesn’t have anything to hide, should step up and release his tax returns.” He said recently , “President Trump’s refusal to release his income tax returns has broken a time-honored, bipartisan tradition which has weakened our democracy and his jaw dropping business conflicts have now put the security of our nation at risk.”
Last December , McGuire ranted, “Voters not only deserve full disclosure of their leader’s tax returns, they should be entitled to them. If President Trump had released his tax returns we would know why he’s ignoring intelligence agencies and snuggling up to the Crown Prince of Saudi Arabia, who has been linked to the brutal killing of Jamal Khashoggi. Transparency is a nonpartisan issue and it’s time to put the speculation to bed and bring to light any conflicts of interest that could drive an American president into the arms of a foreign power. It’s time to make President Trump’s tax returns public.”
Newsom spokesman Brian Ferguson said the bill “would be evaluated on its own merits.”
McGuire noted that Newsom has released his tax returns, adding, “I never want to put words into his mouth, but here’s what I’ll say: Gov. Newsom has led by example.” He said, “We can all debate on the floor about the constitutionality of this bill. But we also have to look at what makes our democracy strong. The foundation of any successful government is transparency.”
AP wrote, “Candidates would have to submit tax returns to the secretary of state’s office, which would work with the candidates to redact some information before posting the returns online.”
Similar bills have been proposed in New Jersey and Washington state.
According to a Morning Consult poll in April, a bare majority of respondents, 51%, want to see Trump’s tax returns released."
WALSH: Why Facebook's War On ‘Hate’ Is Just A Thin Excuse To Censor Conservatives | Daily Wire,www.dailywire.com,Matt Walsh,05-03-2019,2019,5,https://www.dailywire.com/news/46743/walsh-why-facebooks-war-hate-just-thin-excuse-matt-walsh,"May 3, 2019 views
Without giving a warning or any specific reason, Facebook purged a number of "" far-right extremists "" from its platform this week. Paul Joseph Watson, Milo Yiannopolous, Alex Jones, and Laura Loomer were all summarily banished. Louis Farrakhan was also given the boot — though he is not, despite media claims, in any way ""far-right.""
This ban reaches farther than anything we've yet seen. Facebook and Instagram will neither allow links to their content nor mentions of any events they attend. According to the The Atlantic , the only Infowars content permitted on either platform is that which expressly condemns Infowars:
Infowars is subject to the strictest ban. Facebook and Instagram will remove any content containing Infowars videos, radio segments, or articles (unless the post is explicitly condemning the content), and Facebook will also remove any groups set up to share Infowars content and events promoting any of the banned extremist figures, according to a company spokesperson. (Twitter, YouTube, and Apple have also banned Jones and Infowars.)
The social media conglomerate offered only vague justifications for this move. It claimed that the targeted people are guilty of ""hate"" and ""violence,"" and are therefore ""dangerous."" As for evidence of this dangerous hate and violence, it gave only a few rather bizarre examples. From the BBC :
It said Alex Jones had hosted on his programme Gavin McInnes, leader of the Proud Boys, whose members are known for racist, anti-Muslim and misogynistic rhetoric. Mr McInnes has been designated a ""hate figure"" by Facebook.
Facebook said this year Milo Yiannopoulos had publicly praised both Mr McInnes and English Defence League founder Tommy Robinson, both banned from the network.
Laura Loomer also appeared with Mr McInnes, and Facebook said she also praised another banned figure, Faith Goldy, a Canadian.
Nation of Islam leader Louis Farrakhan was banned for making several anti-Semitic remarks earlier this year.
Apparently it is a violation of Facebook’s policies to speak positively anywhere in public about people Facebook doesn’t like. Yiannopolous has been banned not for promoting Gavin McInnes on Facebook, but for expressing positive opinions about him in public . Can I then be banned for writing this article questioning the decision to ban these newly dubbed ""hate figures?"" I suppose I'll find out soon enough.
Indeed, it is impossible to know ahead of time whether you are operating according to the rules or in defiance of them, because the rules are intentionally obscure. What counts as ""hate"""" What is ""extreme?"" Which ideas are ""dangerous?"" Well, we can only try and narrow it down by the process of elimination.
Hamas and Hezbollah must not be considered ""hateful"" because they still have Facebook pages . This burlesque performer posted a picture of herself half-naked with a young girl stuffing dollar bills into her underwear while the girl's parents watched and cheered. She still has a page, so I guess the exploitation and abuse of children is not ""dangerous,"" according to Facebook. Speaking of which, this 11-year-old drag queen has a page, though dressing a child in drag seems both dangerous and ""extreme"" by any objective standard. PETA is extreme. The Animal Liberation Front is extreme. The National Abortions Rights Action League is extreme. Michael Moore is extreme. Sarah Silverman is extreme. Al Sharpton is extreme. Bill Maher is extreme. Everybody at the Daily Kos and Think Progress is extreme. All of these people and organizations, and the hundreds similar to them, are not only extreme but often quite hateful, yet their Facebook presence has not been interrupted by either bans or suspensions.
It seems that Facebook is operating with the same definition of ""extremism"" and ""hatred"" as the above-cited left-wing extremists themselves. If they were really interested in enforcing some objective and fair set of rules, they wouldn't have waited to issue all of these bans at the same time, as part of one big P.R. spectacle. If Alex Jones were going to be banned for spreading the insane and evil Sandy Hook conspiracy theory, Facebook would have made that move five years ago. If Yiannopolous or Watson or Loomer really did something that violates the terms of service (and, in Watson's case especially, I have no clue what that could possibly be), then they would have been kicked off the platform in response to that specific violation. Instead, Facebook handled it this way because the real ""violation"" is political. Whether these individuals can rightly be described as ""extremist"" or not, their only sin, in Facebook's eyes, is that their alleged extremism falls on the right end of the political spectrum. The extremists and hateful bigots on the Left — of which there are many — have been granted full immunity.
Two questions now arise: (1) Is Facebook correct to censor people based on politics?; and (2) Does Facebook have the moral right to censor people based on politics?
The answer to the first question is obviously no. A social media giant with over a billion users suppressing speech is far more dangerous than a right-winger expressing his views in a blog post or a YouTube video. Facebook's underhanded, dishonest, and absurdly biased actions should be condemned by anyone who cares about the free and open expression of ideas (an increasingly small group, perhaps).
The answer to the second question is more complicated. One thing I can say for sure is that Facebook does not have the right to smear and libel anyone. If they are going to publicly label someone like Paul Joseph Watson ""dangerous,"" ""hateful,"" and ""violent,"" they must provide evidence for that description. Otherwise they are baselessly defaming him, and that defamation, coming as it does from one of the most powerful companies in the world, will certainly have a negative impact on his life and professional career.
Leaving aside the libelous aspect of the matter, the question of whether or not Facebook has the moral or legal right to censor as it sees fit really comes down to category. What is Facebook? Is it a public utility, like a phone company? Is it just a ""platform?"" If so, what is a platform and how exactly can it be distinguished from a utility? Could a phone company claim that it is just a platform for phone calls? And if a platform makes editorial decisions about the content it publishes — such as allowing only negative references to Infowars — then hasn't it actually become more of a publisher than a platform? And if it's a publisher, then isn't it responsible for everything posted to the site — such as that picture of the young girl and the burlesque dancer?
I don't know the answers to all of these questions. But I do know that Facebook can't weave around the cones forever, never defining itself or explaining what it is and how it operates. Facebook has to be one thing or the other or the other. It can't be all three. And whatever it decides to be, ultimately, it must accept the responsibilties that come with that."
"Man Who Voiced ‘Winnie The Pooh’ Accused Of Rape, Abuse By Ex-Wife | Daily Wire",www.dailywire.com,Amanda Prestigiacomo,05-03-2019,2019,5,https://www.dailywire.com/news/46757/man-who-voiced-winnie-pooh-accused-rape-abuse-ex-amanda-prestigiacomo,"Man Who Voiced ‘Winnie The Pooh’ Accused Of Rape, Abuse By Ex-Wife Photo by Mike Marsland/Mike Marsland/WireImage May 3, 2019 views
Jim Cummings, the man who voiced the iconic character of “Winnie the Pooh,” has been accused of rape by his ex-wife.
According to documents obtained by The Blast, the voice actor’s ex-wife Stephanie Cummings says Jim has engaged “in physical, sexual, and emotional abuse including but not limited to death threats, rape, and various sexual deviant behavior forced upon me without my consent” since the couple’s divorce in 2011.
Stephanie claims she has two separate domestic violence restraining orders against the actor after violent incidents, including one in August of 2011, “when she says Jim came over to her home and slapped her on the buttocks and forced himself on her in front of their 4-year-old daughter,” The Blast reports.
“He later came up behind me,” the ex-wife claims, “grabbed my arm, spun me around, and forcefully put his hand on the back of my neck and kissed me while holding me in place against the wall.”
The 66-year-old actor then allegedly asked Stephanie if she could “see him leaking, because that’s what I make him do when he touches me.” She said the experience left her “humiliated and degraded.”
Jim recalled the incident differently, saying in court documents that hef was “joking and laughing” with his ex-wife. “I touched her slightly on the butt,” he recalled. “[T]the whole incident was happy” and consensual, he said, noting that Stephanie “is much taller than I am, and a large woman, made no objection to anything.”
Jim denied the alleged incident further in an email to Stephanie: “Shame on you, you’re [sic] distortions are obscene. ‘forcing?’ Please, everyone, Gracie myself and especially YOU were all giggling and laughing, it was pleasant to have one moment of light-heartedness,” he wrote. “We both erupted into laughter ... I’m hardly the first person in the world to point out one ‘catches more flys [sic] with honey than vinegar’ for you to overlay a reference to being a whore is little too telling, Let’s get this over with for the love of God.”
A police report was filed after Jim allegedly raped her in 2013, the ex claims.
“Jim would frequently ‘without consent, would touch my buttocks, my groin, and my breasts. He would hold me in place attempting to kiss and fondle me. He would spank me in front of our daughters. He would then follow up by making sexual comments to me that I found repugnant,” Stephanie said, according to the report.
The former Disney star voice actor would allegedly say he could “touch Mommy’s breasts since he had paid for them” in front of their daughters.
In 2017, Stephanie moved to Utah with their two daughters. When Jim asked to stay at their home during a visit, she accepted. “However, during the middle of the night, she claims Jim was ‘standing over me with his erect penis in my hand. He was using my hand to stroke his penis while my youngest daughter was asleep on the other side of me. She was 10 years old at the time,’” the report said.
“I told him to stop and get out of the house. He refused. He then came back and did the same thing, insisting I masturbate him or he would wake Lulu up. I did as he asked given his threat to wake up my daughter and my worry that I could not control what he would do in front of her,” claimed Stephanie.
That was when the second restraining order was allegedly obtained by Stephanie, she said."
