title, publication, authors, date, year, month, url, content
"The ongoing, decades-old fight between Nadler and Trump",www.msnbc.com,msnbc.com,04-13-2019,2019,4,http://www.msnbc.com/david-gura/watch/the-ongoing-decades-old-fight-between-nadler-and-trump-1491011651835,"In the eighties, House Judiciary Chair Jerry Nadler fought with Donald Trump about real estate. Now, the fight is over his presidency. MSNBC’s David Gura and a panel of guests discuss. April 13, 2019"
No espionage charge for woman arrested at Mar-A-Lago,www.msnbc.com,msnbc.com,04-13-2019,2019,4,http://www.msnbc.com/david-gura/watch/no-espionage-charge-for-woman-arrested-at-mar-a-lago-1491010627700,"Mother Jones' David Corn tells MSNBC's David Gura about the mysterious triangle tying the newly indicted Mar-a-Lago trespasser and that scandalous Florida massage parlor to the Trump Inauguration. April 13, 2019"
Cory Booker on his run for president in 2020,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/am-joy/watch/cory-booker-on-his-run-for-president-in-2020-1491032643775,"Sen. Cory Booker officially kicks off his 2020 presidential campaign on Saturday with a rally in his hometown of Newark, NJ. Joy Reid interviews Booker in his Newark home on why he is running for president, and what distinguishes him from other prominent U.S. Senators seeking the Democratic nomination. April 13, 2019"
White House reportedly proposed releasing migrants in Pelosi’s district,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/am-joy/watch/white-house-reportedly-proposed-releasing-migrants-in-pelosi-s-district-1491068995800,"Donald Trump is seen by many experts as apparently increasing the use of governing tactics usually employed by autocrats. Joy Reid and her panel discuss. April 13, 2019"
Rep. Ted Lieu would be “very surprised” if IRS hands over Trump’s taxes by new deadline,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/weekends-with-alex-witt/watch/rep-ted-lieu-would-be-very-surprised-if-irs-hands-over-trump-s-taxes-by-new-deadline-1491060803957,"House Democrats have set a hard deadline of April 23 for the Trump administration to deliver the president’s tax returns after missing the April 10 deadline. Rep. Ted Lieu (D-CA) joins Alex Witt to discuss why he’s skeptical this new deadline will be met. Lieu also talks about Trump’s desire to release migrants in “sanctuary cities,” his 9/11 tweet targeting Rep. Ilhan Omar (D-MN), and more. April 13, 2019"
Trump targets Rep. Omar with video of Sept. 11 attacks,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/am-joy/watch/trump-targets-rep-omar-with-video-of-sept-11-attacks-1491056707618,"Some Democrats accuse conservative media and Donald Trump of inciting violence against freshman Democrat Rep. Ilhan Omar by distorting comments she made about September 11th and Muslim civil liberties. Joy Reid and her panel discuss. April 13, 2019"
#MemoToTrump: Affirmative Action,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/politicsnation/watch/-memototrump-affirmative-action-1491101251784,"Rev. Al Sharpton digs into the backwards policies of the Trump Administration’s Betsy Devos concerning college acceptance and Affirmative Action. April 13, 2019"
Daughters of the Movement,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/politicsnation/watch/daughters-of-the-movement-1491104323741,"Rev. Al Sharpton sits down with Dominique Sharpton-Bright, Gina Belafonte and Hasna Muhammad to discuss how their parents who were heavily active in civil rights, affected and shaped their lives in this segment. April 13, 2019"
Hartford Mayor: Trump is creating “chaos” over immigration,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/david-gura/watch/hartford-mayor-trump-is-creating-chaos-over-immigration-1491662403664,"Mayor Luke Bronin of the so-called sanctuary city of Hartford, Connecticut tells MSNBC’s David Gura that President Trump's immigration policies are causing ""chaos""...and that's what Trump wants. April 14, 2019"
Trump’s revisionist history on Mt. Vernon,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/david-gura/watch/trump-s-revisionist-history-on-mt-vernon-1491658307817,"MSNBC’s David Gura takes a closer look at President Trump’s reported comments about George Washington during a visit to Mt. Vernon. April 14, 2019"
The intrigue surrounding Ivanka Trump,www.msnbc.com,msnbc.com,04-14-2019,2019,4,http://www.msnbc.com/david-gura/watch/the-intrigue-surrounding-ivanka-trump-1491659843671,"MSNBC’s David Gura and a panel of guests discuss the intrigue surrounding First Daughter Ivanka Trump…and why she and her husband seem to fall off the radar when crisis hits the administration. April 14, 2019"
Rep. Rashida Tlaib discusses Rep. Ilhan Omar and Trump,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/am-joy/watch/rep-rashida-tlaib-discusses-rep-ilhan-omar-and-trump-1492051523786,"Rep. Rashida Tlaib discusses Rep. Ilhan Omar, the Muslim community, hate crimes, and Donald Trump, telling Joy Reid, ‘I want people to see a bit of hope and light in the moment of darkness right now in our country that women like us got elected.’ April 14, 2019"
How ‘The View’ became a presidential campaign pit stop,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/weekends-with-alex-witt/watch/how-the-view-became-a-presidential-campaign-pit-stop-1491972163529,"More than 20 years since its debut, ABC’s “The View” has evolved from daytime talk show to breaking ground for presidential hopefuls. Ramin Setoodeh, author of “Ladies Who Punch,” a New York Times Best Seller, takes Alex Witt behind the scenes of the iconic – and controversial – show. April 14, 2019"
Tiger Woods wins fifth Masters tournament,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/david-gura/watch/tiger-woods-wins-fifth-masters-tournament-title-1491960387554,"Tiger Woods won his fifth Masters title, marking his first major victory since the 2008 United States Open. Woods, 43, shot 13 under par through the tournament. April 14, 2019"
Trump’s ban on transgender people takes effect,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/weekends-with-alex-witt/watch/trump-s-ban-on-transgender-people-takes-effect-1492033091578,"The Pentagon on Friday implemented a new policy that critics say is “don’t ask, don’t tell” for transgender military members, as no new service members will be able to enlist if they publicly identify as transgender or have been diagnosed with gender dysphoria. Two trans troops join Alex Witt to talk about the new rule. April 14, 2019"
Barr says he will release Mueller report this week,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/am-joy/watch/barr-says-he-will-release-mueller-report-this-week-1492098115769,"Attorney General William Barr says he will release some form of the Mueller report this week. Joy Reid and her panel discuss lingering questions about how much of the report the public will ever see. April 14, 2019"
Democratic response to criticism of Ilhan Omar by GOP scrutinized,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/am-joy/watch/democratic-response-to-criticism-of-ilhan-omar-by-gop-scrutinized-1492072515749,"Rep. Ilhan Omar has responded to some recent criticism in part with the comment, ‘no one person… can threaten my unwavering love for America.’ Joy Reid and her panel discuss the attacks the freshman congresswoman has endured as one of the first two Muslim women ever elected to Congress. April 14, 2019"
Rep. Mike Quigley expects DOJ to reveal “as little as they possible can” in redacted Mueller report,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/weekends-with-alex-witt/watch/rep-mike-quigley-expects-doj-to-reveal-as-little-as-they-possible-can-in-redacted-mueller-report-1492066371996,"The redacted Mueller report could be out as early as Tuesday, and White House Press Secretary Sarah Huckabee Sanders says she’s not concerned about what’s in the full report. Mike Quiqley (D-IL), member of the House Intelligence Committee, joins Alex Witt to discuss what he expects out of the report. Plus, his thoughts on Attorney General William Barr saying there was “spying” on the Trump campaign. April 14, 2019"
Game of Thrones final season compared to U.S. politics,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/am-joy/watch/game-of-thrones-final-season-compared-to-u-s-politics-1492155459594,"Game of Thrones begins airing its final season on Sunday. Joy Reid and her panel note the similarities between U.S. politics and aspects of the hit series. April 14, 2019"
Right-wing media coverage of Rep. Ilhan Omar critiqued,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/am-joy/watch/right-wing-media-coverage-of-rep-ilhan-omar-critiqued-1492124739708,"Right-wing media coverage of Rep. Ilhan Omar’s recent comments have been critiqued by experts as potentially endangering the life of the Muslim congresswoman. Joy Reid and her panel discuss. April 14, 2019"
Hate Crimes On The Rise,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/politicsnation/watch/hate-crimes-on-the-rise-1492197955625,"Rev. Al Sharpton and Rep. Mary Scanlon discuss the recent rise in hate crimes, and what they think the root cause is, and the power of social media in this entire issue. April 14, 2019"
Democrats seek presidential nominee who can beat Trump,www.msnbc.com,msnbc.com,04-15-2019,2019,4,http://www.msnbc.com/am-joy/watch/democrats-seek-presidential-nominee-who-can-beat-trump-1492173891779,"Who can beat Donald Trump in 2020--and can positive messaging be enough for the win? Elizabeth Warren, Pete Buttigieg, Cory Booker, Kamala Harris, Bernie Sanders and more are discussed by Joy Reid and her panel. April 14, 2019"
Rep. Mike Quigley expects DOJ to reveal “as little as they possible can” in redacted Mueller report,www.msnbc.com,"April 14, 2019",04-15-2019,2019,4,https://www.msnbc.com/weekends-with-alex-witt/watch/rep-mike-quigley-expects-doj-to-reveal-as-little-as-they-possible-can-in-redacted-mueller-report-1492066371996,PoliticsNation Hate Crimes in the Trump Era 
Joe: Mayor Pete not afraid to let Americans see who he is,www.msnbc.com,"April 15, 2019",04-15-2019,2019,4,https://www.msnbc.com/morning-joe/watch/joe-mayor-pete-not-afraid-to-let-americans-see-who-he-is-1493276227772,Morning Joe Dems fighting for a country that works for everyone: Perez 
First reaction to new details on Mueller report release,www.msnbc.com,"April 15, 2019",04-15-2019,2019,4,https://www.msnbc.com/andrea-mitchell-reports/watch/first-reaction-to-new-details-on-mueller-report-release-1493858883571,Morning Joe Dems fighting for a country that works for everyone: Perez 
"Cathedral in Paris on fire, crowd 'petrified'",www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/msnbc/watch/notre-dame-cathedral-in-paris-on-fire-crowd-petrified-1494242883911,"Geraldine Amiel, Bloomberg Paris bureau chief, describes the sad scene in Paris as the Notre Dame Cathedral continues to burn. 400 firefighters are working to douse the flames, as a petrified crowd stands by. The French government reported they ‘may not’ be able to save the historic church. April 15, 2019"
'The heart of Paris': Firefighters may not be able to save Cathedral,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/msnbc/watch/the-french-government-has-said-that-they-may-not-be-able-to-save-the-historic-notre-dame-cathedral-in-paris-1494241859819,"The French government has said that they ‘may not’ be able to save the historic Notre Dame Cathedral in Paris. April 15, 2019"
Stunning moment: Art historian’s reaction to fate,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/ali-velshi/watch/stunning-moment-art-historian-s-reaction-to-notre-dame-fate-1494242371605,"Watch as Elizabeth Lev, an art historian at Duquesne University in Rome, learns that firefighters may not be able to save the burning Notre Dame Cathedral in Paris. April 15, 2019"
Cardinal Dolan: Fire at Notre Dame 'affects the soul... it affects the heart',www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/msnbc/watch/cardinal-dolan-fire-at-notre-dame-affects-the-soul-it-affects-the-heart-1494260803921,"Cardinal Dolan: ""For the French, my god, for the world, Notre Dame Cathedral represents what's most noble, what's most uplifting, what's most inspirational about the human project. And to see that reduced to ashes?"" April 15, 2019"
Seattle Mayor on asylum seekers: We will help people who come to our city,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/hardball/watch/seattle-mayor-on-asylum-seekers-we-will-help-people-who-come-to-our-city-1494345795651,"President Trump is escalating his rhetoric on immigration. The New York Times notes that he’s reviving the idea of busing immigrants detainees into sanctuary cities as ""in part... to distract from the Mueller report."" Seattle Mayor Jenny Durkan says Trump floating these idea isn’t a threat to her city. April 15, 2019"
NYT: White House concerned about potential revelations in Mueller report,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/hardball/watch/nyt-white-house-concerned-about-potential-revelations-in-mueller-report-1494341187855,"According to The New York Times, White House aides are most focused on the outstanding questions about obstruction, including: ""Why the special counsel was not able to conclude whether Mr. Trump obstructed justice."" April 15, 2019"
President Macron: We will rebuild Notre Dame together,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/hardball/watch/president-macron-we-will-rebuild-notre-dame-together-1494332995873,"French President Emmanuel Macron announced that he will launch an fundraising campaign for the Notre Dame cathedral. April 15, 2019"
"Macron: ‘It is our common history, and it is burning.’",www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/mtp-daily/watch/macron-it-is-our-common-history-and-it-is-burning-1494283331684,"French President Emmanuel Macron speaks outside of Notre Dame after officials declared that the cathedral structure would be saved. April 15, 2019"
Watch Nancy Pelosi Confront AOC: Your caucus is “like 5 people”,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/the-beat-with-ari/watch/watch-nancy-pelosi-confront-aoc-your-caucus-is-like-5-people-1494358595691,"MSNBC anchor Ari Melber breaks down Speaker Pelosi’s evolving approach to rising star congresswoman AOC, including a newsworthy interview on CBS’s “60 Minutes.” Pelosi draws a line against the growing support for socialism within her party, and Melber puts the remarks in the wider context of Pelosi’s long-time record as a progressive Democrat, and other comments she’s made saying AOC is “wonderful.” April 16, 2019"
Obama lawyer Neal Katyal: I’m skeptical of Barr’s approach to Mueller report,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/the-beat-with-ari/watch/obama-lawyer-neal-katyal-i-m-skeptical-of-barr-s-approach-to-mueller-report-1494353475617,"Neal Katyal gives his take on what it means that Barr could release the redacted Mueller report on the eve of Passover and Good Friday, saying he's skeptical of Barr's approach and that there are ""reasons to doubt Barr's up and upness."" In this latest installment of ""Opening Arguments,"" Katyal details what it's like to argue a case in front of the Supreme Court, as he prepares to argue his 39th SCOTUS case this week. April 15, 2019"
Mueller Week: Washington braces for release of redacted report,www.msnbc.com,,04-15-2019,2019,4,https://www.msnbc.com/kasie-dc/watch/mueller-week-washington-braces-for-release-of-redacted-report-1492500547568,"Mueller Week: Washington braces for release of redacted report 11:46 copied! Special Counsel Robert Mueller’s redacted report is expected to be released this week, as House Democrats ratchet up their efforts to get a hold of more financial documents related to the president. April 15, 2019 Read More"
Bill Weld: The case for my run is there to be made,www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/morning-joe/watch/bill-weld-the-case-for-my-run-is-there-to-be-made-1494959683997,"Former Gov. William Weld, R-Mass., announced his bid for the presidency on Monday, becoming the first Republican to challenge the president in the 2020 race. Weld joins Morning Joe to discuss his campaign. April 16, 2019"
"Arson, terrorism ruled out in Notre Dame fire",www.msnbc.com,msnbc.com,04-16-2019,2019,4,http://www.msnbc.com/morning-joe/watch/arson-terrorism-ruled-out-in-notre-dame-fire-1494928451704,"NBC News' Richard Engel reports from Paris on the latest details in the devastating fire at Notre Dame, which caused the historic building's roof to collapse, destroyed a spire and spread to one of its two rectangular towers. Engel reports that arson and terrorism have been ruled out. April 16, 2019"
