title, publication, authors, date, year, month, url, content
Ongoing court cases put crimp in Barr's Mueller redaction plans,www.msnbc.com,msnbc.com,04-18-2019,2019,4,http://www.msnbc.com/rachel-maddow/watch/ongoing-court-cases-put-crimp-in-barr-s-mueller-redaction-plans-1497557059600,"Rachel Maddow reports on how the Roger Stone trial and a FOIA case about Robert Mueller's report are considering exceptions to William Barr's redactions. April 18, 2019"
Buttigieg: AG Barr handling of release is 'disturbing',www.msnbc.com,msnbc.com,04-18-2019,2019,4,http://www.msnbc.com/morning-joe/watch/buttigieg-ag-barr-handling-of-release-is-disturbing-1498266691503,"2020 Democratic presidential candidate Pete Buttigieg discusses his coming out story and how he came to the decision to run for president. Buttigieg discusses his position on health care, and he weighs in on the release of the Mueller report. April 18, 2019"
Joe: Is AG willing to sully his reputation even more?,www.msnbc.com,msnbc.com,04-18-2019,2019,4,http://www.msnbc.com/morning-joe/watch/joe-is-the-ag-willing-to-sully-his-reputation-even-more-1498396227690,"The Morning Joe panel weighs in on AG Barr's press conference prior to the release of the Mueller report, the president's active tweeting ahead of the conference and the release and why the country should take a breath. April 18, 2019"
Ivanka Trump says she passed on opportunity to lead World Bank | MSNBC,www.msnbc.com,Steve Benen,04-18-2019,2019,4,http://www.msnbc.com/rachel-maddow-show/ivanka-trump-says-she-passed-opportunity-lead-the-world-bank,"By Steve Benen Donald Trump recently conceded that he considered one of his adult daughters, White House aide Ivanka Trump, to lead the World Bank. In fact, the president told The Atlantic that he also saw her as a possible ambassador to the United Nations, but also thought she’d be a good fit at the World Bank because, as he put it, “she’s very good with numbers.”
It now appears the president did more than just contemplate this possibility.
White House senior adviser Ivanka Trump says her father asked her if she was interested in taking the job of World Bank chief but she passed on it.
In an Associated Press interview, President Donald Trump’s daughter said Wednesday she was happy with her current role in the administration. She spoke during a trip to Africa to promote a global women’s initiative.
Ivanka Trump says her father raised the job with her as “a question” and she told him she was “happy with the work” she’s doing…. Asked if her father had approached her about other top jobs, Ivanka Trump said she’d “keep that between” them.
There’s still some question as to the exact nature of the discussion. There’s a qualitative difference between a president asking, “Is this a position you might be interested in?” and a president saying, “I’m offering you this job.”
But in either case, we’re looking at a very strange dynamic.
As we discussed last week, it was shortly after the 2016 elections when Ivanka Trump said she would not take on a role in her father’s administration.
As regular readers know , it was a commitment she quickly abandoned. Ivanka Trump soon had a West Wing office , a staff , a policy portfolio , and a presence on the international stage .
We now also know, because her father admitted it on the record, that the president also had a conversation with her about possibly leading the World Bank – despite having none of the necessary qualifications or background – but she passed on the opportunity.
Imagine for a moment what Republicans would be saying if 80,000 votes in the Rust Belt went the other way and President Hillary Clinton were offering all of these opportunities to Chelsea Clinton.
Explore: The MaddowBlog and Donald Trump"
"Williams: Mueller report is 'slapshot over to Congress,' gives lawmakers power to charge",www.msnbc.com,msnbc.com,04-19-2019,2019,4,http://www.msnbc.com/msnbc/watch/williams-mueller-report-is-slapshot-over-to-congress-gives-lawmakers-power-to-charge-1498771011661,"The Mueller report states that ""judgements about the nature of the President's motives during each phase would be informed by the totality of the evidence,"" something Brian Williams says is a ""slapshot over to Congress,"" and gives lawmakers a clear directive to analyze whether the president abused his power and act accordingly. April 18, 2019"
Chris Matthews: Impeachment proceedings are a way to get to truth,www.msnbc.com,msnbc.com,04-19-2019,2019,4,http://www.msnbc.com/msnbc/watch/chris-matthews-impeachment-proceedings-are-a-way-to-get-to-truth-1498912835845,"Regarding impeachment, Chris says “If you're going after the truth, go all the way to the truth and the way to get the truth is an impeachment exercise. That's how you get the truth.” April 18, 2019"
John Brennan: The amount of information related to 'collusion' and 'obstruction' is extensive,www.msnbc.com,msnbc.com,04-19-2019,2019,4,http://www.msnbc.com/msnbc/watch/john-brennan-the-amount-of-information-related-to-collusion-and-obstruction-is-extensive-1498891843818,"Former CIA Director John Brennan shares his reaction to the release of the redacted Mueller report, including the very “egregious” conduct of President Trump. Brennan also says he was “shocked” by AG Barr’s performance at the press conference this morning. April 18, 2019"
Mueller report details Trump's efforts to undermine Russia scandal probe | MSNBC,www.msnbc.com,Steve Benen,04-18-2019,2019,4,http://www.msnbc.com/rachel-maddow-show/mueller-report-details-trumps-efforts-undermine-russia-scandal-probe,"By Steve Benen As you’ve probably heard, the Justice Department released a redacted version of report late this morning, and while it’s impossible to summarize a 448-page document in two sentences, this Associated Press report struck me as quite compelling.
Public at last, special counsel Robert Mueller’s report revealed to a waiting nation Thursday that President Donald Trump tried to seize control of the Russia probe and force Mueller’s removal to stop him from investigating potential obstruction of justice by the president.
Mueller laid out multiple episodes in which Trump directed people around him to try to influence or curtail the Russia investigation after the special counsel’s appointment in May 2017.
Broadly speaking, we’re dealing that explored three central questions: did Russia attack American elections, did our adversaries have partners in Donald Trump’s political operation, and did Trump obstruct the investigation into what transpired.
The first question appears to have been answered in definitive fashion. Literally, the second sentence of the Mueller report says, “The Russian government interfered in the 2016 presidential election in sweeping and systematic fashion.” It’s a detail the Republican president has never acknowledged, at least not publicly, and it’s an assessment that skeptics of the Russia scandal have long resisted, but by fair measure, the debate over this has run its course.
On a related note, the Mueller report went on to note that the investigation “established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome.” That, too, is a fairly obvious detail that both the president and other skeptics of the scandal have long resisted.
On the second question, related to possible cooperation between the Russian attackers and the campaign they were determined to help, the Mueller report also noted Trump’s political operation “expected it would benefit electorally from information stolen and released through Russian efforts.”
What’s more, the Republican campaign “showed interest in WikiLeaks’ releases of documents and welcomed their potential to damage” Hillary Clinton.
And while there’s no shortage of redactions in relevant parts of the Mueller report, it leaves little doubt that there were extensive connections between Russians and Trump insiders, including former campaign chairman Paul Manafort’s briefings with Konstantin Kilimnik, whom “the FBI assesses to have ties to Russian intelligence.”
The report added that while the connections between Moscow and Trump’s campaign didn’t rise to the level of criminal misconduct, the investigation did identify “numerous links between individuals with ties to the Russian government and individuals associated with the Trump campaign.”
But perhaps the most striking aspect of the report, at least for me, are the elements referred to in the aforementioned Associated Press excerpt. For all of Attorney General Bill Barr’s talk this morning about White House “cooperation’ with the investigation, there can be little doubt that Trump personally and directly took repeated ongoing – and not just by refusing to sit down for an interview.
It’s obviously a tough thing to summarize in a blog post – I’m going to hope you’ll watch tonight’s show – but the case for obstruction is remarkably strong.
“[T]he investigation established that several individuals affiliated with the Trump Campaign lied to the Office, and to Congress, about their interactions with Russian-affiliated individuals and related matters,” the Mueller report noted. “Those lies materially impaired the investigation of Russian election interference.”
The president personally made “non-public efforts to control” the special counsel probe,” the report added, and engaged in efforts “in both investigation.”
It went to say, “[I]f we had confidence after a thorough investigation of the facts that the president clearly did not commit obstruction of justice, we would so state.” They made no such statement, Trump’s hysteria about “no obstruction” notwithstanding.
In fact, reading the document, it seemed at times that the president would face even more serious legal jeopardy if only members of his team did more to follow his instructions: “The president’s efforts to influence the investigation were mostly unsuccessful, but that is largely because the persons who surrounded the president declined to carry out orders or accede to his requests.”
Those requests included Trump’s efforts to, among other things, fire Mueller before the investigation’s end.
These two paragraphs are personal favorites, highlighting a conversation between the president and then-White House Counsel Don McGahn.
The President also asked McGahn in the meeting why he had told Special Counsel’s Office investigators that the President had told him to have the Special Counsel removed. McGahn responded that he had to and that his conversations with the President were not protected by attorney-client privilege. The President then asked, “What-about these notes? Why do you take notes? Lawyers don ‘t take note s. I never had a lawyer who took notes .”
McGahn responded that he keeps notes because he is a “real lawyer ” and explained that notes create a record and are not a bad thing. The President said, “I’ve had a lot of great lawyers, like Roy Cohn. He did not take notes.”
On more than one occasion, the Mueller report added that the investigators’ findings would’ve been more complete, were it not for all of the lying and deletions of relevant messages.
It’s probably safe to say I could get a couple hundred blog posts out of the Mueller report, but for now, I’ll just say this: if Donald Trump thinks this document is good news, he’s fooled himself into believing complete nonsense.
 , Russia and Scandals"
"Biggest headline of the Mueller Report? Not 'no collusion, no obstruction'",www.msnbc.com,msnbc.com,04-19-2019,2019,4,http://www.msnbc.com/mtp-daily/watch/biggest-headline-of-the-mueller-report-not-no-collusion-no-obstruction-1499176003851,"Andrea Mitchell, John Brennan, Ben Wittes, Julia Ainsley, Mimi Rocah and Betsy Woodruff join the MTP Daily to discuss the conclusions of the Mueller Report. April 18, 2019"
Full Dean: On impeachment 'We're just not there yet.',www.msnbc.com,msnbc.com,04-19-2019,2019,4,http://www.msnbc.com/mtp-daily/watch/full-dean-on-impeachment-we-re-just-not-there-yet-1499178051866,"In an interview with MTP Daily, Rep. Madeleine Dean (D-Pa.) talks to Chuck Todd about her impressions of the Mueller Report and her role on the House Judiciary Committee. April 18, 2019"
