title, publication, authors, date, year, month, url, content
"The ACLU Defends Gun Owners' Constitutional Rights, Except for the Second Amendment Right to Own Guns - Hit & Run :",reason.com,AlbertP,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755852,"The ACLU. Still, useful for many things ""constitutional."" At least when it fits their own interpretation. Just another political entity, now."
"The ACLU Defends Gun Owners' Constitutional Rights, Except for the Second Amendment Right to Own Guns - Hit & Run :",reason.com,ace_m82,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755836,"""If the Second Amendment provides no basis for such distinctions, as it does not, then it is up to the legislature.""
Shall not be infringed. So any, at all. That's what the word means. The distinction is black and white."
"The ACLU Defends Gun Owners' Constitutional Rights, Except for the Second Amendment Right to Own Guns - Hit & Run :",reason.com,TrickyVic (old school),04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755862,"""""Obamacare penaltax.""""
I call it a noncompliance tax. It's a category of tax not authorized by the Constitution."
"The ACLU Defends Gun Owners' Constitutional Rights, Except for the Second Amendment Right to Own Guns - Hit & Run :",reason.com,TrickyVic (old school),04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755856,"""""The ACLU would likely support challenges to any such unreasonable restrictions.""""
I guess there has yet to be a restriction which they consider unreasonable.
"""" So would licensing and registration schemes that invaded privacy or enforcement methods that resulted in illegal searches""""
Has the ACLU supported any lawsuit against current licensing and registration schemes?"
"The ACLU Defends Gun Owners' Constitutional Rights, Except for the Second Amendment Right to Own Guns - Hit & Run :",reason.com,Quo Usque Tandem,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755872,"Yep; that is how it works.
All Amendments are equal, but some are more equal than others..."
"The ACLU Defends Gun Owners' Constitutional Rights, Except for the Second Amendment Right to Own Guns - Hit & Run :",reason.com,Fist of Etiquette,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755890,"If the Second Amendment provides no basis for such distinctions, as it does not, then it is up to the legislature.
If they're this way on an enumerated right, imagine how many abortion seekers they must be throwing under the legislative bus."
"The ACLU Defends Gun Owners' Constitutional Rights, Except for the Second Amendment Right to Own Guns - Hit & Run :",reason.com,AlbertP,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755809,"I wonder: When CA decides to put a 500% tax on firearms and/or ammunition, thereby making it all but impossible for anybody but the ""well-heeled"" to own, much less use, firearms, will the ACLU step in? And on which side?"
The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Champion - Hit & Run :,reason.com,loveconstitution1789,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-biggest-victims-from-progressives-pl#comment_7755812,+100
The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Champion - Hit & Run :,reason.com,TrickyVic (old school),04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-biggest-victims-from-progressives-pl#comment_7755799,"""""We say no to fossil fuels.""', he said while driving away in his SUV, followed by a police escort in other SUVs."
The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Champion - Hit & Run :,reason.com,Truthteller1,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-biggest-victims-from-progressives-pl#comment_7755888,"What we really need to ""get out of our lives"" is De Blasio and the mindless herd like him."
The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Champion - Hit & Run :,reason.com,ThomasD,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-biggest-victims-from-progressives-pl#comment_7755793,"""The workers they normally champion""
Are you really that naive?"
The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Champion - Hit & Run :,reason.com,Enjoy Every Sandwich,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-biggest-victims-from-progressives-pl#comment_7755792,"The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Pretend To Champion
Fixed the headline for you."
The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Champion - Hit & Run :,reason.com,Rockabilly,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-biggest-victims-from-progressives-pl#comment_7755884,Progressivism is the next stage toward communism.
The Biggest Victims of Progressives' Plastic Straw Laws Are the Workers They Normally Champion - Hit & Run :,reason.com,ThomasD,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-biggest-victims-from-progressives-pl#comment_7755795,"There are only so many variations on ""If only Stalin knew!"" before people realize it's bullshit."
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,IceTrey,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755605,That's the only type of person they hire. How do you become a cop? Fail the psych exam.
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,Hank Phillips,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755626,"Looter politicians elected by a majority of registered voters of both halves of The Kleptocracy told them to go forth, rob, kill, and lie about it."
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,AZ Gunowner,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755777,"yeah, I never read stories like this before Trump was elected.
/sarc off."
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,Hank Phillips,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755623,"Hey! Civil asset forfeiture worked just fine in 1929-33, again in 1987-92 and most recently in 2008-13. Only a handful of single-issue cranks casting libertarian spoiler votes oppose it. Those few are clearly influenced by fractional reserve voodoo economics rather than police union and DEA officials."
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,ace_m82,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755666,"Just take a pound of flesh off all the people involved in this heinous act. That'll stop it from ever happening again.
""If you prick us, do we not bleed? If you tickle us, do we not laugh? If you poison us, do we not die? And if you wrong us, shall we not revenge?"""
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,Eddy,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755734,"Almond just ""sounds"" like Allman."
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,TonyT,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755743,"If I ran the country, the wood-chippers would run 24 hours."
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,AZ Gunowner,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755772,ditto that.
"Alabama Cops Raided Their House, Seized Their Cash, and Ruined Their Lives Over $50 of Marijuana - Hit & Run :",reason.com,some guy,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/alabama-cops-raided-their-house-seized-t#comment_7755600,Hopefully the county taxpayers have to set them up for the rest of their lives. And hopefully the county taxpayers actually realize they're doing it and vote for changes in leadership. Hopefully...
