title, publication, authors, date, year, month, url, content
"Game of Thrones: Bran actor Isaac Hempstead Wright, Maisie Williams, more answer fake hotline questions on Jimmy Kimmel Live (VIDEO).",slate.com,Marissa Martinelli,05-01-2019,2019,5,https://slate.com/culture/2019/05/game-of-thrones-bran-stark-hotline.html,"That Movie About Charlize Theron Falling for a Schlubby Seth Rogen Is Actually Pretty Feminist Now that the eighth season of Game of Thrones is underway, Jimmy Kimmel Live ’s fake hotline for puzzled fans is more useful than ever. You may recall that thanks to “a small but diabolical clause in their HBO contract,” cast members on the show are manning the phones to answer questions. This time those questions range from what Kit Harington smells like to why Gandalf chose Bilbo Baggins to accompany Thorin. (Some of the callers may be a tad confused.) Isaac Hempstead Wright gets into character as Bran Stark to help one fan locate her keys—and tell her how she’s going to die. Kudos to the set designer who included little Easter eggs for each actor’s cubicle; Bran’s includes the prominently placed “Raven Bran” cereal but also a framed photo of Hodor . If only that attention to detail extended to the fake phone number, which plays a generic automated message. Get Slate Culture in Your Inbox We encountered an issue signing you up. Please try again. Email address: Send me updates about Slate special offers. By signing up, you agree to our Privacy Policy and Terms . Sign Up"
Zuckerberg-funded Summit Learning can’t save public education.,slate.com,Meredith Broussard,05-01-2019,2019,5,https://slate.com/technology/2019/05/zuckerberg-funded-summit-learning-cant-save-public-education.html,"Copy this link and add it in your podcast app. copy link For detailed instructions, see our Slate Plus podcasts page . In this episode, April Glaser is joined by co-host Meredith Broussard, a data journalism professor at New York University and author of Artificial Unintelligence: How Computers Misunderstand the World . First, they talk about the history of Silicon Valley’s decades-long quest to replace teachers with computers. Then, the hosts have a conversation with Nellie Bowles, tech reporter for the New York Times, about a Kansas town that’s struggling with the implementation of Summit Learning, a personalized web-based education program funded by Mark Zuckerberg and his wife, Dr. Priscilla Chan. Also joining the show is Tom Henning, a parent in Kansas who pulled his son out of his local public school after Summit Learning was adopted. Henning discusses how he and other parents organized to try to bring human-centered learning back to their schools, citing the physical and emotional problems their kids came home with after being stuck in front of a computer all day. Stories discussed on the show:"
Robert Mueller must testify to Congress next.,slate.com,Mark Joseph Stern,05-01-2019,2019,5,https://slate.com/news-and-politics/2019/05/mueller-must-testify-to-explain-william-barr-dispute.html,"Mueller Can’t Get Away With Silence Anymore Attorney General William Barr’s obfuscating, querulous, and disingenuous congressional testimony on Wednesday was the kind of performance we’ve come to expect from him. Barr criticized special counsel Robert Mueller for declining to issue a definitive conclusion on whether President Donald Trump committed obstruction. He waved away sections in Mueller’s report that clearly describe Trump’s obstructive acts . And he implied that Mueller’s letter to Barr , in which the special counsel questioned the attorney general’s summary of his report , meant something entirely different from what it actually says. As usual, Barr seemed to view his job on Wednesday as shaping a narrative that is maximally beneficial to both himself and the president. To do so, he once again threw Mueller under the bus. This strategy has been effective so far because of Mueller’s reticence to issue any public comment beyond his report. But if Barr’s testimony proved anything, it is that Congress must ask Mueller to testify—immediately. Early in his testimony, Barr declared that he was “surprised” when he learned that the special counsel was “not going to reach a decision on obstruction.” He claimed that he is “not really sure” why the special counsel did not reach a conclusion, and that Mueller “shouldn’t have investigated” potential obstructive acts if he felt he couldn’t render a prosecutorial decision. But contrary to Barr’s assertion, it is actually no mystery at all why Mueller did not declare if Trump committed obstruction. The special counsel laid out his reasoning in his final report . He explained that he accepted the Office of Legal Counsel’s “legal conclusion” that a sitting president cannot be indicted, which curtailed his ability to exercise traditional “prosecutorial discretion.” Moreover, he recognized that, “apart from” OLC’s view, a “federal criminal accusation” would both burden the president’s “capacity to govern” and “preempt constitutional processes for addressing presidential misconduct.” Put simply: Mueller thought it would be futile to accuse Trump of obstruction if he can’t be indicted, so the special counsel instead laid out the facts and left Congress to decide whether “constitutional processes”—that is, impeachment—are appropriate. Mueller could explain why he did not explicitly accuse Trump of unlawful obstruction, thereby refuting Barr’s dishonest narrative. Whatever Barr thinks of this reasoning, it is laid out clearly in Mueller’s report. Yet Barr purports to remain bewildered that the special counsel did not formally accuse Trump of obstruction and indeed uses that puzzlement to bolster his claims that Trump did not obstruct. “We don’t conduct criminal investigations to collect information and put it out to the public,” Barr said. “We do it to gain information.” Thus, in Barr’s telling, the attorney general simply had no choice but to announce “that the evidence developed during the special counsel’s investigation was not sufficient to establish that the president committed an obstruction of justice offense.” No careful reader could reasonably interpret Mueller’s report as an invitation to the attorney general to make “a binary decision” (Barr’s words) about whether Trump obstructed justice. Mueller plainly left this matter to Congress—where Democrats have been hampered in their efforts to hold Trump accountable by Barr’s pseudo-exoneration. This muddle is one reason why the special counsel needs to testify: He, and he alone, could explain why he did not explicitly accuse Trump of unlawful obstruction, thereby refuting Barr’s dishonest narrative. Mueller’s testimony would also allow the public to better grasp how he and his team understood the evidence in the report. This clarification has become necessary, because after warping Mueller’s own words, Barr decided to act as Trump’s defense attorney to downplay one of the most damning episodes in the special counsel’s report: the series of encounters between Trump and then–White House counsel Don McGahn. Mueller explains that the president ordered McGahn to fire Mueller, citing the special counsel’s alleged conflicts of interest as pretext for his termination. In Mueller’s analysis, there was “substantial evidence” to establish that this incident constituted a criminal act of obstruction. In Barr’s telling, however, it was all one big misunderstanding. “There’s no question,” Barr said, “that whatever instruction was given [to] McGahn had to do with Mueller’s conflict of interest.” And Trump “later said that what he meant was that the conflict of interest should be raised with [Deputy Attorney General Rod Rosenstein] but the decision should be left with Rosenstein.” The gist of Barr’s spin is that, yes, McGahn interpreted Trump’s words as an order, but who can know for sure? “There is a distinction,” Barr said, “between saying to someone, ‘Go fire him,’ … and saying, have him removed based on conflict.” Here’s what the Mueller report actually says: The president “called McGahn and directed him to have the Special Counsel removed.” Trump allegedly told McGahn, “You gotta do this. You gotta call Rod.” Mueller, he said, “can’t be the special counsel.” He “had to go.” And Trump added, “Call me back when you do it.” McGahn refused, and Trump later told him to lie about his demand that Mueller be terminated. Yet to Barr, none of this evidence is sufficient to “show corrupt intent beyond a reasonable doubt.” This conclusion relies on a questionable semantic distinction to absolve Trump and contradict Mueller’s findings. Which is why the special counsel deserves an opportunity to rebut Barr’s dubious interpretation of his report. Finally, there is the matter of the letter Mueller sent to Barr on March 27 after the attorney general released his hugely misleading summary of the special counsel’s report. (The existence of this letter only became public knowledge on Tuesday night.) Here is how Mueller characterized his concerns in the letter he wrote to Barr:
The summary letter … did not fully capture the context, nature, and substance of this Office’s work and conclusions. … There is now public confusion about critical aspects of the results of our investigation. This threatens to undermine a central purpose for which the Department appointed the Special Counsel: to assure the full public confidence in the outcome of the investigations. And here is how Barr characterized a follow-up conversation about the letter:
I asked him if he was suggesting that the [summary] was inaccurate and he said no, but that the press reporting had been inaccurate, and that the press was reading too much into it. I asked him specifically what his concern was and he said that his concern focused on his explanation as to why he did not reach a conclusion on obstruction. And he wanted more put out on that issue. … But he was very clear with me that he was not suggesting that we had misrepresented his report. There is an unavoidable conflict between Mueller’s letter and Barr’s testimony. Mueller stated that Barr’s summary “did not fully capture the context, nature, and substance” of his report. Barr testified that Mueller’s only gripe was that “the press reporting had been inaccurate.” These claims cannot be squared. Someone is lying. Right now, Barr appears to assume that Congress, and the public, will only hear his side of the story—a reasonable assumption given Mueller’s public taciturnity throughout his investigation. But it is now obvious that a rift has opened between the two men, and that Mueller is frustrated with Barr’s handling of his report and has been for a while. The attorney general doesn’t seem to care. “It was my baby,” Barr said of the full report on Wednesday. “It was my decision how and when to make it public, not Bob Mueller’s.” That may be correct. But there is no reason why Mueller cannot go before Congress to set the record straight and no reason for the rest of us to trust Barr’s characterizations until he does. The attorney general has so distorted the public perception of Mueller’s report that the special counsel’s silence now threatens to undermine the impact of his findings. Barr has somehow managed to depict Mueller as simultaneously indecisive and overzealous—too quick to condemn Trump, yet dithering in his duty to render a judgment. Meanwhile, Barr has exploited Mueller’s silence to recast the special counsel’s dissatisfaction with the attorney general as irritation with the media. This fantastical narrative should not go unrebutted. And only Mueller has the knowledge and authority to tell Congress just how far Barr has wandered from the truth. Support our journalism
Help us continue covering the news and issues important to you—and get ad-free podcasts and bonus segments, members-only content, and other great benefits."
Why the Russians might use a beluga whale as a spy.,slate.com,Jane C. Hu,05-01-2019,2019,5,https://slate.com/technology/2019/05/beluga-whale-spy-marine-life-russia-navy-dolphins.html,"What Do We Do First if We Spot an Asteroid Hurtling Toward Earth? Last week, a beluga whale approached a fishing boat off the coast of Norway. The fishermen, surprised to encounter such a sociable whale, then noticed it was wearing a harness. Once they removed it, they noticed a label on the inside: “Equipment of St. Petersburg.” The Norwegians then contacted Russian researchers, who said their whales don’t wear harnesses. Plus, belugas are social animals that typically travel in small groups, so this lone whale seemed suspicious. Experts surmised the fishermen’s new smiley friend might actually be a Russian spy. In all fairness to the beluga, let’s be clear that it’s an alleged spy. There’s no conclusive evidence yet about where it’s from or what it was up to. After all, it does seem like the antithesis of sneaky to outfit your spy with a harness that’s directly traceable back to its origin. “If we were using this animal for spying do you really think we’d attach a mobile phone number with the message ‘please call this number’?” Russian Col. Viktor Baranets reportedly told a broadcaster. Plus, wouldn’t you think that the second most powerful military in the world would have more advanced technology than a friendly looking whale seeking nose pats and fish from strangers? On that point, at least, the answer is: not necessarily. Certainly, Russia’s military, as well as those of many other nations, has been developing water drones, or, as the U.S. Navy prefers to call them, “unmanned undersea vehicles.” (The word drone has “ a negative connotation ,” says the Navy .) These UUVs can do jobs deemed too dangerous or tedious for crewed watercraft, like mapping the seabed and coast, keeping tabs on harbors and ports, collecting items from the seabed, and counteracting mines. Russia is rumored to be working on nuclear torpedo drones , a terrifying prospect, and China has developed a fleet of drones to be used during sea battles. Spy whales predate all that, and while they may not be what comes to mind as “military technology,” they may be superior to fancy, expensive new machinery when it comes to surveillance and minesweeping. Since the 1960s , both the Russian and U.S. militaries have been training marine mammals to do their bidding. Despite news reports in 2012 that the U.S. was planning to phase out its marine animal program by 2017 in favor of UUVs, the U.S. Navy still maintains its fleet of bottlenose dolphins and California sea lions. Also in 2012, Ukraine rebooted its dolphin training program, which Russia inherited after it annexed Crimea in 2014. As recently as 2016, Russia was in the market for new recruits , offering $24,000 to any dealer who could provide them with five bottlenose dolphins. Though belugas are not as common as dolphins in military marine animal programs, it would be smart to have a few in your arsenal. They operate in colder temperatures and deeper depths , perfect for, say, the waters off the coast of Norway. Doug Cartlidge, former adviser to Russia on dolphin care, told Wired in 2007 that the Russians were training dolphins to attach mines to enemy ships and to prod enemies with a needle attached to a pressurized carbon dioxide tank, which would functionally kill whomever the dolphins touched. The U.S. Navy, on the other hand, claims its dolphins have never been used to kill. These days, marine animals appear to be trained for many of the same recon, fetch, and surveillance duties as UUVs would perform. A beluga’s unassuming adorableness makes it a capable spy simply because no one would suspect it. At this point, in the U.S. Navy, UUVs are frequently used for minesweeping, says Ed Budzyna, the Navy Marine Mammal Program’s spokesman. Dolphins are “not the first to be called” these days for that kind of job. But there are many good reasons to use marine animals over UUVs for tasks that both are capable of. First off, animals don’t need to be recharged. While many current UUVs have a battery life of about 24 hours, belugas “could operate nearly indefinitely,” says Bryan Clark, senior fellow at the Center for Strategic and Budgetary Assessments and a retired submariner. “You could take a sensor you might put on a UUV, like a sonar system, and the whale could swim out for days at a time.” Assuming the whale is trained to resurface periodically, its trainers could pull the data it collects, outfit it with a new sensor, and send it on another mission immediately. That could be what this beluga was doing. According to the BBC , marine biologist Audun Rikardsen said the harness had a GoPro camera holder attached to it. (It seems strange for the Russian military to be using GoPros for reconnaissance, but whoever outfitted the beluga in that harness appears to have wanted footage from its adventures.) There also may be missions that animals are still better at than UUVs. Sea lions are very good at hearing and seeing underwater. “The water can be cloudy or muddy, but it’s still no trouble for a sea lion,” says Budzyna, while “robotics would have a hard time with pier pilings and murky waters.” Depending on their mission, belugas could also be cheaper to train and manage than UUVs. The Navy says that its cost analyses have found that the MK 5 QuickFind Marine Mammal program, which uses sea lions, “is much less expensive to employ than either remotely operated vehicles or human divers for depths from 100–1000 feet.” Granted, it’s still not cheap. It costs money to transport animals for special missions, since they must travel with custom enclosures and a full veterinary staff. The Atlantic Wire reported in 2014 that the cost of the military’s mine-hunting dolphin program is about $ 14 million ; Hakai reported earlier this year that dolphin upkeep between 2012 and 2019 cost around $75 million , averaging out to just under $11 million a year. A “cheap” UUV is in the neighborhood of $50,000 , and after factoring in costs of maintenance and training staff to use it, it may actually be more cost effective to use military animals, says Clark. Also, look at that face. A beluga’s unassuming adorableness makes it a capable spy simply because no one would suspect it (unless it had a super-suspicious label on its harness, of course). The military has relied on this tactic before, using reconnaissance pigeons to drop off recording devices, take photos, or train to identify individual faces, like Osama bin Laden’s because people generally don’t think of animals as spies. On the CIA’s page about the history of pigeon surveillance, it acknowledges the advantage conferred by pigeons’ mundanity: “Being a common species, the pigeon concealed its role as an intelligence collection platform among the activities of thousands of other birds.” Belugas in the sea could also fly under the radar, so to speak, just as birds do in the sky. “If you’re the target, you might think, ‘It’s just a whale swimming around,’ and not be worried about what it’s doing,” says Clark. “You wouldn’t necessarily think it’s a surveillance system.” Another advantage of belugas spying in their home territory is that unlike UUVs or other water craft, belugas aren’t mechanical and may be less likely to pose a disturbance to other marine life. Meanwhile, the beluga at least seems to be having fun in Norway, fetching rings for locals . If it is indeed a spy, it certainly won’t be the last marine mammal to turn up in search of food or attention from humans, but let’s hope this one gets to retire to a nice marine sanctuary in peace. "
Barr refuses to testify before House Judiciary Committee about Mueller report.,slate.com,Elliot Hannon,05-01-2019,2019,5,https://slate.com/news-and-politics/2019/05/barr-refuses-testify-nadler-house-judiciary-committee-mueller-report-contempt-obstruction.html,"Mueller Can’t Get Away With Silence Anymore After a day of questioning by the Senate Judiciary Committee, Attorney General Bill Barr intends to skip a second day of scheduled testimony Thursday before the House Judiciary Committee. Barr is backing out of the hearing because of a plan by the Democrat-chaired committee to allow staff lawyers from both parties to question the attorney general. Both Barr and House Republicans objected to the proposed format, which, in addition to the usual five-minute rounds of questioning from representatives, would have included a 30-minute round for staff attorneys to follow up on the representatives’ questions.* The thinking went: specialized lawyers could do a better job than members of Congress pinning down some of the facts. The Republican thinking went: Yuck, that sounds a lot like a courtroom. The Department of Justice protested that having staff question the attorney general was “unprecedented and unnecessary.” As W. Neil Eggleston wrote in Slate this week, that is very much not the case. Barr’s refusal to appear injects a new source of acrimony between the Trump administration and the Democrat-led Congress that has been aggressive in using its new majority power to pick up on lines of investigation that were buried on the GOP’s watch. The White House has pushed back hard and filed suit to prevent current and former members of the administration from complying with subpoenas to appear under oath before Democrat-led committees. The standoff between House Judiciary Committee Chairman Jerrold Nadler (D-N.Y.) and Barr had been brewing over the last week. Nadler told CNN Sunday morning that if Barr refuses to show, “then we will have to subpoena him, and we will have to use whatever means we can to enforce the subpoena.” Adding to the standoff is the fact that the Judiciary Committee deadline for Barr to produce an unredacted version of the Mueller report to Congress was 10 a.m. Wednesday. That was likely to, ahem, come up in the House hearing the following day. There now is an increasing likelihood that Barr will not only refuse to testify but will not give members of congress full access to the unredacted Mueller report. That raises the possibility that Democrats could hold Barr in contempt of Congress for refusing to cooperate. “Democrats have discussed holding Barr in contempt of Congress for ignoring a subpoena and threatening to skip the scheduled hearing, according to several lawmakers and officials familiar with the plan,” the Washington Post reports . “During a pair of closed-door meetings Tuesday evening and Wednesday morning, the committee decided that it would probably make a push for a Barr contempt citation if he refuses to testify Thursday or ignores their subpoena for the full, unredacted report by Mueller.” “We are now seeing the attorney general engage in obstruction of a congressional subpoena,” Rep. David Cicilline (D-R.I.), a member of the committee, said Wednesday “Congress has a number of tools at its disposal, obviously beginning with holding him in contempt.”
Correction, May 1, 2019: This post originally misstated that senators would question Barr. Representatives do the questioning during House hearings."
William Barr Senate hearing: Republicans discrediting the Mueller investigation ignore the 34 indictments.,slate.com,Aaron Mak,05-01-2019,2019,5,https://slate.com/news-and-politics/2019/05/barr-hearing-mueller-investigation-indictments.html,"Mueller Can’t Get Away With Silence Anymore When Attorney General William Barr appeared before the Senate Judiciary Committee on Wednesday to testify about special counsel Robert Mueller’s investigation, Republican Sen. Mike Hawley characterized it as an attempt to “overturn the results of a democratic election.” Sen. Lindsey Graham said, “When the Mueller report is put to bed, and it soon will be, this committee is going to look long and hard on how this all started.” And Sen. Mike Lee’s line of questioning suggested that he believes the foundations of the investigation were too flimsy and motivated by political bias. In their attempts to discredit the investigation, those characterizations essentially ignored what the special counsel has already accomplished: uncovering an assortment of crimes committed by dozens of people, including Trump campaign advisers. In case Republicans on the committee—or anyone else—need to be reminded, here’s a rundown of the indictments against 34 people and three companies achieved by the special counsel, many of which have led to guilty pleas: Paul Manafort, former Trump campaign chair Manafort faced 25 counts from Mueller’s team related primarily to his lobbying efforts in Ukraine and financial wrongdoing. A jury in the Eastern District of Virginia found Manafort guilty of eight counts related to the financial crimes, and he additionally pled guilty to conspiracy against the U.S. and witness tampering in the District of Columbia. He was sentenced to a total of seven-and-a-half years of incarceration. Rick Gates, former Trump campaign aide Gates was one of campaign chair Paul Manafort’s closest associates and confidants, so their indictments were intimately linked. Gates pleaded guilty in February 2018 to felony counts of conspiracy against the U.S. and lying to federal authorities in connection with work he and Manafort completed for a pro-Russia faction in Ukraine. By agreeing to cooperate with the special counsel, Gates was able to avoid a host of other charges having to do with foreign financial dealings. Konstantin Kilimnik, former Russian military interpreter Mueller’s office indicted Kilimnik for conspiracy to obstruct justice and obstruction of justice in June . Kilimnik worked with Manafort on lobbying efforts in Ukraine and, according to the indictment, attempted to sway two journalists who were potential witnesses. Kilimnik does not currently reside in the U.S., so he may never be prosecuted. Alex van der Zwann, lawyer Van der Zwaan, a Dutch national, pleaded guilty in February 2018 to charges of lying to federal agents about his interactions with Gates and Kilimnik. Van der Zwaan had been involved in Gates’ and Manafort’s lobbying efforts in Ukraine and later admitted to lying about that work and deleting related emails. He was sentenced to 30 days in prison. Michael Flynn, former White House national security adviser Flynn pleaded guilty in December 2017 to lying to FBI agents about his contacts with Russian ambassador Sergey Kislyak before Trump was inaugurated, and lying to the feds about his lobbying efforts on behalf of Turkey. Roger Stone, former Trump campaign adviser Mueller’s office unveiled charges against Stone in January on seven counts of obstruction of justice, lying, and witness tampering. The investigation also found that Stone had been seeking out stolen emails from WikiLeaks that could damage Hillary Clinton’s campaign. The indictment alleged that Stone lied to Congress about his communications with the Trump campaign about WikiLeaks and his knowledge of the organization’s plans to release the hacked material.Stone is also accused of influencing one of his associates to use Fifth Amendment protections to avoid answering questions from the House Judiciary Committee. Stone’s trial is scheduled for November. George Papadopoulos, former foreign policy campaign adviser Papadopoulos was sentenced to 14 days of incarceration in September after pleading guilty to charges of lying to the FBI about his interactions with foreign nationals with ties to the Russian government. Papadopoulos had allegedly tried several times to set up meetings between Russian officials and Trump campaign staffers over the course of the election but was ultimately unsuccessful. Michael Cohen, Trump’s personal lawyer In November, Cohen pleaded guilty to charges of lying to Congress about the canceled Trump Tower project in Moscow, particularly concerning the length of the endeavor and Trump’s knowledge of the business discussions. And as a result of an investigation that Mueller referred to the Southern District of New York, Cohen also pleaded guilty in August to eight counts of campaign finance violations related to hush money agreements with Stormy Daniels and Karen McDougal. Cohen was ultimately sentenced to three years of incarceration. 12 Russian GRU agents Mueller’s office charged members of the GRU, the Russian intelligence agency, in July on 11 counts related to the hacking of the Clinton campaign, the Democratic Congressional Campaign Committee, and the Democratic National Committee. 13 Russian nationals and three companies In February, 2018, a group of Russian nationals and three associated companies were charged for a sprawling election interference scheme that involved sowing discord and promoting distrust of American democracy on social media. The internet trolls assumed fake personas, spread disinformation, and attempted to boost Trump’s candidacy. It is unlikely that the any of these individuals will be extradited from Russia to face trial. Richard Pinedo, fake ID vendor Pinedo, a California man, was sentenced to six months in prison and six months of home detention in October for selling fake online identities that 13 Russian operatives would eventually use to set up PayPal accounts for their efforts to sow discord on social media during the 2016 election. Support our journalism
Help us continue covering the news and issues important to you—and get ad-free podcasts and bonus segments, members-only content, and other great benefits."
"Horse racing buff Peter Fornatale on the equine deaths at Santa Anita Park, and what they mean for the industry.",slate.com,Mike Pesca,05-02-2019,2019,5,https://slate.com/news-and-politics/2019/05/horse-racing-peter-fornatale-equine-deaths-santa-anita-park-kentucky-derby.html,"Listen to The Gist via Apple Podcasts , Overcast , Spotify , Stitcher , or Google Play . On The Gist, the latest in the Mueller report saga. In the interview, the Kentucky Derby is this Saturday, but this year, the horse racing event is overshadowed by high fatality rates among equines in California’s Santa Anita Park: 23 have died in just three months. Peter Fornatale follows the races closely, and sees mismanagement on both the park’s track and in the appeasement measures that followed: “[It] sort of reminded me of the classic politician’s trick of ‘you don’t like the conversation, okay, let’s change the conversation.’” In the Spiel, Bill Barr, hair-splitter general. Get The Gist in Your Inbox We encountered an issue signing you up. Please try again. Email address: Send me updates about Slate special offers. By signing up, you agree to our Privacy Policy and Terms . Sign Up
Thanks for signing up! You can manage your newsletter subscriptions at any time. Join Slate Plus! Members get bonus segments, exclusive member-only podcasts, and more. Sign up for a free trial today at Slate.com/gistplus . Join the discussion of this episode on Facebook . Email: "
Google employees are protesting to remain the company’s watchdog,slate.com,April Glaser,05-02-2019,2019,5,https://slate.com/technology/2019/05/google-employees-are-protesting-to-remain-the-companys-watchdog.html,"Facebook Just Hired the Co-Author of the Patriot Act and An Advocate Who Helped Fight It When Alphabet employees decided to stage protests in their offices this week, there was one big difference from the last time workers at the internet giant held a demonstration: They were now hesitant to use Google products for any planning. Just over a week earlier, two of their colleagues alleged that the company had retaliated after they’d organized a massive walkout back in November. So instead of using the most convenient online communication tools in the world, they opted for encrypted text apps to keep their plans out of the potential sight of their employer. In less than 24 hours, they planned a Wednesday “sit-in” in which more than 1,000 Googlers across 15 U.S. offices reminded the company that it still has to answer to its own workforce. Activism within Alphabet reached a dramatic peak last November when 20,000 employees across 50 offices worldwide walked out of work to protest how Google’s parent company deals with accusations of harassment and discrimination. But demonstrations within the company over how it does business, and with whom, have been going on for a couple years now. Last June, Alphabet decided to stop building artificial intelligence services for a Pentagon drone program after thousands of employees signed a petition demanding the company end the contract. And it was only last August that about 1,000 employees signed an internal petition calling on Google to scrap Project Dragonfly, its plan to build a censored search engine in China, which the company had to address. None of these impacts would have happened without employee organizing, and the current push within Alphabet to protect workers’ ability to dissent appears to be underlined by a realization that if anyone is going to meaningfully regulate one of the most powerful companies in the world, it’s going to be the talent that helps make it so powerful. Wednesday’s action comes a little over a week after two employees who were core organizers of the November walkout, Meredith Whittaker and Claire Stapleton, shared on an internal Google email list examples of alleged retaliation they had faced in the months that followed. The walkout, which was held to protest how the company had dealt with serious accusations of sexual assault and harassment and what many employees described as a culture of impunity for executives, led to immediate reforms inside Alphabet. Within days, the company agreed to end forced arbitration in cases involving accusations of sexual harassment or assault, a policy that prevented employees from taking their grievances to court. Workers continued to organize, and in February, Google eliminated its forced arbitration policy for employees entirely. But organizers still felt a sting. Stapleton, a 12-year veteran at Google, shared that she was informed she would be demoted and lose half of the people who report to her. “I was told to go on medical leave, even though I’m not sick,” Stapleton wrote in an email to an internal list describing the retaliation she experienced. It was only after she hired a lawyer that Google investigated and decided to walk back its decision to demote her. Whittaker, who leads Google’s Open Research Group and is the co-founder of the AI Now Institute at New York University, received notice that in order to stay at Google, she’d have to “abandon [her] work on AI ethics and the AI Now Institute,” according an email she sent internally. (Google disputes the employees’ allegations of retaliation.) Instead of leaving the office in unison on Wednesday, workers at Google used a variety of tactics. Some called in sick, a reference to Stapleton’s directive to take medical leave. Others set up an email auto-response to detail their grievances over how the company has treated the walkout organizers. In cities like New York, Pittsburgh, Cambridge, and Mountain View, California, workers gathered to read accounts shared by employees across the company alleging experiences of retaliation for speaking out against sexual harassment, bigoted comments from management, and discrimination in pay and promotions at Google. If employees are afraid to speak out when they’re mistreated, speaking out about the ethics of Google’s work will be even harder. Whistleblowing within technology companies is one of the few levers that can hold these conglomerates accountable. Users can complain, but companies don’t have to respond. Lawmakers could regulate and force corporations like Facebook, Microsoft, and Amazon to be more transparent and responsible, but that’s probably not happening in the U.S. anytime soon. Tech companies, after all, work hard to stay unaccountable by spending big and hiring former government officials to get their way. Just last month, Facebook brought on the co-author of the Patriot Act as its general counsel. Last year, it was reported that Google outspent every other company in the country in its effort to lobby U.S. lawmakers, and in the first quarter of this year, Amazon outspent both Facebook and Google in its bid to influence Washington. Even when European regulators have cracked down on tech companies’ overreach, as they have over the past three years by issuing fines to Alphabet that add up to about $9 billion, it doesn’t amount to much more than a few speeding tickets for a company that had $137 billion in revenue in 2018 alone. Google and its peers are enormous enough that most of us depend on them to handle key functions of our daily life. In part it’s because their products are so useful. Google tells us where to go and how to get there. Facebook helps us maintain connections within our communities. We depend on software from tech companies to guide how we work, relax, and learn. Technology companies, like Google, deliver the information that we need to participate meaningfully in democracy. But these companies have also become so big that they face few checks on their behavior. That has put workers in an important position. Alphabet might not like that its employees are forcing it to be better. But as a user of Google products, I’m grateful. When it comes to keeping one of the most powerful corporations in the world in line, whistleblowers are often all we’ve got. And the scary part is that Google’s tech is so embedded in our lives—Gmail, Chrome, Search, Docs, Maps, Android—that when there’s something we don’t like about Google, there’s often nowhere else to go. Employee organizing has important changes so far. Hopefully, for the sake of everyone who depends on Google products, it will again."
Former CIA agent pleads guilty to spying for China.,slate.com,Elliot Hannon,05-02-2019,2019,5,https://slate.com/news-and-politics/2019/05/former-cia-agent-lee-pleads-guilty-spying-for-china.html,"Mueller Can’t Get Away With Silence Anymore A former Central Intelligence Agency officer pleaded guilty Wednesday to spying for China, the latest in a series of high-profile espionage cases involving American intelligence officers working for Chinese intelligence. Jerry Chun Shing Lee submitted his plea as part of an agreement with prosecutors, which will likely means prosecutors will seek a sentence of 17 to 27 years for the 54-year-old, rather than life. Lee worked for the CIA from 1994 until he resigned in 2007. A naturalized citizen who was born in Hong Kong, Lee returned to Hong Kong after leaving the CIA, where he started a business importing cigarettes with a former police officer who has ties to the Hong Kong intelligence world. Lee’s business partner connected him to Chinese intelligence operatives. After meeting with Chinese intelligence in mainland China, Lee made undisclosed cash deposits totaling hundreds of thousands of dollars into his Hong Kong bank account over the course of three years. It was around this time, in 2010, that “the C.I.A.’s informant network in China collapsed,” the New York Times notes . “Intelligence officials have been divided over how the network crumbled. While some believed that the Chinese had hacked the covert system the C.I.A. used to communicate with its foreign sources, others believed that Mr. Lee had given the Chinese at least some of the names.” Lee denied ever actually passing along information to the Chinese; the FBI uncovered two small notebooks that “contained true names and phone numbers of assets and covert CIA employees, as well as the addresses of CIA facilities” all related to China, according to the indictment ."
Conan O'Brien: Game of Thrones looks pretty good if you crank up the brightness.,slate.com,Matthew Dessem,05-02-2019,2019,5,https://slate.com/culture/2019/05/conan-obrien-game-thrones-brightness-long-night.html,"It’s like a whole other show! TBS Since last week’s episode of Game of Thrones aired, audiences have been complaining about how dark and difficult to see it was, thanks to a deadly combination of low-light cinematography, bad video compression, and uncalibrated television sets . As critic Alan Zilberman noted, there was a lot more visual information buried in the footage than most viewers could see: This is a brightened image from Sunday's Game of Thrones. I'll never understand why Benioff, Weiss, and Sapochnik insist on keeping it so dark pic.twitter.com/9fUXSSOrZu — Alan Zilberman (@alanzilberman) April 30, 2019 Fans have been cranking the brightness on the episode’s darkest shots to find out what the hell is happening in them—there’s a slowed-down, brightened-up version of the mid-air dragon fight where you can kind of tell who’s clawing at whom—but even the richest Redditor doesn’t have access to the kind of state-of-the-art television production resources that are at the disposal of a talk show host like Conan O’Brien. So O’Brien had his staff do it right, producing a version of “The Long Night” that looks good on every television. Spoilers follow: Wow. “The Long Night” looked okay on my television, but the new details visible in the brightened version reveal the full power and beauty of Game of Thrones’ epic fight between the living and the dead. Now I really can’t wait for the Blu-ray! Get Slate Culture in Your Inbox We encountered an issue signing you up. Please try again. Email address: Send me updates about Slate special offers. By signing up, you agree to our Privacy Policy and Terms . Sign Up"
