title, publication, authors, date, year, month, url, content
"Sunnyvalle Car-Ramming Suspect Is Iraq Vet With PTSD, Brother Says",www.thedailybeast.com,Barbie.Nadeau@thedailybeast.com (Barbie Latza Nadeau),04-25-2019,2019,4,https://www.thedailybeast.com/isaiah-peoples-sunnyvale-car-ramming-suspect-is-iraq-vet-with-ptsd-brother-says,"‘I LOVE YOU, JESUS’ Sunnyvalle Car-Ramming Suspect Is Iraq Vet With PTSD, Brother Says Before Isaiah Peoples allegedly veered his car into the pack of Silicon Valley pedestrians, his family said the former Army gunner had numerous troubling ‘episodes.’ 04.25.19 8:39 AM ET Sunnyvale Department of Public Safety
The man who allegedly intentionally drove his speeding Toyota Corolla into a group of Silicon Valley pedestrians, injuring eight, has been identified by a family member as a troubled Iraqi war veteran with a history of suspected post-traumatic stress disorder.
Isaiah Joel Peoples, a 34-year-old government-contract auditor, has been charged with eight counts of attempted murder, The Mercury News reports.
Peoples’ brother told the Bay Area News Group that while Isaiah suffered from bouts of depression, he had not previously been known to be violent. The men’s mother said she had sensed something was wrong the afternoon before the veteran drove his car into the pedestrians, seriously injuring a 13-year-old girl.
“She said the way he was sounding, he was about to have another one of those episodes,” Joshua Peoples told the paper. “He was worried about his job; he wasn’t going to do accounting anymore.”
Peoples was a U.S. Army gunner in Iraq, according to his brother. “He was a gunner when they were driving,” he said, according to local news reports. “Every time he would call us, he was doing security for a post.”
Peoples spent time in mental-health treatment and was on medication, according to his brother. He was once hospitalized after “thinking the government was bugging his house.”
“Sometimes he’d be getting, like, overly religious going through those episodes,” Peoples’ brother said. “One time, when he was going through his PTSD, they said he was saying, ‘I rebuke you, Satan! Get out of here, Satan!’”
A witness to the Sunnyvale crash said Peoples stumbled out of his car after the attack and began ranting, saying “I love you, Jesus.”
It is not immediately known if Peoples was formally diagnosed with PTSD.
“When he got back, I didn’t really notice too much of a change, but there were things my mom and sister told me about that they saw him going through,” his brother said. “They told me he had PTSD.”"
"U.S.-Led Coalition Killed 1,600 Civilians in Raqqa: Amnesty International",www.thedailybeast.com,Barbie.Nadeau@thedailybeast.com (Barbie Latza Nadeau),04-25-2019,2019,4,https://www.thedailybeast.com/raqqa-us-led-coalition-killed-1600-civilians-in-isis-held-town-amnesty-international-says,"EXCESSIVE FORCE U.S.-Led Coalition Killed 1,600 Civilians in Raqqa: Amnesty International An interactive website created by Amnesty and Airwars claims it has documented the deaths of 1,600 civilians in Syria at the hands of U.S.-led forces. 04.25.19 8:03 AM ET Amnesty International/Airwars
An interactive website developed by Amnesty International and Airwars is aiming to prove that U.S.-led forces in Syria killed 1,600 civilians in Raqqa . The U.S. military denies those claims.
The site, called Rhetoric Versus Reality: How the Most Precise Air Campaign in History Left Raqqa The Most Destroyed City in Modern Times , includes photos and stories from more than 500 people who have direct knowledge of the alleged atrocities.
The two groups say they spent two years investigating stories and contend that more than 1,600 civilians were killed as collateral damage in airstrikes by the U.S., U.K., and France, meant to destroy the so-called Islamic State terror group between June and October 2017 .
“Thousands of civilians were killed or injured in the U.S.-led coalition’s offensive to rid Raqqa of IS, whose snipers and mines had turned the city into a death trap,” Donatella Rovera, senior crisis response adviser at Amnesty, said ahead of the site launch Thursday morning. “Many of the air bombardments were inaccurate and tens of thousands of artillery strikes were indiscriminate, so it is no surprise they killed and injured many hundreds of civilians.”
Amnesty International and Airwars are hoping the purported proof offered on the website will prompt the U.S. military to “end their denial” over the heavy loss of life.
“Coalition forces razed Raqqa, but they cannot erase the truth,” the groups say. “Amnesty International and Airwars call upon the coalition forces to end their denial about the shocking scale of civilian deaths and destruction caused by their offensive in Raqqa.”
The group says it visited Raqqa during and after the battle and “collated and cross-referenced multiple data streams” for this investigation. “Researchers spent a total of around two months on the ground in Raqqa, carrying out site investigations at more than 200 strike locations and interviewing more than 400 witnesses and survivors.”
They also implemented Amnesty’s “Strike Trackers” initiative that identified the 11,000 destroyed buildings in Raqqa.
Using the input from 3,000 digital activists in 124 countries, the group was able to analyze two million satellite-image frames to pinpoint where the civilians were when they were killed. “The organization’s Digital Verification Corps, based at six universities around the world, analyzed and authenticated video footage captured during the battle.”
The end result is a database that includes information, including the locations where they were killed, of the 1,600 civilians who reportedly died in the U.S.-led coalition strikes. They have given names to 1,000 of the victims and verified 641 on the ground.
The U.S.-led coalition has admitted responsibility for killing 159 civilians— around 10 percent of the total number reported—but it has routinely dismissed the remainder as “non-credible,” the organizers say.
Airwars Director Chris Woods says the groups are calling upon the coalition forces to “fully investigate what went wrong at Raqqa and learn from those lessons, to prevent inflicting such tremendous suffering on civilians caught in future military operations.”"
For Putin and Kim Jong Un The Vladivostok Meeting Was the Message,www.thedailybeast.com,Donald Kirk,04-25-2019,2019,4,https://www.thedailybeast.com/for-vladimir-putin-and-kim-jong-un-the-vladivostok-meeting-was-the-message,"NO NUKE NEWS For Putin and Kim Jong Un, the Vladivostok Meeting Was the Message It wasn’t the warmest encounter conceivable, but it sure went better than the Trump-Kim fiasco in Hanoi. 04.25.19 7:53 AM ET Alexander Zemlianichenko/Pool via REUTERS
North Korean leader Kim Jong Un has at last played the Russian card, meeting President Vladimir Putin for their first summit. But he’s still holding it close to his chest.
Yes, Kim appeared to have gotten along better with Putin in Vladivostok than he did with President Donald Trump in Hanoi, where the summit meltdown seems to have cost a top North Korean diplomat his job and is rumored to have cost four lesser envoys their lives. “Putin would like to play a bigger role in the far east, notably the Korean peninsula, in competition with China as well as the United States.”
After Kim arrived by train (in a scene CNN’s Jeanne Moos likened to a Mussolini-Hitler summit parodied by Charlie Chaplin in The Great Dictator ) Putin and Kim talked for an uninterrupted two hours at a university. They then appeared in front of the press to recite opaque and most likely pre-scripted diplospeak.
No, they did not emerge with a joint communique affirming whatever they said about the two most pressing issues—denuclearization and sanctions. If Trump was looking for his buddy Putin to deliver something on those issues, it would seem he’ll be disappointed.
There was no indication that Putin got anywhere in persuading Kim to get rid of his nukes and missiles, and there was no sign that Putin would join Kim in trying to persuade the United Nations Security Council to drop the sanctions imposed with the unanimous approval of its five permanent members, including Russia and China, after the North’s nuclear and missile tests in late 2017.
Instead, all that Putin would say was that he and Kim had talked over “what should be done to improve the situation,” and Kim said they had had “a very fruitful exchange” about ways to achieve “a peaceful settlement.”
Just what was meant by “peaceful settlement” was left vague, although Kim presumably told Putin about his desire for a “peace treaty” formally ending the Korean War. Kim would not have been able to press that idea too far, however, since the former Soviet Union was not a signatory to the armistice signed at the truce village of Panmunjom in July 1953, even though the Kremlin had supplied planes, tanks, and artillery to North Korean forces.
The fact that the two finally met was definitely a sign, however, that Putin would like to play a bigger role in the Far East, notably the Korean Peninsula, in competition with China as well as the United States.
Putin left no doubt of his vision of a place for Russia at the table, any table, telling Tass, the Russian news agency, that he was “confident” that “international guarantees” for North Korea would “be necessary.” He even suggested a return to dormant six-party talks, including China, the U.S., Japan, Russia, and the two Koreas, saying they might help “in developing a system of international security guarantees” needed by the North.
And why not, he suggested, come up with an aid program—something Trump has made much of, too? “If these projects and similar ones were implemented,” he was quoted as saying, “this would create the necessary conditions for building the trust that’s so necessary for solving the key issues.”
In fact, the conversation may also have gotten down to one of Russia’s longstanding dreams—a railroad running up the Korean Peninsula, from South Korea through North Korea and then on to Siberia for carrying freight to Europe.
As Yuriy Krupnov, Moscow-based analyst at the Institute of Demography, Migration and Regional Development, told The Daily Beast. “We have built railroads and developed the port on the Sea of Japan for a big economic breakthrough in our cooperation with China. North Korean ports play a big role in this business plan; Trump should pay attention—this tango could be danced by all three of us, Russia, China, and United States.”
Clearly, the summit was intrinsic in Putin’s attempt to reassert Russian influence over North Korea, which Soviet forces ruled in the immediate aftermath of the Korean War as part of a deal with the U.S. dividing the peninsula between North and South at the 38th parallel.
The Soviet Union, under dictator Joseph Stalin, was responsible for bringing Kim’s grandfather, Kim Il Sung, to North Korea aboard a Soviet merchant vessel and installing him as leader of a caretaker government. Kim Il Sung had sat out World War II as a captain in the Soviet army, living near the far eastern city of Khabarovsk, but he had no responsibilities. It was while he was there that Kim Jong Un’s father, Kim Jong Il, was born, though North Korean propaganda maintains the mythology that Jong Il was born on the slopes of the sacred Mount Paektu on the Chinese border.
Kim Jong Un is assumed to have pleaded with Putin for breaks in trade and aid, which Moscow provided for almost nothing before the end of communist rule and the breakup of the Soviet Union nearly 30 years ago. North Korea, suffering under sanctions and crop failures, desperately needs oil and gas, which the Soviet Union used to ship into North Korea in return for virtually useless North Korean currency. In 1990, Moscow began demanding payment in real money—full value.
Kim Jong Un journeyed to Vladivostok by train right after getting rid of the man who had most to do with preparing his two summits with Trump. Kim Yong Chol , vice chairman of the Workers’ Party, of which Kim is chairman, was replaced as head of the United Front Department, responsible for dealings with the U.S. He had met Secretary of State Mike Pompeo on several occasions, including a visit to the U.S. during which he met Trump in Washington.
Presumably, however, Kim Jong Un saw Kim Yong Chol as responsible for the failure of his summit with Trump at the end of February. That meeting ended with Trump declaring his abiding friendship with Kim Jong Un, but demanding that Kim reveal where North Korea has all its nuclear facilities and agreeing to complete denuclearization.
Kim Yong Chol was not in the North Korean delegation to Vladivostok – a clear sign that he’d been sidelined, if not disciplined, for failing to let his boss know that Trump was serious about his demands and would probably agree to nothing less. Kim Jong Un obviously was caught by surprise by Trump’s walkout.
There was even a report by a small Japanese news and photo agency, Asia Press , that four members of the North Korean foreign ministry had been executed for their role in the Hanoi summit. According to the report, the four were accused of having accepted bribes in return for information provided to the Americans in the run-up to the summit. The report said military as well as civilian officials had witnessed the executions by firing squad, but there was no verification.
For Kim Jong Un’s summit with Putin, there was no advance build-up or prediction of results, just that the two would meet and review all the sensitive issues. Viewed that way, the summit was still a breakthrough considering that Russia had appeared as a minor player while Kim met China’s President Xi Jinping four times, amid much pomp and circumstance, in Beijing.
Basically, Kim was following in the footsteps of his father, who had met Putin in Moscow in 2001 and 10 years later conferred with Dmitry Medvedev, the Putin sidekick who was then filling in as president. Both Kims, father and son, traveled to Russia by train, as indeed Kim Jong Un had done when he went to Hanoi to meet Trump.
Putin had a military honor guard greet Kim on his arrival in Vladivostok, matching the welcome accorded Kim by the Chinese, a sign of a budding new relationship grafted onto the historic ties of the Soviet era.
—Anna Nemtsova in Moscow also contributed reporting to this article. READ THIS LIST"
"Joe Biden Launches Into Trump, Slams Charlottesville Reax: ‘We Are in a Battle for the Soul of This Nation’",www.thedailybeast.com,msn.com,04-25-2019,2019,4,https://www.thedailybeast.com/joe-biden-2020-video-attacks-trump-we-are-in-a-battle-for-the-soul-of-this-nation,"“If we give Donald Trump eight years in the White House, he will forever and fundamentally alter the character of this nation.”"
"Biden’s In for 2020 Campaign, Betting Big That the Democratic Center Still Holds",www.thedailybeast.com,michael.tomasky@thedailybeast.com (Michael Tomasky),04-25-2019,2019,4,https://www.thedailybeast.com/bidens-in-betting-big-that-the-democratic-center-still-holds,"opinion Yuri Gripas/Reuters
Well, it wasn’t the smoothest launch from Joe Biden, was it? First it was Wednesday, and three speeches. Then it was Thursday. But still a speech, or so I thought. Then it was just a video.
Although, inevitably, he’s doing a fundraiser, too. And now it’s Pittsburgh next Monday, with the official unveiling apparently put off until May 18, in Philadelphia. Kinda weird, like Sly Stone’s concert schedule in the ’70s.
But, we do have this video…
…and it’s actually pretty good.
He could have started this video in a thousand different ways. The obvious thing, of course, would have been Scranton. His hometown, which codes Pennsylvania working class like few other places, has the benefit of making some people smile as they think of the Dunder-Mifflin gang. Plenty of upsides there.
So it was interesting that he chose Charlottesville. He started with Thomas Jefferson and the Declaration of Independence. Then the music changed to a minor key, and he upshifted to what happened in Charlottesville in 2017. Stark images of Nazi flags and marching thugs carrying torches. Reference to “Europe in the 1930s.” Reference to Donald Trump’s “very fine people”—words, he said, that “stunned the world.”
“With those words, the president of the United States assigned a moral equivalence between those spreading hate and those with the courage to stand against it,” Biden said. “And in that moment, I knew the threat to this nation was unlike any I’d seen in my lifetime.”
With four more years in the White House, he continues, Trump “will forever and fundamentally alter the character of this nation.” Then, some old black-and-white footage: the Statue of Liberty, suffragists, D-Day, Iwo Jima, civil rights marchers. Finally, a long-ish paean to America and “who we are.”
Well written, well delivered. Charlottesville is Biden’s bid to get the attention of some younger voters, while the video’s second half is aimed squarely at his base, the kinds of Democrats whose blood still stirs at the sight of men storming Utah Beach.
By the way, those Democrats still exist, in very large numbers. This is one proposition Biden’s candidacy will put to the test—whether the center of gravity in the Democratic Party today has shifted irrevocably to the younger and leftier crowd one encounters on social media.
In December, Gallup asked Democrats whether on the whole they’d rather see their party become more liberal or more moderate. More moderate won, and pretty convincingly: 54 to 41 percent. By the way, Gallup asked Republicans that question too, about their party, except of course “more conservative” instead of “more liberal.” Shockingly (not), Republicans said more conservative by 57-37 (can you imagine? More conservative than this!).
Also according to Gallup , about half of Democrats say they’re liberal. On the one hand, that’s a recent historic high. But on the other, it means that about half don’t. About a third say moderate, which leaves around 15 percent who actually call themselves conservative.
That’s the Democratic Party. You’d never know it from the media, which is drawn to the left-wing storyline like cocaine. But most Democrats are middle-age—and older—people, most of them women, of all races, who’d call themselves liberal to moderate. Those are the people who usually decide who the Democratic nominee will be.
This is Biden’s theoretical crowd, but I think he has trouble even with them. Since they are predominantly women, and on the older side, they’ll remember the Anita Hill hearings, along with his two previous and spectacularly bad presidential runs and his penchant for awkward malapropisms and all the rest.
In my anecdotal experience, this group doesn’t love Biden. White union men do, and as nominee he would win enough them back in the key states, I think there’s not much doubt about that. But they make up a smaller portion of the party’s base with each election. As for other older Democrats, there’s a lot about Biden they don’t especially like. But they probably are open to being persuaded that he can win. And that he can stop Bernie Sanders, whom they don’t like as a general rule, and that he can beat Trump.
So that’s the first sale Biden will have to make: I can win.
The second sale he needs to make is to those younger and leftier voters. There are enough of them that he can’t ignore them. They’re never going to love him. They’re with Sanders, Pete Buttigieg, Beto O’Rourke. But Biden can make himself vaguely acceptable to them.
He could do this in two ways. First, some blunt apologies about some of his past positions. He can’t just excuse himself away by saying it was a different time. He has to explain his old thinking and explain his current thinking in a way that convinces people that maybe this old dog has learned some new tricks.
The other way is to talk about class in a much sharper manner than he’s ever done. He should not come out for Medicare for All and free college and the current version of the Green New Deal. That will look phony.
But he absolutely should say that today’s capitalism is not the capitalism he grew up with. In other words, it’s not enough today to talk in the usual chicken-soup way about restoring the American dream. For a lot of people, especially young people, the American dream is a nightmare. He needs to show that he understands that this isn’t just a temporary bad turn, but that we’re entering the fourth decade of a political-economic epoch that has stolen trillions of dollars from working people and given it to the rich. And he ought to name a few names. Identify some bad guys. Not easy for an establishment guy to do, especially one who represented the corporate headquarters state for umpty-ump years.
Democratic voters want electability. If Biden can make those two sales, he’ll have a shot. There’s not a lot in his track record that suggests that he can, but maybe the extraordinary nature of the historical moment will make him reach deeper into himself than he ever has. He’ll need to. READ THIS LIST"
‘Fox & Friends’ on Joe Biden Announcement Video: It Might Actually Be a Winning Message,www.thedailybeast.com,olivia.messer@thedailybeast.com (Olivia Messer),04-25-2019,2019,4,https://www.thedailybeast.com/fox-and-friends-on-joe-biden-launch-video-it-might-actually-be-a-winning-message,"UH OH ‘Fox & Friends’ on Joe Biden Announcement Video: It Might Actually Be a Winning Message The ex-VP’s unexpectedly fierce announcement caught the ‘Fox & Friends’ off-guard, with the hosts seemingly stung by his attack on their biggest fan. 04.25.19 9:23 AM ET Fox News
Minutes after Joe Biden announced his candidacy for the 2020 presidential nomination, Fox & Friends glumly assessed that the Democratic frontrunner’s strategy “might actually be a winning message.”
Co-host Ainsley Earhardt contrasted Biden’s stinging announcement video—a fierce attack on Fox & Friends fan President Trump and his shameful comments after the deadly Charlotteville neo-Nazi protests—with the blowback Sen. Bernie Sanders received Wednesday night at the She the People presidential forum in Houston. When the Vermont senator was asked at the event about the rise of white nationalism in America, he defaulted to his usual talking points about immigration reform and mentioned his attendance at the March on Washington with Dr. Martin Luther King. The audience booed him and someone yelled “we know!”
“There were moans and groans because they say he was dodging the question,” Earhardt said Thursday morning.
“When you see Joe Biden making that plea, just anti-racism, anti-white supremacy, it might actually be a winning message.”
Earhardt did, however, lament that Biden’s announcement video “aggressively” attacked Trump for his post-Charlottesville violence comments.
“If we give Donald Trump eight will nation,” Biden said in his announcement video. “And I cannot stand by and watch that happen.”
“We saw Klansmen and white supremacists and neo-Nazis come out in the open. Their crazed faces illuminated by torches, veins bulging and baring the fangs of racism, chanting the same anti-Semitic bile heard across Europe in the ’30s,” he added.
“That’s when we heard the words of that stunned the world and shocked the conscience of this nation,” continued Biden. “He said there were quote some ‘very fine people on both sides.’ Very fine people on both sides?”
The folks on the Fox & Friends couch weren’t fans of Biden’s harsh tone.
“I was thinking when he announced it was going to be cheerful music, and pomp and circumstance, and proud to be an American and American flags. It was a different tone,” Earhardt said.
Guest co-host Ed Henry added: “Usually you get in and want to reflect that optimistic tone and tell us—tell the American people what is your vision for America.”
“I got it that there’s a resist movement in this country that wants to take out Donald Trump over everything basically, especially something like Charlottesville,” Henry continued. “If you think that’s a moment that you want to highlight, it seems to me that could be part of the video. But it seems it turned out to be a dominant part of the video, and the music is somber. It’s very downbeat, downcast, tear the president down. And less about what you would do differently.”"
Trump Doubts Biden Is Smart Enough to Win Democratic Primary,www.thedailybeast.com,msn.com,04-25-2019,2019,4,https://www.thedailybeast.com/trump-doubts-biden-is-smart-enough-to-win-democratic-primary,"Responding to launch announcement, the president questioned former VP’s intelligence."
Scouted: Keds Partners With ace&jig on a Collection of Sustainable Sneakers from Custom Textiles,www.thedailybeast.com,jillian.lucas@thedailybeast.com (Jillian Lucas),04-25-2019,2019,4,https://www.thedailybeast.com/keds-teams-up-with-aceandjig-on-sneaker-collection,"Scouted By The Beast
Keds is taking sustainability to the next level by partnering with Brooklyn-based, sustainable, and ethical textile brand ace&jig . Their newest line of sneakers are made from woven textiles from India and are the perfect addition to a sustainable spring wardrobe.
The shoes are made from “ethically-made, custom yarn-dyed woven textiles,” according to a press release, in keeping with ace&jig's ongoing commitment to staying fully sustainable. They come in four styles (two slip on and two lace up): the Anchor Celadon Sneaker , the Anchor Channel Sneaker , the Anchor Marine Slip-On Sneaker , and the Anchor Hope Slip-On Sneaker . Because each shoe is made from custom textiles, no two shoes will look alike.
“Keds brings an authenticity to their craft that resonates with us: they are the only sneaker brand in the world that has been making sneakers for women for over 100 years,” ace&jig co-founders Jenna Wilson & Cary Vaughan said about the collection on the Keds site .
The fashion industry a huge detriment to our planet’s health, so these sustainable, ethical shoes , from a brand as large and iconic as Keds, are an effective step in the right direction. NEWSLETTERS Product recommendations that'll make your life better and tips to help you shop smarter. Subscribe By Clicking ""Subscribe"" you agree to have read the Terms of Use and Privacy Policy
Scouted is internet shopping with a pulse. Follow us on Twitter and sign up for our newsletter for even more recommendations and exclusive content. Please note that if you buy something featured in one of our posts, The Daily Beast may collect a share of sales. READ THIS LIST"
‘Time’ Magazine’s Digital Staff Demands to Join the Union,www.thedailybeast.com,Maxwell.Tani@thedailybeast.com (Maxwell Tani),04-25-2019,2019,4,https://www.thedailybeast.com/time-magazines-digital-staff-demands-to-join-the-union,"ABOUT TIME ‘Time’ Magazine’s Digital Staff Demands to Join the Union Publication’s digital staff say it’s unfair for the company to only allow print staffers to join its editorial union. exclusive Eric Baradat/Getty
Time magazine’s digital staffers are seeking to unionize, breaking down a barrier at the organization between print and digital wings of the publication.
The iconic magazine’s print employees have been unionized for 80 years through the NewsGuild , which also represents a number of major news outlets including The Daily Beast.
But the union’s contract has not covered staffers designated by the company as primarily digital focused. In a statement provided to The Daily Beast, Time magazine digital staff said only employees who prove they spend 30% of their time working on print are currently allowed to join the Time magazine union.
But like many newsrooms that still have a print magazine or newspaper, employees often work on both print and digital.
On Thursday, staff told the magazine’s management that they were seeking to join the company’s print union, noting that digital staff often work on major packages like the Time 100.
“It's great to work at Time and we’re excited to see what the future of Time will look like, but Time’ s digital employees play a really big role in its success as a news outlet, and that’s only going to continue in the future,” Time digital reporter Cady Lang told The Daily Beast. “We’re asking to be respected with the same kinds of protections as our print colleagues.”
Time ’s digital staffers would join a wave of newsrooms that have unionized in the past several years amid layoffs and tumult in the media industry. BuzzFeed News , Vox Media , and The New Yorker have all formed unions over the past two years, seeking greater newsroom diversity, standard pay, and stronger severance agreements.
Time ’s digital employees mentioned many of the same goals in their statement Thursday. They noted that print employees had greater protections from being fired, as well as guaranteed annual cost-of-living raises. The staff also said they were paid “significantly less than the market value of our work.”
“For years, Time has operated as a two-tier system, whereby the print staff has the protection of our Collective Bargaining Agreement and the digital staff does not,” Time reporter Leslie Dickstein said. “This is an artificial and outdated divide. We believe every worker at Time deserves the benefits and protections of a union contract.”
The unionization effort presents a potential test for the magazine’s management and new owners.
Late last year, Salesforce founder Marc Benioff and his wife, Lynne, purchased the magazine. The billionaire tech mogul has positioned himself as an example of a progressive corporate leader who promotes positive social values in the workplace, including advocating for gender pay equity and nonprofit work.
In their statement Thursday, staffers said they were excited by the new owners and their vision for the publication’s future, and noted Benioff’s public comments supporting strong worker benefits and protections.
“Marc and Lynne Benioff want us to create a Time that lives by its values and walks its talk,” the statement said. “One of those values, according to Edward, is that our people are our most important asset. We agree. And that’s why we hope management will voluntarily recognize our union—and in turn, recognize that all of our people are essential to the success of this 96-year-old institution.”
In a statement, a Time spokesperson said the company would discuss the staffers' proposal with the News Guild.
""Since the formation of our new company in November, Time has worked hard to build a strong relationship with the News Guild, to provide our employees with new enhanced benefits and to build a vibrant and collaborative culture. We look forward to these further discussions with the guild."""
"Symone Sanders, Bernie’s Former Press Secretary, Goes to Work on Biden’s Campaign",www.thedailybeast.com,gideon.resnick@thedailybeast.com (Gideon Resnick),04-25-2019,2019,4,https://www.thedailybeast.com/symone-sanders-bernie-sanders-former-press-secretary-will-work-on-joe-bidens-campaign,"NEW GIG Symone Sanders, Bernie’s Former Press Secretary, Goes to Work on Biden’s Campaign Sanders had been uncommitted earlier in the primary process, but has chosen to work on the ex-veep’s team. 04.25.19 11:19 AM ET JP Yim
Symone Sanders, who rose to prominence as Sen. Bernie Sanders ’ (I-VT) national press secretary during his 2016 presidential campaign, has signed on to work for former Vice President Joe Biden ’s 2020 bid. She will serve as a senior advisor.
Sanders, who had been uncommitted throughout the cycle, is a CNN political commentator and has worked with Priorities USA, the largest Democratic Party Super PAC. She was a major hire for Sanders during the 2016 campaign, coming just as he faced criticism over the lack of diversity on his staff. But in the summer of 2016, she quit the campaign, at the time saying she did so of her own volition.
Sanders is a prominent progressive voice and a regular presence on cable news, giving Biden a valuable addition to his team. But she hasn’t always been sympatico with the former vice president. Recently, Sanders chastised Biden for cracking jokes in response to the unwanted touching allegations leveled against him by several women with whom he’d interacted during his career.
In the segment, she raised a hypothetical about how she would handle communications for Biden.
“If I’m Vice President Biden’s communications person, if he comes out and says the words ‘I’m sorry,’ all the chyrons and headlines will say ‘I’m sorry,’ Sanders said encouraging Biden to keep listening and talking to people.
Prior to then Sanders had also characterized the conventional wisdom around Biden being the frontrunner in the Democratic primary as being “overhyped.” In the same report though, she acknowledged that he could be “formidable.”
The Biden campaign did not return a request for comment but Sanders confirmed to The Daily Beast in a text message on Thursday.
Sanders was later featured among the staff hires announced by the Biden campaign on Thursday.
“We are incredibly proud of the diverse and talented team that has come together behind this campaign’s vision to restore the soul of this nation, rebuild the backbone of the country, and unify America,” said Greg Schultz, who will serve as campaign manager. “We know this is exactly the kind of change voters are looking for and we are excited to get to work to share Vice President Biden’s vision in every corner of the country.”"
