title, publication, authors, date, year, month, url, content
My dying grandfather has confessed to a string of affairs and a love child | Life and style,www.theguardian.com,Malinche15,04-12-2019,2019,4,https://www.theguardian.com/lifeandstyle/2019/apr/12/dying-grandfather-affairs-love-child-annalisa-barbieri#128028685,"This story really isn't so uncommon. My mother forgave my father for a very similar story. So my sister and I did not judge. Twenty one years after his death I am researching his father whom he followed here from middle Europe to save his skin. Understanding the terrible tragedies the family endured made me understand why my father had to live life in the fast lane. It didn't mean he didn't love my mother, nor my sister and me. He adored all of us and did the best he could for us."
My dying grandfather has confessed to a string of affairs and a love child | Life and style,www.theguardian.com,steena,04-12-2019,2019,4,https://www.theguardian.com/lifeandstyle/2019/apr/12/dying-grandfather-affairs-love-child-annalisa-barbieri#128028286,"I think you should look at the positive side of this. Your grandfather felt the need to unburden himself and he clearly trusted you enough to be able to confess his past indiscretions. We're all only human. It's not for us to judge someone else's behaviour, and it's not because he had affairs that someone else will. Be happy that you allowed a dying man to find some peace, and don't judge him too harshly - remember the good times."
My dying grandfather has confessed to a string of affairs and a love child | Life and style,www.theguardian.com,Katewashere,04-12-2019,2019,4,https://www.theguardian.com/lifeandstyle/2019/apr/12/dying-grandfather-affairs-love-child-annalisa-barbieri#128029112,"its not realistic to tell someone they shouldn't have their views on marriage changed as a result of this. Both my parents and stepparents conducted extensive affairs when I was a child (in front of me and using me as a decoy on occasion). It destroyed my idea of what a relationship could be and made it impossible for me to trust.
Lots has changed for the OP. Don't diminish it.
I'd also like to know why Annaliese has to always go away and ask someone else. isn't she an expert in her own right and if not why not get one of the people she consults each week."
Cocktail of the week: Provisioners' calvados sour | The good mixer | Food,www.theguardian.com,Adamastor,04-12-2019,2019,4,https://www.theguardian.com/food/2019/apr/12/cocktail-of-the-week-calvados-sour-recipe-provisioners-london#128029183,"The Adamastor Calvados cocktail.
Pour calvados (or apple brandy) to taste in a glass.
Add water gradually until you achieve your preferred taste.
Drink at leisure.
A lot easier and probably a lot nicer."
My dying grandfather has confessed to a string of affairs and a love child | Life and style,www.theguardian.com,NoahDeere,04-12-2019,2019,4,https://www.theguardian.com/lifeandstyle/2019/apr/12/dying-grandfather-affairs-love-child-annalisa-barbieri#128028575,"Just love family for who they are. Family history for me revealed that Grandpa had been married before he married Nan (with no evidence of divorce but a slightly different name and date of birth on the marriage certificate), with children plus another 8 with Nan - explained some tensions between Nan and Great Aunt. And that wasn't his only misdemeanour. And an aunt turns out to be a cousin. But they're all great in their own way, and am I really perfect?"
Comedians pay tribute to Ian Cognito after standup dies on stage | Stage,www.theguardian.com,chriskilby,04-12-2019,2019,4,https://www.theguardian.com/stage/2019/apr/12/ian-cognito-standup-dies-on-stage-jimmy-carr-katy-brand#128028894,This comment was removed by a moderator because it didn't abide by our community standards . Replies may also be deleted. For more detail see our FAQs .
Comedians pay tribute to Ian Cognito after standup dies on stage | Stage,www.theguardian.com,Acer66,04-12-2019,2019,4,https://www.theguardian.com/stage/2019/apr/12/ian-cognito-standup-dies-on-stage-jimmy-carr-katy-brand#128028817,"How sad, I remember the great Tommy Cooper dying live on TV"
Nigel Farage’s Brexit party? Sorry but I’ll be washing my hair | Marina Hyde | Opinion,www.theguardian.com,BigupBrexit,04-12-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/12/nigel-farage-brexit-party-comeback-heroics#128028993,"Today, in a few hours we were promised we would be free from the EU. Yet, as it turns out, democracy was denied by a closet Remainer, who happens to reside at number 10 Downing Street.
All is not lost though. Thankfully, we have the likes of Nigel, Gerard, Tommy, Boris, Jacob, Francois and the rest of the gang who will continue the fight for our rights, and the struggle to exercise the will of the people."
Nigel Farage’s Brexit party? Sorry but I’ll be washing my hair | Marina Hyde | Opinion,www.theguardian.com,TheLibrarianApe,04-12-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/12/nigel-farage-brexit-party-comeback-heroics#128028985,"Hm. The Logo means ""Turn Right to Exit"".
Never a truer word, Nige."
Comedians pay tribute to Ian Cognito after standup dies on stage | Stage,www.theguardian.com,Dave Calvert,04-12-2019,2019,4,https://www.theguardian.com/stage/2019/apr/12/ian-cognito-standup-dies-on-stage-jimmy-carr-katy-brand#128028807,"Only saw him once, 30 years ago at Glastonbury but can atill remember it. RIP."
Nigel Farage’s Brexit party? Sorry but I’ll be washing my hair | Marina Hyde | Opinion,www.theguardian.com,hacklesup,04-12-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/12/nigel-farage-brexit-party-comeback-heroics#128028992,"Ah, there it is. Nobody can have missed the sheer volume of MPs stating in recent weeks and months that they seriously fear for their safety
This is just so depressing
Look what 3 years of Brexit has wrought
and the BBC so I imagine Sky too has that man Farage all over our bloody screens again today
a man who has achieved NOTHING but the growth of hate"
Nigel Farage’s Brexit party? Sorry but I’ll be washing my hair | Marina Hyde | Opinion,www.theguardian.com,nellieknox,04-12-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/12/nigel-farage-brexit-party-comeback-heroics#128028961,"What does Farage want?
PUBLICITY
When does he want it?
All week here in the Graun. Plus of course on our taxpayer funded state broadcaster."
Comedians pay tribute to Ian Cognito after standup dies on stage | Stage,www.theguardian.com,anatianblogger,04-12-2019,2019,4,https://www.theguardian.com/stage/2019/apr/12/ian-cognito-standup-dies-on-stage-jimmy-carr-katy-brand#128028750,Was he so bad he actually died?
Nigel Farage’s Brexit party? Sorry but I’ll be washing my hair | Marina Hyde | Opinion,www.theguardian.com,Rhys Rhodes,04-12-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/12/nigel-farage-brexit-party-comeback-heroics#128028998,"You mean a history where they massively talk themselves up, only to fall hugely short of their previous peak?
...okay."
