title, publication, authors, date, year, month, url, content
"Where Washington, D.C’s Elites Sleep",www.wsj.com,Real Estate,04-11-2019,2019,4,https://www.wsj.com/articles/where-washington-d-cs-elites-sleep-11554992950,"The Washington, D.C., area is known for its transiency, which is what makes Great Falls, Va., stand out. About 20 miles northwest of the White House and situated along the Potomac River, the roughly 25-square-mile community is close-knit. With its first land grant given out in 1709, Great Falls’s rural heritage is apparent in its old-timey village center and residences—horse farms, Tudor mansions and Craftsman houses on unusually expansive acreage for the D.C. region. With a population of about 15,500 and a median household income of $230,450, according to census data, Great Falls is mix of Beltway power brokers and Dulles..."
Will the IPO Boom Blow Up San Francisco’s Housing Market?,www.wsj.com,Real Estate,04-11-2019,2019,4,https://www.wsj.com/articles/will-the-ipo-boom-blow-up-san-franciscos-housing-market-11554997194,"Real-estate agent Jeffrey Hyland and his team recently trawled Forbes’s wealth ranking and sifted through tech databases to identify the 50 people most likely to strike it megarich from the anticipated public offerings of tech unicorns like Uber, Palantir, Pinterest, Slack, Airbnb and Postmates.
The group then sent each of those 50 people an embossed box jammed full of glossy marketing materials for the property they are peddling: a $110 million parcel of land in Tiburon, just north of San Francisco.
..."
"Raising Minimum Wage Would Cost Jobs, Say Economists in WSJ Survey",www.wsj.com,Economy,04-11-2019,2019,4,https://www.wsj.com/articles/raising-minimum-wage-would-cost-jobs-say-economists-in-wsj-survey-11554991320,"WASHINGTON—Economists surveyed by The Wall Street Journal expect that raising the federal minimum wage, even by a relatively small amount, would lead to job losses.
About a third of business and financial economists surveyed in the past week as part of The Wall Street Journal’s monthly poll said an hourly minimum wage above the current level of $7.25 an hour but below $10 would cause job losses. Some 26% said employers would start to cut payrolls in the $10.01 to $13.00 range.
..."
Rockefeller Foundation Wants to Manage Investors’ Money,www.wsj.com,Markets,04-11-2019,2019,4,https://www.wsj.com/articles/the-rockefellers-want-to-manage-investors-money-11554987601,"One of the richest and oldest foundations in the U.S. wants to start managing outside money.
The Rockefeller Foundation has created a unit that will raise funds from investors and place it in companies or products it determines are benefiting society at large.
The Rockefeller Foundation Impact Investment Management LLC will start with $30..."
Magic Johnson Exits a Lakers Flop,www.wsj.com,Sports,04-11-2019,2019,4,https://www.wsj.com/articles/magic-johnson-exits-a-lakers-flop-11554987086,"Hollywood enjoys nothing more than somebody else’s disaster. Maybe it’s the flip side of an industry built on narcissism. More likely, it’s just schadenfreude, which swirls like a current beneath a backstabber’s town. Either way, there’s a fond place in the cultural memory for show business’s biggest failures and flops—hubris like “Ishtar,” “Waterworld,” “Heaven’s Gate,” and now, of course…the 2018-19 Los Angeles Lakers.
At this point, you’ve surely heard that Magic Johnson—the most indelible Laker of them all, star of the..."
Disaster-Aid Legislation Stalls in Congress,www.wsj.com,Politics,04-11-2019,2019,4,https://www.wsj.com/articles/disaster-aid-legislation-stalls-in-congress-11554991202,"WASHINGTON—Congress is set to leave Washington for two weeks without passing a broad disaster-aid package that has been held up by a partisan feud over hurricane-recovery funding for Puerto Rico.
For weeks, Republicans and Democrats have failed to reach a resolution on the multibillion-dollar legislation, which would provide money for recovery in areas across the U.S. hit by hurricanes, wildfires, floods, and other natural disasters. Republicans and President Trump have repeatedly rebuffed Democratic efforts to include additional..."
Elizabeth Warren Proposes New Corporate Tax,www.wsj.com,Politics,04-11-2019,2019,4,https://www.wsj.com/articles/elizabeth-warren-proposes-new-corporate-tax-11554987601,"WASHINGTON—Democratic presidential candidate Elizabeth Warren is proposing a new 7% tax on the largest, most profitable U.S. companies, a move that would increase corporate tax collections by about 30% over the next decade.
Her Real Corporate Profits Tax, projected to raise $1 trillion over a decade, would apply to profits above $100 million each year, and it would be based on the world-wide posttax income companies report on their financial statements. The new levy, affecting about 1,200 companies, would come on top of the..."
Fed’s Clarida Says U.S. Economy in a Good Place,www.wsj.com,Economy,04-11-2019,2019,4,https://www.wsj.com/articles/feds-clarida-says-u-s-economy-in-a-good-place-11554989400,"Federal Reserve vice chairman Richard Clarida said the U.S. economy is doing well even though he expects growth to slow this year from last year.
Inflation remains muted, he said Thursday, and officials are assessing the effects of a slowing global economy and the U.K.’s messy divorce from the European Union.
..."
Economists See Fed On Hold at Least Through 2021,www.wsj.com,Economy,04-11-2019,2019,4,https://www.wsj.com/articles/economists-see-fed-on-hold-at-least-through-2021-11554991200,"The Federal Reserve will keep interest rates unchanged at least through the end of 2021, according to the majority of economists surveyed by The Wall Street Journal this month.
In March, the economists predicted the central bank would raise rates once this year, but Fed officials’ statements and projections since then appear to have changed the economists’ outlook.
“The..."
"Reparations for Slavery, Shelved for Decades, Is on the Table for 2020 Election",www.wsj.com,Politics,04-11-2019,2019,4,https://www.wsj.com/articles/reparations-for-slavery-shelved-for-decades-is-on-the-table-for-2020-election-11554989520,"Reparations for Slavery, Shelved for Decades, Is on the Election Table The Wall Street Journal. 22 hrs ago Joshua Jamerson © justin lane/Shutterstock The Rev. Al Sharpton asked Democratic presidential candidates the same question at his New York conference last week: Should the U.S. government research how to make amends for centuries of enslavement and oppression of African-Americans?
One by one, the candidates said yes.
“There’s a direct connection between exclusion in the past and exclusion in the present,” Pete Buttigieg—the mayor of South Bend, Ind., who is white—told a mostly African-American crowd gathered in a Manhattan ballroom. “That’s exactly why we need a rigorous, serious study.”
Studying reparations for slavery has moved from theoretical fodder for essayists, economists and historians into the mainstream of Democratic politics, a phenomenon owed to top-tier presidential candidates embracing the idea and the single bill in Congress addressing it. That legislation, known as H.R. 40, was first introduced in 1989 and for decades was ignored by presidents and congressional leaders of both parties.
Get news and analysis on politics, policy, national security and more, delivered right to your inbox
H.R. 40 would establish a federal commission to study how slavery and Jim Crow impact African-Americans today. The bill’s language calls for suggestions to “remedy” slavery’s aftereffects.
Democrats aren’t ignoring it any longer. House Speaker Nancy Pelosi this year publicly endorsed the bill—something she apparently hadn’t done in her prior 16 years as House Democratic leader. Her office declined to discuss her past views on the bill. Of the 18 Democratic candidates running for president or openly exploring a bid, at least 11 of them support the measure.
“Absolutely, I would sign that into law,” former Texas Rep. Beto O’Rourke said last week with Mr. Sharpton.
The candidates aren’t explicitly calling for direct payments from the U.S. Treasury into the bank accounts of Americans whose ancestors were slaves—and, typically, that isn’t what many African-American congressional leaders say reparations must be. It could amount to formal government recognition that slavery was an injustice committed by the U.S., for example.
“Do I expect a bag of cash to show up on my door tomorrow? No,” said Adrianne Shropshire, executive director of Black PAC, a liberal organization that conducted polling and backed candidates during the 2018 midterm election. “But I do think that we have to be able to think about … how we address the past.”
Ms. Shropshire added that support for a reparations study would help candidates seeking to connect with black voters—and perhaps some whites—concerned about wealth inequities in the U.S.
Twitter mentions of H.R. 40 increased by 150% between January and February, according to an analysis provided to The Wall Street Journal by Storyful, a company that scours social-media services and can identify trends. Storyful is owned by News Corp, the corporate parent of the Journal.
During that time, the most early prominent example of a presidential candidate speaking in support of reparations was Feb. 11, when Sen. Kamala Harris of California appeared on the popular New York-based radio program “The Breakfast Club.”
Speaking to host Lenard McKelvey, known professionally as Charlamagne tha God, Ms. Harris said: “America has a history of 200 years of slavery. We had Jim Crow. We had legal segregation in America for a very long time.” Mr. McKelvey asked her if she supported “some type” of reparations. She said yes.
Since the start of the year Ms. Harris has been mentioned on 309 occasions on Twitter in connection with H.R. 40. About 88% of those mentions came after that radio appearance, according to the Storyful analysis.
In the weeks since that interview, the topic of reparations for slavery has been searched more on Google than at any time in the past decade, according to data from Google Trends. The recent surge in interest exceeds by far the last jump in searches, which followed an essay in 2014 by Ta-Nehisi Coates in the Atlantic headlined “The Case for Reparations.”
Mr. McKelvey said he asked Ms. Harris about reparations after hearing other African-Americans, including listeners of his program, which reaches four million to five million people a week, express interest. But he said the subsequent conversation in the 2020 Democratic nominating contest has been short on specifics.
“The follow-up question should’ve been, ‘What does that reparations plan look like?’” he said.
Some elected Democrats have also expressed disappointment with the conversation. Sen. Cory Booker of New Jersey plans to introduce a Senate version of H.R. 40, but he said at a recent CNN town hall that inequities between blacks and whites has been “reduced to just a box to check on a presidential list, when this is so much more of a serious conversation.”
When Mr. Coates asked President Obama about reparations in 2016, the Democrat said: “The bottom line is that it’s hard to find a model in which you can practically administer and sustain political support for those kinds of efforts.” A spokesman for Mr. Obama declined to comment. President Trump hasn’t addressed H.R. 40.
Several Republican senators say they have reservations about H.R. 40. GOP control of the Senate and the White House are the main reason Democrats in Congress, even some co-sponsors of H.R. 40, are skeptical it will become law.
Mr. Booker’s bill would face resistance on the Judiciary Committee, which would be the vessel for such legislation to see the Senate floor. “I think it’s too remote in time, I think it’s too divisive and I don’t think it’s good for the country, quite frankly,” Judiciary Chairman Lindsey Graham (R., S.C.) said this week.
Sen. John Kennedy (R., La.), a Judiciary Committee member, said he doesn’t think anyone alive today should be held responsible for slavery. “I believe in personal responsibility,” he said.
Rep. Sheila Jackson Lee (D., Texas), lead sponsor of H.R. 40, acknowledged that her bill doesn’t top House Democrats’ agenda. She noted the House Judiciary Committee, which would consider it, is focusing on wide oversight over the Trump administration, including the Mueller report. “We’re able to do two things at once,” she said, but added: “I know that you get in the queue.”
Majority Whip James Clyburn, the highest-ranking African-American in Congress, said in an interview he thought H.R. 40 could pass by year’s end.
The reparations bill appears affixed to the Democratic presidential primary, for now at least, as candidates court black voters. There is scant public polling on reparations, but two polls in the past four years show most African-Americans in support and most whites opposed.
It isn’t a sure bet that black voters would be moved by pledges around reparations. Jacqueline Foster, a retired educator from Queens, N.Y., attended the Sharpton conference last week and was skeptical of the candidates. “They said what they think a black audience would want to hear,” she said.
Write to Joshua Jamerson at joshua.jamerson@wsj.com
"
