title, publication, authors, date, year, month, url, content
Powerful Storms in South Kill at Least Three People,www.wsj.com,U.S.,04-14-2019,2019,4,https://www.wsj.com/articles/two-children-killed-after-storms-hit-texas-11555202054,"Powerful storms that killed at least three people swept across the South on Sunday after spawning suspected tornadoes that left more than 20 people injured and multiple homes and businesses damaged or without power.
One person was killed in northeastern Mississippi when a tree crashed onto his trailer, Monroe County Road Manager Sonny Clay said at a news conference, adding that a tornado had struck. Another 19 were taken to hospitals, including two who were in critical condition.
..."
Sudanese Demonstrators Press for Civilian Government Transition,www.wsj.com,World,04-15-2019,2019,4,https://www.wsj.com/articles/sudanese-demonstrators-press-for-civilian-government-transition-11555272959,"Thousands of demonstrators staged sit-ins outside Sudan’s Defense Ministry in defiance of curfews this weekend, as organizers of protests that forced the ouster of long-serving President Omar al-Bashir pressed the military to immediately hand power to a transitional civilian government.
The Sudanese Professionals Association, the main organizer of nationwide protests that began in December, said a civilian administration was the only entity that would represent real regime change, as the military was solely concerned with..."
"In New Ebola Outbreak, Health-Care Workers Come Under Attack",www.wsj.com,Julia Steers,04-14-2019,2019,4,https://www.wsj.com/articles/in-new-ebola-outbreak-heath-care-workers-come-under-attack-11555260780,"BUTEMBO, Democratic Republic of Congo—The smell of burning plastic and the clatter of gunshots caught Pamela Kiyangaliya in the shower, where she was decontaminating after a long day of treating patients in what has become the second-deadliest Ebola outbreak in history.
Pulling on her scrubs, Ms. Kiyangaliya watched the tented roofs of the makeshift treatment center erupt in flames. Doctors and patients sprinted toward her, shouting. Behind them raced a group of men firing AK-47s.
..."
‘Freedom’s Detective’ Review: The First War on Terror,www.wsj.com,Books,04-14-2019,2019,4,https://www.wsj.com/articles/freedoms-detective-review-the-first-war-on-terror-11555269763,"Hiram C. Whitley was appointed director of the Secret Service in 1869, only the second person to serve in that role since the agency’s founding four years earlier. His tenure ended in 1875 when he became entangled in one of the numerous scandals of Ulysses S. Grant’s presidency. Before that, however, he presided over this federal agency, originally designed to crack down on counterfeiting, during a fascinating, little-known period when it waged a brief covert campaign against white racial terrorism in the Reconstruction-era South. In “Freedom’s Detective: The Secret Service, the Ku Klux Klan and the Man Who Masterminded..."
The Theory Behind My Disinvitation,www.wsj.com,Opinion,04-14-2019,2019,4,https://www.wsj.com/articles/the-theory-behind-my-disinvitation-11555269706,"Recently I was disinvited from giving a commencement address at the small Liberal Arts College within Concordia University in Montreal. My speech was to be on the study of great books, to which that college is devoted. The invitation was a surprise, and the rejection less of one, because I am a white male conservative professor. Though I teach at Harvard and lecture elsewhere fairly often, I don’t get invitations for occasions when universities put their principles on display. My last commencement address was for a private high school in rural California.
My..."
NCAA Madness Machine Predictor Rules the World,www.wsj.com,Opinion,04-14-2019,2019,4,https://www.wsj.com/articles/ncaa-madness-machine-predictor-rules-the-world-11555264931,"I was truly skeptical of the sports editors’ tool for completing an NCAA basketball bracket (“The Madness Machine Is Here to Help You Fill Out Your Bracket,” Sports, March 19). However, I decided to use the tool to complete my bracket and promised myself that I wouldn’t change any selections the tool made. I had to swallow really hard when it predicted Virginia, Michigan State, Texas Tech and North Carolina, with Virginia beating Texas Tech in the final.
I stayed the course and completed my bracket, and on last Monday night..."
"Students, Graduates May Be Next Targets of College-Admissions Scandal Investigation",www.wsj.com,U.S.,04-15-2019,2019,4,https://www.wsj.com/articles/students-graduates-may-be-next-targets-of-college-admissions-scandal-investigation-11555272625,"BOSTON—Federal prosecutors have sent letters to some college students or graduates whose parents have been implicated in the nationwide admissions bribery and fraud scandal, informing them that they may also be targets in the probe, according to a person familiar with the matter.
Prosecutors sent the letters to young adults believed to have known about the schemes that aimed to help get them into college, that person said. Such so-called target letters don’t mean the students or graduates who received them will face charges...."
"Holy Bleep, Tiger Woods Did It",www.wsj.com,Sports,04-15-2019,2019,4,https://www.wsj.com/articles/holy-bleep-tiger-woods-did-it-11555276331,"All that’s really left now in sports is for the Cleveland Browns to win the Super Bowl.
Because Tiger Woods did it.
Maybe you had a strong opinion about whether or not he’d ever do it again.
Tiger..."
Silicon Valley Housing Crisis Ensnares Stanford,www.wsj.com,U.S.,04-14-2019,2019,4,https://www.wsj.com/articles/silicon-valley-housing-crisis-ensnares-stanford-11555254001,"PALO ALTO, Calif.—Stanford University is locked in a dispute with regional officials over whether it is providing enough affordable housing as part of a major planned expansion, drawing one of America’s most prestigious institutions of higher education into Silicon Valley’s housing crisis.
The university is suing Santa Clara County, its home for 125 years, over a new law requiring that a certain share of any new housing development is priced below prevailing market rates.
..."
Modi’s Reform Disappointment,www.wsj.com,Opinion,04-14-2019,2019,4,https://www.wsj.com/articles/modis-reform-disappointment-11555271561,"Most pollsters say Indian Prime Minister Narendra Modi will win a second five-year term in a general election that began on Thursday to elect parliament’s lower house. As Indians vote across one million polling stations over five weeks, the question is whether their attention, recently focused on border clashes with Pakistan, has returned to a lackluster economy.
Mr...."
