date,label,text
2017-04-03,0,tony blair has accused labour of failing the british people by not being an effective opposition as he slammed the ultra left takeover of the party ask yourself one simple question he said in the prime minister s office in tory high command how much of their time do they spend worrying about the prospect of a labour victory at the present time i would guess zero we have got to make them wake up every morning and fear us the former leader s comments were made in an interview with the labour mps ruth smeeth and wes streeting for progress magazine blair said that the current incarnation of the party under jeremy corbyn s leadership was putting principle before power and that labour has only won when it has been at the cutting edge of modernity a lurch to the left between 1979 and 1983 had cratered the labour party the former prime minister said i do not want to depress you but there is a big difference between the 80s and now in the 1980s the ultra left never took control they tried but they failed the moment when denis healey beat tony benn was the moment when the labour party was saved asked how labour could remain relevant blair replied urgency because politics moves faster today and brexit it is the defining moment in british history we have to say the government s got a mandate to negotiate brexit but we are going to hold them to account that it is not going to damage jobs that it is not going to damage the economy his latest comments follow an attack on labour in february in which he accused a debilitated party of allowing brexit to happen i hate to say that but it is true he said what this means is that we have to build a movement which stretches across party lines and devise new ways of communication in his first major intervention since the referendum blair declared in february that it was his mission to persuade the uk to stay in the eu calling for remain supporters to rise up in defence of what we believe the people voted without knowledge of the true terms of brexit he said as these terms become clear it is their right to change their mind our mission is to persuade them to do so while he was forming an institute to make the case against brexit at any cost blair denied he was considering creating a new centrist political party it was necessary to raise the alarm about the jumble of contradictions in theresa may s arguments for brexit according to blair they are not driving this bus they are being driven he said we will trigger article 50 not because we now know our destination but because the politics of not doing so would alienate those driving the bus the surreal nature of the exercise is enhanced by the curious absence of a big argument as to why this continues to be a good idea blair s position contrasts sharply with that of corbyn who took the decision to order his mps to vote in favour of the government s brexit bill in february four shadow cabinet ministers resigned so they could be among the 47 labour mps to vote against brexit the liberal democrat leader tim farron and nick clegg the former deputy prime minister and now his party s brexit spokesman have welcomed blair s intervention in the debate farron said in february blair s speech shows how badly corbyn s labour has failed as an opposition labour have waved the white flag and given theresa may a blank cheque for a divisive hard brexit
2017-06-25,0,here is our main story about the debate and here is john crace s sketch that is all from me for tonight thanks for the comments nigel farage the former ukip leader is claiming the audience was biased against ukip he also says bbc executives should be sacked because of this although if you watch the video of him saying this on his lbc show instead of just listening you might detect a smile on his face as he is saying this that suggests at least it did to me that he knows he is not really being serious at this point and ukip has put out a press notice headed powerful and courageous performance by ukip leader it quotes the ukip deputy leader peter whittle saying it is clear that paul nuttall showed a resolve courage and leadership that has been lacking from the rest of the westminster establishment paul spoke to people in britain who are living in the real world unlike the others he was honest direct and confident about the future of britain despite a blanket of denial from the other speakers he was prepared to talk about the real threats faced by our society he was prepared to call out islamic extremism for what it is rather than simply restate the platitudes we are so used to he was realistic about the impact of immigration on jobs and our public services the lib dem press statement about the debate is causing much merriment in the wood panelled spin room of the cambridge union the first drama of the night came when labour s emily thornberry burst into an interview with tory cabinet minister damian green live on bbc news the work and pensions secretary was among several high profile tories including brexit secretary david davis and culture secretary karen bradley who paced the room speaking to broadcasters about amber rudd s performance but labour sources said thornberry had been scheduled to be on channel 4 news with green until conservatives had told labour they did not want a two way debate stood down thornberry decided to take matters into her own hands and join green s post debate interview live on air lib dem campaign chiefs declared themselves chuffed with tim farron s performance particularly the audience gleeful reception of his final joke that viewers should switch off for rudd s statement and watch bake off instead he smashed it one source said lib dem president sal brinton said farron had needed to make an impact given how little he was recognised by the wider public however if cheers from the crowd were anything to go by it was corbyn who won labour sources said the labour leader had deliberately held back from criticising the prime minister too incessantly for not turning up intending instead to focus on the message of the party s manifesto while smaller parties tore into rudd he is the only person in that room who could be prime minister and so he behaved like one a source said tory sources pointed out however that the labour leader had not mentioned brexit in his opening or closing statements or in his answer about leadership how can you start the negotiations in 11 days time and not mention the biggest issue facing this country one said labour admitted corbyn had not mentioned the issue but said that was a deliberate attempt to have broad resonance he said we are fighting for the many not the few we want a brexit for the many not the few the source said this is from the bbc s esther webber if you are reading this you are a guardian reader and that means you featured in tonight s debate tim farron the lib dem leader said climate change was not just a matter for hair shirt muesli eating guardian readers he said if it is simply for hair shirt muesli eating guardian readers to solve climate change it ain t going to solve the problem we are all stuffed we can make ourselves energy self sufficient in renewable energy the bbc s jeremy vine says he found this puzzling crikey this is just out this is what political journalists and commentators are saying about the debate there is no real consensus and even those who are naming a winner seem to concede it was not clear cut on this one it is a case of you pays your money or not in the case of the guardian online although please do sign up to become a member if you have not already from sky s faisal islam from the sunday times tim shipman from itv s robert peston from sky s adam boulton from the mirror s ben glaze from the spectator s james forsyth from the guardian columnist paul mason from buzzfeed s marie le conte from reaction s iain martin from the independent s john rentoul from rosa prince author of biographies of may and corbyn from the ft s jim pickard from the mail on sunday s dan hodges here is the labour party s statement about the debate this is from a spokesperson for jeremy corbyn tonight s debate highlighted the clear choice at this election between a labour party that will invest in and transform our society to build a britain for the many and a conservative party that has held people back and stand only for the few only jeremy corbyn or theresa may will be prime minister after june 8 but tonight in what was effectively a job interview for number 10 only one of the two candidates bothered to turn up theresa may will not even debate her opponents here in the uk in an election she called how on earth can she be trusted to negotiate in europe and get the best deal for the british people jeremy corbyn clearly won the debate he showed himself as a leader who wants to change the country for the better to make it work for the many not just a few by contrast theresa may s refusal to take part showed her weakness it is a sign of a tory campaign which is treating the public with contempt trying to hide from scrutiny they showed tonight they have no answers to the challenges facing britain and that they would make pensioners and working people worse off tonight proved that jeremy corbyn and labour are the only party that will build a britain for the many not the few like any content rich political event a party conference speech a budget a manifesto a debate offers numerous potential lines and it can be hard to work out immediately which ones if any have any lasting significance and a seven way debate to use a technical term employed by the sunday times tim shipman see 8 44pm is a clusterfuck there were not any stand out winners but most attention was focused on jeremy corbyn and he did well his attack on paul nuttall over food banks was one of the highlights of the debate he was authentic and passionate and increasingly the cchq charge that he is an implausible pm seems to look less convincing the other main figure on the stage tonight was amber rudd in a six against one scenario she seemed to hold up quite credibly and she wins the message discipline prize of the night one derided by the media but important nonetheless for her constant jibes about labour s money tree as for the others tim farron had some of the best soundbites of the evening and his final line about not giving theresa may your time because she is not giving hers to you was one of the best lines of the evening caroline lucas predictably and leanne wood a bit less predictably had some outstanding moments their two pronged attack on rudd over the tories being in coalition with ukip see 8 09pm was particularly effective and wood came out with the best put down of the whole evening when she depicted nuttall as someone who would try to divorce his wife without paying we all know about blokes like you see 8 49am angus robertson was particularly effective when it came to challenging nuttall on migration and even paul nuttall was better than he was in last week s debate although as the only leave voter on the panel it is hard to credit how he ended up representing over 50 of the country there may not have been a winner but there was a loser may herself long after we have all forgotten anything that was said last night we will remember that may did not show up earlier i wrote that it seemed to make sense for a pm with a lead in the polls to avoid a debate like this see 2 57pm now i am not so sure david cameron managed to wriggle out of one of the debates in 2015 but it went ahead without a conservative and they called it a challengers debate as if that was an established constitutional norm no one particularly noticed that cameron had stayed at home but when rudd tried to answer the question about leadership by praising the abilities of someone who was not even there see 8 51pm may s absence was transparent and not particularly explicable perhaps voters will decide they do not mind very much but if may s ratings continue to slide even further this will inevitably be seen as a contributing factor nuttall says tonight was like groundhog day ukip will always be the outsider but it has been proven right on brexit on immigration on grammar schools and on protecting services lucas says the country stands at at crossroads one more mp from the other parties but more green mps would be transformative corbyn says the real choice is between a labour government and a conservative one vote labour for the many not the few robertson says this is about the kind of country we should be the snp will always work with others to make the country better wood says plaid is the only party putting wales on the agenda but plaid mps will stand up for the whole of the uk she urges people to give them the mandate to allow them to stand up for wales farron says rudd is coming up next the pm could not be bothered to turn up bake off is coming up next make yourself a brew you are not worth her time so do not give her yours rudd says the government needs to be at its strongest to take the uk through brexit only may can do that and thats it verdicts reaction and a summary coming up next this is from the sun s matt dathan robertson says may is the u turn queen that is not the leadership we require he says the snp are the third party at westminster and provide the real opposition he says farron says may should have turned up for the debate he says he grew up in preston he saw what it meant when people were brought up in poverty
2017-06-25,0,the russian government is suspected of being behind a cyber attack on parliament that breached dozens of email accounts belonging to mps and peers although the investigation is at an early stage and the identity of those responsible may prove impossible to establish with absolute certainty moscow is deemed the most likely culprit the disclosure follows the release of the first details of the sustained cyber attack that began on friday fewer than 90 email accounts belonging to parliamentarians are believed to have been hacked a parliamentary spokesman said amid fears that the breach could lead to blackmail attempts officials were forced to lock mps out of their own email accounts as they scrambled to minimise the damage from the incident the network affected is used by every mp including theresa may the prime minister and her cabinet ministers for dealing with constituents the british security services believe that responsibility for the attack is more likely to lie with another state rather than a small group of individual hackers the number of states who might mount such an attack on the uk is limited and in addition to russia includes north korea china and iran a security source said it was a brute force attack it appears to have been state sponsored the nature of cyber attacks means it is notoriously difficult to attribute an incident to a specific actor mps contacted by the guardian said the immediate suspicion had fallen upon foreign governments such as russia and north korea both of which have been accused of being behind hacking attempts in the uk before in may russia was linked to the hacking of france s computer systems during the presidential campaign taking data from emmanuel macron s campaign and leaking it to the public us officials have previously said they were seeking to share their experience of the 2016 presidential election where us intelligence agencies concluded that russia hacked and leaked democratic party communications and disseminated fake news with the aim of getting donald trump elected the attack on the houses of parliament sought to gain access to accounts protected by weak passwords the estate s digital services team said they had made changes to accounts to block out the hackers and that the changes could mean staff were unable to access their emails a parliamentary spokesman said those whose emails were compromised had used weak passwords despite advice to the contrary investigations are ongoing but it has become clear that significantly fewer than 1 of the 9 000 accounts on the parliamentary network have been compromised as a result of the use of weak passwords that did not conform to guidance issued by the parliamentary digital service as they are identified the individuals whose accounts have been compromised have been contacted and investigations to determine whether any data has been lost are under way he said it comes just over a month after 48 of england s nhs trusts were hit by a cyber attack britain s national cyber security centre ncsc is understood to have played a leading role in investigating the wannacry malware that affected the nhs and other organisations in may and concluded that a north korean hacking team had been responsible an ncsc spokesperson said the ncsc is aware of the incident and is working around the clock with the uk parliamentary digital security team to understand what has happened and advise on the necessary mitigating actions the ncsc which started its operations in october last year is the public face of the uk s secret surveillance agency gchq which works closely with the us national security agency both are engaged in hacking targets in russia china north korea and elsewhere around the world conservative mp andrew bridgen said such an attack absolutely could leave some people open to blackmail constituents want to know the information they send to us is completely secure he said liam fox the international trade secretary connected the news to reports that cabinet ministers passwords were for sale online we know that our public services are attacked so it is not at all surprising that there should be an attempt to hack into parliamentary emails he said and it is a warning to everybody whether they are in parliament or elsewhere that they need to do everything possible to maintain their own cybersecurity an email sent to all those affected seen by the guardian said earlier this morning we discovered unusual activity and evidence of an attempted cyber attack on our computer network closer investigation by our team confirmed that hackers were carrying out a sustained and determined attack on all parliamentary user accounts in an attempt to identify weak passwords these attempts specifically were trying to gain access to our emails we have been working closely with the national cyber security centre to identify the method of the attack and have made changes to prevent the attackers gaining access however our investigation continues the changes are believed to have stopped mps and their offices from accessing emails on mobile phones and tablets outside westminster access to systems from the westminster estate has not been affected the email said before adding that further disruption was likely the latest attack was publicly revealed by liberal democrat peer lord rennard on twitter as he asked his followers to send any urgent messages to him by text angela rayner labour s shadow education secretary also tweeted if you try and contact me by my parliamentary email address then l will not be able to respond currently this is due to a cyber attack henry smith the tory mp said sorry no parliamentary email access today we are under cyber attack from kim jong un putin or a kid in his mom s basement or something the government s national security strategy said in 2015 that the threat from cyber attacks from both organised crime and foreign intelligence agencies was one of the most significant risks to uk interests the national crime agency said it was working with the ncsc but the centre was leading the operational response
2017-06-10,0,on thursday it will be exactly two years since jeremy corbyn with only minutes to spare secured the backing of the 35 mps required to launch his labour leadership bid so unsure was his small team that he would be able to muster enough parliamentary signatures that they drafted two press releases one in the event that he made the ballot the other that he did not the latter denouncing mps for preventing a proper debate was jettisoned amid much relief a curious mix of old style rallies and online activism by a small team of digital savvy supporters caused his humble campaign to flourish into a political uprising that floored the labour establishment his team were repeatedly told that their plans to win over young voters at a general election with the same mix of town hall campaigning and online activism would deliver only humiliation and a tory landslide while the debate over may s failings and the importance of strong campaigns by labour mps will rage for weeks many of corbyn s fiercest critics are happily admitting he proved them wrong labour did not win the election despite all the doubts however it appears that corbyn s vow to go after the traditionally unreliable electoral support of the young paid off in many areas it was helped by the underestimated skills of a group of aides and supporters who had been battle hardened by almost two years of perpetual campaigning those involved in the campaign who spoke to the observer said young voters were reached with new campaigning techniques both online and on the ground deployed by both labour hq and a merry band of corbyn supporting groups they also all said however that there was one factor that made the whole thing work corbyn s unspun personality and his willingness to be upfront about his beliefs the spirit of that last minute leadership bid is still in the minds of some of those he has energised said one young activist who gave up a day of work to turn out voters in westminster north a marginal seat that labour held he clearly did not want to get into power he spoke about things he cared about because he had nothing to lose he just wanted to broaden the debate and suddenly people felt like someone was being honest for the first time while there is no hard data yet on the turnout of 18 to 24 year olds only 43 of whom voted in 2015 there is already a clear pattern of turnouts increasing significantly in areas with many young voters labour also did best where turnout increased the most they came out for corbyn it is believed that the young had a hand in key victories including in sheffield leeds and canterbury so how was corbyn s unspun outsider appeal to young voters turned into hard votes against all the odds insiders insist there was no magic bullet but two pieces of obscure software developed by labour hq are widely acknowledged to have played a significant role the first helped turn a swollen base of activists into proper campaigners called chatter it allowed labour s growing base of activists to have proper text exchanges with people they canvassed rather than dispatching them blunt campaigning messages it armed campaigners with the ability to actually make people feel like they were being listened to on a local level said a senior labour figure the second was the closest thing labour had to a secret weapon over the last year the party developed a tool called promote its effect was to unleash the power of facebook advertising to local parties across every constituency the tool combined facebook information with labour s voter data but allowed senior activists and candidates to use it to send locally based messages to the right sections of their electorates labour is said to have spent heavily through the tool people were seeing stories about their school and hospital not just national messaging like the tories were doing said a campaign source it has played in to the fact that people felt labour s message was authentic and speaking to them and their lives you see that in things like the polling on what policies people recall they recalled positive offers from the labour party and negative things about the conservatives there was also a successful voter suppression drive a tactic designed to stop supporters of rival parties from turning out labour had been gifted such an issue with the so called tory dementia tax on care costs attack ads on the issue were dispatched far and wide to 200 seats crucial to the online campaign most labour insiders now say was the leaking of the labour manifesto days before it was due to be released in contrast to the dull negativity of the tories it had a packed programme of promises when the manifesto leaked people were talking about the policies and they had wall to wall coverage said matt zarb cousin corbyn s former spokesman and a leading advocate online it was brilliant he was much more recognised as an opposition leader than ed miliband people were interested in the manifesto and it was costed while labour insiders said the leak did not come from the top the communications director seumas milne was seen in a serious panic when news of the leak broke its release was a moment when the campaign switched away from brexit and on to austerity but corbyn s unusual appeal and status as an outsider meant that there was suddenly a huge amount of online coverage the party did not have to pay for it secured a coveted prize of organic sharing online users deciding to pass on campaign material to their friends and family voluntarily the tories spent vast amounts on digital advertising and local newspaper ads but it was so negative that they got hardly any organic sharing no one wanted to be associated with those messages said a senior campaign figure a video of corbyn interjecting during theresa may s facebook live chat on itv received 4 million views corbyn challenging may to a debate reached 1 4 million people a video on may s security record reached 2 3 million people as for the old school rallies corbyn addressed 100 000 voters at 90 events during the campaign it was the symbolism and energy of the events however that gave them significance just before the election there were the six simultaneous rallies very traditional in style said a senior figure clearly that is a few thousand people who are highly committed and go to rallies but then the video of the events reached over 2 million people and then there were the unofficial helpers from momentum the campaign set up out of corbyn s leadership bid during the campaign they were boosted by support given by figures from bernie sanders us presidential bid grayson lookner jeremy parkin kim mcmurray and erika uyterhoeven were sanders staffers who offered advice in activist training sessions focusing on sending activists to the right places and ensuring people turned out training sessions took place in london sheffield hull and elsewhere its mynearestmarginal com site was used by more than 100 000 people we reached out way beyond our own bubble we have 24 000 members said adam klug one of the central momentum team they revamped the phone canvassing app they had used for corbyn s leadership campaign to get people out on the doorstep there was also a volunteer army of film makers and video editors making viral social media content one edgy film daddy why do you hate me received 7m views we are a smaller bureaucracy so we can get things signed off but we ran a clean positive empowering campaign klug said the dual attack of labour s official campaign and corbyn s personal activists was mirrored in labour s london hq on election night while staffers were toiling away on the eighth floor on a diet of tea and pizza more raucous corbyn supporters were already partying on the second floor the get out the vote effort was clearly effective in some areas volunteers signed up online to help and were dispatched to a nearby marginal seat sometimes via the momentum mynearestmarginal com and electiondaypledge com sites it was like clockwork said one volunteer directed to the westminster north marginal she went to the front room of someone who knew she was coming and told her the exact door numbers to knock on and what time to knock several sources said so many volunteers flooded the constituency that some had to be sent elsewhere tariq persaud parkes is an activist and branch secretary in hastings and rye where the home secretary amber rudd s majority dropped from almost 5 000 to 346 we had 10 times more activists than in 2015 he said momentum activists were at the college and the university signing people up left right and centre they got about 2 000 people registered to vote the whole corbyn gamble had been facilitated by a huge voter registration drive while many of the attempts to sign up the young were non partisan the connection between the enthusiasm to sign up and support for corbyn is clear to many of those involved a flurry of interest from leading artists in the grime music scene gave the movement new impetus and a viral outsider appeal that complemented corbyn s non mainstream political message his online interview with the rapper jme was widely shared backing from stormzy and rapper akala followed it led on to endorsements from other parts of the music world nme and kerrang magazine stormzy s endorsement was more of a side effect although it probably did help with turnout said fraser watt a campaigns officer for london young labour structural factors are more important labour appealed to a generation that came of age during the financial crisis josh cole from the non partisan rizeup voter registration campaign said the political landscape has changed a lot and a lot of people probably looked at the result of the eu referendum and wished they had been a part of it we are not falling for that again we are getting involved the choices are also clear an extreme right wing and an extreme left wing the choice on the table was simple to understand simon woolley director and one of the founders of operation black vote said that independent endorsements for corbyn had helped to empower the young and black and ethnic minority communities what we did with some significant success was work on voter registration he said in croydon there was a fantastic turnout an area with a bme voter base of 32 000 in that seat a minister was ousted klug added the word apathy is thrown at young people when really they feel they are not represented jeremy and this manifesto really cut through young people saw tuition fees investment in social care housing education a vision for society that they believed in and that they would benefit from
2017-03-29,0,this letter sets out the deep and special partnership we hope to enjoy as your closest friend and neighbour with the european union once we leave the dear donald letter begins warmly almost lovingly as the prime minister makes clear she does not want to weaken europe by leaving it the use of the word special usually reserved for trips to washington suggests she wants to emulate the transatlantic alliance but at more of an arm s length distance than before we want to make sure that europe remains strong and prosperous and is capable of projecting its values leading in the world and defending itself from security threats we therefore believe it is necessary to agree the terms of our future partnership alongside those of our withdrawal from the european union though the language remains constructive this is a much more controversial veiled threat in eliding britain s security responsibilities with its desire for economic gain so explicitly may will be accused of holding a fearful continent to ransom give us your markets or we will leave you at the mercy of terrorists and russians we will of course continue to fulfil our responsibilities as a member state while we remain a member of the european union and the legislation we propose will not come into effect until we leave there is an unspoken climbdown here earlier talk of restricting the residency rights of new eu immigrants as soon as article 50 was invoked has been quietly dropped by postponing any changes to their legal status until march 2019 at the earliest may has avoided inflaming tensions further it is the expectation of the government that the outcome of this process will be a significant increase in the decision making power of each devolved administration there are not many carrots offered to scotland in the letter but this is one of them a reminder that when powers return from brussels many of them will go to holyrood as well as westminster whether the opportunity to make fisheries and forestry policy for example will compensate for losing the single market is another matter if however we leave the european union without an agreement the default position is that we would have to trade on world trade organisation terms may was careful not to repeat her threat of walking away without a deal in her speech to the house of commons but here it is towards the top of the letter as a negotiating gambit it is perhaps essential to show britain has other options but it will raise fears again at home that the government really believes it can walk away with nothing from the talks in security terms a failure to reach agreement would mean our cooperation in the fight against crime and terrorism would be weakened just in case the earlier veiled threat was not explicit enough may rams home the point that europe needs britain s spooks and soldiers there are echoes of trump in the hint that the western military and security alliance comes at an economic price less so the founding principles of nato we also know that uk companies will as they trade within the eu have to align with rules agreed by institutions of which we are no longer a part just as uk companies do in other overseas markets there were hints of wriggle room here from may on the vexed question on whether the european court of justice has ultimate jurisdiction over free trade within europe the brits seem to be suggesting this can stop at the border in her speech may promised to put an end to the jurisdiction of the european court of justice in britain perhaps this means it can kick in at dover and govern international trade without touching the domestic third rail we will need to discuss how we determine a fair settlement of the uk s rights and obligations as a departing member state in accordance with the law and in the spirit of the united kingdom s continuing partnership with the eu another more emollient sounding message here on the question of the divorce bill with the threat of haggling over the cd collection still contained within we will pay something but not anything the brits seem to be saying do not get clever with the lawyers the point is we are leaving is the kicker the free trade agreement between the united kingdom and the european union should be of greater scope and ambition than any such agreement before it so that it covers sectors crucial to our linked economies such as financial services and network industries may again helps herself to a big slice of cake here with little sign of how she intends to reconcile it with eu priorities the real haggling over trade is still to come but the prime minister again insists she can strike one of the deepest free trade deals in history in one of the shortest time frames imaginable and still have room for cherries and icing on top perhaps now more than ever the world needs the liberal democratic values of europe we want to play our part to ensure that europe remains strong and prosperous and able to lead in the world projecting its values and defending itself from security threats i can help you deal with donald trump europe s security is more fragile today than at any time since the end of the cold war but you also need me to keep vladimir putin at bay the united kingdom s objectives for our future partnership remain those set out in my lancaster house speech of 17 january and the subsequent white paper published on 2 february i really meant that bit about walking way without a deal
2017-06-09,0,jeremy corbyn said the face of british politics had changed and called on theresa may to resign after her snap general election left britain with a hung parliament 11 days before brexit talks begin speaking as he was returned as mp for islington north the labour leader declared politics has changed politics is not going back into the box where it was before what is happened is people have said they have had quite enough of austerity politics corbyn said may had called the election to assert her authority she wanted a mandate well the mandate she is got is lost conservative seats lost votes lost support and lost confidence i would have thought that is enough for her to go the conservative leader appeared crushed as she accepted her victory in the constituency of maidenhead with a shaky speech in which she repeated her resolve to provide the stability the country needed before brexit talks if the conservative party has won the most seats and most votes then it will be incumbent that we will have that period of stability and that is what we will do she said but her long term future remained uncertain by the early hours of friday morning pressure was mounting on the prime minister as tory mp anna soubry broke ranks to say may should consider her position it is bad she is in a very difficult place it was a dreadful night i ve lost some excellent and remarkable friends she said this is a very bad moment for the conservative party and we need to take stock and our leader needs to take stock senior conservative sources said recriminations were already beginning among cabinet ministers with david davis singled out by some of his colleagues for pressing may to gamble on holding the snap poll there are a lot of very very pissed off people in the cabinet and with him in particular said one the former chancellor george osborne described it as a catastrophic result while another conservative mp said she needs to go the tight result first indicated in a shock exit poll on thursday night that showed the conservatives likely to be the largest party in a hung parliament represented a disastrous night for may shortly before 6am on friday labour held two key seats in southampton to bring its total to 258 so far and deny the conservatives the possibility of securing a majority it was projected the tories would end up with fewer than 320 seats the failure of the prime minister s election gamble taken when the party was more than 20 points ahead in the polls triggered uncertainty on the eve of brexit talks causing a drop in the value of sterling speaking from his home in islington north london shortly after midnight the labour leader said whatever the final result we have already changed the face of british politics labour secured a first ever win in the previously safe conservative seat of canterbury and also took control of peterborough which was one of the brexit capitals of the country there were also gains for corbyn s party in battersea stockton south bury north and vale of clwyd a difficult night for the snp delivered one of the biggest scalps with the party s westminster leader angus robertson losing his seat in moray the former lib dem leader and deputy prime minister nick clegg spoke out about the need for the government to be sensitive about huge societal divisions as he was defeated by labour in sheffield hallam the party s leader tim farron hung on to his seat in cumbria while vince cable regained the twickenham seat he lost in 2015 the conservative minister ben gummer a close ally of the prime minister and a key author of the party s manifesto lost in ipswich while the financial secretary to the treasury jane ellison was defeated in battersea south west london the home secretary amber rudd faced a recount in a tight race in hastings but just held on it was a bad night for ukip in which the party s leader paul nuttall came third in boston and skegness and it was crushed in its former seat of clacton the foreign secretary boris johnson said the conservatives had to listen to constituents as his own majority fell but bookies also slashed the odds of him becoming the next tory leader the shock result came after a gruelling seven week battle in which supporters of corbyn flocked to almost 100 rallies across the country in a vibrant and energetic campaign the labour leader ended a tour of several seats starting in glasgow on the final day of campaigning with a speech on the edge of his constituency in islington where he said that labour s anti austerity message represented the new centre ground of british politics corbyn sustained a string of attacks from conservatives and also parts of the media with a number of newspapers calling on their readers to reject him in thursday s poll john mcdonnell the shadow chancellor hit out at the negative and nasty tactics of his opponents insisting labour had stuck to upbeat arguments i think it does change the nature of political discourse i think people have got fed up with the yah boo politics and some of the nasty tactics that have gone on recently earlier he told the guardian that may s general election campaign in which he and corbyn were accused of being terrorist sympathisers was an exact reflection of zac goldsmith s conservative bid to become london mayor which triggered anger and accusations of dog whistle politics may s effort was seen as more turbulent given her u turn over social care plans and the decision to base the entire thrust of the campaign on her character appearing to backfire recriminations focused on the party s manifesto which caused division at the top of the party holding on to his seat with a big majority the labour deputy leader tom watson said it looks likely to be a very bad result for theresa may she said it is a fact that if we lose just six seats we will lose our majority and jeremy corbyn will become prime minister we do not yet know the final result but we intend to hold her to that fears that hung parliament projected would delay brexit negotiations sent the pound plunging in the minutes following the exit poll publication the pound fell as much as 2 to 1 27 the lowest level in six weeks but then stabilised while dealers awaited the first actual results jeremy cook the chief economist at world first said that if the exit poll proved to be correct it could drive sterling to 1 24 although not as low as the levels it plunged to following the brexit vote almost a year ago one insider in labour hq known as south side said an entire floor had been converted into several war rooms scattered with whiteboards television screens and lists of seats gathered there were key figures such as labour s general secretary iain mcnicol and key corbyn advisers including seumas milne his deputy steve howell and the author of the manifesto andrew fisher conservative advisers had appeared relatively confident about winning a majority as they headed into the final 24 hours privately they were discussing the potential for a reshuffle of may s team on friday rather than mulling over the possibility of her exiting downing street may would not be drawn on what scale of majority she would consider a success but said on tuesday that she was feeling good about the campaign the senior election team gathered at party headquarters in matthew parker street in westminster claiming at first that it was early days but later failing to speak out at all the prime minister s election campaign was dominated by visits to labour held seats in areas considered to be the party s heartlands such as the west midlands yorkshire and the north east while david cameron spent much of the 2015 battle in liberal democrat tory marginals may s tour included the ultra safe labour seat of birmingham ladywood launching a battlebus in north shields and unveiling her manifesto in halifax which last turned conservative in 1983 earlier one labour candidate said colleagues were feeling downbeat with fears of a 100 plus majority for may but they later admitted they had been wrong the campaign was heavily affected by the two devastating terror attacks in manchester and london bridge which moved security questions up the agenda with accusations being thrown in all directions the lib dems acknowledged they had faced a difficult campaign in which an expected fightback failed to come to fruition the party s hardline anti brexit position had cut through less than was hoped as domestic issues such as the nhs and schooling and the fallout of two terror attacks dominated however there were some pleasing gains for the party during polling day there were reports of students from keele university being turned away at polling stations in the ultra marginal newcastle under lyme constituency the labour candidate there paul farrelly who was under pressure after ukip stepped aside to help the conservatives defeat him reacted angrily to reports that hundreds could have been affected by a failure to update the registration data the electoral services department here in newcastle is a shambles and there is chaos which is denying people votes on a scale unprecedented in my 30 years fighting and organising elections said farrelly who is defending a majority of just 650 in a seat where ukip won more than 7 000 votes in 2015
