title, publication, authors, date, year, month, url, content
"Angry Dem says Trump ‘raping the country,’ as impeachment push nears critical mass",https://www.foxnews.com,['Ronn Blitzer'],,,,https://www.foxnews.com/politics/angry-dem-says-trump-raping-the-country-as-impeachment-push-nears-critical-mass,"A rapid-fire string of developments has congressional Democrats putting increased pressure on party brass to launch impeachment proceedings against President Trump, with one rank-and-file lawmaker reportedly saying the president is “raping the country” and others indicating it's only a matter of time before leadership changes course on the politically fraught issue.

Amid the internal tensions, Speaker Nancy Pelosi called a special meeting of House Democrats for Wednesday morning, where the impeachment issue and other battles are expected to be discussed.

Prior meetings involving Pelosi and top Democrats held Monday evening escalated into heated exchanges, with the party torn over how to address Trump controversies -- most recently, the decision to block the former White House counsel from testifying. Democratic leaders, who for the most part have not been publicly in favor of impeachment, are now finding it difficult to maintain their position as calls grow from the ranks to flip that switch.

HOUSE JUDICIARY CHAIRMAN NADLER: TRUMP IS MAKING IT 'MORE DIFFICULT' NOT TO CONSIDER IMPEACHMENT

A senior House Democrat told Fox News late Monday that Pelosi “isn’t going to be able to hold off on impeachment much longer,” and that the speaker may have to change her position “within the next two weeks.”

Rep. Alexandria Ocasio-Cortez, D-N.Y., while saying Pelosi is working to bring the party together, suggested Tuesday that politics are the main element preventing members from pressing ahead at this stage.

“Just as impeaching without cause could be construed, and is, politically motivated, choosing to not impeach when there is an abundance of cause could also be construed similarly,” she told reporters.

Rep. Steve Cohen, D-Tenn., reportedly confronted Pelosi during a Democratic Steering and Policy Committee meeting as he demanded the president's impeachment. According to Politico, Cohen said that while former President Bill Clinton was impeached “over sex,” Trump was “raping the country.”

Cohen reportedly suggested Pelosi is worried about politics in her reluctance to proceed, but Pelosi countered, “This isn’t about politics at all. It’s about patriotism.”

Cohen is among the most outspoken Trump critics in Congress. He drew attention by eating fried chicken during a recent House Judiciary Committee hearing as a commentary on Attorney General Bill Barr’s refusal to testify. Cohen referred to the attorney general as “Chicken Barr,” despite Barr having testified before the Senate Judiciary Committee the previous day. Cohen has also called for the House to use its inherent contempt power to throw Barr in the Capitol jail.

But as House Democrats weigh contempt proceedings for Barr, another fight broke out Monday after former White House Counsel Don McGahn was instructed by the president's team to defy a subpoena from the same committee. Democrats wanted him to testify regarding information he provided to the Special Counsel's Office, but the White House directed him not to appear, with the Justice Department asserting he has immunity from testimony about his official duties.

""The Democrats do not like the conclusion of the Mueller investigation – no collusion, no conspiracy, and no obstruction – and want a wasteful and unnecessary do-over,"" Press Secretary Sarah Sanders said in a statement.

House Judiciary Committee Chairman Jerrold Nadler, D-N.Y., said after a closed-door meeting with Pelosi that Trump is “making it very difficult to avoid” considering impeachment.

Pelosi insisted that her party remains united, saying Tuesday that she's not feeling pressure from colleagues.

“There’s no divide,” she said a day earlier. “We’re fine. We’re good.”

Nadler, meanwhile, told CNN’s Chris Cuomo that he intends to hold McGahn in contempt of Congress for not complying with the subpoena. Nadler said the White House’s effort to keep McGahn from testifying was part of a pattern of “lawless behavior,” and Trump is “willing to go to any lengths to prevent testimony that might implicate him.”

Rep. David Cicilline, D-R.I., head of the Democratic Policy and Communications Committee, said Monday that McGahn’s failure to testify on Tuesday would be grounds for opening an impeachment inquiry.

In addition to fighting off Democratic efforts to have McGahn testify, the president is currently in the midst of legal battles over Democratic subpoenas for his personal records. He sued Deutsche Bank and Capitol One to block a subpoena for his banking records, and was also trying to keep documents from accounting firm Mazars USA away from Congress.

A judge ruled against Trump in the Mazars case on Monday, stating that the House Oversight Committee was entitled to view the documents. The main argument from the Trump administration has been that Democrats lack a legitimate legislative purpose for their inquiries, but Judge Amit Mehta ruled that the possibility of finding conflicts of interest in the administration or violations of the Constitution’s Foreign Emoluments Clause sufficed.

FEDERAL JUDGE SIDES WITH HOUSE DEMOCRATS OVER SUBPOENA FOR TRUMP'S FINANCIAL RECORDS

Pelosi touted Mehta’s ruling as a win, as well as a reason why impeachment is not necessary at this point.

“Today, we won our first case,” Pelosi reportedly said at the Steering and Policy Committee meeting. “We’ve been in this thing for almost five months and now we’re getting some results.”

Fox News' Liam Quinn, Chad Pergram and Caroline McKee contributed to this report."
Trump Expected to Pick Ken Cuccinelli for Immigration Policy Role,https://www.nytimes.com,"['Maggie Haberman', 'Zolan Kanno-Youngs']",05-21-2019,2019,5,https://www.nytimes.com/2019/05/21/us/politics/trump-ken-cuccinelli-immigration.html,"He is the second person to be given a prominent role in the Trump administration this month after publicly backing aggressive immigration policies on cable news, which Mr. Trump consumes with gusto. Mr. Trump named Mark Morgan, who was forced out as Border Patrol chief two days after Mr. Trump took office, to lead Immigration and Customs Enforcement.

Mr. Cuccinelli served as attorney general in Virginia from 2010 to 2014, running unsuccessfully for governor there in 2013. A prominent conservative, he supported Senator Ted Cruz of Texas for president in 2016, leading an effort to win over delegates to the party’s convention, including those supporting Mr. Trump. That kind of history has kept other officials from jobs they had hoped to get in the Trump administration.

Cecilia Muñoz, the director of the domestic policy council in the Obama administration, said the appointment of Mr. Cuccinelli was concerning given his support in the past for denying citizenship to American-born children of undocumented immigrants and for a proposal to allow employers to fire workers who do not speak English on the job.

“It’s hard to put into words,” Ms. Muñoz said. “The president is trying to send an ever tougher message, but ultimately these things are symbols just in the same way the wall is a symbol. Even if you are desperate to show how tough you are, you’re not likely to produce a policy that addresses the problems at the border or the interior.”

Mr. Cuccinelli and Kris Kobach, the former Kansas secretary of state, were both under consideration for the immigration role. But Mr. Cuccinelli was always seen within the White House as the favorite, and Mr. Kobach did not help his case with Mr. Trump and some of his advisers with a list of the 10 “requirements” he had for taking the job, including access to a government jet 24 hours a day, weekends off with his family in Kansas and a promise to be nominated for Mr. McAleenan’s job by November if he wanted it."
Trump’s troubling response to “lock them up!” chants during his Pennsylvania rally,https://www.vox.com,['May'],05-21-2019,2019,5,https://www.vox.com/2019/5/21/18633879/trump-montoursville-pennsylvania-rally-lock-them-up-bill-barr,"President Donald Trump’s reelection rallies might have found version 2.0 of their familiar “lock her up!” chants: “Lock them up!”

With special counsel Robert Mueller’s investigation mostly in the rearview mirror and William Barr installed as the protective attorney general Trump hoped Jeff Sessions would be, the president went on the attack during his speech Monday evening in Montoursville, Pennsylvania, reviving his baseless treason accusations against the FBI and Democrats.

“We caught ’em — they were spying,” Trump said, referring to the counterintelligence investigation of his campaign that began in 2016 and followed normal procedures. “They were spying on our campaign. I’ll tell you what — if that ever happened to the other side, this thing would’ve been over two years ago, and you know, it would have been treason. They would’ve called it treason. And that’s what it is — it was treason. And it should never be allowed to happen to another president again. Ever, ever, ever.”

Trump’s accusation is transparently meritless, but that’s beside the point. Heading into his 2020 reelection campaign, Trump — with help from Barr — is trying to establish a narrative that the entire investigation into his campaign’s contacts with Russia stemmed from anti-Trump bias in the law enforcement and intelligence communities, not his campaign’s secretive contacts with people in the Kremlin’s orbit. Trump wants to portray himself as a victim and Obama-era officials as bad actors who had it out for him from the beginning.

Trump’s audience seemed ready to get on board, cheering his accusations of treason and then breaking out in “lock them up!” chants. Trump basked in the chants for a moment before threatening to sic Barr on law enforcement officials who investigated him.

“Well, we have a great new attorney general who is going to give it a very fair look,” Trump said.

Trump accuses the FBI and Democrats of treason. He then has to pause as his fans chant, ""lock them up!""



""We have a great new attorney general who will give it a very fair look,"" Trump says. pic.twitter.com/TNEoVny7pJ — Aaron Rupar (@atrupar) May 21, 2019

Barr, for his part, doesn’t seem troubled by Trump’s threat to use trumped-up charges against his perceived political enemies. During an interview on Fox News last week, Barr hit back at Democratic leaders who accused him of lying under oath during his congressional testimony and seemed to threaten to investigate them, saying, “they may be concerned about the outcome of a review of what happened during the election.”

During an interview with the Wall Street Journal that was published on Monday, Barr insisted he’s protecting the presidency, not just Trump. Barr has already announced he’s launched an investigation into the origins of the FBI’s counterintelligence investigation of the Trump campaign.

The “lock them up!” chants weren’t the only time Trump’s fans called for summary imprisonment of his enemies on Monday night. When Trump brought up Hillary Clinton earlier during the rally, his audience responded with resounding boos and the classic “lock her up!” chants.

Trump’s latest rally came hours after he suffered a defeat in federal court

Trump’s rally came hours after Judge Amit Mehta of the DC District Court decisively ruled against Trump in his effort to prevent House Democrats from subpoenaing 10 years of his financial records from the accounting firm Mazars USA. While the White House is sure to appeal Mehta’s ruling, it indicates that Trump’s strategy of stonewalling all congressional subpoenas may be a losing one.

Asked about the ruling just before taking off to Pennsylvania for his rally, Trump suggested he doesn’t think he needs to listen to judges who were appointed by Democratic presidents.

“Well, we disagree with that ruling — it’s crazy,” Trump said. “This never happened to any other president ... it’s totally the wrong decision by obviously an Obama-appointed judge. He was a recent Obama-appointed judge.”

Trump 100 percent thinks he can just choose to ignore rulings from ""Obama-appointed"" judges.



""We disagree with that ruling ... it's totally the wrong decision by obviously an Obama-appointed judge. He was a recent Obama-appointed judge."" pic.twitter.com/ksyJcWWe1h — Aaron Rupar (@atrupar) May 20, 2019

But Mehta’s ruling opens by discussing how another president, James Buchanan, raised similar concerns about congressional oversight but ended up having to submit to it anyway — a history that contradicts Trump’s claim he’s being treated unfairly.

“Courts have grappled for more than a century with the question of the scope of Congress’s investigative power,” Mehta wrote. “The binding principle that emerges from these judicial decisions is that courts must presume Congress is acting in furtherance of its constitutional responsibility to legislate and must defer to congressional judgments about what Congress needs to carry out that purpose.”

Attorney General Barr is powerless to stop the DC District Court from ruling against Trump. But if the fight over subpoenas makes its way to the US Supreme Court — whose balance has shifted to the right due to Trump’s nominations of Justices Neil Gorsuch and Brett Kavanaugh — the extent to which Congress will be empowered to conduct oversight on a president who is clearly interested in using the powers of the state against his enemies is unclear.

The news moves fast. To stay updated, follow Aaron Rupar on Twitter, and read more of Vox’s policy and politics coverage."
Trump may have revealed US intelligence in Fox interview,https://www.cnn.com,[],05-20-2019,2019,5,https://www.cnn.com/videos/politics/2019/05/20/trump-potentially-gave-away-us-intelligence-brian-todd-dnt-tsr-vpx.cnn,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
Are you a robot?,https://www.bloomberg.com,[],05-21-2019,2019,5,https://www.bloomberg.com/news/articles/2019-05-21/trump-held-off-punishing-huawei-until-china-trade-talks-stalled,"Why did this happen?

Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy."
Hillary Clinton suggests talks with Iran as Trump threatens force,https://www.foxnews.com,"['Sam Dorman', 'Sam Dorman Is A Reporter With Fox News. You Can Follow Him On Facebook']",,,,https://www.foxnews.com/politics/hillary-clinton-calls-for-negotiation-with-iran-as-trump-threatens-force,"Former Democratic presidential nominee Hillary Clinton indicated Monday that the United States should be engaging in more diplomacy with Iran.

""You know Winston Churchill famously said in his typical quotable fashion: 'jaw, jaw, jaw is always better than war, war, war,'"" the former secretary of state said when asked on Monday about Iran and President Trump's handling of that situation. She was attending a memorial service for Democratic Rep. Ellen Tauscher, who died in April.

While she didn't specifically mention Trump, her comments came as he threatened the rogue nation in an apparent response to its provocations.

TRUMP'S IRAN WARNING 'THE RIGHT THING' AS US 'TIGHTENS THE SCREWS' ON TEHRAN, GRAHAM SAYS

""If Iran wants to fight, that will be the official end of Iran. Never threaten the United States again!"" he tweeted on Sunday.

Trump caught criticism, including from Clinton, in 2018 when he pulled out of the Iran nuclear deal that relieved sanctions in exchange for limits on the country's nuclear program.

""Pulling out of the Iran deal is a big mistake,"" she said in May of 2018. ""It makes America less safe and less trusted. Iran is now more dangerous.""

CLICK HERE TO GET THE FOX NEWS APP

""That is what we did with the Iran negotiations -- put a lid on Iran's nuclear program,"" she said Monday in an apparent reference to her efforts during the Obama administration. ""That is what we should still be doing.""

Although Trump has threatened military action, he also has urged Iranians to come to the table and negotiate over its nuclear program. After Trump's threats, Iran announced it quadrupled its uranium-enrichment production but said it would keep production below the level mandated by the 2015 nuclear deal.

The Associated Press contributed to this report."
"DHS backup border funding plan would take millions from TSA, other agencies",https://www.nbcnews.com,"['Julia Ainsley', 'Julia Ainsley Is A National Security Reporter For Nbc News.']",05-21-2019,2019,5,https://www.nbcnews.com/politics/immigration/dhs-backup-border-funding-plan-would-take-millions-tsa-other-n1007961,"DHS backup border funding plan would take millions from TSA, other agencies

The funding from TSA includes $50 million planned for advanced screening equipment and $3 million collected from loose change left in trays at airports."
"Democrats pound Treasury official over Deutsche Bank, Trump",https://www.politico.com,['Zachary Warmbrodt'],05-21-2019,2019,5,https://www.politico.com/story/2019/05/21/democrats-deutsche-bank-trump-1461245,"Deutsche Bank has said there were ""numerous inaccuracies and misleading statements"" in the Times story but that legal restrictions prevented it from refuting them in detail. | Spencer Platt/Getty Images Finance & Tax Democrats pound Treasury official over Deutsche Bank, Trump

Senate Democrats on Tuesday hammered a top Treasury Department official over a bombshell report that Deutsche Bank resisted reporting suspicious financial activity tied to President Donald Trump and his son-in-law Jared Kushner, whose companies were clients of the German lender.

One after another, Democrats at a Senate Banking Committee hearing that focused on anonymous shell company abuse urged the director of Treasury's Financial Crimes Enforcement Network, Kenneth Blanco, to take action on the New York Times story.

Story Continued Below

Blanco's agency, known as FinCEN, is responsible for policing illegal money laundering and would have received any so-called suspicious activity reports filed by Deutsche Bank. According to the Times, bank employees prepared the reports but were blocked by executives.

""The alleged facts are in plain sight,"" Sen. Chris Van Hollen (D-Md.) said. ""It's essential it seems to me to the public trust and the integrity of FinCEN that these be actively pursued.""

Despite the pummeling by Democrats — not a single Republican at the hearing brought up Deutsche Bank — Blanco said he was unable to comment on allegations made in the story, which he said he had been briefed on but had not read.

""You're a very smart man,"" Sen. Bob Menendez (D-N.J.), responded. ""It wouldn't take very long to read it, but it might be very informative to you.""

Morning Money Political intelligence on Washington and Wall Street — weekday mornings, in your inbox. Email Sign Up By signing up you agree to receive email newsletters or alerts from POLITICO. You can unsubscribe at any time.

""Just because it's in the newspaper doesn't mean it’s true,"" Blanco said. ""I'm not saying it's false, either.""

Blanco suggested that the bank might have been comfortable with the risks it was taking with Trump.

""Everything is fact-specific,"" he said. ""At the end of the day, it could be quite appropriate.""

Before Tuesday's hearing, Van Hollen and Sen. Sherrod Brown (D-Ohio) wrote to Deutsche Bank CEO Christian Sewing asking him to confirm the accuracy of the Times story and to divulge how many suspicious activity reports were quashed.

Deutsche Bank has said there were ""numerous inaccuracies and misleading statements"" in the Times story but that legal restrictions prevented it from refuting them in detail."
E.P.A. Plans to Get Thousands of Pollution Deaths Off the Books by Changing Its Math,https://www.nytimes.com,['Lisa Friedman'],05-20-2019,2019,5,https://www.nytimes.com/2019/05/20/climate/epa-air-pollution-deaths.html,"Want climate news in your inbox? Sign up here for Climate Fwd:, our email newsletter.

WASHINGTON — The Environmental Protection Agency plans to change the way it calculates the health risks of air pollution, a shift that would make it easier to roll back a key climate change rule because it would result in far fewer predicted deaths from pollution, according to five people with knowledge of the agency’s plans.

The E.P.A. had originally forecast that eliminating the Obama-era rule, the Clean Power Plan, and replacing it with a new measure would have resulted in an additional 1,400 premature deaths per year. The new analytical model would significantly reduce that number and would most likely be used by the Trump administration to defend further rollbacks of air pollution rules if it is formally adopted.

The proposed shift is the latest example of the Trump administration downgrading the estimates of environmental harm from pollution in regulations. In this case, the proposed methodology would assume there is little or no health benefit to making the air any cleaner than what the law requires. Many experts said that approach was not scientifically sound and that, in the real world, there are no safe levels of the fine particulate pollution associated with the burning of fossil fuels.

Fine particulate matter — the tiny, deadly particles that can penetrate deep into the lungs and enter the bloodstream — is linked to heart attacks, strokes and respiratory disease."
DHS warns of 'strong concerns' that Chinese-made drones are stealing data,https://www.cnn.com,['David Shortell'],05-20-2019,2019,5,https://www.cnn.com/2019/05/20/politics/dhs-chinese-drone-warning/index.html,"Washington (CNN) Chinese-made drones may be sending sensitive flight data to their manufacturers in China, where it can be accessed by the government there, the US Department of Homeland Security warned in an alert issued Monday obtained by CNN.

The drones are a ""potential risk to an organization's information,"" the alert from DHS's Cybersecurity and Infrastructure Security Agency states. The products ""contain components that can compromise your data and share your information on a server accessed beyond the company itself.""

The report does not name any specific manufacturers, but nearly 80% of the drones used in the US and Canada come from DJI, which is headquartered in Shenzhen, China, according to one industry analysis. US local law enforcement organizations and infrastructure operators have grown to rely on drones in recent years.

""The United States government has strong concerns about any technology product that takes American data into the territory of an authoritarian state that permits its intelligence services to have unfettered access to that data or otherwise abuses that access,"" the alert says.

""Those concerns apply with equal force to certain Chinese-made (unmanned aircraft systems)-connected devices capable of collecting and transferring potentially revealing data about their operations and the individuals and entities operating them, as China imposes unusually stringent obligations on its citizens to support national intelligence activities,"" the alert adds.

Read More"
