title, publication, authors, date, year, month, url, content
How to govern a digitally networked world,www.socialeurope.eu,Anne-Marie Slaughter and Fadi Chehadé,04-03-2019,2019,4,https://www.socialeurope.eu/a-digitally-networked-world,"Because the internet is a network of networks, its governing structures should be too. The world needs a digital co-governance order that engages public, civic and private leaders. Anne-Marie Slaughter
Governments built the current systems and institutions of international cooperation to address 19th- and 20th-century problems. But in today’s complex and fast-paced digital world, these structures cannot operate at ‘internet speed’.
Recognising this, the United Nations secretary-general, António Guterres , last year assembled a high-level panel —co-chaired by Melinda Gates and the Alibaba co-founder Jack Ma—to propose ways to strengthen digital governance and cooperation. (Fadi Chehadé, co-author of this article, is also a member.) It is hoped that the panel’s final report, expected in June, will represent a significant step forward in managing the potential and risks of digital technologies.
Digital governance can mean many things, including the governance of everything in the physical world by digital means. We take it to mean the governance of the technology sector itself, and the specific issues raised by the collision of the digital and physical worlds (although digital technology and its close cousin, artificial intelligence, will soon permeate every sector). Fadi Chehadé
The issue is rapidly rising to the top of the global agenda. At this year’s annual meeting of the World Economic Forum in Davos, the leaders of Japan, South Africa, China, and Germany called for global oversight of the technology sector, while acknowledging the difficulty of designing a workable governance system.
Some business leaders also accept the need for digital rules and conventions. The Microsoft president, Brad Smith, has called for a ‘Digital Geneva Convention’ to protect citizens from peacetime cyberattacks, while the Apple CEO, Tim Cook, argues that the United States needs its own version of the European Union’s General Data Protection Regulation regarding personal data. Both recognise that a continued lack of norms will hit business growth and further erode trust in their companies’ stewardship of the digital world. Co-governance
Because the internet is a network of networks, its governing structures should be, too. Whereas we once imagined that a single institution could govern global security or the international monetary system, that is not practical in the digital world. No group of governments, and certainly no single government acting alone, can perform this task.
Instead, we need a digital co-governance order that engages public, civic and private leaders on the basis of three principles of participation.
First, governments must govern alongside the private and civic sectors in a more collaborative, dynamic and agile way. Secondly, customers and users of digital technologies and platforms must learn how to embrace their responsibilities and assert their rights. Thirdly, businesses must fulfil their responsibilities to all of their stakeholders, not just shareholders.
In the digital order we envisage, representatives of governments, businesses and civil society would form peer-to-peer, self-governing horizontal networks . A central hub would activate these groups to address specific digital issues—such as the use of facial-recognition data, the sharing of patients’ health records with insurance providers and hidden advertising aimed at children—and ensure that relevant experts are included.
Participants in these networks would co-design digital norms , or actionable rules and implementation guidelines that give companies and citizens clear incentives to co-operate responsibly in the digital world. These co-designers should produce the best possible solutions at internet speed, and make them available for anyone to adopt voluntarily.
In some cases, national or international authorities may adopt new laws and regulations to ensure that digital norms are implemented and enforced. But such ‘top-down’ actions should be only a last resort and would ideally use the co-designed digital norms as blueprints.
The central hub or clearing house would loosely coordinate the networks and ensure that the entire co-governance order operates according to principles of openness, inclusivity, subsidiarity, resiliency and innovation. Furthermore, the hub would serve as an exchange for different networks’ digital norms, thereby encouraging their spread and adoption. This would also help to increase cohesion and limit unnecessary duplication.
In time, the hub might actively help governments, businesses and user groups, as well as other relevant national and international organizations, to participate in the design—and, crucially, the adoption—of digital norms. But it would push resources and power to the participants rather than acting as a top-down authority.
Horizontal networks are a practical design for governing the digital world. At the same time, they draw heavily on the successes (and failures) of existing networks of national regulators, such as the Basel Committee on Banking Supervision , the Financial Stability Board and the Internet Corporation for Assigned Names and Numbers (ICANN). Instead of spending another year debating the perfect digital governance system, it would be wiser to start with a functional and proven approach and adapt along the way.
The world urgently needs a workable digital governance system that serves the common good. If public, private and civic leaders do not act soon, we risk economic decline, faster weaponisation of digital technologies and further erosion of trust and security. The consequences of this failure would extend well beyond the digital world.
Republication forbidden. Copyright: Project Syndicate 2019 How to govern a digitally networked world Anne-Marie Slaughter and Fadi Chehadé
Anne-Marie Slaughter, a former director of policy planning in the US State Department (2009-2011), is president and CEO of the think tank New America, professor emerita of politics and international affairs at Princeton University and the author of Unfinished Business: Women Men Work Family . Fadi Chehadé, a former president and CEO of ICANN (2012-2016), is a member of the UN secretary-general’s High-Level Panel on Digital Co-operation and an advisory board member of the World Economic Forum’s Center for the Fourth Industrial Revolution. Partner Ads"
Moving your school to the cloud - GOV.UK,www.gov.uk,,04-03-2019,2019,4,https://www.gov.uk/government/publications/moving-your-school-to-the-cloud,"Guidance Moving your school to the cloud What you should consider before moving to cloud-based systems to get the best outcome for your school. Published 3 April 2019
This guidance is a basic introduction and is aimed at school senior leaders, such as: head teachers academy trust executive bodies and boards Published 3 April 2019 Running and managing a school Is this page useful? Don’t include personal or financial information like your National Insurance number or credit card details. What were you doing? Close Help us improve GOV.UK To help us improve GOV.UK, we’d like to know more about your visit today. We’ll send you a link to a feedback form. It will take only 2 minutes to fill in. Don’t worry we won’t send you spam or share your email address with anyone. Email address "
Liberia: Pres. Weah Nominates Judge Yussif Kaba as Associate Justice FrontPageAfrica,frontpageafricaonline.com,,04-03-2019,2019,4,https://frontpageafricaonline.com/news/liberia-pres-weah-nominatee-judge-yussif-kabba-as-associate-justice/,"14 Share The selection of Judge Kaba (pictured) is intended to appease the Mandingo ethnic group which believes that Justice Ja’neh’s impeachment trial was a witch-hunt against them
Monrovia, Liberia – The President of Liberia, Mr. George Manneh Weah, has appointed Judge Yussif Kaba as Associate Justice to the Supreme Court of Liberia.
If Judge Kaba is confirmed by the Liberian Senate, he will replace the impeached former Associate Justice Kabineh Mohammed Ja’neh. Judge Kaba’s appointment was announced Monday, April 1, by the Executive Mansion.
Associate Justice Ja’neh was last Friday, March 29, impeached by the Liberian Senate, which concurred with the House of Representatives, which had earlier voted to impeach Justice Ja’neh last August 2018.
On Thursday, March 18, FrontPageAfrica broke the news that impeccable sources had told us that the judge of the Civil Law Court, Yousif Kaba, was tipped to be appointed and to subsequently join the Bench should Associate Justice Kabineh Ja’neh be impeached. The Executive Mansion has again confirmed what was reported nearly two weeks ago.
An Executive Mansion source had hinted FrontPageAfrica that a number of names of qualified and experienced judges had been submitted to the Office of the President, but Judge Kaba’s name was a priority on the list.
When FrontPageAfrica was hinted, it was further told that the President would swiftly make the appointment of Judge Kaba.
The selection of Judge Kaba is intended to appease the Mandingo ethnic group which believes that Justice Ja’neh’s impeachment trial was a witch-hunt against them. Related Posts"
Don’t Get Fooled On Healthcare,pdamerica.org,Bryan Buchan,04-02-2019,2019,4,https://pdamerica.org/dont-get-fooled-on-healthcare/,"Show Support With Items From The PDA Store
When we founded PDA in 2004, we dedicated ourselves to enacting Medicare For All. While other organizations supported less progressive, less effective alternatives, PDA kept Medicare For All front and center. Now, you can help us gain even more support for this critically important legislation, H.R. 1384.
Two of the most effective and passionate healthcare organizers in the USA are part of our PDA family: Donna Smith, formerly our Executive Director and currently the Chair of our National Advisory Board; and Dr. Bill, our national staffer, and California State Coordinator. These two dedicated, effective spokespeople make regular appearances at events, on TV, radio, and in print. They also lead our Healthcare is a Human Right issue team. Please pitch in to help us cover their travel and other expenses.
No fooling: This is the best healthcare legislation in our nation’s history. Please do all you can to help us gain as many cosponsors as possible. Call Congress at 202-858-1717 to urge your Representative to cosponsor Rep. Jayapal’s Medicare For All Act . Please pitch in whatever you can afford to support our organizing for Medicare For All, so we can send Dr. Bill all around the USA to gain support for MFA.
Along with giving, you can help by signing up to make a MFA letter drop. to deliver a Medicare For All Letter to Your Congressperson. Also Tell Your Representative to Cosponsor Rep. Jayapal’s and Rep. Dingell’s Medicare For All Act .
For Healthcare as a Human Right!
Mike Hersh for Dr. Bill, Donna, Alan, Mike F., Janis, Deb, Dan, Kim, Bryan, and Medicare for All Team
P.S. We’re here to help you make progress in your state and locality! If you need help organizing a new PDA chapter or energizing your existing chapter, please . Join the PDA Phone Team making easy, effective calls from your own home with Also please pitch in $1000, $100, or whatever you can afford to support our organizing for Medicare For All."
What the Trump administration should do in Latin America to go after Hezbollah,thehill.com,,04-03-2019,2019,4,https://thehill.com/opinion/international/436849-trump-administration-latin-america-go-after-hezbollah,"What the Trump administration should do in Latin America to go after Hezbollah By Emanuele Ottolenghi, opinion contributor — 04/02/19 08:00 AM EDT The views expressed by contributors are their own and not the view of The Hill View Latest Opinions >>
On Friday, a Miami court sentenced Ali Nasreeddine Kassir , a Miami-based Lebanese businessman and suspected Hezbollah facilitator, who pleaded guilty to passport fraud and conspiring to commit money laundering totaling over $70 million. Kassir’s conviction is the opening salvo in a string of interconnected cases implicating alleged Hezbollah financiers Nader Mohamad Farhat and Mahmoud Ali Barakat, and their U.S.-based business counterparts. When combined, these cases involve money transfers worth hundreds of millions of dollars through the U.S. financial system, allegedly for laundering criminal proceeds, including from drug trafficking, and terror finance.
In response to this clear threat to the integrity of the U.S. financial system, the administration has begun to ramp up its pressure against Hezbollah’s overseas networks, yet South American governments need to offer much more cooperation for Washington’s efforts to succeed.
Both Farhat and Barakat are from Ciudad Del Este, the Paraguayan city in the Tri-Border Area of Argentina, Brazil and Paraguay, or TBA. A recent Miami Herald investigative piece called Ciudad Del Este “a giant washing machine for Latin American drug profits, knockoff consumer goods and terrorist fund-raising.” Hundreds of tons of commercial goods clear customs there on a monthly basis, mostly flying from Miami on commercial cargo flights. ADVERTISEMENT
Last year, the Justice Department correctly labelled Hezbollah a Transnational Criminal Organization. Also, since January 2017, the Departments of Treasury and State jointly made dozens of sanctions designations against Hezbollah’s overseas networks. Yet in order for these actions — from investigations to sanctions — to have their maximum impact, the U.S. is reliant on the cooperation of regional allies to block monies and assets before Hezbollah’s financiers can move them out of reach. Local governments have been slow to act against Hezbollah networks, sometimes even flat-out denying their existence.
Given the risks of local inaction and, occasionally, even obstruction, the Trump administration needs to calibrate its strategy to encompass a number of tools that can concurrently exercise maximum pressure on both Hezbollah networks and their corrupt enablers.
First, the U.S. must convince its regional allies to take tangible measures to meet the challenge.
None of the three TBA governments has designated Hezbollah as a terrorist organization. While Argentina has made important advances in this direction, Brazil and Paraguay, the two countries where Hezbollah financial networks are most active, lag behind. Such legislation is critical and President Trump Donald John Trump Colbert mocks Trump for 'oranges' gaffe Dem wins Trump district in swing-state Pennsylvania Trump says health care plan will be first vote after 2020 election MORE should use his prestige to urge his counterparts to take this step.
The recent, successful visit of Brazil’s new president, Jair Bolsonaro, to Washington has created the basis for a fruitful personal relationship between the two leaders. Trump enjoys similar warm relations with Argentinian president Mauricio Macri, and he should leverage these personal relationships to compel Brasilia and Buenos Aires to take action.
Brazil, Paraguay and Argentina also need new legislation to enhance investigative and preventive measures by intelligence and law-enforcement agencies. Once in place, this legislative framework would enable these governments to impose sanctions and conduct investigations jointly with the United States. Joint designations would send a strong message to the global financial system, and the freezing of assets related to the designated parties would be more comprehensive and effective.
The TBA governments should also work to contain the damage caused by leaks, or worse, the active obstructionism mounted by corrupt officials. That is why the United States must be prepared to act independently when partner governments refuse to cooperate, or when their actions are undermined by corrupt local officials.
U.S. criminal investigations, indictments, and successful prosecutions must, where possible, continue, with added resources allocated to relevant government agencies in order to increase the number of cases prosecuted and increase the rate of successful convictions. ADVERTISEMENT
This is necessary because in the TBA large investigations into alleged money laundering schemes with possible terrorist financing connections frequently fail to go to trial. Last November, Paraguayan newspaper ABC Color tied Hezbollah to the 2016 “ megalavado ” (“mega-wash”) investigation, which uncovered one of the largest money-laundering schemes in Paraguay’s history. It remains to be seen whether the alleged scheme benefited the terror group. Regardless, the U.S. State Department flagged the case as a sign of Paraguay’s failure to fight money laundering.
It has been more than two years since Paraguayan authorities conducted raids against the suspected perpetrators. The prosecutors in charge of the case have been replaced several times — including, most recently, over the past Christmas holiday. There have been neither indictments nor exonerations.
Finally, the United States should leverage existing sanctions legislation, not just to disrupt Hezbollah’s overseas networks, but also target those who facilitate Hezbollah’s networks through complicity, collusion, corruption and protection. In October 2018, President Trump signed into law the Hezbollah International Financing Prevention Act Amendments Act . This legislation augmented previous efforts by the U.S. Congress to expand the reach of U.S. financial sanctions against Hezbollah through the original Hezbollah International Financing Prevention Act. Combined, this legislative framework presents a two-tiered threat to Hezbollah’s corrupt enablers in the TBA.
First, the legislation imposes secondary sanctions not only on known Hezbollah entities, but on those “determined by the President to be engaged in fundraising or recruitment activities for Hizballah.” While these activities are already prohibited by U.S. sanctions law, the secondary sanctions require the administration to sanctions “any foreign person that the President determines knowingly provides significant financial, material, or technological support to or for” Hezbollah fundraisers. This could include any Paraguayan, Brazilian, or Argentine individual or company that rents facilities to, provides banking services for, receives bribes from, or takes any other action that aides a person designated for fundraising or recruitment.
Second, the legislation authorizes the application of enhanced due diligence measures for US banks with respect to entire jurisdictions other than Lebanon — at the federal, state, or municipal levels — that “expressly consent to, or with knowledge allow, the use of their territory by Hizballah to carry out terrorist activities, including training, financing, and recruitment.” This means that if local politicians and bureaucrats in the TBA know about and disregard Hezbollah’s fundraising and recruitment in areas that they administer, the administration could subject the area itself to increased financial scrutiny.
The administration has an opportunity to utilize diplomacy, law enforcement actions, and sanctions designations to crack down on Hezbollah’s operations in the TBA, and Latin America more broadly. Doing so will not only limit Hezbollah’s operational capabilities, but defend the U.S. financial system against the drug profits and terrorist fund-raising that pervades that region.
Emanuele Ottolenghi is a Senior Fellow at the Foundation for Defense of Democracies, a Washington-based nonpartisan research institute focusing on national security and foreign policy."
UN warns nuclear war looms | TODAY.NG,www.today.ng,,04-03-2019,2019,4,https://www.today.ng/news/world/warns-nuclear-war-looms-209297,"UN warns nuclear war looms By - April 3, 2019 alt=''/></a> alt=''/></a> alt=''/></a> alt=''/></a>
The United Nations warns that the threat of a nuclear weapon being used is now “higher than it has been in generations.”
The UN High Representative for Disarmament Affairs, Izumi Nakamitsu, gave the warning on Wednesday in New York, at a meeting convened in support of the Non-Proliferation Treaty (NPT).
The meeting was convened by the UN Security Council at the UN headquarters ahead of the next conference to review the historic accord, scheduled for 2020.
Nakamitsu regretted that humanity now lived in a world defined by “competition over cooperation, and the acquisition of arms, prioritised over the pursuit of diplomacy.”
The NPT, which entered into force in 1970, represents the only multilateral binding commitment to the goal of disarmament by the countries which officially stockpile nuclear weapons.
The objective of NPT was to prevent the spread of nuclear weapons and weapon technology, promote cooperation in the peaceful uses of nuclear energy and further the goal of achieving nuclear disarmament and disarmament overall.
Nakamitsu warned that the use of nuclear weapons, “either intentionally, by accident, or through miscalculation,” was one of the greatest threats to international peace and security.”
She added that “the potential consequences of a nuclear war would be global and affect all member states.”
The treaty, she said, was widely acknowledged as “the cornerstone of the international non-proliferation regime and the essential foundation of nuclear disarmament.”
“Its role as a pillar of our collective security is likewise an accepted fact,” the nuclear disarmament chief said.
The durability of the NPT, which has lasted for almost half a century, cannot be taken for granted, she insisted.
She added that there was currently nothing to replace the disarmament and arms control framework which was foundational to the post-Cold War era.
Director General of the International Atomic Energy Agency (IAEA), Yukiya Amano, while briefing the council, said the IAEA was facing several challenges, including the steady increase in the amount of nuclear material in circulation.
Other challenges facing the agency, he said, were the number of nuclear facilities under IAEA safeguards (the system of inspection and verification of the peaceful uses of nuclear materials), and continuing pressure on the agency’s budget.
He told the council that monitoring the nuclear programmes of Iran and North Korea, officially known as the Democratic People’s Republic of Korea (DPRK), were among the top items on the IAEA’s agenda.
In a statement released after the meeting, the Security Council announced a reaffirmation of its members’ support for the Non-Proliferation Treaty.
The council reaffirmed a commitment to “advance the goals of the NPT as the cornerstone of the nuclear non-proliferation regime, the foundation for the pursuit of nuclear disarmament and the peaceful uses of nuclear energy.” "
Alexandria Ocasio-Cortez allegedly jabs Jared Kushner over WhatsApp use,www.jpost.com,ILANIT CHERNICK,04-03-2019,2019,4,https://www.jpost.com/American-Politics/Alexandria-Ocasio-Cortez-allegedly-jabs-Jared-Kushner-over-WhatsApp-use-585614,"1 minute read. b U.S. Representative Alexandria Ocasio-Cortez (D-NY) speaks to members of the media following a televised town hall event on the “Green New Deal” in the Bronx borough of New York City, New York, U.S., March 29, 2019. (photo credit: REUTERS/JEENAH MOON)
Congresswoman Rep. Alexandria Ocasio-Cortez has reportedly taken a jab at White House senior adviser Jared Kushner after allegations emerged that he was using WhatsApp to conduct official government business. In March, Democrat Elijah Cummings, chairman of the House Oversight Committee, accused Kushner of using the messaging app to discuss classified information in a letter to the White House. The Hill reported Ocasio-Cortez as saying that ""we are getting reports from the press and from a wide variety of sources that indicate that ... we are conducting foreign relations with folks with security clearances via WhatsApp,"" during a House Oversight and Reform Committee hearing on White House security clearances. While addressing the hearing, the congresswoman claimed that ""every day that we go on without getting to the bottom of this matter is a day that we are putting hundreds, if not potentially thousands of Americans at risk. I mean, really. What is next? Putting nuclear codes in Instagram DMs?"" ""This is ridiculous,"" Ocasio-Cortez said, while calling on lawmakers to get to the bottom of these concerns and address the ""wrongdoings"" of the Trump administration when it comes to granting clearance. ""Everyday that there is an insecure line of communication that could be leaked, that could be hacked, that could be screenshot-ed without proper channels is a day that we are putting our national security at risk.” Last month, The New York Times reported that Trump ordered officials to grant Kushner clearance despite objections of national security officials. On Monday, Cummings released a memo, which quoted whistleblower Tricia Newbold, a long-serving government employee who has overseen the issuing of clearances for several senior White House aides. Newbold compiled a list of at least 25 officials who were initially denied security clearances last year but were eventually granted access after senior officials overruled those decisions. Cummings’ panel has been looking into security clearances issued to senior officials including Kushner.
 "
Bennett: Every vote to Feiglin brings bulldozers closer to settlements,www.jpost.com,GIL HOFFMAN,04-03-2019,2019,4,https://www.jpost.com/Israel-Elections/Bennett-Every-vote-to-Feiglin-brings-bulldozers-closer-to-settlements-585619,"1 minute read. b Naftali Bennett at The Jerusalem Post elections conference, April 3rd, 2019. (photo credit: MARC ISRAEL SELLEM/THE JERUSALEM POST)
New Right leader Naftali Bennett issued a fierce attack on the Zehut party of former Likud MK Moshe Feiglin on Wednesday at a Hebrew language conference in Tel Aviv that was sponsored by The Jerusalem Post Group, the parent company of the Ma'ariv newspaper and The Post.Bennett's attack came after Zehut started obtaining a similar amount of seats in polls as the New Right, taking votes away from the party of Bennett and Shaked. He used the speech and his answers to questions from Ma'ariv columnists to reach out to Feiglin's young voters in the religious Zionist movement. ""I say to each of them - Feiglin is a man with good intentions, but behind him are people on the Left as well as on the Right, and that is exactly the incident we had with Raful [former Tzomet Party leader Raphael] Eitan in 1992. The people he brought in dismantled our house. Every vote that goes to Feiglin brings the bulldozers closer to your houses. Do not vote to destroy your house.""Bennett accused Feiglin of being a ""almost a phenomenon of messianism."" He said Feiglin wrote two months before the 2005 Gaza disengagement that it would not happen.""A new generation has grown who do not know the old Feiglin, but this is the same book in a different cover,"" Bennett said. Mocking Blue and White leaders experience dealing with the Gaza Strip, Bennett said that ""generations of defense ministers and generals with 117 and 217 years of experience have been explaining to us that there is no solution.""He vowed that if appointed defense minister he would restore quiet to the South in what he called ""a very sophisticated air operation, in which we will not enter soldiers if there is no need.""
 "
Israeli tech to enable blind voters to cast ballot without assistance,www.jpost.com,EYTAN HALON,04-03-2019,2019,4,https://www.jpost.com/Jpost-Tech/Israeli-tech-to-enable-blind-voters-to-cast-ballot-without-assistance-585615,"Hi tech news Israeli tech to enable blind voters to cast ballot without assistance There are approximately 24,000 Israelis registered as blind today, and about 22,000 currently have the right to vote. A visually-impaired OrCam user demonstrates using the technology to vote. (photo credit: ORCAM PR) X
Dear Reader, As you can imagine, more people are reading The Jerusalem Post than ever before. Nevertheless, traditional business models are no longer sustainable and high-quality publications, like ours, are being forced to look for new ways to keep going. Unlike many other news organizations, we have not put up a paywall. We want to keep our journalism open and accessible and be able to keep providing you with news and analysis from the frontlines of Israel, the Middle East and the Jewish World. As one of our loyal readers, we ask you to be our partner. For $5 a month you will receive access to the following: A user experience almost completely free of ads Access to our Premium Section Content from the award-winning Jerusalem Report and our monthly magazine to learn Hebrew - Ivrit A brand new ePaper featuring the daily newspaper as it appears in print in Israel
Help us grow and continue telling Israel’s story to the world.
Thank you,
Ronit Hasin-Hochman, CEO, Jerusalem Post Group Yaakov Katz, Editor-in-Chief UPGRADE YOUR JPOST EXPERIENCE FOR 5$ PER MONTH Show me later
Blind and visually-impaired voters across the country will be able to cast their ballots in Tuesday’s general election without any assistance, courtesy of an Israeli-developed artificial vision device.There are approximately 24,000 Israelis registered as blind today, of whom 22,000 have the right to vote. A further 100,000 voters are visually impaired. Ahead of the hotly-contested vote, Jerusalem-based artificial vision device maker OrCam has partnered with the Central Elections Committee and the Center for the Blind in Israel in a pilot program seeking to enable every voter to exercise his democratic right while preserving the right to vote by secret ballot.OrCam’s MyEye 2 device is recognized as the world’s most advanced wearable artificial vision technology for people who are blind, partially sighted, have reading difficulties or experience reading fatigue. The device, mounted on any eyeglass frame, instantly and discreetly reads printed and digital text aloud, such as the paper ballots in the voting booth, and is simply activated by a pointing gesture or by following the wearer’s gaze.The Election Committee chose to implement OrCam’s technology at the ballot box after publishing an invitation to tender and examining a range of accessibility solutions.“This is actually the first time in the world that breakthrough technology will enable blind and visually-impaired people to exercise the right to vote independently and without being accompanied,” said OrCam co-founder, president and CEO Ziv Aviram.“Thanks to our cooperation with the Elections Committee, we will demonstrate how our groundbreaking artificial intelligence technology empowers the lives of tens of thousands of citizens. We hope that the world will adopt the pilot that the State of Israel is leading, and will enable independence for the blind and other visually-impaired people around the world.”The pilot program will be implemented at 12 polling stations, from Eilat in the south to Acre in the north, and in both Jewish and minority communities. Exact locations will be published on the Elections Committee’s website.When voting begins on Tuesday, blind and visually-impaired citizens can choose to vote at the polling station where they are registered, accompanied by an individual of their choice for assistance, or they can arrive at a specially-adapted polling station participating in the pilot program and vote using the OrCam device.Polling stations participating in the pilot will also enable voters to receive assistance from an individual of their choice instead of using the device, if necessary.OrCam was co-founded in 2010 by Aviram and Prof. Amnon Shashua, the co-founders of autonomous driving innovator Mobileye, which was acquired by Intel Corp. in August 2017 for $15.3 billion. The company’s MyEye technology is available in 25 languages and 40 countries.
Join Jerusalem Post Premium Plus now for just $5 and upgrade your experience with an ads-free website and exclusive content. Click here>> Tags:"
Taylor Swift megafan goes viral after prison stint for dodging IDF draft,www.jpost.com,AMY SPIRO,04-03-2019,2019,4,https://www.jpost.com/Israel-News/Taylor-Swift-megafan-goes-viral-after-prison-stint-for-dodging-IDF-draft-585617,"Taylor Swift megafan goes viral after prison stint for dodging IDF draft Twitter fan account 'LegitTayUpdates' was brought back to life after a two month break. 4 minute read. b Singer Taylor Swift receives the Tour of the Year award during the iHeartRadio Music Awards in Los Angeles, California, U.S., March 14, 2019. . (photo credit: REUTERS/MARIO ANZUONI) X
Dear Reader, As you can imagine, more people are reading The Jerusalem Post than ever before. Nevertheless, traditional business models are no longer sustainable and high-quality publications, like ours, are being forced to look for new ways to keep going. Unlike many other news organizations, we have not put up a paywall. We want to keep our journalism open and accessible and be able to keep providing you with news and analysis from the frontlines of Israel, the Middle East and the Jewish World. As one of our loyal readers, we ask you to be our partner. For $5 a month you will receive access to the following: A user experience almost completely free of ads Access to our Premium Section Content from the award-winning Jerusalem Report and our monthly magazine to learn Hebrew - Ivrit A brand new ePaper featuring the daily newspaper as it appears in print in Israel
Help us grow and continue telling Israel’s story to the world.
Thank you,
Ronit Hasin-Hochman, CEO, Jerusalem Post Group Yaakov Katz, Editor-in-Chief UPGRADE YOUR JPOST EXPERIENCE FOR 5$ PER MONTH Show me later
A Twitter fan account for the singer Taylor Swift went viral after it was revealed that it was purportedly run by an Israeli woman who served time in prison for refusing to join the IDF.The young woman, who identified herself only as Na’ama, had been running a Twitter account for more than a year devoted to Swift. For the past two months it went silent, until Tuesday when the account sprung back to life. “As most of you know, I haven’t been very active in the past couple of months because I was in prison :/ I’m back now though :) more Taylor Swift updates coming soon!” the account @LegitTayUpdates posted on Tuesday. A fan replied: “omg why,” to which Na’ama responded: “I refused to join the IDF lmao,” using the internet slang abbreviation for “laughing my ass off.”That interaction quickly went viral, with the original tweet as well as screenshots of the exchange gaining tens of thousands of likes and retweets. | UPDATE|| As most of you know, I haven't been very active in the past couple of months because I was in prison :/ I'm back now though :) more Taylor Swift updates coming soon! — Taylor Swift Updates (@LegitTayUpdates) April 2, 2019 In a direct message exchange with The Jerusalem Post , Na’ama said the reaction since she was released from military prison on Tuesday has been overwhelming.“Once a screenshot of my tweet went viral, everything just sort of exploded,” she wrote. “People have reached out for more info, (former) friends of mine have blocked me and berated me for using my time as a “tool for attention”, people have offered my jobs, money, drinks, tours in their country, marriage... I’ve just been trying to make sure the focus is on Palestine and helping them, as well as spreading info while still protecting my own identity.” | I can't believe my most notorious Taylor Swift Update™ is not even about Taylor but about me being released from prison pic.twitter.com/o87xvQldUx — Taylor Swift Updates (@LegitTayUpdates) April 2, 2019 Na’ama, who was born in Israel to an Anglo parent, said she would not disclose her last name for fear it would anger the IDF, or lead to her being rearrested. She also said her family was ashamed of her actions, and don’t want people to know. Na’ama told the Post she has not officially received her discharge papers, but is slated to soon. The Jerusalem Post could not independently verify her story.“This story is kind of blowing up, and I don’t want it to have negative consequences on my friends or family or community,” she said.During the two months that Na’ama was purportedly in prison, a friend, Noya, posted regular updates from visiting days, including photographs of Na’ama’s handwritten notes while behind bars.On both her private and personal Twitter accounts after her release, Na’ama elaborated on her political views, the reason she went to prison and her plans for the future.“Free Palestine, throw Netanyahu in prison, and donate to the Palestinian Children’s Relief Fund, who actually are confirmed to use at least 86% of their donations on the programs and services they deliver!” she wrote from the Taylor Swift fan account, which gained several thousand followers in just 24 hours.On her personal account, she joked about her time in prison and her family’s reaction.“Everyone’s congratulating me on going to prison man I can’t WAIT till my parents hear about this,” she tweeted. “Ya girl’s famous for being a pro-Palestine disgrace to her family, wow what a legacy!” Ya girl's famous for being a pro-Palestine disgrace to her family, wow what a legacy! https://t.co/2StgRH8H3F — Hello IDF pls don't arrest me again (@iknowplacesmp6) April 2, 2019 She also explained why she didn’t seek or receive an exemption from her army service: “I didn’t get a moral waver [sic] because they proved I wasn’t a true pacifist (I told them I’d punch a Nazi),” she wrote. “And you can’t choose to do National Service for no reason, you have to get a waver [sic]. I wasn’t gonna get married or turn Orthodox to get a waver [sic], so I did the time. As is the (f***ed up) law.”Na’ama also wrote that after voting in next week’s election for “whatever pro-Palestine party I feel like!” she intends to move to New York, stay with relatives and work in the film industry.So far, Taylor Swift herself has yet to weigh in.“I don’t expect it,” Na’ama told the Post. “I didn’t do or say any of this for a prize or a reward... I really don’t think me being a Taylor stan has anything to do with this.”
Join Jerusalem Post Premium Plus now for just $5 and upgrade your experience with an ads-free website and exclusive content. Click here>> Tags:"
