title, publication, authors, date, year, month, url, content
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-33,"Roy Ellis Name one or go back to bed with your wife/sister, hillbilly inbred."
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-134,"Here is the relevant legal language (IRS code 6103(f)(1)): Upon written request from the chairman of the Committee on Ways and Means of the House of Representatives, the chairman of the Committee on Finance of the Senate, or the chairman of the Joint Committee on Taxation, the Secretary shall furnish such committee with any return or return information specified in such request, except that any return or return information which can be associated with, or otherwise identify, directly or indirectly, a particular taxpayer shall be furnished to such committee only when sitting in closed executive session unless such taxpayer otherwise consents in writing to such disclosure."
Barr's legacy on the line as Mueller team fumes - POLITICO,www.politico.com,,04-05-2019,2019,4,https://www.politico.com/story/2019/04/04/barr-legacy-mueller-report-1256871#post-489,Flint Rogers Racist.
Barr's legacy on the line as Mueller team fumes - POLITICO,www.politico.com,,04-05-2019,2019,4,https://www.politico.com/story/2019/04/04/barr-legacy-mueller-report-1256871#post-494,"Mr. Barr has fallen into the political trap of being the coverup attorney-general for the corrupt Mr. Trump, instead of being what the Constitution mandates, the attorney-general for the people of the United States."
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-35,"Roy B Lee name what, boy?"
Barr's legacy on the line as Mueller team fumes - POLITICO,www.politico.com,,04-05-2019,2019,4,https://www.politico.com/story/2019/04/04/barr-legacy-mueller-report-1256871#post-495,"Stephen Gianelli It’s sad when Americans were hoping Mueller is their savior. We wouldn’t be where we are without the totally fabricated, not a shred of evidence to even allude to Trump-Russia collusion. There is not any evidence. There never has been any evidence. There wasn’t any evidence. They tried to manufacture evidence with the Trump dossier. All of this literally made up, and none of the rest of what’s happened, Flynn’s lies, Mueller’s investigation, none of it would have happened if it weren’t for all of that being made up. We have been lied to, we have been misled, we have been misdirected by a willing accomplice Drive-By Media working with Robert Mueller and his staff of anti-Trump lawyers and the entire Democrat Party combined with the Washington establishment to create in the minds of the American people a story that didn’t happen, couldn’t happen, nobody can ever prove did happen. Where is the tampering of votes? Where are the meetings? Where is the strategy? Where is the evidence that Trump got together with Russians / Putin to sabotage the Hillary campaign? Which is what everybody has been led to believe happened here. Robert Mueller has nothing because there is nothing on what everybody in this country has been misled to believe for the past two years. Liberals must be defeated not convinced"
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-36,"We must see that Trump has paid his fair share of income tax just like you and me. Trump does business in the billion$. He might well be hiding millions. -- And if he is, force the low-life to PAY-UP!! ."
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-136,Hank Wershaw Yes I cry for my country.
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-39,Why not employ the Norway method: make all tax returns public to ensure accountability.
Barr's legacy on the line as Mueller team fumes - POLITICO,www.politico.com,,04-05-2019,2019,4,https://www.politico.com/story/2019/04/04/barr-legacy-mueller-report-1256871#post-496,"Well, he ""applied"" for the job using his ""no obstruction"" memo written in June of 2018 (before seeing ANY of the investigation) to make his willingness to serve the president well known. After that, he was a shoo-in for the job. He might as well have put up a billboard across from the white house that said, ""Let ME fix your legal problems. Satisfaction guaranteed. Call this number TODAY!"""
Barr's legacy on the line as Mueller team fumes - POLITICO,www.politico.com,,04-05-2019,2019,4,https://www.politico.com/story/2019/04/04/barr-legacy-mueller-report-1256871#post-497,Nailed it !!!
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-41,"Phillip Roncoroni There's that word ""if"" again. Does anyone credible suspect this is true, based on evidence? Fishing through a tax return without cause opens up a big can of worms. We have a body who overseas individual tax returns. It's called the IRS."
Barr's legacy on the line as Mueller team fumes - POLITICO,www.politico.com,,04-05-2019,2019,4,https://www.politico.com/story/2019/04/04/barr-legacy-mueller-report-1256871#post-498,"You dont even believe that, and we can PROVE IT Vegas Takes ALL BETS KIDDO :)"
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-42,"What laws, specifically, are you talking about?"
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-43,The tax returns they look at are supposed to stay confidential within the committee and specifically for the purpose of oversight of the IRS. Is there a question about whether or not the IRS is or has handled the Presidents tax returns improperly?
Barr's legacy on the line as Mueller team fumes - POLITICO,www.politico.com,,04-05-2019,2019,4,https://www.politico.com/story/2019/04/04/barr-legacy-mueller-report-1256871#post-499,David Martin ... Is that experience talking ... maybe from the 2012 election?
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-44,Democrats continuing the precedence set by Obama of using the IRS as their personal Gestapo.
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-83,"Mark Du Bois Has anyone told congress that Trump is keeping gifts from other countries? They seem unaware. If you're talking about the assetts he had before he became President, and any conflict of interest that might exist, you'll have to be more specific on how he has broken the emoluments clause."
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-86,"Dave MacGill Trump's cabinet reverses laws to protect food, water, climate and anything the puts money in their pocket. Much of the problem with Trump and Trumpers will last for generations even IF the younger generation manages to correct our corrupt election system. Trump himself has been to court 9000 times being sued and suing others himself. His record in very bad in the US. So why did he get an easy ride to the White House?"
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-47,When do we see O'Turd's college application where he claims to be a foreign student?
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-49,"U.S. Code Title 26. INTERNAL REVENUE CODE Subtitle F. Procedure and Administration Chapter 61. INFORMATION AND RETURNS Subchapter B. Miscellaneous Provisions Section 6103. Confidentiality and disclosure of returns and return information (f) Disclosure to Committees of Congress (1) Committee on Ways and Means, Committee on Finance, and Joint Committee on Taxation Upon written request from the chairman of the Committee on Ways and Means of the House of Representatives, the chairman of the Committee on Finance of the Senate, or the chairman of the Joint Committee on Taxation, the Secretary shall furnish such committee with any return or return information specified in such request"
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-87,Dean Myerson Why would the IRS come after Trump? They already have his tax returns. You can bet they've investigated him already and audit him yearly.
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-50,Wilson Cook See below
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-89,"Richard Neal is a Member of the Honor Society, Holds a Bachelor Degree, Graduated with BA from University of Hartford, American International College on Political Science, Teacher, Lecturer of Holyoke College. Former Coucilman an Mayor of Spreingfield, Mass Serves now as U.S Rep for the 1st District of Mass in Congress! Richard Neal has more Expeirence/Education/Integrity and morals then any Republican you can name right now! He's careful, precise an knows what to do, an when to do it! So before you try to put some one down, know some thing about them!"
Inside House Dems' move to seize Trump's tax returns - POLITICO,www.politico.com,,04-04-2019,2019,4,https://www.politico.com/story/2019/04/04/democrats-trump-tax-returns-1321840#post-51,"Mueller report, what effing Mueller report, you saw a 4 page love letter written by a Trump sock puppet, there was not even one complete sentence and nothing from the report, please tell us you aren't this dense."
