title, publication, authors, date, year, month, url, content
Northamptonshire Police call handler 'unsatisfactory' over death - BBC News,www.bbc.com,,06-02-2019,2019,6,https://www.bbc.com/news/uk-england-northamptonshire-48475238,"Northamptonshire Police call handler 'unsatisfactory' over death 2 June 2019 These are external links and will open in a new window Close share panel Image caption The investigation found the call handler had not completed a thorough review of the man's records on the computer database A call handler's performance was ""unsatisfactory"" when dealing with the case of a suspected suicidal man who was later found dead, a report says.
Northamptonshire Police was told in March 2018 that a man had failed to attend work and was a suicide risk.
The Independent Office for Police Conduct (IOPC) said the case was graded ""medium-risk"", but the call handler had not fully reviewed records on the man.
The force said the call handler would receive ""management action"".
The IOPC, which assesses police conduct, said following the missing person report an officer called at the man's home, but there was no reply.
The case was subsequently classified as ""medium-risk"".
However, Northamptonshire Police later received intelligence that led to the grading being increased to high.
Officers went back to the man's home, forced entry and found the man dead.
The IOPC said it did not find anything to justify the bringing of disciplinary proceedings, or that anyone had committed a criminal offence.
However, it found the ""call handler had not completed a thorough review of the man's record on the computer database, which would have highlighted some warning markers at an earlier stage"".
""We were of the opinion that the performance of the call handler may be considered to be unsatisfactory,"" it added.
The IOPC said Northamptonshire Police agreed with the investigation's findings. Related Topics"
Nanda Devi: Helicopters join search for eight missing climbers - BBC News,www.bbc.com,,06-02-2019,2019,6,https://www.bbc.com/news/world-asia-india-48488802,"Image copyright Getty Images Image caption The group went missing while climbing Nanda Devi in the Indian Himalayas Indian rescuers say the chances of finding eight climbers missing in the Himalayas are ""bleak"".
Two Indian air force helicopters were searching the mountains, but officials said the operation had to be suspended due to unfavourable conditions.
The missing group, including four Britons, two Americans, an Australian and an Indian, began climbing Nanda Devi on 13 May.
The British group leader's family said they were ""deeply saddened"".
Earlier, officials said four other British climbers had been rescued. They have been named by India TV as Mark Thomas, Ian Wade, Kate Armstrong and Zachary Quain.
They were airlifted to safety after being spotted early on Sunday at a base camp near Nanda Devi.
Image copyright India TV Image caption Zachary Quain, Ian Wade, Kate Armstrong and Mark Thomas were rescued from base camp The four rescued mountaineers began their ascent with the eight-member group on 13 May but returned to Munsiyari base camp due to harsh weather conditions.
The larger group headed for the summit of another unnamed peak, government official Vijay Kumar Jogdanda said.
Image copyright Reuters Image caption The 12 climbers pictured before they began their ascent Both groups remained in touch until 26 May - a day before an avalanche hit the 7,816-metre mountain, according to authorities.
Climate change threatens Himalayan glaciers How dangerous is Mount Everest? Four reasons why this Everest climbing season went wrong Image copyright Facebook Image caption British mountain guide Martin Moran The missing group was being led by experienced British mountain guide Martin Moran, whose Scotland-based company Moran Mountain has run numerous expeditions in the Indian Himalayas.
In a statement, his family said they were pressing for the search area to be widened, and wanted it to continue until they had firm evidence of the ""wellbeing or otherwise of all those in the climbing group"".
Media playback is unsupported on your device Media caption Mountaineer Alan Hinkes: 'There is still hope for missing climbers' Mountaineer Alan Hinkes told the BBC his friend, Mr Moran, is a ""massively experienced mountaineer"", adding: ""There's still hope.""
But he warned the monsoon season was now moving into the area, bringing with it heavy rain and fresh amounts of snow in the mountains.
""We are worried there's an avalanche involved and no matter how experienced you are, the mountain doesn't know that,"" he added.
'Extremely concerned' Mr Moran is also a member of the Torridon Mountain Rescue Team in Scotland, which said: ""The Team are deeply concerned by the news that our member, Martin Moran, is missing on Nandi Devi.
""Our thoughts and prayers are with his family and the families of the others missing.""
The rest of the group have been named locally as John McLaren, Rupert Whewell and Richard Payne from the UK; US nationals Anthony Sudekum and Ronald Beimel; Australian Ruth McCance and Indian guide Chetan Pandey.
Image copyright Facebook Image caption Ruth McCance, from Australia, is among the missing climbers The University of York confirmed one of its lecturers, Dr Richard Payne, had been reported missing after travelling to the Himalayas on a climbing trip.
""We are extremely concerned for his safety,"" it said in a statement.
Image copyright Richard Payne Image caption Richard Payne, University of York lecturer The rescue effort began on Saturday when the climbers did not return to their base camp.
""The first aerial recce has concluded,"" said Mr Jogdanda earlier on Sunday, confirming an avalanche was feared to have caught the group in the area around India's second-highest peak.
He added: ""There were only tents spotted, but no human presence. The second helicopter has left for the recce. Chances of survival are bleak.""
A team of 10 to 15 rescuers, comprising police, disaster response personnel and administrators, has also fanned out to find survivors, said Tripti Bhatt, an official of the Uttarakhand State Disaster Response Force (SDRF).
Authorities warned it could take days to trek to the area where the missing climbers were last known to have been.
Moran Mountain confirmed on Saturday that it was working with authorities and the British Association of Mountain Guides to ""gather information regarding the Nanda Devi East expedition team"" .
""Out of respect for those involved and their families, we will be making no further comments at this time,"" it added.
Photos posted to Moran Mountain's Facebook page the day before the start of the climb showed the group ""starting their journey into the hills at Neem Kharoli Baba temple, Bhowali"".
An update on 22 May, posted from their second base camp at 4,870 metres, suggested that the group would attempt to summit a previously unclimbed peak on the mountain.
The British Foreign and Commonwealth Office (FCO) confirmed it was in contact with Indian authorities about the missing climbers.
""We will do all we can to assist any British people who need our help,"" a spokesman said.
Nanda Devi is the world's 23rd highest mountain and was first scaled in 1936.
Considered one of the toughest Himalayan peaks to summit, it attracts fewer climbers than other mountains in the region."
Honduras protests- Buildings burn during clashes over reforms,www.bbc.com,,06-01-2019,2019,6,https://www.bbc.com/news/world-latin-america-48103857,"These are external links and will open in a new window Close share panel Media playback is unsupported on your device Media caption Police fired tear gas at protesters, who threw rocks and fire bombs Riot police and protesters have clashed in the Honduran capital, Tegucigalpa, during protests against planned reforms of the health and education sector.
Hundreds of people had to be evacuated from a number of buildings in the city after they were set alight.
The protesters fear that the reforms could lead to mass lay-offs of teachers and doctors.
They have been on strike since Congress approved the reforms. Demonstrations were also held outside the capital. What happened?
A largely peaceful march against the reforms turned violent when a small group of hooded protesters clashed with riot police in the historic city centre of Tegucigalpa. Image copyright AFP Image caption Military police blocked the roads around the university Image copyright AFP Image caption Students are among those opposing the reforms Image copyright AFP Image caption The offices of the Honduran communications company Hondutel were among those set alight
At least four buildings were set alight, among them Tegucigalpa's city hall. Shop fronts were smashed and burning barricades erected to block key roads. Demonstrators also occupied the campus of the National Autonomous University in Tegucigalpa.
Riot police fired tear gas and charged at demonstrators with batons. Dozens of people were injured in the clashes and one of them is in a serious condition.
Police evacuated more than 250 people from the city hall after it was set alight by demonstrators throwing petrol bombs.
Outside the capital, a woman gave birth in a crowd in the town of La Ceiba after being caught up in protests. What are the protesters' demands?
The demonstrators want to stop two bills from coming into force which aim to restructure the ministries of education and health. The bills were passed on 25 April by the Honduran Congress in a tense sitting which saw some rival lawmakers push and shove each other. They still require one more voting session to become law. Image copyright AFP Image caption The clashes came after doctors and teachers went on strike and students occupied the university's buildings
Doctors and teachers have gone on strike in protest at the proposed reform, which they say will lead to mass sackings in the public sector. They say that the restructuring is the first step towards the privatisation of education and health services.
The government denies that the reform will lead to privatisation and layoffs. It says that the restructuring will provide savings of more than $300m (£231m) which it plans to invest in primary education, the construction of two hospitals and the improvement of neonatal care. What's the political background?
Backers of the reform say the opposition Libre party is stoking opposition to the law for political purposes. The bills have the backing of conservative President Juan Orlando Hernández.
During the protests, many of the demonstrators also demanded the resignation of President Hernández, who won a second term in 2017 in a disputed election in which his party was accused of fraud. Related Topics"
Elina Svitolina column: I hope injury won't threaten Wimbledon hopes - BBC Sport,www.bbc.com,msn.com,06-02-2019,2019,6,https://www.bbc.com/sport/tennis/48479397,"In her final column for BBC Sport, Elina Svitolina talks about her knee injury, feeling lost on court against Garbine Muguruza and paying for a young player to have surgery."
Tiananmen Square: China minister defends 1989 crackdown - BBC News,www.bbc.com,,06-02-2019,2019,6,https://www.bbc.com/news/world-asia-china-48489002,"
Tuesday marks 30 years since six weeks of demonstrations ended with the Beijing massacre of 3-4 June. What did the minister say? Image copyright Getty Images Image caption Workers and students shouted pro-democracy slogans
Public discussions of the 1989 pro-democracy protests and their suppression are strictly taboo in China.
But after a wide-ranging speech about trade and security at a regional forum in Singapore, General Wei Fenghe was asked about Tiananmen by a member of the audience.
Mr Wei questioned why people still said China had not handled the events properly.
""That incident was a political turbulence and the central government took measures to stop the turbulence, which is a correct policy,"" he told the forum.
""The past 30 years have proven that China has undergone major changes,"" he said, adding that because of the government's action at that time ""China has enjoyed stability and development"".
His remarks came after Twitter issued an apology for suspending a number of accounts posting about China ahead of the Tiananmen Square anniversary.
A tweet on their public policy account said the company was working to challenge accounts that engage in ""platform manipulation, including spam and other inauthentic behaviours"".
""Sometimes our routine actions catch false positives or we make errors,"" the tweet read, adding that Twitter was trying to correct the mistakes.
Users had criticised the platform for blocking the accounts, using the hashtag #TwitterMassacre. Republican Senator Marco Rubio accused the company of becoming a Chinese government censor . 'Acts of forgettance'
There are no official acts of remembrance for the events of 1989 in Beijing. But that statement, although factually correct, is far too neutral.
In truth, what happened in Tiananmen Square is marked faithfully each year by a massive, national act of what might more properly be called ""forgettance"".
In the weeks leading up to 4 June, the world's biggest censorship machine goes into overdrive as a huge dragnet of automated algorithms and tens of thousands of human expurgators cleanse the internet of any reference, however oblique.
Those deemed to have been too provocative in their attempts to evade the controls can be jailed - with sentences of up to three and a half years recently handed down to a group of men who had tried to commemorate the anniversary with a product label. "
Liverpool and Klopp get over the line on a night of Champions League redemption - BBC Sport,www.bbc.com,msn.com,06-02-2019,2019,6,https://www.bbc.com/sport/football/48487773,"The game was no classic, but there was a sense of destiny around Liverpool as they claimed the prize they missed out on 12 months ago, writes Phil McNulty."
Boeing 737 Max: Regulators seek harmony over plane safety - BBC News,www.bbc.com,,06-02-2019,2019,6,https://www.bbc.com/news/business-48489082,"
No fixed timetable for Max 737 grounding to be lifted 'Restore order'
The decision by the European Union, China, and others to ground the Max - before the US did so - created an unusual split in the global regulatory system. Image copyright Reuters Image caption Boeing's Dennis Muilenburg says steady progress is being made to get the 737 Max back into the skies
EU Transport Commissioner Violeta Bulc said the European Aviation Safety Agency would take a very close look at Boeing's proposed design changes.
""We always work together with other regulators and we certainly will take joint moves, but EASA will reserve the right to take an individual look at the results and then of course engage with the rest of the regulators,"" she told Reuters media agency.
There is currently no agreed time frame on the plane's return to service, with Iata saying it was unlikely to take to the skies before August. Image copyright Reuters Image caption The Ethiopian Airlines crash killed all 157 on board
Asked how long it would take to resolve the Boeing crisis, Violeta Bulc said: ""I hope as soon as possible because we do need to restore order and trust and move on.""
In late May Canadian regulators suggested they may look to work more closely with European regulators, rather than the US Federal Aviation Administration (FAA), on the issue of the 737 Max's safety. 'Trust damaged'
The two crashes - in Indonesia in October 2018 and Ethiopia in March 2019 - killed a total of 346 people.
Until then, airline regulators worldwide generally accepted certifications issued in the country where the aircraft had been built, which in this case was the FAA.
Following the crashes however, it emerged the FAA had delegated part of the certification process for the plane to Boeing, putting pressure on the US regulator.
There is still no broad agreement among global regulators on how and when Boeing's software fixes, which have yet to be completed, will be approved. Image copyright Rex Features Image caption Boeing's 737 Max aircraft was grounded in March
Airline trade body, the International Air Transport Association (Iata) is meeting in South Korea for its biggest gathering since the two disasters.
""Trust in the certification system has been damaged - among regulators, between regulators and the industry and with the flying public,"" said Iata boss Alexandre de Juniac.
""While Boeing and the US Federal Aviation Administration are at centre stage, the close collaboration of counterpart manufacturers and civil aviation authorities around the world are essential,"" he said. "
"News Daily- CBI's 'no-deal' warning to Tories, and Trump's Mexico tariffs",www.bbc.com,,06-02-2019,2019,6,https://www.bbc.com/news/uk-48461181,"These are external links and will open in a new window Close share panel
If you want to get this briefing by email, sign-up here Image copyright Getty Images Business warns Tories over no-deal Brexit
The head of the Confederation of British Industry is warning Tory leadership hopefuls against letting the UK leave the EU without a Brexit deal . Smaller companies cannot afford the necessary preparations for leaving without a plan, Carolyn Fairbairn says in an open letter to the growing number of Conservatives bidding to be the next prime minister. It's the latest in a series of warnings from the lobby group, which has claimed some sectors face ""extinction"" without a close trading relationship to Brussels.
The first of the dozen candidates (so far) to enter the race, Esther McVey, believes the UK needs to ""actively embrace leaving the EU without a deal"", while ex-cabinet colleagues Boris Johnson and Dominic Raab want to renegotiate the terms agreed by Theresa May but would enforce the 31 October deadline either way. However, Ms Fairbairn's letter argues: ""Short-term disruption and long-term damage to British competitiveness will be severe if we leave without [a deal].""
Struggling to keep track of who's in the running to get the keys to No 10? See our potted guide . Trump announces tariffs on all Mexico goods
He might face a fight to get his promised border wall built, but Donald Trump has another tactic to fight the illegal immigration from Mexico he says is a threat to national security. The US president has announced a 5% tariff on all goods from America's southern neighbour , rising until ""the Illegal Immigration problem is remedied"". A Mexican diplomat says the effects will be ""disastrous"". Mr Trump's efforts to divert federal funds for his wall by declaring a national emergency have been frustrated in the courts , while opposition to Mr Trump's plans in Congress prompted some of the president's supporters to try building their own crowd-funded border barrier this week. They too were stopped by authorities. Get the lowdown on the wall via our seven charts .
Get news from the BBC in your inbox, each weekday morning Shamima Begum was 'groomed', says lawyer
Shamima Begum, who at 15 ran away to Syria to join Islamic State rebels, was ""groomed"" by the terror group, her family's lawyer has claimed . Tasnime Akunjee says Home Secretary Sajid Javid's decision to revoke Ms Begum's citizenship in February was a ""politically-driven abuse of power"" to try to further his ""own personal political objective"" of becoming prime minister. The lawyer says the family was not told she had been interviewed by police when a fellow school pupil left for Syria the previous year. Had they known, he says, the family would have been able to stop Ms Begum from following her. The Home Office hasn't commented but foreign policy think tank the Henry Jackson Society said the UK must be ""very careful employing terms of victimhood to individuals who have joined terrorist organisations"". The man who might have stopped Sri Lanka's Easter bombings
By Secunder Kermani, BBC News
Lying on a hospital bed, Mohammad Razak Taslim's face contorts with pain. The left side of his body is completely paralysed, but he reaches out with his right hand, trying to clutch at his wife and brother-in-law who stand anxiously over him. His wife, Fatima, presses a handkerchief to his head. One side of his skull has caved in. It's where he was shot in the head in March. Ever since, he's been unable to speak, unable to walk.
Police believe Taslim was one of the first victims of the Sri Lankan extremist network, linked to the Islamic State group, that would go on to kill more than 250 people in a series of suicide bombings on churches and hotels on Easter Sunday in April. According to officials he was shot on the orders of the ringleader of the attacks, Zahran Hashim.
Read the full story What the papers say
There's a mixed bag on front pages , with the Mail and Mirror focusing on the number of GP surgeries to have closed over the past year - 138, according to the Mail - which the papers say have left 500,000 people without a doctor. Others zone in on comments from the EU's chief Brexit co-ordinator Michel Barnier, who reportedly claims voters' decision to leave the bloc was based on ""nostalgia"" for the days when the UK was a more prominent global power. Daily digest
Uber Ride-hailing firm posts $1bn loss weeks after stock market listing
Lib Dems Deputy leader Jo Swinson confirms leadership bid
Malaria GM fungus rapidly kills 99% of malaria mosquitoes
Quiz Test your knowledge of the biggest news events over the past week If you see one thing today If you listen to one thing today Image copyright Getty Images If you read one thing today Image copyright Getty Images
Sign up for a morning briefing direct to your phone Lookahead
09:30 Voices of Liberation sound installation - a bench which plays audio of D-Day veterans talking about their experience on the battlefield to people who sit on it - to be unveiled at Portsmouth Naval Memorial.
19:00 Liberal Democrats hold their first leadership hustings in Islington, north London, with participants expected to include deputy leader Jo Swinson and Sir Ed Davey. On this day
1998 Geri Halliwell (now Horner) - aka Ginger Spice - leaves the Spice Girls, citing ""differences between us"" and amid reports of a power struggle with ""Scary"" Melanie Brown. From elsewhere"
On the Move: is the future of transport driverless and shared?,www.bbc.com,msn.com,06-02-2019,2019,6,http://www.bbc.com/future/bespoke/the-disruptors/on-the-move/,"On the Move: is the future of transport driverless and shared?""> "
Israel strikes Syrian targets near Golan Heights - BBC News,www.bbc.com,,06-02-2019,2019,6,https://www.bbc.com/news/world-middle-east-48489277,"Israel strikes Syrian targets near Golan Heights 2 June 2019 These are external links and will open in a new window Close share panel Image copyright AFP Israeli aircraft have struck Syrian army targets after rockets were fired at the occupied Golan Heights, the Israeli military says.
Three Syrian soldiers were killed in the overnight strike, Syrian state media said on Sunday.
Israel seized the Golan from Syria in 1967 and later in effect annexed it, in a move not recognised internationally.
Prime Minister Benjamin Netanyahu has said Israel ""would not tolerate"" any firing into its territory.
In a tweet, the Israel Defense Forces (IDF) gave details of the latest strike - which targeted Syrian positions in the Mount Hermon area, which borders the Golan Heights. "
