title, publication, authors, date, year, month, url, content
Kushner: Israeli-Palestinian Peace Plan Will Be Revealed After Ramadan,www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/israel/2019/april/kushner-israeli-palestinian-peace-plan-will-be-revealed-after-ramadan,"White House senior adviser Jared Kushner told a group of ambassadors Wednesday that President Donald Trump's Israeli-Palestinian peace plan will be unveiled sometime after the Muslim holy month of Ramadan, which ends June 5.
By that time, Israel's newly appointed government should be established and sworn in.
Reuters reports that Kushner told the diplomats to keep an ""open mind"" about the proposal.
""We will all have to look for reasonable compromises that will make peace achievable,"" Kushner said, according to a source close to Reuters.
Kushner also reportedly said the deal will require compromises on both sides but won't jeopardize Israel's security.
Today Jared Kushner addressed Ambassadors at the Blair House pic.twitter.com/rcLqRgIuii
— Avi Berkowitz (@aviberkow45) April 17, 2019
Not much is known about the proposal but Palestinian leaders have already rejected it.
New Palestinian Authority Prime Minister Mohammad Shtayyeh told The Associated Press Tuesday the plan will be ""born dead.""
""There are no partners in Palestine for Trump. There are no Arab partners for Trump and there are no European partners for Trump,"" Shtayyeh said.
US Secretary of State Mike Pompeo told CNN's Jake Tapper last Friday that the peace plan will ""represent a significant change from the model that's been used.""
Pompeo also refused to publicly endorse the two-state solution, which guarantees a state for Israelis and another state for Palestinians.
""I would argue that millions of man-hours have been spent to try and build out a two-state solution. It hasn't worked to date,"" he said during a Senate Foreign Relations Committee hearing last week.
Meanwhile, an American Evangelical leader and Israeli settler leader are urging President Donald Trump not to give up Jewish land for peace in his upcoming peace plan for Israelis and Palestinians.
Family Research Council President Tony Perkins and Samaria Regional Council Mayor Yossi Dagan voiced their concerns Tuesday in a joint piece published in The Washington Times.
""The Trump administration should stay the course, continuing to avoid the 'land for peace' proposals, and the policies that have prevented Israelis from building in Judea and Samaria, which have repeatedly failed to work,"" Dagan and Perkins said in the editorial.
"
First Lady Melania Trump's Commemorative Egg Unveiled at White House - CBN News,www1.cbn.com,,04-17-2019,2019,4,https://www1.cbn.com/cbnnews/2019/april/first-lady-melania-trumps-commemorative-egg-unveiled-at-white-house,"First Lady Melania Trump's Commemorative Egg Unveiled at White House
WASHINGTON - The 42nd annual commemorative egg designed for First Lady Melania Trump was unveiled Wednesday in advance of the White House Easter Egg Roll.
It will be presented to Mrs. Trump on Monday, April 22 at the annual White House Easter Egg Roll by the American Egg Board, on behalf of America's egg farmers.
The design for this year's egg was inspired by submissions from children of America's egg farmers across the country.
America's egg farmers will provide a record-breaking 74,000 eggs for Monday's event, which will be used for the Egg Roll, egg decorating, and EggPops, according to a press release.
The 141st annual event will be held on the White House's South Lawn with more than 30,000 families expected to attend."
Jews Will Hold Passover Sedar in Warsaw Ghetto 76 Years After Holocaust,www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/israel/2019/april/jews-will-hold-passover-sedar-in-warsaw-ghetto-76-years-after-holocaust,"Jews Will Hold Passover Seder in Warsaw Ghetto 76 Years After Holocaust 04-18-2019 Source: Wiki Commons
For the first time in 76 years, Jews will hold a Passover Seder in the Warsaw Ghetto.
The Warsaw ghetto was the largest of all Jewish ghettos in Nazi-occupied Europe during World War II. For thousands of Jews, it was the last place they ever saw before being shipped off to Nazi concentration and death camps.
On April 19, 1943, the eve of Passover, Jewish rebels living in the Warsaw ghetto rose up against their Nazi tormentors. At least 56,065 Jews were killed on the spot or deported.
This year, April 19th will have a new meaning for the families of Holocaust survivors. One hundred Jewish families will celebrate Passover, the holiday of redemption, together in what is left of the Warsaw ghetto.
Rabbi Shalom Ber Stambler, Chief Rabbi of Chabad-Poland, is hosting a special Passover Seder that will families from Israel, Europe, and the US.
According to Arutz Sheva , Sharon Ben-Shem will travel from Israel to remember her aunt and other relatives who perished in the ghetto.
""Child prodigy Josima Feldschuh, the celebrated young pianist of the Warsaw Ghetto, was my aunt,"" Ben Shem said. ""She perished on April 21, 1943 shortly before her fourteenth birthday, while in hiding. Her very last meal took place the prior evening—the seder night of 1943! This year, we will be joining the seder in Poland together with her family—her brother (my father) and sister (my aunt) and I (her niece). We will be in Warsaw, in the seder night, in her city, precisely on the day that she passed away.""
""Warsaw was also home to my grandmother's immediate and extended family. It is deeply meaningful to us to be celebrating this festival of Passover together as free Jews in a place where so many, including our own family, perished tragically.""
The seder dinner will be broken up into three groups led in three different languages—Polish, Hebrew and English. Toward the end of the night, the three groups will merge and conclude the seder as one.
Rabbi Shalom Ber Stambler views the seder as a symbol of Jews' victory over anti-Semitism.
""It is very significant for us to be celebrating Jewish holidays, and particularly the seder night, which symbolizes Jewish freedom and the day that we united as a nation, in a place that not long ago others sought to destroy us,"" he said. ""Throughout the ages, the Jewish people have been oppressed by many nations, yet we have always emerged triumphant!"""
'We've Got to Get Back to God...What's Best for Our Nation': Dem Blasts His Party's Obsession with Mueller,www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/politics/2019/april/weve-got-to-get-back-to-god-whats-best-for-our-nation-dem-blasts-his-partys-obsession-with-mueller,"Democrats in Washington and members of the establishment media are voicing widespread outrage against US Attorney General William Barr for holding a press conference Thursday about the Mueller report.
Barr is releasing a redacted version of the report and explaining his decision to the nation. But Democrat leaders and liberal journalists say Barr is acting as a ""shill"" for President Trump.
On the local level, there's a different response though. One Louisiana state senator - Democrat John Milkovich - says the Mueller report reveals there was no campaign collusion or obstruction of justice on the part of Donald Trump.
Democrat committee leaders in Congress have launched numerous investigations against Trump, saying the Mueller report didn't go far enough. But Milkovich says it's time for his party to end its investigations of the president.
""Is it my personal opinion that it is a waste of time? Yes. Do they have the constitutional authority to do it? Yes. Is it going to help them? Absolutely no. I think the American people - many of them feel betrayed,"" he says.
""We've got to get back to God, we've got to get back to Bible principles, we've got to get back to the Constitution, we've got to get back to doing what's best for our nation. We've got to get back to bringing, uniting people.""
You can see more of Milkovich on ""The Global Lane "", tonight on the CBN News Channel at 9:30 Eastern.
"
Muslim Syrians Converting To Christianity After Defeating ISIS | CBN News,www1.cbn.com,Emily Jones,04-18-2019,2019,4,https://www1.cbn.com/cbnnews/israel/2019/april/muslim-syrians-converting-to-christianity-after-defeating-isis,"Years after the Islamic State laid siege to the Syrian town of Kobani, some of its Muslim residents are leaving behind Islam and turning to Christianity.
In 2015, Kobani was the epicenter in the battle against ISIS. It was also here that US-led forces beat back ISIS terrorists and liberated the city before finally ending the group's hold over Iraq and Syria last month.
Many of the new converts to Christ say the violence ISIS brought to their region left them disillusioned with Islam.
While many Muslims became agnostic or atheist, others turned to Jesus and opened up Kobani's first church in decades called ""Church of the Brethren."" It is the only evangelical church in Kobani.
""After the war with Islamic State people were looking for the right path, and distancing themselves from Islam,"" church founder Omar Firas told Reuters . ""People were scared and felt lost.""
Firas said approximately 80 to 100 people in Kobani now worship at the evangelical church.
""We meet on Tuesdays and hold a service on Fridays. It is open to anyone who wants to join,"" he said.
CBN News met with Firas in February. He founded the church while a new representative form of government in northeast Syria called the ""Self Administration of Syria"" (SANES) was emerging.
The SANES controls a third of Syria between the Tigris and Euphrates River and guarantees freedom of religion to all of the 4 million people within its borders.
Firas told CBN News his church would never have been allowed under ISIS.
""We can express our rituals with complete freedom,"" he said.
Church of the Brethren's existence is a sign of true religious freedom under SANES.
""Because this project is democratic and for the first time it has recognized we as a Syriac Christians and recognized our language, culture and even our religion,"" SANES Executive Council VP Elizabeth Kourie told CBN News .
The leaders say their hope is to spread this new democracy throughout Syria rather than form another country.
"
Attorney General Barr's Full Remarks on the Release of the Mueller Report,www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/us/2019/april/attorney-general-barrs-full-remarks-on-the-release-of-the-mueller-report,"Attorney General Barr's Full Remarks on the Release of the Mueller Report 04-18-2019 William Barr (Photo: AP Images)
Good Morning. Thank you all for being here today.
On March 22, 2019, Special Counsel Robert Mueller concluded his investigation of matters related to Russian attempts to interfere in the 2016 presidential election and submitted his confidential report to me pursuant to Department of Justice regulations.
As I said during my Senate confirmation hearing and since, I am committed to ensuring the greatest possible degree of transparency concerning the Special Counsel's investigation, consistent with the law.
At 11:00 this morning, I will transmit copies of a public version of the Special Counsel's report to the Chairmen and Ranking Members of the House and Senate Judiciary Committees. The Department of Justice will also make the report available to the American public by posting it on the Department's website after it has been delivered to Congress.
I would like to offer a few comments today on the report.
But before I do that, I want to thank Deputy Attorney General Rod Rosenstein for joining me here today and for his assistance and counsel throughout this process. Rod has served the Department of Justice for many years with dedication and distinction, and it has been a great privilege and pleasure to work with him since my confirmation. He had well-deserved plans to step back from public service that I interrupted by asking him to help in my transition. Rod has been an invaluable partner, and I am grateful that he was willing to help me and has been able to see the Special Counsel's investigation to its conclusion. Thank you, Rod.
I would also like to thank Special Counsel Mueller for his service and the thoroughness of his investigation, particularly his work exposing the nature of Russia's attempts to interfere in our electoral process.
As you know, one of the primary purposes of the Special Counsel's investigation was to determine whether members of the presidential campaign of Donald J. Trump, or any individuals associated with that campaign, conspired or coordinated with the Russian government to interfere in the 2016 election. Volume I of the Special Counsel's report describes the results of that investigation. As you will see, the Special Counsel's report states that his ""investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities.""
I am sure that all Americans share my concerns about the efforts of the Russian government to interfere in our presidential election. As the Special Counsel's report makes clear, the Russian government sought to interfere in our election. But thanks to the Special Counsel's thorough investigation, we now know that the Russian operatives who perpetrated these schemes did not have the cooperation of President Trump or the Trump campaign – or the knowing assistance of any other Americans for that matter. That is something that all Americans can and should be grateful to have confirmed.
The Special Counsel's report outlines two main efforts by the Russian government to influence the 2016 election:
First, the report details efforts by the Internet Research Agency, a Russian company with close ties to the Russian government, to sow social discord among American voters through disinformation and social media operations. Following a thorough investigation of this disinformation campaign, the Special Counsel brought charges in federal court against several Russian nationals and entities for their respective roles in this scheme. Those charges remain pending, and the individual defendants remain at large.
But the Special Counsel found no evidence that any Americans – including anyone associated with the Trump campaign – conspired or coordinated with the Russian government or the IRA in carrying out this illegal scheme. Indeed, as the report states, ""he investigation did not identify evidence that any U.S. persons knowingly or intentionally coordinated with the IRA's interference operation."" Put another way, the Special Counsel found no ""collusion"" by any Americans in the IRA's illegal activity.
Second, the report details efforts by Russian military officials associated with the GRU to hack into computers and steal documents and emails from individuals affiliated with the Democratic Party and the presidential campaign of Hillary Rodham Clinton for the purpose of eventually publicizing those emails. Obtaining such unauthorized access into computers is a federal crime. Following a thorough investigation of these hacking operations, the Special Counsel brought charges in federal court against several Russian military officers for their respective roles in these illegal hacking activities. Those charges are still pending and the defendants remain at large.
But again, the Special Counsel's report did not find any evidence that members of the Trump campaign or anyone associated with the campaign conspired or coordinated with the Russian government in its hacking operations. In other words, there was no evidence of Trump campaign ""collusion"" with the Russian government's hacking.
The Special Counsel's investigation also examined Russian efforts to publish stolen emails and documents on the internet. The Special Counsel found that, after the GRU disseminated some of the stolen materials through its own controlled entities, DCLeaks and Guccifer 2.0, the GRU transferred some of the stolen materials to Wikileaks for publication. Wikileaks then made a series of document dumps. The Special Counsel also investigated whether any member or affiliate of the Trump campaign encouraged or otherwise played a role in these dissemination efforts. Under applicable law, publication of these types of materials would not be criminal unless the publisher also participated in the underlying hacking conspiracy. Here too, the Special Counsel's report did not find that any person associated with the Trump campaign illegally participated in the dissemination of the materials.
Finally, the Special Counsel investigated a number of ""links"" or ""contacts"" between Trump Campaign officials and individuals connected with the Russian government during the 2016 presidential campaign. After reviewing those contacts, the Special Counsel did not find any conspiracy to violate U.S. law involving Russia-linked persons and any persons associated with the Trump campaign.
So that is the bottom line. After nearly two years of investigation, thousands of subpoenas, and hundreds of warrants and witness interviews, the Special Counsel confirmed that the Russian government sponsored efforts to illegally interfere with the 2016 presidential election but did not find that the Trump campaign or other Americans colluded in those schemes.
After finding no underlying collusion with Russia, the Special Counsel's report goes on to consider whether certain actions of the President could amount to obstruction of the Special Counsel's investigation. As I addressed in my March 24th letter, the Special Counsel did not make a traditional prosecutorial judgment regarding this allegation. Instead, the report recounts ten episodes involving the President and discusses potential legal theories for connecting these actions to elements of an obstruction offense.
After carefully reviewing the facts and legal theories outlined in the report, and in consultation with the Office of Legal Counsel and other Department lawyers, the Deputy Attorney General and I concluded that the evidence developed by the Special Counsel is not sufficient to establish that the President committed an obstruction-of-justice offense.
Although the Deputy Attorney General and I disagreed with some of the Special Counsel's legal theories and felt that some of the episodes examined did not amount to obstruction as a matter of law, we did not rely solely on that in making our decision. Instead, we accepted the Special Counsel's legal framework for purposes of our analysis and evaluated the evidence as presented by the Special Counsel in reaching our conclusion.
In assessing the President's actions discussed in the report, it is important to bear in mind the context. President Trump faced an unprecedented situation. As he entered into office, and sought to perform his responsibilities as President, federal agents and prosecutors were scrutinizing his conduct before and after taking office, and the conduct of some of his associates. At the same time, there was relentless speculation in the news media about the President's personal culpability. Yet, as he said from the beginning, there was in fact no collusion. And as the Special Counsel's report acknowledges, there is substantial evidence to show that the President was frustrated and angered by a sincere belief that the investigation was undermining his presidency, propelled by his political opponents, and fueled by illegal leaks. Nonetheless, the White House fully cooperated with the Special Counsel's investigation, providing unfettered access to campaign and White House documents, directing senior aides to testify freely, and asserting no privilege claims. And at the same time, the President took no act that in fact deprived the Special Counsel of the documents and witnesses necessary to complete his investigation. Apart from whether the acts were obstructive, this evidence of non-corrupt motives weighs heavily against any allegation that the President had a corrupt intent to obstruct the investigation.
Now, before I take questions, I want to address a few aspects of the process for producing the public report that I am releasing today. As I said several times, the report contains limited redactions relating to four categories of information. To ensure as much transparency as possible, these redactions have been clearly labelled and color-coded so that readers can tell which redactions correspond to which categories.
As you will see, most of the redactions were compelled by the need to prevent harm to ongoing matters and to comply with court orders prohibiting the public disclosure of information bearing upon ongoing investigations and criminal cases, such as the IRA case and the Roger Stone case.
These redactions were applied by Department of Justice attorneys working closely together with attorneys from the Special Counsel's Office, as well as with the intelligence community, and prosecutors who are handling ongoing cases. The redactions are their work product.
Consistent with long-standing Executive Branch practice, the decision whether to assert Executive privilege over any portion of the report rested with the President of the United States. Because the White House voluntarily cooperated with the Special Counsel's investigation, significant portions of the report contain material over which the President could have asserted privilege. And he would have been well within his rights to do so. Following my March 29th letter, the Office of the White House Counsel requested the opportunity to review the redacted version of the report in order to advise the President on the potential invocation of privilege, which is consistent with long-standing practice. Following that review, the President confirmed that, in the interests of transparency and full disclosure to the American people, he would not assert privilege over the Special Counsel's report. Accordingly, the public report I am releasing today contains redactions only for the four categories that I previously outlined, and no material has been redacted based on executive privilege.
In addition, earlier this week, the President's personal counsel requested and were given the opportunity to read a final version of the redacted report before it was publicly released. That request was consistent with the practice followed under the Ethics in Government Act, which permitted individuals named in a report prepared by an Independent Counsel the opportunity to read the report before publication. The President's personal lawyers were not permitted to make, and did not request, any redactions.
In addition to making the redacted report public, we are also committed to working with Congress to accommodate their legitimate oversight interests with respect to the Special Counsel's investigation. We have been consulting with Chairman Graham and Chairman Nadler throughout this process, and we will continue to do so.
Given the limited nature of the redactions, I believe that the publicly released report will allow every American to understand the results of the Special Counsel's investigation. Nevertheless, in an effort to accommodate congressional requests, we will make available to a bipartisan group of leaders from several Congressional committees a version of the report with all redactions removed except those relating to grand-jury information. Thus, these members of Congress will be able to see all of the redacted material for themselves – with the limited exception of that which, by law, cannot be shared.
I believe that this accommodation, together with my upcoming testimony before the Senate and House Judiciary Committees, will satisfy any need Congress has for information regarding the Special Counsel's investigation.
Once again, I would like to thank you all for being here today. I now have a few minutes for questions."
"Iranian-Backed Militias Pick Up Where ISIS Left Off, Terrorizing Iraq's Christians",www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/world/2019/april/iranian-backed-militias-pick-up-where-isis-left-off-terrorizing-iraqs-christians,"This week, across many towns of Iraq, Christians are preparing to celebrate Easter.
In Qaraqosh, Iraq's largest Christian town, hundreds of people chanted 'Hosanna' and waved palm and olive branches on Palm Sunday.
In 2014, Qaraqosh, like so many other Christian communities across northern Iraq, was overrun by ISIS militants, forcing hundreds of thousands of Christians, Yazidis and other religious minorities to flee.
Since the defeat of ISIS, some Christian families are beginning to move back.
But Carl Anderson, CEO of the Knights of Columbus , tells CBN News that with the fall of ISIS, a different menace is now taking its place in Iraq's Christian towns.
""Iranian-backed militias are occupying many of the formerly Christian towns and making it virtually impossible for Christians to come back in,"" Anderson, who just returned from northern Iraq, told CBN News . ""What ISIS failed to accomplish, that is to have a religious cleansing of Christians in the area, Iran, through their surrogates, may accomplish still.""
Watch CBN News Worldbeat above for more.
"
Franklin Graham Weighs in on Pete Buttigieg’s Sexuality and Faith,www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/politics/2019/april/franklin-graham-weighs-in-on-pete-buttigieg-rsquo-s-sexuality-and-faith,"Franklin Graham Weighs in on Pete Buttigieg’s Sexuality and Faith 04-18-2019
Emily Thomes: Buttigieg Is ‘Not Following the God of the Bible
Graham, who adheres to a traditional reading of the Bible that argues the practice of homosexuality to be objectively sinful, warned in a post on Facebook that true followers of Jesus must have a faith in God’s word “that transforms our lives.”
Citing one example of scripture, Old Testament passage Leviticus 20:13: “If a man lies with a male as with a woman, both of them have committed an abomination,” Franklin added “That’s what God says and that settles it for me. I stand with the Word of God. I care enough about people to tell them the truth and to warn them about the judgment to come for all sin.”
Responding to a number of protestors who recently, in a rather unpleasant manner, implored Buttigieg to turn away from his homosexuality, the Mayor of South Bend simply responded that, “the condition of my soul is in the hands of God …”
That, Graham said, is absolutely the case—for all of us. “Mayor Buttigieg is absolutely right—His soul is in the hands of God, so is everyone’s,” Graham wrote, noting that, as Christians, we should be sure to follow the commands of the Bible and live in accordance with God’s will.
“Jesus said, ‘If you love me, you will keep my commandments’ (John 14:15),” Graham added. “The Bible makes it very clear that homosexuality is a sin.” What has Pete Buttigieg said about his sexuality and faith?
Buttigieg, a professed Christian, has been open about his sexuality and recent marriage to school teacher, Chasten Glezman. Speaking at a recent LGBT event, Buttigieg insisted that his gay marriage had “brought him closer to God.”
He has, however, also spoken candidly of his own struggles with his sexuality—admitting that it took him some time to get it squared away with his faith.
“It’s hard to face the truth that there were times in my life when, if you had shown me exactly what it was inside me that made me gay, I would have cut it out with a knife,” Buttigieg said in a speech at the LGBT Victory Fund April 7. “If you had offered me a pill to make me straight, I would’ve swallowed it before you had time to give me a sip of water.”
However, now living as an openly gay man, and with a husband, Buttigieg said he strongly believes God made him this way.
In a recent CNN interview, Buttigieg called himself “liturgically conservative” who feels at home in the Episcopal Church.
“If there’s going to be music, I want an organ, not a guitar,” Buttigieg said of his church style preferences, noting that he has “always struggled with prayer as a concept.”
He added: “Granted, in a literal sense, [prayer is] asking for things, but that’s problematic, too, as though we encounter God, and he hasn’t already figured out what we need. So I guess in that sense I do find that ritual organized prayer makes sense because it is a way to tune my own heart to what is right.”"
"'We Were Part of the Con, and We Knew It': Ex Southern Poverty Law Center Employees Reveal 'Racial Slurs,' 'Hypocrisy'",www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/us/2019/april/we-were-part-of-the-con-and-we-knew-it-ex-southern-poverty-law-center-employees-reveal-racial-slurs-hypocrisy,"CBNNews.com 'We Were Part of the Con, and We Knew It': Ex SPLC Employees Reveal 'Racial Slurs,''Hypocrisy' 04-18-2019 Christian Ellis Southern Poverty Law Center (Photo: SPLC Logo)
The Family Research Council went public Wednesday with a new campaign in the Wall Street Journal exposing the ""hypocrisy"" of the Southern Poverty Law Center (SPLC). Using testimonials of former employees, the organization, alongside the American Family Association and SPLCexposed.com, the effort calls on major companies like Spotify, MSNBC, CNN, YouTube, Amazon, and PayPal to stop their partnerships with the progressive SPLC.
The SPLC has been known for their skewed labeling of Christian organizations. CBN News recently reported of a partnership between PayPal and the leftist organization to decide who should be blacklisted from their company. Using ""company corporate values"" as their defense, PayPal took intentional steps to deny access to conservatives based on the SPLC's request.
In 2018, The SPLC had to pay $3.375 million in a settlement for their efforts to condemn conservatives. The organization was faulted for including former Islamic radical turned conservative Maajiid Nawaz in its ""Field Guide to Anti-Muslim Extremists.""
Now, the FRC says it has found more proof of the SPLC's hypocritical efforts as former employees have shared of their experiences.
In the ad, statements from former employees include SPLC using racial rhetoric and hate to make millions of dollars. Below are some of the quotes:
""There was not a single black employee with whom I spoke who was happy to be working there,"" stated Christine Lee, a Harvard Law School graduate and 1989 SPLC legal intern. ""The organization had a way of talking about black people that hasn't - I don't think -been done in 30 or 40 years.""
Former SPLC attorney Gloria Browne agreed, stating, ""I was surprised at some of the things I saw, because it was a civil rights organization...I've heard racial slurs in the place.""
""You will never step foot in a more contradictory place as long as you live,"" shared a former employee to The New Yorker.
Another person stated, ""It could be racial, sexual, financial - that place was a virtual buffet of injustices.""
Former SPLC writer Bob Moser admitted, ""We were part of the con, and we knew it.""
""Sometimes the press will describe us as monitoring hate groups,"" stated Former SPLC senior fellow Mark Potok. ""I want to say plainly that our aim in life is to destroy these groups, completely destroy them.""
Tony Perkins, president of Family Research Council, stated, ""Now that employees of SPLC have pulled back the curtain on the organization's hypocrisy, what will members of the media and big tech who aligned themselves with SPLC do? To continue to use SPLC's politically-driven labeling will be an endorsement of SPLC's blatant racism and bigotry."""
Ben Shapiro: Judeo-Christian Values 'Made the West Great',www1.cbn.com,,04-18-2019,2019,4,http://www1.cbn.com/cbnnews/us/2019/april/ben-shapiro-judeo-christian-values-made-the-west-great,"WASHINGTON – Ben Shapiro is making quite a name for himself as a young conservative known for his sharp and to-the-point style and in his new book, The Right Side of History , he takes a deep dive into what made the Western world great. Faith, he points out, is paramount.
Shapiro knows what it's like to draw a crowd and even angry protests on some of the college campuses he visits, but he doesn't let that stop him from sharing his conservative views, and often running intellectual circles around those he goes up against.
Attempts to Undermine Shapiro
""I think there's a willing attempt to undermine the very basis of what I stand for,"" Shapiro told CBN News. ""People deliberately lie about what it is that I am saying. People will suggest that, for example, that I'm a white supremacist when I'm militantly anti-white supremacist.""
In fact, the 35-year-old Harvard educated lawyer is devout in his Jewish faith.
""The attempt to paint me as some sort of racist, the attempt to paint me as some sort of bigot or somebody who wants to hurt other people, I'm some sort of Fascist, those lies are the way the Left avoids the debate, unfortunately, the hard Left avoids the debate anyway,"" said Shapiro.
'The Right Side of History'
The debate is something he doesn't shy away from and in The Right Side of History , he makes the case for the Judeo-Christian values and Greek natural law that made the Western world great.
Shapiro argues that we're living in the ""most prosperous time in human history,"" yet our society is becoming more angry and divided.
He says we have to investigate the roots of our civilization to explain this conundrum.
Shapiro contends those roots lie in Judeo-Christian ethics and Greek teleology, the idea that we can apply reason to the universe and come up with good moral and scientific answers.
Fighting Against the Chaos Undermining Western Civilization
""That combination, the push and pull between human reason and Divine revelation, that push and pull created the West,"" said Shapiro. ""We have tried forcibly in many cases to undermine both of those basis for Western civilization, then we're surprised when we return to the chaos that proceeded them.""
It's that chaos he's trying to fight against on his radio and podcast show, cable news programs and columns he writes for ""The Daily Wire,"" which he founded.
As for why Christians should be especially interested in his new book, he says the answer is simple.
""It gives a rationale for why Judeo-Christian values lie at the root of Western civilization,"" explained Shapiro. ""Because what we're hearing from all our relatives is that you're an idiot if you believe in revelation at Sinai or the Sermon on the Mount, that you're a fool if you believe the tenants of Judeo-Christianity, that if you believe any of those values that you're basically a dunce and that we could come to all of these values on our own.""
He says this book is a rebuke of that notion.
""You do need to make certain fundamental assumptions about the nature of the universe that are rooted in a God-based orderly universe if you actually want to have a Western civilization worth fighting for and preserving,"" he said.
"
