title, publication, authors, date, year, month, url, content
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,centerleftusa,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-25,"I went to the same university as your Moron Leader. I studied Biology, he took up space."
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,globalismzucks,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-29,"So the freedom of self defense is ""one of the things that acts against our society as it is?"
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,John Campbell ✓ᵛᵉʳᶦᶠᶦᵉᵈ ᵀʳᵘᵐᵖ,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-26,"Strikes me that Trump is president of the most powerful nation on earth and you, ah, studied Biology. If taking up space results in that, guess I should have taken up more space in college."
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,Pluto's Moon,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-21,"Exactly !
Bingo !"
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,MolonLabe1836,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-27,I wouldn't trade my life for his for twice the money he claims to have.
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,John Campbell ✓ᵛᵉʳᶦᶠᶦᵉᵈ ᵀʳᵘᵐᵖ,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-22,"It has everything to do with it, socialist. Some “professor” you are. Why the heck do you think we have a second amendment, and where do you “think” we would be right now without it?"
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,John Campbell ✓ᵛᵉʳᶦᶠᶦᵉᵈ ᵀʳᵘᵐᵖ,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-24,WHAT THE PHUCK YOU HAD TO ATTEND A LIBTURD COLLEGE AND BEEN BRAIN WASHED TO HAVE THAT MUCH PHUCKED UP STUPIDITY
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,centerleftusa,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-33,"Or when a 120 pound kid shoots up a school because????
Or when a bigot of any weight shoots up a church or synagogue.
at least he had HIS reasons."
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,burgers r tasty,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-36,"I did notice that you ran away from the discussion.
Not the least bit surprised as all you have is leftist lies and no argument"
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,The_RS_Gadfly,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-34,"When a 120 pound kid shoots up a school because the POWERS THAT BE have better security at the Court House or City Hall than the school.
Blame the people who refuse to put mental detectors and armed guards at the schools.
In 2016 there were 17,250 murders, almost NONE of these happened in schools or churches, but the ONLY THING you rave about is shootings in schools or churches.
There were 808 murders in Chicago in 2016, no mass shooting in schools or churches, when will you rave about these
The fact that YOU HAVE a criminal is NOT A REASON to disarm the honesty law abiding citizen and STRIP them of the ability to defend themselves. Then the only people who are armed are the criminal
""Any person will go give of there rights for a little temporary safety, deserves neither rights nor safety""
Benjamin Franklin"
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,Lee Miller,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-35,I didn't know that old Ben couldn't spell.
Gunmaker Will Appeal To The Supreme Court In Sandy Hook Victims Lawsuit,dailycaller.com,Lee Miller,04-10-2019,2019,4,https://dailycaller.com/2019/04/09/sandy-hook-supreme-court/#post-37,"When morons can't even Quote: the ""founders"" accurately, the ""discussion"" is worthless."
