title, publication, authors, date, year, month, url, content
CONFIRMED: Jussie Smollett Will NOT Return To ‘Empire’ | Daily Wire,www.dailywire.com,Hank Berrien,06-05-2019,2019,6,https://www.dailywire.com/news/48045/confirmed-jussie-smollett-will-not-return-empire-hank-berrien,"CONFIRMED: Jussie Smollett Will NOT Return To ‘Empire’ Photo by Chicago Police Department via Getty Images June 5, 2019 views
On Tuesday, Lee Daniels, the co-creator of “Empire,” confirmed that actor Jussie Smollett will not be on the show for its sixth and last season.
Daniels was responding to an article in Variety which intimated that Smollett would be back for the last half of the sixth season. Daniels tweeted, “This is not factual. Jussie will NOT be returning to Empire.” @Variety @JoeOtterson This is not factual. Jussie will NOT be returning to Empire. -LD — lee daniels (@leedanielsent) June 4, 2019
In its updated report issued after Daniels’ tweet, Variety reported of the production sources who had indicated Smollett would return, “The same production sources also note tensions were ratcheted up on set between the show’s primarily black cast members, who still believe Smollett is innocent, and the mostly white below-the-line crew, many of whom believe Smollett is guilty.”
The on-again, off-again reports of Smollett’s possible return included Fox Entertainment and 20th Century Fox TV issuing a statement in April saying, “By mutual agreement, the studio has negotiated an extension to Jussie Smollett’s option for season six, but at this time there are no plans for the character of Jamal to return to Empire.”
Appearing on the Fox morning show “Good Day New York” in April after the city of Chicago filed a lawsuit against Smollett for damages associated with the investigation into his actions, Daniels was asked if the lawsuit created any difficulties in bringing Smollett back on the show. He answered, “It's causing a dilemma. We are in discussions about that right now.”
On April 19, members of the “Empire” cast wrote a letter to Fox Entertainment CEO Charlie Collier, Disney TV Studios and ABC Entertainment chair Dana Walden, Fox Entertainment president Michael Thorn, “Empire” co-creators Daniels and Danny Strong, and other executive producers on the series, arguing, “Together, as a united front, we stand with Jussie Smollett and ask that our co-star, brother and friend be brought back for our sixth season of Empire.”
In May, Fox reiterated that there were no plans to revivify Jamal Lyon, the character Smollett played. At roughly the same time, a spokesperson for Smollett told Fox, “We've been told that Jussie will not be on Empire in the beginning of the season but he appreciates they have extended his contract to keep Jamal’s future open. Most importantly he is grateful to Fox and Empire leadership, cast, crew and fans for their unwavering support.”
In mid-May, Fox Entertainment announced that the upcoming season of ""Empire"" would be its last. Deadline reported, ""Just two weeks after the Charlie Collier-run Fox Entertainment renewed Lee Daniels and Danny Strong’s hip hop drama for a sixth season and showed controversy ladened Jussie Smollett towards the exit door, it was announced today on Fox’s Upfront call that the self described 'groundbreaking cultural phenomenon' of Empire will be canceled once Season 6 is done.""
The most recent developments in the Smollett case came in late May, when a Chicago judge ruled in favor of media outlets who requested court documents and investigation records related to Smollett's alleged fake hate crime. As The Daily Wire reported:
Smollett's case files were sealed in the same hearing where the Cook County States Attorney announced that they would drop 17 felony counts against the ""Empire"" actor in return for approximately 16 hours of community service and a $10,000 check — the ""down payment"" Smollett left with the court when he was let out on bond."
KLAVAN: David Brooks Is Wrong About The GOP Apocalypse | Daily Wire,www.dailywire.com,Daily Wire,06-05-2019,2019,6,https://www.dailywire.com/news/48049/klavan-david-brooks-wrong-about-gop-apocalypse-daily-wire,"KLAVAN: David Brooks Is Wrong About The GOP Apocalypse Robert A Tobiansky/Getty Images for SXSW June 5, 2019 views
On Tuesday’s episode of “The Andrew Klavan Show,” the host discusses an absurd article from The New York Times, a “former newspaper,” claiming the GOP will soon face an apocalypse.
On the West Side of Manhattan — or as New Yorkers call it, the edge of the known world — there is a skyscraper that houses The New York Times, a former newspaper, and on the pages of that newspaper is an op-ed section that we like to call knucklehead row.
On that row of knuckleheads there writes a man named David Brooks, who today predicted the coming GOP apocalypse. Brooks notes that a 2002 book predicted the end of the Republicans but, in fact, that didn't happen because older white voters and assimilated Hispanics swung to the right. That made people think twice about predicting the end of Republicans — but not our man Brooks, no sir. Brooks says this time the Republican Party is really doomed because millennials hate us.
He says, ""Today's generation gap is based on concrete lived experience that is never going to go away. Unlike the Silent Generation and the Boomers, Millennials and Gen-Z voters live with a difference every single day. Only 16% of the Silent Generation is a minority, but 44% of the Millennial generation is. If you are a millennial in California, Texas, Florida, Arizona, or New Jersey, ethnic minorities make up more than half of your age cohort. In just over two decades, America will be a majority-minority country. Young voters approve of these trends.""
You see folks, what makes the knuckleheads on knucklehead row, knuckleheads is that they never talk to anyone but other knuckleheads. Knucklehead confers with knucklehead confirming their knuckleheaded knuckleheadedness until the whole world seems to them as knuckleheaded as themselves. Brooks thinks that we Republicans who are conservatives are sitting around wondering how we can hold off the great tide of minority majorities, and since everyone they know agrees that that's what Republicans think, they figure it must be true. They are, in short, knuckleheads. No one gives a rat's ass about diversity.
No one cares what color people are. No one cares about your lived experience with people of different colors. What we care about is that the values that made this country great continue to guide the changes the time, demographics, and technology are bound to bring. No one cares if you're brown or yellow or gay or anything else. We just care that you're educated enough, responsible enough, and self-reliant enough to be free yourself and not to endanger our freedom. Also, we want to make observations and jokes about you without getting fired or thrown off Twitter.
In short, we on the right don't care what color you are. As long as you’re colored American. We conservatives are the people who brought you the end of the Cold War, the rollback of the '70s and '80s crime wave, the prosperity of the '80s through '90s, the return to judicial constitutionalism, a welfare reform that really worked until Obama destroyed it, and the surge that ended the Iraq War. You, leftists, are the folks who brought us crime, homelessness, widespread sexual malfeasance, disease, renewed racial animosity, the appeasement of jihadism, and the death of American education.
Maybe if you knuckleheads stop talking to one another and started talking to us, you could stop obsessing over people's colors and micro-aggressions and other baloney and help us solve today's problems as we did the problems of the past while you were busy screwing stuff up in the name of diversity."
"No, A Teen Rape Victim Was Not Euthanized For Depression In The Netherlands. Here's What Happened. | Daily Wire",www.dailywire.com,Amanda Prestigiacomo,06-05-2019,2019,6,https://www.dailywire.com/news/48047/no-teen-rape-victim-was-not-euthanized-depression-amanda-prestigiacomo,"No, A Teen Rape Victim Was Not Euthanized For Depression In The Netherlands. Here's What Happened. via Getty Images June 5, 2019 views
On Tuesday, reports flooded the Internet of a Dutch teenage rape victim being legally euthanized for depression. However, clarified reporting has revealed that although Noa Pothoven, 17, did request to be medically euthanized, she was refused the deadly ""treatment."" Tragically, Pothoven died of self-starvation on Sunday.
""Initial reports claimed Noa Pothoven chose to end her life Sunday with the assistance of an end of life clinic, which has been legal in the Netherlands since 2002,"" said a Fox News report. ""But it is unclear whether she died because doctors directly intervened, or if she refused to eat.""
A spokesman for Dutch parliament member Lisa Westerveld told DutchNews.nl that ""as far as we know, [Pothoven] died because she didn't eat any more."" Westerveld was allowed to say good-bye to the teen before she passed.
According to the U.K.-based outlet The Sun, Pothoven suffered from post-traumatic stress disorder (PTSD), depression, and anorexia. She was reportedly molested as a child and raped by two men at the age of 14.
On Wednesday, POLITICO Europe correspondent Naomi O’Leary corrected the apparent misreporting from mainstream outlets, such as The Daily Beast and The Daily Mail (UK), regarding the teen’s death.
“I spoke to Paul Bolwerk, a reporter who has been covering the story for [De Gelderlander] since 2018,” posted O’Leary in a Twitter thread. “Noa Pothoven had been severely ill with anorexia and other conditions for some time. Without telling her parents, she sought and was refused euthanasia.”
“The family had tried many kinds of psychiatric treatment and Noa Pothoven was repeatedly hospitalised; she made a series of attempts to kill herself in recent months. In desperation the family sought electro shocktherapy, which was refused due to her young age,” explained the reporter. “After electroshock therapy was refused, Pothoven insisted she wanted no further treatment and a hospital bed was set up at home in the care of her parents. At the start of June she began refusing all fluids and food, and her parents and doctors agreed not to force feed her.”
“A decision to move to palliative care and not to force feed at the request of the patient is not euthanasia. Dutch media did not report Noa Pothoven's death as a case of euthanasia. This idea only appeared in English language pickups of Dutch reporting,” O’Leary added.
The death of Pothoven sparked commentary on the practice of euthanasia and assisted suicide. For example, Pope Francis weighed in via Twitter, writing, “Euthanasia and assisted suicide are a defeat for all. We are called never to abandon those who are suffering, never giving up but caring and loving to restore hope.” Euthanasia and assisted suicide are a defeat for all. We are called never to abandon those who are suffering, never giving up but caring and loving to restore hope. — Pope Francis (@Pontifex) June 5, 2019
In the Netherlands, euthanasia and assisted suicide have been legalized since 2002. In August, an elderly woman was reportedly euthanized against her will upon the directive of her own family.
""[T]he 74-year-old unidentified woman had been suffering dementia for some time and previously told people she would undergo assisted suicide if ‘the time was right.’ As her dementia progressed, she never put in a request to die and had surpassed the point of giving her full consent. It was then that her doctor declared her to be ‘suffering intolerably’ and proceeded to euthanize her,” according to LiveAction, The Daily Wire reported .
At least 83 mentally ill people were killed by assisted suicide in the Netherlands in 2017, a LiveAction report said ."
Alabama Legislature Passes Bill Requiring Chemical Castration For Child Sex Offenders | Daily Wire,www.dailywire.com,Hank Berrien,06-05-2019,2019,6,https://www.dailywire.com/news/48046/alabama-legislature-passes-bill-requiring-chemical-hank-berrien,"Alabama Legislature Passes Bill Requiring Chemical Castration For Child Sex Offenders Photo by Guido Mieth/GettyImages June 5, 2019 views
On Tuesday, Alabama legislators passed a bill that would punish child sex offenders by requiring them to be chemically castrated before they are released from prison. HB 379 was introduced by GOP Rep. Steve Hurst, who told WIAT-TV :
They have marked this child for life and the punishment should fit the crime … I had people call me in the past when I introduced it and said, 'don't you think this is inhumane?' I asked them what's more inhumane than when you take a little infant child, and you sexually molest that infant child when the child cannot defend themselves or get away, and they have to go through all the things they have to go through. If you want to talk about inhumane —that's inhumane.
He added, “If we do something of this nature, it would deter something like this happening again in Alabama and maybe reduce the numbers.”
The Daily Mail notes, “Since the mid 1990s, eight states have permitted some form of either chemical or surgical castration of sex offenders, though in practice courts have rarely ordered the treatments to be carried out. California was the first state to allow chemical castration for certain sex offenders who would be required to receive medroxyprogesterone (MPA), an artificial female hormone used to treat symptoms of menopause.”
HB 379 states :
Under existing law, certain criminal offenses are classified as sex offenses. A conviction for a sex offense against a person under the age of 12 years is a sex offense involving a child. Under existing law, a person convicted of a sex offense involving a child which constitutes a Class A or B felony is not eligible for parole.
This bill would provide that a person convicted of a sex offense involving a person under the age of 13 years who is eligible for parole, as a condition of parole, shall be required to undergo chemical castration treatment in addition to any other penalty or condition prescribed by law.
It adds, “This bill would also provide that if a person is ordered to undergo chemical castration treatment as a condition of parole and the person refuses to undergo the treatment, his or her refusal would constitute a violation of parole and would result in the person being remanded to the custody of the Department of Corrections. … A person may not be denied parole based solely on his or her inability to pay for the costs associated with the treatment required under this act.”
KADN reported that State Rep. Juandalynn Givan said, “You have to deal with the mind of a predator. You don’t worry about the physical body parts. You have to deal with makes them do what they do.” State Rep. Allen Treadaway echoed, “Any action that we can take against a child molester that would prevent them from ever committing this type of crime again, I support, including chemical castration. I think this bill is one of those steps to ensure public safety.”
Alabama Governor Kay Ivey must sign the bill for it to become law."
House Dems Taunt Trump White House With Massive Amnesty Bill | Daily Wire,www.dailywire.com,Emily Zanotti,06-05-2019,2019,6,https://www.dailywire.com/news/48058/house-dems-taunt-trump-white-house-massive-amnesty-emily-zanotti,"House Dems Taunt Trump White House With Massive Amnesty Bill Chip Somodevilla / Staff / Getty Images June 5, 2019 views
Dutifully avoiding addressing issues at the United States' southern border, House Democrats passed a massive immigration reform bill Tuesday, granting amnesty to approximately 2.5 million illegal aliens currently residing inside the United States.
The Washington Free Beacon reports that Democrats easily passed the American Dream and Promise Act along partisan lines, despite concerns that the bill did not contain any provision to improve or expand detention facilities along the United States' border with Mexico, nor any funding designed to address what officials from a number of agencies are calling a ""border crisis.""
Instead, the bill grants the opportunity to obtain green cards to illegal immigrants who fall under the Deferred Action for Childhood Arrivals (or, DACA) act — about 600,000 individuals — as well as others who entered the United States illegally as minors, a group that adds up to around 2.1 million people. In addition, the bill grants ""conditional permanent residency"" to around 400,000 temporary workers and illegal aliens facing ""deferred enforcement"" or deportation.
Like most bills passed of late along party lines in the House, the Democrats' plan to handle the immigration crisis isn't likely to pass the Senate, and Senate Majority Leader Mitch McConnell (R-KY) doesn't seem interested in even bringing it to the floor for consideration. But the bill does demonstrate, as the White House said in a statement late Tuesday, that Democrats have little interest in handling actual issues related to the southern border.
""H.R. 6 would incentivize and reward illegal immigration while ignoring and undermining key administration immigration objectives and policy priorities, such as protecting our communities and defending our borders,"" the White House said in a statement. ""The administration has put forward proposals to address the status of the hundreds of thousands of Deferred Action for Childhood Arrivals (DACA), Temporary Protected Status (TPS), and Deferred Enforced Departure (DED) recipients, but only in the context of actual solutions that would address the underlying problems in our immigration system.""
Indeed, the White House did propose a series of immigration reform ""starters"" just weeks ago, noting, ahead of any conversation on the issue, that the Trump administration would be willing to find ways to ""legalize"" DACA recipients and other temporary workers, provided that Democrats agreed to extend funding to the Customs and Border Protection Agency and the Department of Homeland Security specifically to address current issues with interdiction and detention.
Democrats also rejected, out of hand, two amendments to the bill which might have gained White House approval: one amendment that would have directed additional funding to border patrol efforts to house and care for the thousands of illegal immigrants showing up at the southern border declaring a need for amnesty, and a separate, $4.5 billion appropriation for ""crisis relief and border security funding.""
The White House has been adamant that even if Democrats don't support decreasing the flow of migrants across the southern border, and are, in fact, happy that Central Americans are declaring for asylum at official border checkpoints, they have a responsibility to help officials processing those claims and caring for those migrants receive the resources they need. So far, Democrats seem uninterested."
Alleged Antifa Member Tries Chaining College Conservatives Inside Room | Daily Wire,www.dailywire.com,Hank Berrien,06-05-2019,2019,6,https://www.dailywire.com/news/48063/alleged-antifa-member-tries-chaining-college-hank-berrien,"Alleged Antifa Member Tries Chaining College Conservatives Inside Room Photo by Nakhorn Yuangkratoke/EyeEm/GettyImages June 5, 2019 views
On Tuesday night, as the University of Washington College Republicans held their final meeting of the school year, a person who may have been a member of a local Antifa group attempted to chain the doors from the outside to lock the Republicans inside.
As My Northwest reported, Emerald City Antifa apparently discovered that the meeting would feature two guest speakers from a local YouTube channel, Operation Cold Front. Emerald City Antifa used their Facebook page to encourage members to disrupt the event. The group stated:
Just a reminder to people at the UW that the Operation Cold Front crew (who you might remember from such antics as ""It's ok to be White"" signs, transphobic harassment of students, posing as Black Lives Matter to ask for reparations, harassing people outside an abortion clinic, and more) will be having a speaking engagement at the UW June 3rd at 6pm in Thomson Hall rm 101 …
These people are Proud Boy chuds, and Proud Boy chud supporters, they have been caught on video yelling ""yt power!"" while harassing womxn, and have a history of harassing womxn (including one of the co-hosts who is an accused rapist). These people belong to the Him Too movement, an anti-MeToo, misogynist, homophobic, transphobic, ""traditionalist"" Men's Rights trash fire. They should not be on campus bothering students.
So, if you're able, show up to deplatform.
UWCR member Zach Wildfang told The Jason Rantz Show , “I saw a guy in black approach the door but there had been no protest outside or anything so antifa wasn’t necessarily on my radar. He crouched down and immediately slapped his chain around the door.”
UWCR president Chevy Swanson added, “We heard the rattling from inside. We looked to see through the window and see that someone was messing with the door. And it’s very clearly a chain being attached. So personally I ran up to the door and opened it on him, the chain fell to the ground, and he ran off, which is good because I much prefer not to be chained in a room with 30 other people indefinitely.”
Swanson said the suspect has appeared at other UWCR events, though this is the first time he’s been disruptive. My Northwest reported UW Police said the suspect is 18. Swanson said, “One of the other attendees of the event caught up to him and called the police and the police end up coming and arresting him.”
According to UW Police, the suspect will be “charged through investigation” for misdemeanor disorderly conduct.
In April 2018, a woman affiliated with Antifa was arrested and later released by police after flinging paint on members of the UW College Republicans. As The Daily reported, “Two UWCR members, director of outreach Diodato Boucsieguez and treasurer Alex Guerrero, were tabling outside the HUB for several hours before a college-aged woman approached the table at about 12:30 p.m. … the woman walked around the tent from his left. In a fluid motion, the woman flicked the paint from a plastic bottle onto the booth.”"
Democratic Congresswoman: Republican Pro-Lifers ‘Conflate Heartbeat With A Soul’ | Daily Wire,www.dailywire.com,Josh Hammer,06-05-2019,2019,6,https://www.dailywire.com/news/48070/democratic-congresswoman-republican-pro-lifers-josh-hammer,"June 5, 2019 views
It is uncontested, as a matter of basic biology and rudimentary embryology, that a new human being — a new member of the homo sapiens species — is formed at the moment a sperm fertilizes an egg in the womb. Removing morality or bioethics from the equation and focusing purely upon modern science, then, there is therefore no more obvious place in the gestational continuum to demarcate a new, discrete human life than there is at fertilization.
In 2018, The Daily Wire's Paul Bois quoted pro-life leader David Bereit's response to a tendentious Bill Nye video:
The predominance of human biological research confirms that human life begins at conception/fertilization. At fertilization, the human being emerges as a whole, genetically distinct, individuated zygotic living human organism, a member of the species homo sapiens , needing only the proper environment in which to grow and develop.
Similarly, a Princeton University web page helpfully cites many examples of medical/biological textbooks affirming this basic truth: ""Development of the embryo begins at Stage 1 when a sperm fertilizes an oocyte and together they form a zygote."" [England, Marjorie A. Life Before Birth . 2nd ed. England: Mosby-Wolfe, 1996, p.31] ""Fertilization is a sequence of events that begins with the contact of a sperm (spermatozoon) with a secondary oocyte (ovum) and ends with the fusion of their pronuclei (the haploid nuclei of the sperm and ovum) and the mingling of their chromosomes to form a new cell. This fertilized ovum, known as a zygote, is a large diploid cell that is the beginning, or primordium, of a human being."" [Moore, Keith L. Essentials of Human Embryology . Toronto: B.C. Decker Inc, 1988, p.2] ""Embryo: An organism in the earliest stage of development; in a man, from the time of conception to the end of the second month in the uterus."" [Dox, Ida G. et al. The Harper Collins Illustrated Medical Dictionary . New York: Harper Perennial, 1993, p. 146] ""The development of a human being begins with fertilization, a process by which two highly specialized cells, the spermatozoon from the male and the oocyte from the female, unite to give rise to a new organism, the zygote."" [Langman, Jan. Medical Embryology . 3rd edition. Baltimore: Williams and Wilkins, 1975, p. 3]
Against this backdrop, many on the increasingly brazen pro-abortion Left are forced to argue not science, but ""ethics"" and ""morality."" Cue this bit of claptrap from Rep. Kim Schrier (D-WA), who, as reported by The Washington Free Beacon, recently argued that Republican pro-lifers ""conflate a heartbeat with a soul or with personhood"":
Congresswoman Kim Schrier (D., Wash.) complained Republicans ""conflate a heartbeat with a soul or with personhood"" during an interview with Hill.TV about the national conversations over abortion legislation.
""I can tell you about a single heart cell, a myocardial cell, in a petri dish in a lab at the University of Washington that will beat,"" Schrier said during the Tuesday interview.
Schrier, the only female doctor serving in the House, went on to describe the science cited by supporters of so-called ""heartbeat bills,"" which outlaw abortion once a heartbeat can be detected, as a ""gimmick"" pushed by pro-life advocates to increase support for the legislation.
Alas, as the old trial lawyer aphorism goes: ""If you have the facts on your side, pound the facts. If you have the law on your side, pound the law. If you have neither on your side, pound the table.""
Perhaps a similar principle applies here for the pro-abortion Left.
WATCH:"
Los Angeles Homeless Crisis Worsens By 16% | Daily Wire,www.dailywire.com,Paul Bois,06-05-2019,2019,6,https://www.dailywire.com/news/48073/los-angeles-homeless-crisis-worsens-16-paul-bois,"Los Angeles Homeless Crisis Worsens By 16% ""This is going to be a very long road"" FREDERIC J. BROWN/AFP/Getty Images June 5, 2019 views
As Los Angeles officials were wasting taxpayer dollars to virtue-signal about Alabama's abortion ban, the homeless crisis in the city increased by 16% while the overall county saw an increase of 12%.
According to the Los Angeles Times , the number of people now living on the streets, in vehicles, or in shelters steadily increased throughout the past year, following a small decrease in the previous year.
""The annual point-in-time count, delivered to the Board of Supervisors, put the number of homeless people just shy of 59,000 countywide,"" reports the outlet. ""Within the city of Los Angeles, the number soared to more than 36,000, a 16% increase.""
""And as in past years, most — about 75% — were living outside, fueling speculation of a growing public health crisis of rats and trash near homeless encampments downtown,"" the report continued.
Officials largely blame the problem on the lack of affordable housing while vowing to pledge more taxpayer dollars into supposedly ""fixing"" the problem. So far, government programs have done little to help. For instance, the city's Measure H sales tax from 2017 barely scratched the surface of the problem by helping to get roughly 20,000 people off the streets only to be outpaced by the number of people that were becoming homeless.
""If we don't change the fundamentals of housing affordability, this is going to be a very long road,"" Peter Lynn, executive director of the Los Angeles Homeless Services Authority, told the Times. ""If we don't get ahead of affordability, we're going to be very hard pressed to get ahead of homelessness.""
“Overall, the service portion of the effort on mental health, substance use, the issue of housing, rent subsidies, those are important and we should stay the course,"" County Supervisor Mark Ridley-Thomas told the Times. ""Where we have to work much harder is in the area of affordable housing.""
Ridley-Thomas admitted that the numbers are deeply discouraging following the small downturn in homelessness that the previous year showed.
""At this point of unprecedented wealth in the county of Los Angeles, we are equally confronted with unprecedented poverty manifesting itself in the form of homelessness,"" County Supervisor Mark Ridley-Thomas told the Times. ""Last year's count, we felt we were trimming in a way that would suggest we were getting our arms around this. And yet this year we are pretty well stunned by this data.""
Los Angeles Mayor Eric Garcetti has already pledged another $42 million to invest in ""street-based services,"" though county supervisors are less-than-optimistic that the tide will be stemmed anytime soon.
""The residents are seeing more encampments, more people sleeping on the sidewalks in dirty, unhealthy and heartbreaking conditions,"" Board chair Janice Hahn told the Times. ""They are frustrated by this problem. We need to give people answers.""
Though Ridley-Thomas feels the problem has worsened, he also believes that government programs have not been entirely ineffective. ""Overall, the service portion of the effort on mental health, substance use, the issue of housing, rent subsidies, those are important and we should stay the course,"" he said. ""Where we have to work much harder is in the area of affordable housing.""
The demographics among the homeless have also shifted significantly, with city officials now reporting a full 24% increase among people 18 to 24 years old. Also, the city saw a 17% increase in the chronically homeless, meaning people who have been living on the street or shelter for more than a year. "
"Hillary Clinton Rebrands As 'Climate Change Expert,' Is Already Ruining The Climate | Daily Wire",www.dailywire.com,Emily Zanotti,06-05-2019,2019,6,https://www.dailywire.com/news/48080/hillary-clinton-rebrands-climate-change-expert-emily-zanotti,"Hillary Clinton Rebrands As 'Climate Change Expert,' Is Already Ruining The Climate David Becker/Getty Images June 5, 2019 views
When Al Gore loss the presidency in 2000, he quickly rebranded as an expert on global warming and ""climate change."" The swift switchover likely saved him from a career in obscurity, and thanks to the profitability of carbon trading schemes, has made him a rich man.
Taking a cue from her husband's former Vice President, failed Democratic presidential candidate Hillary Clinton appears to be rebranding herself in a similar way, as an expert on the issue of climate change (though she offered little in the way of policy solutions when she was actually in office). Over the weekend, Clinton flew to the U.S. Virgin Islands for a meeting of the ""climate elite,"" hosted by — who else — the Clinton Global Initiative.
""Glad to be in St. Thomas, USVI this morning speaking with leaders on the front lines of climate change. There are so many people working to create resilient communities and inspire climate-smart actions—tune in to hear from some of them at 11am ET,” Clinton posted on Twitter. Glad to be in St. Thomas, USVI this morning speaking with leaders on the front lines of climate change. There are so many people working to create resilient communities and inspire climate-smart actions—tune in to hear from some of them at 11am ET: https://t.co/P5Jemwrmyr — Hillary Clinton (@HillaryClinton) June 4, 2019
The benefit of being the ""Clinton"" of the ""Clinton Global Initiative"" is that you can make yourself the keynote speaker of an environmental event, despite having little to show in the way of environmental policy innovation.
In her speech Wednesday , Clinton promised to take the lead in handling the burgeoning environmental crisis and pledged to build ""climate resilience.
The change is innovative. Clinton has avoided climate change as an issue for decades, and in 2012, embraced it only so long as Vermont Senator Bernie Sanders remained in the race. Once Sanders exited and gave his endorsement to Clinton, The Guardian observed , Clinton dropped discussion of environmental issues from her campaign stump speech. Sanders aides noted that Clinton felt the environment wasn't a central issue of her campaign, but more of an ""add-on.""
Her policy platform on the issue, from her 2012 website , shows that she mostly just planned on continuing President Obama's environmental efforts and using the Paris Climate Accords as a benchmark for meeting environmental goals within the United States — certainly no ""Green New Deal.""
The meeting is being held in St. Thomas because, Clinton said on social media, ""island nations and territories already bear the brunt of climate change,"" but like most high-profile climate conferences which almost always locate themselves in tony resort towns or in exclusive pricey locales, St. Thomas isn't exactly the easiest place to get to. Certainly, there are few ""climate friendly"" options for travel to St. Thomas, and Hillary Clinton isn't going to swim, sail, or float over the island paradise.
That means, of course, that Clinton and her collection of ""global climate elite"" will all fly in to the U.S. Virgin Islands on carbon-spewing jets, likely emitting more carbon dioxide in a single trip than most American households emit in a year. Which, of course, puts her right in line with other high-profile environmental activists, from Leonardo DiCaprio to her own husband, Bill Clinton, both of whom fly in to and out of the primary yearly global environmental conference in Davos on private jets. "
"Yes, Democrats Have Removed ‘So Help Me God’ From House Committee Oaths | Daily Wire",www.dailywire.com,Paul Bois,06-06-2019,2019,6,https://www.dailywire.com/news/48088/yes-democrats-have-removed-so-help-me-god-house-paul-bois,"Yes, Democrats Have Removed ‘So Help Me God’ From House Committee Oaths ""I think God belongs in religious institutions"" Win McNamee / Staff / Getty Images June 5, 2019 views
The Democrats have continued their mission to root God out of the public square in the name of secularism by removing ""so help me God"" from the U.S. House of Representatives oath witnesses must take when testifying before several of the congressional committees, all of which are currently under Democratic control.
According to LifeSiteNews , the changes to the oaths have been slowly implemented ever since House Democrats announced the new policy in January, which immediately faced backlash.
""In January, a draft of a rules package from the Natural Resource Committee was leaked to the public showing 'so help me God' marked for deletion, replaced with the phrase 'under penalty of law,'"" reports the outlet.
Even Snopes admitted at the time that Democrats indeed had tried to take God out of the oaths. Here's what the original document stated before Democrats retracted it:
(e) Oaths. — The Chairman of the Committee, the Chairmen of the Subcommittees or any Member designated by the Chairman may administer oaths to any witness before the Committee. All witnesses appearing in hearings may be administered the following oath by the Chairman or his designee prior to receiving the testimony: ‘Do you solemnly swear or affirm that the testimony that you are about to give is the truth, the whole truth, and nothing but the truth, so help you God?'
Chairman Raul Grijalva (D-AZ) claimed the removal of God from the oaths was a simple ""mistake."" Despite that, the Democrats eventually went on to push God out of the oaths, which One America News pointed out in March when Rep. Steve Cohen (D-TX), chair of the House Judiciary Committee’s Subcommittee on the Constitution, Civil Rights and Civil Liberties, specifically omitted ""so help me God"" when swearing witnesses in at a hearing. When Rep. Mike Johnson (R-LA) tried to correct the oath, Cohen publicly rebuked him. Take a look:
Last month, The New York Times reported that Democrats have made ""so help me God"" a forgotten and buried tradition in the U.S. House, with Rep. Steve Cohen telling the outlet he finds the phrase inappropriate for Congress.
""I think God belongs in religious institutions: in temple, in church, in cathedral, in mosque — but not in Congress,"" said Cohen. ""And God doesn’t want to be used.""
Republicans have been fighting back. Rep. Mike Johnson argued before his colleagues that ""so help me God"" carries great weight in that it implies someone who bears false witness is subjected to a higher judge.
""The intention behind [‘so help me God’] was to express the idea that the truth of what was being said was important not just in the moment, but would go into eternity, and someone was watching and would ultimately be our judge,"" said Johnson. ""Some would call that mere symbolism, but to many of our founders, it was deeper than that.""
Though Democrats have long fought to remove religion from the public square, starting with the ousting of prayer in schools, the party's brazen hatred for God being involved in politics erupted at the 2012 DNC when delegates voted by a large margin to remove God from the party platform. "
