title, publication, authors, date, year, month, url, content
"Significant Digits For Monday, April 15, 2019 | FiveThirtyEight",fivethirtyeight.com,Oliver Roeder,04-15-2019,2019,4,https://fivethirtyeight.com/features/significant-digits-for-monday-april-15-2019/,"You’re reading Significant Digits, a daily digest of the numbers tucked inside the news. As many as 180 requests
Location data gathered by Google from phones can serve as a “dragnet” for police. In many cases, authorities have obtained search warrants that require Google to turn over data from a database known as Sensorvault. The company receives as many as 180 requests from law enforcement a week, according to a Google employee, though the company didn’t comment to the Times about specific numbers. These new orders are sometimes called “geofence” warrants and “specify an area and a time period, and Google gathers information from Sensorvault about the devices that were there.” [ The New York Times ] 60 percent favorites
The NBA Playoffs began over the weekend and the Golden State Warriors — as they have been all season — are the favorites to cruise through them and win the championship. Specifically, they have a 60 percent chance of trophy-hoisting, according to our predictions. The Toronto Raptors and Milwaukee Bucks follow distantly with 16 and 15 percent chances, respectively. [ FiveThirtyEight ] 385-foot wingspan
The world’s largest airplane — at 500,000 pounds with a 385-foot wingspan and named Stratolaunch — flew for the first time over the weekend and safely landed. The plane is designed to “drop rockets that ignite their engines and boost themselves into orbit around the planet.” Stratolaunch was the brainchild of Microsoft co-founder Paul Allen, who died last year. [ The Verge ] 15 years of tax returns
Happy (?) Tax Day! Kamala Harris got in the spirit of the day by releasing 15 years of tax returns. She and her husband reported income of $1.89 million last year, which included Harris’s Senate salary along with $320,000 she made from her book, “The Truths We Hold.” [ Politico ] More than 1,200 people
More than 1,200 people have died in Madagascar as the result of a measles outbreak that has seen “well beyond” 115,000 cases. Less than 60 percent of the country is vaccinated against the infectious disease, not because of resistance to vaccinating children but rather because parents there “face immense challenges, including the lack of resources.” [ Associated Press ] 14-year gap
Here’s a blast from the past: Tiger Woods won the Masters yesterday afternoon. It was his first major victory in 11 years and his first green jacket in 14 years — besting a record drought between Masters victories set by Gary Player. It was also Woods’s 15th major victory and at 43 years old he’s just three shy of Jack Nicklaus’s fabled record 18. [ ESPN ]
From ABC News:
Love digits? Find even more in FiveThirtyEight’s book of math and logic puzzles, “ The Riddler .”
If you see a significant digit in the wild, please send it to @ollie . Want more Significant Digits? Get the newsletter. Subscribe"
Are Americans More Divided On #MeToo Issues? | FiveThirtyEight,fivethirtyeight.com,Meredith Conroy,04-16-2019,2019,4,https://fivethirtyeight.com/features/are-americans-more-divided-on-metoo-issues/,"Twitter PHOTO ILLUSTRATION BY FIVETHIRTYEIGHT / GETTY IMAGES
In the fall of 2017, the publishing of sexual harassment and assault allegations against Hollywood producer Harvey Weinstein fueled the rise of the #MeToo movement, inspiring women across industries to speak out against abuse and inappropriate behavior that they said they had experienced for years, sometimes at the hands of high-profile men. 1
The world of politics has not been immune. Perhaps most notably, Brett Kavanaugh faced multiple allegations of sexual misconduct before and during his Supreme Court confirmation hearings last year. And now several women have come forward to describe “ awkward ” and “ uncomfortable ” interactions with likely 2020 Democratic presidential candidate Joe Biden. 2
So how has the public’s perspective on the #MeToo movement changed? According to a May 2018 poll by Morning Consult, there was a wide partisan gap in support for the movement — 81 percent of Democrats said they backed the movement, compared with 54 percent of Republicans. And in October 2018 , Morning Consult found that the gap between the parties had grown — support for the movement had increased by 2 points among Democrats since May and decreased by 7 points among Republicans. Some of what drove this may have been related to Kavanaugh’s confirmation hearing — prominent Republicans waged an anti-#MeToo campaign , drawing attention to the possible negative consequences of the movement for men, and public opinion on Kavanaugh’s confirmation was largely split along party lines . But we were interested in getting a broader view on how voters’ opinions on the issue of sexual harassment and the role of women in society have changed from before the #MeToo movement to now.
So we looked at 2016 and 2018 data from The Democracy Fund Voter Study Group , which polls large segments of the U.S. electorate to track changes in attitudes and beliefs, including what Americans think about issues of sexual harassment and misconduct. 3 And what we found is that on the whole, since 2016, Republicans have grown more skeptical of women who report harassment and the motivation behind their claims. However, members of both parties were more likely to acknowledge that sexual harassment of women in the workplace is a problem in the U.S. in 2018, compared with 2016 — so there is some evidence that more people from both parties view sexual harassment as a problem today than did before.
First, let’s take a look at two questions in the survey on which Republicans and Democrats moved further apart in 2018. In 2016, 61 percent of Republicans and 18 percent of Democrats surveyed said they agreed that “ when women demand equality these days, they are actually seeking special favors ” — that was a whopping 43-point gap. In 2018, that gap hit 48 points, with 65 percent of Republicans agreeing with that statement, compared with 17 percent of Democrats. And on the question of whether “ women who complain about harassment often cause more problems than they solve ,” 54 percent of Republicans said in 2018 that they agreed with that statement, up 4 points from 2016. Among Democrats, the change was again in the opposite direction, down to 17 percent in 2018 from 19 percent in 2016.
One explanation for the widening partisan gap could be that attitudes about gender equality are increasingly correlated with partisan identity. Indeed, several studies have found that hostile attitudes toward women predicted support for Donald Trump in the 2016 presidential election , along with views on racial discrimination , as some conservatives backed Trump because they feared losing their status in society . The underlying idea is that Trump’s candidacy “ primed sexist attitudes, which might have otherwise lain dormant ,” and, therefore, these attitudes were more salient when voters cast their ballot in 2016. And there is reason to believe that what we saw in 2016 marked a real shift between the two parties. In elections held between 2004 and 2012 , attitudes toward women did not predict support for presidential candidates. So it would make sense that the Kavanaugh hearings, which took place just before the midterm elections in 2018 , continued to elevate a discussion about changing cultural norms and offered an opportunity for elite partisans, like the president , to signal how they felt about issues of sexual harassment, which, in turn, may have shaped how rank-and-file Republicans and Democrats said they viewed the issue.
On two other questions, the parties also moved in opposite directions. When asked whether “ women should return to their traditional roles in society ,” the percentage of Republicans who agreed with that statement rose by 6 points, while the percentage of Democrats who agreed declined by 1 point. But this gap may not be all that surprising. A Pew Research Center study from 2017 found that Democrats generally see changing gender roles as beneficial to society and that Republicans don’t. And when asked whether “ women often miss out on good jobs because of discrimination ,” the share of Republicans who agreed declined from 39 percent to 36 percent, while the agreement among Democrats increased by 1 point, from 85 percent to 86 percent. Arguably, the #MeToo movement has encouraged more women to call out inequality in the workplace , so among Democrats, this change may be more welcome than among Republicans.
There was however, one question in the survey related to women in the workplace that did not reflect increased polarization. Both Democrats and Republicans in 2018 were less likely to agree with the statement that “ sexual harassment against women in the workplace is no longer a problem in the United States .” Democratic agreement declined by 4 points, and Republican agreement declined by 5 points. This suggests that despite increased polarization on some issues of sexual harassment, the #MeToo movement may have made Democrats and Republicans more aware of the prevalence of sexual harassment at work.
Overall, the data shows that Republicans and Democrats haven’t changed their minds all that much on questions about sexual harassment. However, the change we did find reflects a growing partisan divide, which is consistent across other issues like race, religion and immigration . And this partisan divide will probably continue to widen as we head into the 2020 presidential election. Trump’s re-election campaign will likely continue to elevate cultural and social issues that tap into divisive beliefs about gender and race in an attempt to maintain the coalition of voters who turned out for him in 2016. From ABC News: Footnotes
Weinstein is facing criminal charges in New York; he has denied all wrongdoing.
Kavanaugh has denied the allegations ; Biden has since said that he would be more mindful of people’s personal space .
The 2016 Voter Study Group survey was administered online to 8,000 adults (ages 18 and over) between Nov. 29 and Dec. 29, 2016. And the 2018 Voter Study Group survey was administered online to 6,005 adults (ages 18 and over) between April 5 and May 14, 2018.
Meredith Conroy is an assistant professor of political science at California State University. @sidney_b "
How The Warriors Blew A 31-Point Lead | FiveThirtyEight,fivethirtyeight.com,msn.com,04-16-2019,2019,4,https://fivethirtyeight.com/features/how-the-warriors-blew-a-31-point-lead/,"How The Warriors Blew A 31-Point Lead They also lost DeMarcus Cousins, but they’re still heavy favorites to win it all. Kevin Durant of the Golden State Warriors and head coach Steve Kerr during Game 2 against the Los Angeles Clippers. Ezra Shaw / Getty Images
We could talk all day long about the everlasting debate over competitive balance in the NBA, but perhaps the biggest challenge the Golden State Warriors pose for many die-hard NBA fans is the issue of sleep.
Because they play on the West Coast, the two-time defending champions are often playing late at night, leaving East Coasters and even Midwesterners with a choice of whether to stay up and watch the action or to get some shut eye before work the next morning. Some play it by ear and call it a night only if and when Golden State builds a commanding, early second-half lead.
This was basically the scenario on Monday night: The Warriors went up by 31, 94-63, at home on the No. 8 seed Los Angeles Clippers, the biggest first-round underdogs in 30 years , midway through the third quarter. 1 Yet those who cut off their TV at that point, or before, missed out on the biggest comeback — or collapse, depending on how you view it — in NBA playoff history .
The Clippers poured in 85 second-half points en route to an improbable 135-131 win, knotting the best-of-seven at one game apiece as the series heads to Los Angeles later this week.
There’s no need to concoct an over-complicated explanation for the comeback. While there wasn’t an immediate effect, Stephen Curry’s fourth foul prompted coach Steve Kerr to sit the scorching sharpshooter (who had 22 points and was 6-of-9 from the field) for an eight-and-a-half-minute stretch during the third quarter, until there were 13 seconds left in the period. By that point, the Warriors’ lead (still 17 points) had already been cut by almost half. And Curry’s magic had largely faded once he was subbed back in: Upon returning, he shot just 2-of-9 the rest of the way.
Fellow star Kevin Durant was efficient as a scorer but turned the ball over four separate times during that third quarter alone. He would finish with a team-high nine giveaways, and the club — whose problematic turnovers we’ve detailed here before — had 22 turnovers on the night. (It marked the second game in a row that Golden State has had more than 20.) Durant again got frustrated with Clippers irritant Patrick Beverley, who stands about 10 inches shorter , never stops giving everything he has and seems to effectively get into the All-Star’s head .
Lastly, the Warrior defense allowed Lou Williams, the Clippers’ top scorer, to get rolling and simply couldn’t find a way to stop him late. From the point that L.A.’s deficit peaked at 31 points, Williams, the likely Sixth Man of the Year, shot 11-of-17 for 26 points while also dishing out seven assists over the final 19 minutes of the game. He even grabbed a pair of his own misses and put them each back for valuable buckets. 2
“We stopped playing, and got kind of disconnected, in that mid-third quarter,” Kerr told reporters of the turnaround. “We lost our defensive edge.”
It’s been tempting not to even bother writing about the key factors in this series, largely because of how enormous an underdog the Clippers are. But one thing the Warriors would have wanted to avoid going in was this: Don’t allow Los Angeles to stay in the game late. The win marked the third time this season alone that the Clippers had come back from 25 or more down on the road to win, 3 and they were the NBA’s most efficient team in late-game, clutch scenarios during the regular season. With the score separated by 5 points or fewer in the final five minutes of play, L.A. outscored opponents by a league-high 17.7 points per 100 possessions .
The clutch shooting of Williams will stand out, but he was far from alone. The Clippers shot 8-of-14 from deep as a team in the second half. Montrezl Harrell, Williams’s high-flying pick-and-roll partner, shot 5-of-5 for 17 points after L.A. fell behind by 31. Beverley made a key play, picking Curry’s pocket as he brought the ball up the court early in the fourth, as if to say that the Clippers weren’t simply going to lie down, despite the Warriors still holding a double-digit lead.
And in what’s marked a sea change under coach Doc Rivers, a couple of the team’s youngsters — a contingent that just a few years ago never would have gotten an opportunity to show what they can do — pulled off arguably the biggest play of the game. Williams got a screen at the top of the key from rookie Shai Gilgeous-Alexander, who then short-rolled before hitting fellow rookie Landry Shamet on the wing for the go-ahead triple.
Still, the stunning comeback likely doesn’t figure to change all that much concerning this series, given the massive gap in talent. Yes, the Warriors lost center DeMarcus Cousins to what may be another significant injury , something that could throw them out of rhythm now that the playoffs are underway. Their chances of winning the NBA title — while still better than anyone else’s — are down significantly as a result. 4 But the reality is that the Warriors still have a number of other All-Stars to lean on, while the Clippers have none.
It may end up being nothing more than a single, historic comeback in what amounts to a five-game series victory for Golden State. But even if that’s all, the outcome may have been enough to prompt some sleepy fans to catch the final quarter the next time they’re weighing whether to get that extra half-hour of rest.
Check out our latest NBA predictions . Footnotes
Another thing that might have prompted some to call it a night: The game finished with 64 personal fouls and 76 free throws, which slowed things down considerably.
For his part, Warriors defensive star Draymond Green seemed to be playing extremely hard on defense as the Clippers’ run was beginning and grew frustrated when teammate Jordan Bell didn’t hunt down one of his blocked shots.
They won at Detroit on Feb. 2 after trailing by 25 and beat Boston on the road Feb. 9 after falling behind by 28.
From a 62 percent probability on April 9 to just 44 percent now, according to FiveThirtyEight’s projections.
Chris Herring is a senior sportswriter for FiveThirtyEight. @herring_nba"
Forget Giannis. Pascal Siakam Is Our MVP. | FiveThirtyEight,fivethirtyeight.com,Jared Dubin,04-16-2019,2019,4,https://fivethirtyeight.com/features/forget-giannis-pascal-siakam-is-our-mvp/,"Pascal Siakam made just more than $1.5 million this season, but he’s delivering the Raptors almost $36 million in value beyond his salary. Vaughn Ridley / Getty Images
We won’t find out who won until late June , but the 2018-19 NBA season treated basketball fans to one of the great MVP battles in recent memory. Several worthy players hung around the race for large portions of the season, including Paul George and Nikola Jokic . But in the end, there were two : Giannis Antetokounmpo and James Harden — each of whom has several arguments working in his favor.
Antetokounmpo is the best player on the best team 1 in the league, and he led the 60-win Bucks to the best defense and fourth-best offense in the NBA . He averaged an unheard of 27.7 points, 12.5 rebounds, 5.9 assists, 1.3 steals and 1.5 blocks per game. He is also one of the best defenders in the league — a top-tier candidate for Defensive Player of the Year .
Harden, meanwhile, carried an offensive burden unlike any in modern NBA history. His 40.5 percent usage rate is the second-highest of all time . He finished the season averaging 36.1 points per game, eighth-most in league history and the most since Michael Jordan ticked off 37.1 per game in 1987. Harden boosted his deep attempts far beyond what previously seemed either possible or reasonable, taking 13.2 triples per game and connecting on them at a 37 percent rate. 2
Really, though, the argument between the two players is less about who had the better season and more about the definition of “valuable.” Is it just the best player in the league? Is it the best player on the best team? Is it the player whose performance was most outstanding, whatever you decide that means? Is it the player whose team needs him the most? Is it some combination of all of those things, as well as a few others? Different players, coaches, executives, fans and media members have different definitions.
What if we took the word “valuable” as literally as possible, though, and tried to identify the player who provided his team with the greatest bang for its buck throughout this season? After all, what’s more valuable than performing at a level that far outstrips your salary, allowing your team to spend those surplus dollars on more talent elsewhere?
The first step to answering this question is to quantify the dollar value of a win in the NBA. There were 1,230 games played this season, which means there were 1,230 wins up for grabs. According to Basketball-Reference.com, NBA teams handed out more than $3.6 billion in salary this year. Dividing that figure by 1,230 means that a single win was valued at $2,949,908.82.
We can then turn to ESPN’s Real-Plus Minus and specifically RPM wins , a stat that uses a player’s RPM and his possessions played to estimate his contribution to the number of his team’s wins. Not all players qualified for the RPM leaderboard, so there was a slight shortfall of wins produced by the 514 players who did qualify. We applied a multiplier to each of those player’s totals in order to account for the shortfall. Then, we multiplied the dollar value of a win by the number of adjusted RPM wins each player produced to pinpoint the dollar value of that player’s production. Subtracting his actual 2018-19 salary from that number yields a surplus, meeting our goal of identifying the best bang-for-buck player in the league this season. Pascal Siakam led the NBA in most bang for the buck NBA players by value provided to their teams above their salaries as measured by Real Plus-Minus (RPM) wins, 2018-19 season RK"
What First-Quarter Fundraising Can Tell Us About 2020 | FiveThirtyEight,projects.fivethirtyeight.com,Julia Wolfe,04-16-2019,2019,4,https://projects.fivethirtyeight.com/2020-fundraising/,"Total raised in the first quarter $NaNM PUBLISHED Apr. 16, 2019, at 9:00 AM What First-Quarter Fundraising Can Tell Us About 2020 By Julia Wolfe and Chris Zubak-Skees When a presidential candidate raises a lot of money, they’re probably going to tell you about it, which leads to a lot of headlines like this: Those headlines aren’t wrong, but they also don’t tell you that much on their own. That’s because each candidate who’s bragging about his or her fundraising total is doing it in a vacuum. It’s tough to know whether to care about, say, Sen. Bernie Sanders’s haul without knowing what the other candidates brought in. Luckily, all candidates must file detailed reports of their fundraising and spending at least once a quarter. This information, which is made public by the Federal Election Commission, allows for a better kind of analysis: one that compares each candidate to all the others. We’re going to help you do that. This primary season, FiveThirtyEight and the Center for Public Integrity , a nonprofit investigative news organization, are teaming up to track those filings and update this page with the latest numbers each quarter. Fundraising is obviously hugely important to a political campaign, but fundraising numbers alone can’t always tell you whether campaign is going strong or hitting the skids. (For example, women and people of color generally have a harder time raising money than white men do, so a strong quarter for Sen. Kamala Harris might still bring in a lower total than a similarly strong quarter for Sanders.) Instead, think of fundraising as one more indicator of campaign health, alongside things like endorsements , polls and media coverage . Together, all these metrics give us a sense of who is attracting attention heading into the primaries and caucuses. Here’s how the 2020 money race is shaping up. Totals here include all the money a candidate raised for the presidential race this quarter, regardless of whether it’s earmarked for the primary or the general election. The leader Sen. Bernie Sanders led the Democrats this quarter, raising $20.7 million. That’s $4.2 million more than Sen. Elizabeth Warren, who came in second with $16.5 million, and $9.6 million less than President Trump, who raised $30.3 million in the first quarter. But wait, you might grumble, this is exactly the sort of boring financial coverage that gives people an incomplete picture of the race! You’d have a point. In general, these numbers make more sense when they’re judged against candidates’ expectations. We’ve written before about the relationship between poll numbers and name recognition — namely, politicians tend to have higher net favorability ratings when more voters know who they are — and it stands to reason that higher name recognition could translate to more money as well. After all, people don’t donate to candidates they’ve never heard of. Here’s how Democratic candidates’ fundraising this quarter compares to their name recognition. Big names tend to get more cash Not well known, raised a lot Like Mitt Romney in early 2007 Well known, raised a lot Like Jeb Bush in early 2015 Not well known, raised a little Like Carly Fiorina in early 2015 Well known, raised a little Like Rick Perry in early 2015 Estimated name recognition: % Total raised: $NaNM Name recognition was estimated using favorability polls — the share of respondents who had any opinion (positive or negative) of a candidate is used as a proxy for the share of people who know who the candidate is. Sen. Bernie Sanders, who leads in name recognition at 88.8 percent, was the first-place fundraiser this year. But bear in mind, candidates who raise a lot might not be getting all of it from individual donors. These totals include money from PACs, money left over from previous races and money the candidate gives to his or her own campaign — Mitt Romney, for example, boosted his fundraising totals in 2007 with a healthy contribution from his own pocket. The donors Here’s where each Democratic candidate’s money came from in first quarter. Bernie Sanders "
Let’s Overreact To First-Round NBA Playoff Games | FiveThirtyEight,fivethirtyeight.com,Sara Ziegler,04-16-2019,2019,4,https://fivethirtyeight.com/features/lets-overreact-to-first-round-nba-playoff-games/,"5:49 PM Let’s Overreact To First-Round NBA Playoff Games In this week’s Hot Takedown, we discuss basketball upsets, Tiger Woods and great comebacks in sports. FiveThirtyEight Embed Code <iframe frameborder=""0"" width=""100%"" height=""180"" style=""margin:20px auto 25px;max-width:600px;"" scrolling=""no"" src=""https://fivethirtyeight.com/player/ht/26539902/""></iframe>
This week on Hot Takedown, we’re reacting to a series of upsets in the first round of the NBA playoffs. The Los Angeles Clippers pulled off the biggest comeback in playoff history, but we don’t necessarily think the Warriors should be too worried for the rest of the series. Other upsets included the No. 7 seed Orlando Magic defeating the No. 2 Toronto Raptors; that Game 1 victory had Mike Tuck on “Open Mike” from Orlando’s 96.9 The Game positing that Orlando is underrated in the Eastern Conference. Our basketball guru, Chris Herring, makes a guest appearance to help us break down this claim.
Someone who is openly shaking in his boots this week is golfing great Jack Nicklaus. Tiger Woods’s victory at the Masters gave him his 15th major, just three behind Nicklaus’s all-time record. Does Tiger have it in him to catch Jack? Or do we expect this to be his last big victory?
Inspired by Tiger’s feat, our Rabbit Hole dives into other statistically improbable comebacks.
Here’s what we’re looking at this week: And he provides takeaways from the opening weekend of the NBA playoffs . As per usual, our eyes are glued to our NBA Predictions . We can’t get enough of Tiger Woods’s comeback . The Washington Post digs into Tiger’s odds for the rest of the season and into 2020. ESPN analyzes great comeback stories across sports. From our Rabbit Hole, this excellent video about Lonnie Smith from SB Nation.
Sara Ziegler is the assistant sports editor at FiveThirtyEight. @saramziegler
Neil Paine is a senior sportswriter for FiveThirtyEight. @Neil_Paine
Chris Herring is a senior sportswriter for FiveThirtyEight. @herring_nba
Grace Lynch is Hot Takedown’s producer. @gracelynch08"
Which NBA Playoff Teams Have The Most Star Power? | FiveThirtyEight,fivethirtyeight.com,Neil Paine,04-17-2019,2019,4,https://fivethirtyeight.com/features/which-playoff-teams-have-the-most-star-power/,"0 0 * Star points are based on a weighted total of a team’s stars, in which Alphas are worth 3 points, Betas are worth 2, and Gammas are worth 1. Team totals do not include injured players. Sources: ESPN, Basketball-Reference.com
The Rockets and Sixers rank just below the Warriors and Raptors in star points with 5 apiece, but where in that group is Milwaukee, the East’s No. 1 seed? The Bucks have perhaps the Alpha of all Alphas this season in Giannis Antetokounmpo. But only one other player around him qualified as a star: Eric Bledsoe is a Gamma, while Brook Lopez barely misses the cutoff. Milwaukee’s overall lack of supporting star power would make it a historical anomaly if it does end up winning the NBA title.
The Utah Jazz, in the midst of a brutal first-round matchup against the Rockets, also has very little star power (one Beta in Rudy Gobert). But they have a bunch of guys who just barely missed Gamma status: Joe Ingles, Derrick Favors, Ekpe Udoh and Donovan Mitchell all had CARMELO plus/minus ratings under +2.5 but greater than +1.5. If we added an extra category for “Deltas” — worth, say, a half-point per player — the Jazz would leapfrog Boston and be much closer to the top of the heap than the bottom.
Regardless, there’s a reason that star points don’t track perfectly with a team’s CARMELO rating or its championship odds. Depth does matter some, even if the effect is less of a factor as rotations shorten during the postseason. And sometimes teams are simply built with a blueprint that helps them perform better than their star power would suggest (the Bucks are a good test case there as well), while others aren’t quite as good as their multiple stars say they should be (the Sixers could be lumped into that group).
Before they blew a 31-point lead Monday night — and, more importantly, lost Cousins to injury — the Warriors were looking every bit the star-studded machine we thought they’d be all season long. Now, they are still sizable favorites to win it all , but their edge in star power is not quite as decisive as it’s been in recent seasons. We’ll find out soon enough whether that will matter in Golden State’s quest for a third straight championship, or if another team near the top of the rankings above can finally supplant the Warriors and build a star-powered legacy of its own.
Check out our latest NBA predictions . Footnotes
An Alpha now has a CARMELO-projected overall plus/minus of +5.5 or greater; a Beta has a projected plus/minus of less than +5.5 but at least +4.0; and a Gamma has a projected plus/minus of less than +4.0 but at least +2.5.
According to our mix of RPM and BPM, he was 0.9 points per 100 possessions worse than the average NBA player on offense, though his defense more than made up for it.
Neil Paine is a senior sportswriter for FiveThirtyEight. @Neil_Paine"
Mueller’s Report Doesn’t Exonerate Trump. But Does That Matter? | FiveThirtyEight,fivethirtyeight.com,msn.com,04-19-2019,2019,4,https://fivethirtyeight.com/features/muellers-report-does-not-exonerate-trump-but-does-that-matter/,"Twitter EMILY SCHERER / GETTY IMAGES
Special counsel Robert Mueller’s report about his investigation into Russian interference in the 2016 election finally became public this morning, with an explanation for why he didn’t come to a conclusion about whether President Trump committed obstruction of justice that appeared to be in tension with Attorney General William Barr’s interpretation of the report. In a press conference before Mueller’s report was released, Barr offered an explanation for his decision not to prosecute the president on obstruction of justice charges, saying that he believes that regardless of whether Trump actually committed obstructive acts, he’s satisfied that the president had “ non-corrupt motives .”
Mueller’s report , however, is darker and more ambiguous. Mueller’s team found “multiple acts by the president that were capable of exerting undue influence over law enforcement investigations, including the Russian-interference and obstruction investigations.” And in many cases, Trump was kept out of further legal hot water by his staff’s unwillingness to carry out his directives, such as when his White House counsel refused to fire Mueller. Mueller pointedly wrote in the introduction to the section of the report dealing with obstruction that the report did not “exonerate” Trump. Mueller also wrote that he didn’t try to come to a conclusion about the president’s innocence or guilt because of a longstanding Justice Department policy that prevents a sitting president from being charged and put on trial — which he saw himself as bound by.
The report also said that although there were many contacts between members of the Trump campaign and people affiliated with the Russian government, there was insufficient evidence to prove that the campaign was involved in a criminal conspiracy with Russia.
The question, now, is what Congress will do.
Although Barr has closed the door on criminal charges for Trump, Mueller’s evidence and analysis — particularly the story Mueller told of Trump’s willingness to repeatedly interfere with an ongoing criminal investigation — could take on a very different meaning in a political context. The president’s conduct doesn’t have to be criminal to be impeachable ; instead, Congress can consider, among other factors, whether his behavior represents an ongoing threat to the country.
In a debate over whether Trump’s behavior merits political consequences like investigations or impeachment, Mueller’s evidence and — in the case of obstruction of justice — his analysis will be an important guide for Congress. Even though Mueller’s team didn’t think the Trump campaign’s contacts with Russia rose to the level of a crime and Barr concluded that Trump shouldn’t be charged with obstruction of justice, that doesn’t necessarily matter in a political context.
Democratic leaders, though, have set a high bar for impeachment, saying that any effort would need to be bipartisan . And Senate Majority Leader Mitch McConnell said earlier today that he thinks Trump “has every right to feel good about what we’ve heard today.”
As the Mueller investigation wore on , Americans’ perspectives on Mueller became more and more politically polarized, with Republicans much less likely than Democrats to say they approve of the special counsel. Mueller’s favorable rating among Republicans did jump up quite dramatically after the release of Barr’s letter to Congress last month highlighting what he said were the report’s key findings. But Republicans were also much more likely than Democrats to say that the report (which hadn’t yet been released) had cleared Trump’s name, which means this support may decline if the report is widely perceived to be critical of the president.
So while Mueller’s report certainly contains details that are much worse for the president than Barr’s letter or his press conference indicated, it’s not clear yet what the political consequences — if any — will be. The report has, however, given ample fodder for a political showdown — including potential congressional testimony by Mueller himself. From ABC News:"
ABC News Live: Reaction To The Mueller Report,fivethirtyeight.com,FiveThirtyEight (contact@fivethirtyeight.com),04-18-2019,2019,4,https://fivethirtyeight.com/features/abc-news-live-reaction-to-the-mueller-report/,© 2019 ABC News Internet Ventures. All rights reserved. Close Additional Information Terms of Use and Privacy Policy and Safety Information/ Your California Privacy Rights / Children's Online Privacy Policy are applicable to you. © 2019 ABC News Internet Ventures. All rights reserved. Interest-Based Ads . Cookie Policy .  Get us in your inbox. No thanks. Done. Get a newsletter of our most popular stories of the week. Subscribe
Politics Podcast: The Fallout From The Mueller Report Has Just Begun | FiveThirtyEight,fivethirtyeight.com,Galen Druke,04-18-2019,2019,4,https://fivethirtyeight.com/features/politics-podcast-the-fallout-of-the-mueller-report-has-just-begun/,"Embed Code <iframe frameborder=""0"" width=""100%"" height=""180"" style=""margin:20px auto 25px;max-width:600px;"" scrolling=""no"" src=""https://fivethirtyeight.com/player/politics/26555523/""></iframe>
The U.S. Department of Justice released a redacted version of the full Mueller report Thursday. On this episode of the FiveThirtyEight Politics podcast , the crew reacts to special counsel Robert Mueller’s findings that the Trump campaign did not criminally conspire with Russia to interfere in the 2016 election. The report came to no conclusion about the criminality of President Trump’s actions during the investigation.
Also, the FiveThirtyEight Politics podcast is recording a live podcast in Houston on May 8. Find more information and tickets here .
You can listen to the episode by clicking the “play” button in the audio player above or by downloading it in iTunes , the ESPN app or your favorite podcast platform. If you are new to podcasts, learn how to listen .
The FiveThirtyEight Politics podcast publishes Monday evenings, with additional episodes throughout the week. Help new listeners discover the show by leaving us a rating and review on iTunes . Have a comment, question or suggestion for “good polling vs. bad polling”? Get in touch by email, on Twitter or in the comments.
Galen Druke is FiveThirtyEight’s podcast producer and reporter. @galendruke
Nate Silver is the founder and editor in chief of FiveThirtyEight. @natesilver538
Clare Malone is a senior political writer for FiveThirtyEight. @ClareMalone
Perry Bacon Jr. is a senior writer for FiveThirtyEight. @perrybaconjr
Amelia Thomson-DeVeaux is a writer and reporter living in Chicago. @ameliatd"
