title, publication, authors, date, year, month, url, content
Nuggets Vs. Spurs Playoff Preview: Three Keys To Denver's Success In The First Round,www.forbes.com,Joel Rush,04-14-2019,2019,4,https://www.forbes.com/sites/joelrush/2019/04/13/nuggets-vs-spurs-playoff-preview-three-keys-to-denvers-success-in-the-first-round/,"The Nuggets' young roster has the talent and high-altitude home court advantage, but the Spurs' battle-tested veterans have the playoff experience, and perhaps the greatest coach in NBA history. Three keys to Denver defeating San Antonio."
Cory Booker Has a Dream: To Become Relevant Again,www.forbes.com,Bill Whalen,04-14-2019,2019,4,https://www.forbes.com/sites/billwhalen/2019/04/13/cory-booker-has-a-dream-to-become-relevant-again/,"New Jersey Cory Booker's relaunch of his presidential campaign -- a weekend rally in Newark followed by a national tour -- underscores his precarious spot in the Democratic field. He's not the only black candidate in the race, nor the hippest contender, nor the trendiest mayor past or present."
Council Post: 10 Sales Strategies For Building Better Relationships And Closing More Deals,www.forbes.com,msn.com,04-14-2019,2019,4,https://www.forbes.com/sites/forbesbusinessdevelopmentcouncil/2018/12/21/10-sales-strategies-for-building-relationships-and-closing-deals/,"Transparency, good listening skills, and generosity are just a few creative traits to display with prospects that can improve your sales outcomes."" itemprop=""description"">
<a _ngcontent-c3="""" aria-label=""Forbes Homepage"" class=""header__link--forbes-logo"" href="
UFC 236 Card: How To Order Saturday's ESPN Pay-Per-View,www.forbes.com,Brian Mazique,04-14-2019,2019,4,https://www.forbes.com/sites/brianmazique/2019/04/13/ufc-236-card-how-to-order-saturdays-espn-pay-per-view/,UFC 236 can't be ordered through your local cable and satellite provider. Here's how you can watch Saturday's card.
"Council Post: Lead With Your Values During A Merger, Revenue Will Follow",www.forbes.com,Matthew Hawkins,04-11-2019,2019,4,https://www.forbes.com/sites/forbesfinancecouncil/2019/04/11/lead-with-your-values-during-a-merger-revenue-will-follow/,"Getty Merging large and well-established companies isn’t for the faint of heart. But with the right strategy and clear priorities, you can seamlessly combine operations and teams to create a new company that is greater than the sum of its parts. Take it from me — my company just went through it.
This past year, I was fortunate to lead the formation of my company through the merger of three leaders in revenue cycle management. It logically follows that in any big merger, but especially one of companies solely focused on revenue, managing revenue is of course top of mind. But you can’t obsess over revenue goals. Rather, your energy is best spent focusing on your clients and your people through the lens of your core values. For anyone going through a similar transition, here’s some advice — and a few lessons learned along the way.
Listen To Your Clients
Put yourself in your clients’ shoes. Their experience should be one of seamless improvement. If you suspect (or know) that a client is experiencing hiccups or decreases in service, that’s a clear indicator that something needs to change.
One thing that helped my team to prepare for the merger was to set up continuous feedback loops with clients to ensure that new product features and enhancements were implemented seamlessly. Throughout the transition, the company dedicated a concierge-like client service team for any complex issue that arose and checked in with clients weekly in the lead-up to its new platform launch. Proactive monitoring teams were then assigned to every client for the 30 days following the upgrade.
Take Care Of Your Team And Live Your Values
Supporting your internal team is the other side of the client-focus coin. Your people are the soul of your organization, and they are your ambassadors in the world. If you are transparent and respectful with your team, they will care for your clients and be loyal to your business, even during times of change. It’s up to your leadership team to let employees know you have their back.
Interactions with clients and team members should be guided by your corporate mission and values. As you begin the merger process, be intentional about the values you chose to steer your new, combined company. These should be more than talking points — values need to be infused into meetings and day-to-day operations.
Talk with your team as often as you can, and be open. You will find that teams respect candor and appreciate the difficulty of that openness. Finding the right balance of vulnerability and transparency while guiding an organization through difficult decisions is no easy feat, but it is an important step in laying the foundation for long-term success and value creation — which is ultimately what you are striving for with an integration or merger.
Work Toward True Unity
If you’re going to merge companies, you have to keep the goal of a truly unified new company at the forefront of every decision — before the merger even begins. It’s crucial to evaluate the compatibility of your companies not only in terms of business and operational goals, but culturally as well. That’s not to say they should be identical (no two companies are), but there should be a reasonable expectation of eventual unity and a roadmap to get there.
In my company’s case, part of this involved figuring out how to pick the best technology platforms to build one unified platform, get clients onto that platform and put a plan in place that would allow legacy teams to work together effectively. Many companies take the easier route of “bolting on” technology in a mergers and acquisitions situation without fully developing a technology integration plan. But doing the work up-front results in a better product for every client.
In addition to merging operations and products, it’s important to prioritize building one unified culture across your distributed offices. Establishing a performance culture and ensuring that every single person, no matter where they are, experiences the company the same way is worth getting right. Challenge yourself to build a company that is a single culture, even if it is in multiple locations.
Technology can be a great tool in connecting people across geography, but it can also be a distraction. For example, when it’s not possible for team members to be in the same location for a meeting, video conferencing helps to ensure as much interaction as possible. On the other hand, in my experience, encouraging team members to “be present” by limiting phones and laptops during meetings improves productivity and further helps to break down geographic silos.
By really committing to the new, unified company, you build upon the strengths of each legacy company and ultimately create a better product and a more robust corporate culture than any of the individual entities could have achieved alone.
The Bottom Line
It’s easy to get caught up in short-term revenue as a key indicator of success, and in doing so neglect to truly listen to client feedback or take your employees for granted. Those lapses in judgment and strategy account for much of why so many mergers fail.
If you stay in frequent, open communication with clients through a transition — including information about the added value you’ll be bringing them as a result — they will be more likely to stick with you. It worked for my company. Not only did it retain customers, but it deepened and grew relationships with them.
Likewise, if you are as transparent with your internal teams as possible, sharing the potential benefits as well as challenges they might encounter along the way, they’ll continue to be motivated to do their best work. And, by doing your research up front about the compatibility of culture and values, you’ll avoid insurmountable obstacles down the line.
Mergers are huge undertakings. By staying focused on these three strategies and the common set of fully lived company values, you can help make sure your company emerges even stronger.
Forbes Finance Council is an invitation-only organization for executives in successful accounting, financial planning and wealth management firms. Do I qualify?"
Trail Blazers Playoff Preview: Keys For Series Against Thunder,www.forbes.com,Mike Tokito,04-14-2019,2019,4,https://www.forbes.com/sites/miketokito/2019/04/13/trail-blazers-playoff-preview-keys-for-series-against-thunder/,"The Portland Trail Blazers start their latest run in the NBA playoffs Sunday when they begin their seven-game first-round series against the Oklahoma City Thunder at 12:30 p.m. at the Moda Center. The Blazers have homecourt advantage as the No. 3 seed, but they will play an opponent that swept them in four games during regular season.
Portland also has to overcome whatever psychological hurdles exist over its recent playoff struggles. The Blazers were also the No. 3 seed last season, but were swept in shocking fashion in the first round by New Orleans. The Blazers haven’t won a playoff series since 2016, and indeed haven’t even won a playoff game since that year, with an active 10-game playoff losing streak.
The headline matchup of the series is undoubtedly at point guard, where Damian Lillard and Russell Westbrook have had some remarkable performances against each other this season, with Lillard scoring 51 points in one game, and Westbrook getting two triple-doubles.
“He’s one of the top point guards in the league and so am I,” Lillard said. “When you get out there and you know that your team is going to go as you go, he has to outplay me and I have to outplay him if I want my team to win, so that’s just what it turns into.”
Both point guards are so good, their matchup might well be a wash. For the Blazers to win, other factors will have to come into play.
Here are some of the keys for the Blazers in the series
Limiting turnovers: The Thunder averaged 120.8 points in their four wins against Portland, 6.3 more than their overall season average, and 10.3 points more than the Blazers season average in points against.
Although the Blazers certainly have to tighten up defensively, one their biggest issues in limiting OKC’s points is their own offense – in particular, limiting turnovers. The Blazers committed 59 turnovers in the four losses, and more crucially, 41 of those turnovers were by Thunder steals. OKC led the NBA in steals at 9.3 per game.
Live-ball turnovers against OKC are especially costly. The Thunder scored 85 points on fastbreaks against the Blazers, with 75 points coming off turnovers.
Big D on PG: No player dominated the Blazers this season more than Thunder forward Paul George, whose efforts against Portland included a triple-double of 47 points, 12 rebounds and 10 assists. George averaged 38 points in the four games against the Blazers.
""It’s tough,” said Blazers forward Maurice Harkless, who figures to guard George much of the time. “You’ve got to try to just contain him, make it hard for him. He’s a great player, he uses the pick and roll really well, he’s been shooting the 3 ball really well this year.”
The Blazers played the Thunder three times before the All-Star break, and in the lone game after that – when Harkless has been much healthier, and the Blazers added another prominent wing, Rodney Hood – George had his least effective against Portland this season. George still scored 32 points, but shot 7 for 23 from the field and 1 for 9 on 3-pointers in an OKC overtime win.
Whoever guards George will have to do so without fouling him – or at least not fouling him as much as Portland did this season. George shot 60 free throws against the Blazers in the four games, an average of 15 per game, and made 51. That means George is averaging 12.7 points per game against the Blazers on free throws alone.
Sharpen up behind arc: The Blazers need to make 3-pointers to win the series, something they just did not do well in their four games against OKC. Portland was 28.5 percent behind the arc in those losses, and in three of those games the Blazers were under 30 percent.
Portland made 39 of 137 attempts on 3’s, compare to 43 makes by OKC on 27 fewer attempts, 110. That sort of efficiency difference is hard to overcome.
Portland especially needs to find ways to get their guards cleaner looks on 3-pointers. Their main 3-point threats – Lillard, CJ McCollum and Seth Curry – had just one good individual 3-point shooting game against the Thunder, McCollum’s 7-for-12 effort in the Jan. 22 matchup.
Remove that performance, and Lillard, McCollum and Curry are a combined 17 for 71 on 3’s against OKC, a paltry 23.9 percent.
The hole in the middle: The Blazers, of course, enter the series missing their starting center, Jusuf Nurkic, who was lost for the season when he suffered a gruesome compound leg break against Brooklyn on March 25.
The saving grace has been Enes Kanter, whom the Blazers signed off the buyout wire. Originally brought in to back up Nurkic, Kanter has started eight games in Nurkic’s place and averaged 18.1 points and 11.4 rebounds and shot 61.5 percent from the field, with Portland going 6-2 in those games.
The matchup against OKC is particularly intriguing for Kanter, who played 2 ½ seasons for the Thunder, most of it coming off the bench behind the player he will be matched up against in the series, Steven Adams.
""He’s definitely one of the post defenders I’ve seen,” Kanter said of Adams. “I remember me and him used to go against each other a lot in practice. It wasn’t basketball, it was like wrestling. You could almost here the bones cracking.”
Even with Kanter, the Blazers will certainly miss Nurkic, who averaged 16.5 points and 13 rebounds and shot 52.2 percent from the field against the Thunder this season.
A secret weapon? Playoff wins often require a performance by a player who goes well beyond his norm and has a huge game.
One player who seems overdue to have an impact game against OKC is Curry, who scored three, four and three points in the first three matchups against the Thunder before getting eight points in the final game on March 7. Right after that game, Curry hit a stride with a 22-point effort against Phoenix. That started a run of 15 games in which he scored in double figures 12 times and averaged 14 points while shooting 45.2 percent on 3-pointers.
An even more tantalizing possibility is rookie Anfernee Simons, who did not appear in any of the OKC games and has only played in 20 games all season. But his last appearance, Wednesday in the regular season finale against Sacramento, produced a memorable performance as he had 37 points and nine assists and shot 7 for 11 on 3-pointers in a game in which coach Terry Stotts sat most of his rotation. With a makeshift lineup, the Blazers rallied from a 28-point deficit and won, earning the No. 3 seed.
It seems unlikely that a coach would stick a little-used 19-year-old into his rotation for the playoffs, but it would be an intriguing gamble and at the very least would produce an uplifting fan response when Simons checks in.
Beating the tide of history: For the Blazers to win the series against the Thunder, they would have to accomplish something no Portland team has ever accomplished in the franchise’s 49 seasons: win a playoff series against a team they did not beat during the regular season.
The Blazers have played 53 playoff series in their history, and have won 20. Of those 20 wins, six have come against teams they had losing records against during the regular season, with four coming against teams they beat once.
But the Blazers’ recent history suggests that lack of regular season success against an opponent doesn’t mean they can’t win a series against that team. In Portland’s two most recent playoff series wins, in 2014 against Houston and 2016 against the Los Angeles Clippers, the Blazers beat a team that won three of four against them during the regular season."
The World's Largest Airplane Takes Flight. Next Stop? Outer Space,www.forbes.com,msn.com,04-14-2019,2019,4,https://www.forbes.com/sites/alexknapp/2019/04/13/the-worlds-largest-airplane-takes-flight-next-stop-outer-space/?utm_source=TWITTER&utm_medium=social&utm_term=Valerie/,"Stratolaunch, the world's largest plane, made its first flight on Saturday. The company ultimately intends to launch rockets from the plane into orbit. "" itemprop=""description"">
<a _ngcontent-c3="""" aria-label=""Forbes Homepage"" class=""header__link--forbes-logo"" href="
"'Star Wars Jedi: Fallen Order' Gets A Fantastic New Trailer, Release Date Announced",www.forbes.com,Erik Kain,04-14-2019,2019,4,https://www.forbes.com/sites/erikkain/2019/04/13/star-wars-jedi-fallen-order-gets-a-fantastic-new-trailer-release-date/,"During today's panel at the 2019 Star Wars Celebration , Respawn Entertainment unveiled the studio's new game, Star Wars Jedi: Fallen Order. We have the first CGI story trailer and a release date now. We already knew the game would be single-player only with no microtransactions. We also knew that it was being built using Unreal Engine 4 instead of EA's Frostbite engine. So all of that was great news.
Now we have a release date: November 15th, 2019. That's just over a month before Star Wars: The Rise Of Skywalker hits theaters, and smack-dab in the middle of the busy holiday season.
And we have this story trailer , which is terrific. Check it out:
The game's protagonist is Cal Kestis played by Cameron Monaghan who you may recognize from both Shameless and Gotham, two very different—and very entertaining—TV shows. Monaghan is a little crazy in both of them, though in entirely different ways, and he's a great casting choice here as well.
Fallen Order takes place after Episode III Revenge of the Sith, after the fall of the Jedi Order and during the Empire's secretive Order 66 in which it planned for the extermination of all remaining Jedi, sending Yoda and Obi-Wan and many others into hiding. We've seen a bit of this time period during Star Wars: Rebels which also takes place between the prequel films and the original trilogy.
From the press release:
""Players will meet Cal on Bracca, a brand-new Star Wars planet and one of several new locations introduced in the game. Cal is hiding from the Empire in plain sight but is forced to go on the run when he exposes his Force powers. Along the way, Cal will make new friends, like his mysterious companion Cere, as well as run into some familiar faces, all while being accompanied by his faithful droid BD-1. Cal’s flight from the Empire is made even more dangerous as he is being pursued by the Second Sister, one of the Empire’s elite Inquisitors, who seeks to hunt Cal down and extinguish this surviving Jedi. Assisting the Second Sister are the terrifying Purge Troopers, special Imperial forces trained to seek out Jedi and aid the Inquisitors in their dastardly work.
""Star Wars Jedi: Fallen Order is designed with gameplay as a top priority in order to deliver the kind of intense Star Wars lightsaber battles that are seen in the films. Brought to life by Respawn, a studio known for high-quality games that are both visually beautiful and technically masterful, players will use their Jedi training to create different melee combinations with an innovative lightsaber combat system and Force abilities. Players will also use traversal and other platforming abilities to strategically overcome opponents and solve puzzles in their path across this galaxy-spanning adventure. Star Wars fans will recognize iconic locations, weapons, gear, and enemies, while also meeting a roster of fresh characters, locations, creatures, droids and adversaries new to Star Wars.""
Star Wars Jedi: Fallen Order
Credit: Respawn So expect to see some lightsaber combat, some wall-running (which Respawn mastered in Titanfall and Titanfall 2 ) and what looks to be a really interesting, somewhat darker Star Wars story. That's great news. I know I'm not the only Star Wars fan whose been waiting for a single-player Star Wars game to finally come out. It's been ages since we've gotten one. In the meantime, we've seen game after game cancelled.
Star Wars 1313 was supposed to be a gritty action-adventure game set in the Star Wars universe. It was cancelled when Disney bought Lucasfilm and closed LucasArts. Visceral's Star Wars game, spearheaded by Uncharted alum Amy Hennig, was cancelled not long ago. Then EA Vancouver's open-world Star Wars game was also cancelled.
That means we've only had two Battlefront games (that were remarkably lackluster) and a mobile game to tide us over. It's almost a miracle that Respawn's game has gotten this far to begin with.
Star Wars Jedi: Fallen Order
Credit: Respawn I can't wait to see some actual gameplay and eventually get my hands on this thing. It's definitely looking like everything I wanted from a Star Wars game, and hopefully it convinces Disney and EA that more single-player games set in this universe are what fans are after. Maybe even a game set during the events of the new trilogy? A new Knights of the Old Republic game built with modern tech (not Frostbite, though) would be fantastic also.
There are so many great ways to bring this franchise to video games, it's just unbelievable to me that this is all we have while movie after movie and multiple TV shows are made.
Even Disney and Lucasfilm seem to agree that this is what fans actually want (as opposed to an endless stream of live-service titles.) “When Respawn approached us with the idea for this game, we were immediately supportive. A single player, story-driven title in the Star Wars universe was exactly what we were looking for, and we know the fans have been eager for one, as well,” said Steve Blank, Director, Franchise Content & Strategy, Lucasfilm Story Group in the PR release.
Yes, yes we have been eager for just exactly this. Maybe it's time to stop cancelling these games and actually complete them, release them and watch the money come flowing in.
Watch the new Star Wars: The Rise Of Skywalker trailer here.
~~"
Who Are Apple's iPhone Contract Manufacturers?,www.forbes.com,Patrick Moorhead,04-14-2019,2019,4,https://www.forbes.com/sites/patrickmoorhead/2019/04/13/who-are-apples-iphone-contract-manufacturers/,"This coming Monday, a highly anticipated trial between Qualcomm and Apple will start in San Diego. The legal showdown is the next, important chapter of a two-year conflict between the two technology powerhouses and now, in this trial, Apple’s contract manufacturers. You can get caught up to speed on the prior two years here . Next week’s festivities are complex, as it is the amalgamation of four lawsuits brought together. Here is suing whom:
Apple is suing Qualcomm for the alleged lack of payments for volume discounts as part of its BCPA (Business Cooperation and Patent Agreement), violating FRAND pricing for its wireless IP, and using its monopolistic position to charge too much for its IP. Apple’s contract manufacturers are suing Qualcomm similarly, for charging too much for its IP. Qualcomm is suing Apple’s contract manufacturers for withholding payments for the use of its IP Qualcomm is suing Apple for alleged tortious interference between Qualcomm and the contract manufacturers. Fun, right? There has been and will continue to be much press about this conflict, but today I wanted to shed light on Apple’s relatively unknown contract manufacturers (CMs) or Original Device Manufacturers (ODMs) who are at the center of this conflict. ODMs, for the uninitiated, work on behalf of companies like Apple to manufacture their smartphones. Apple doesn’t manufacture its own devices and doesn’t actually have an IP agreement with Qualcomm; Qualcomm’s agreements are with the ODMs. I had a few decades of experience with ODMs when I was a hardware OEM and chip guy, and ODMs are an interesting bunch. Let’s take a closer look at who these ODMs are.
Foxconn, $152B revenue
Apple’s biggest ODM is Taiwan-based Foxconn (officially known as Hon Hai Precision Industry Co., LTD). Foxconn is the world’s biggest provider of electronics manufacturing, employing 250,000 worldwide (as of 2018), with manufacturing sites in Taipei, Suzhou, Mexico City, Madrid, Cleveland, and more. Most of its manufacturing is done in China.
Foxconn was founded by CEO Terry Gou back in 1974, with the stated goal of “providing low cost mechanical and electrical parts to drive down the overall cost of electronics worldwide.” I had met Terry Gou many times one on one when I worked in product management at Compaq Computer and did billions in business with him. Back then, Foxconn made cheap power supply PCBs (printed circuit boards) and connectors.
Foxconn Technology Group Chairman Terry Gou speaks during the groundbreaking ceremony for the company's headquarters in Shanghai, China, Thursday, May 10, 2012. Foxconn Technology Group, the world's biggest assembler of consumer electronics, began work Thursday on the headquarters that it says will help spearhead its efforts to sell more in the China market. (AP Photo)
ASSOCIATED PRESS Today it’s a powerhouse, a public company with revenue of over $152B in 2018. Foxconn specializes in the manufacturing of smartphones, PCs, servers, power supplies, and connectors. In addition to Apple, its top 5 customers include Dell, HP Inc., Samsung, and LG. You’ve likely used a Foxconn-manufactured product—its repertoire includes iPhones, iPods, iPads, and the Apple Watch.
The company has to be applauded for providing so much economic opportunity for 250,000 of its workers, but it’s not without controversy. It has suffered from allegations of poor working conditions, with long working hours. In 2010, 14 Foxconn employees committed suicide, a spate that was attributed to at the company’s high-pressure, exploitative work environment (read an excerpt from Brian Merchant’s The One Device: The Secret History of the iPhone , published by The Guardian here ). Apple vowed to investigate the manufacturer, with Tim Cook reportedly meeting with suicide-prevention experts and top Foxconn management in 2011. Ultimately Apple decided to maintain the working relationship.
The company also recently drew headlines (many negative) over its plans to build a manufacturing hub in Wisconsin, incentivized by the largest public subsidy package ever granted to a foreign company by the U.S—approximately $4.5B worth of incentives. Foxconn initially promised to provide as many as 13,000 well-paid jobs by 2022, an economic impact that was thrown into doubt by reports that Foxconn was considering cutting manufacturing and utilizing the Wisconsin facility solely for R&D (Bloomberg recently published a scathing report on the deal here , if interested in reading more). Recently, according to CNN , Foxconn walked back earlier reports and said that it would, in fact, utilize the Wisconsin facility for manufacturing, though it remains unclear how many jobs would fit under that umbrella versus R&D and knowledge worker roles.
Foxconn is the giant in the industry, and I feel it’s safe to say was built, in part, by Apple. I worked at Compaq with Dan Riccio, a Compaq mechanical engineer at the time, now Apple’s head of Hardware, who I know knew Gou and worked with Foxconn.
Wistron, $29B revenue
Next is Wistron, another Taiwan-based manufacturer of computer and consumer electronics products. Wistron got its start as the manufacturing branch of Acer, spinning off of the PC maker back in 2000. Its lines of business include notebook and desktop PCs, server and storage systems, handheld devices, and various networking and communication products, but it’s best known as one of the world’s largest manufacturer of notebook computers. Its big-name partnerships include Apple, Microsoft, Dell, Hewlett Packard, and, of course, Acer.
Simon Lin, chairman and chief executive officer of Wistron Corp., arrives at an Intel Corp. news conference in Taipei, Taiwan, on Thursday, Oct. 28, 2010. Wistron Corp. is the world's third-largest contract manufacturer of notebook computers. Photographer: Maurice Tsai/Bloomberg *** Local Caption *** Simon Lin
BLOOMBERG NEWS Wistron is a publicly traded company that, as of 2018, employs 83,000 people worldwide, in manufacturing and support centers across China, Malaysia, Mexico, the Czech Republic, and the United States. In 2018, Wistron raked in revenue of $28.9B with gross profits near $1.21B.
Wistron was in the news Friday in Patently Apple regarding the Indian government suspending Apple’s import permit asking the question, “Did Wistron or another Apple supplier try to hide their non-compliance with e-waste rules?” Being a global smartphone/PC ODM is tough.
Pegatron, $44B
This brings us to Pegatron, also headquartered in Taiwan. Pegatron began its journey as the production arm of ASUSTek Computer (also known as ASUS), spinning off in 2008. ASUS, for that matter, still holds roughly 17% of the company’s shares. Pegatron specializes in the manufacturing of desktop and notebook PCs, wireless systems, motherboards, game consoles, smartphones, and TVs, and boasts both Apple and HP as its biggest customers. The iPhone 4 and iPhone 5c were both manufactured by Pegatron.
Employees line up for roll call at a Pegatron Corp. factory in Shanghai, China, on Friday, April 15, 2016. This is the realm in which the world's most profitable smartphones are made, part of Apple Inc.'s closely guarded supply chain. Photographer: Qilai Shen/Bloomberg
© 2016 Bloomberg Finance LP As of 2018, Pegatron employs roughly 90,000 people worldwide, in Taiwan, the Czech Republic, China, Mexico, Japan, and the United States. In 2018, it pulled in a revenue of $44.43B with profits of $1.29B. Like Foxconn, Pegatron has also come under scrutiny in the past for worker conditions at its factories near Shanghai, which manufacture Apple products (see the BBC’s undercover report here ). In 2016, Bloomberg got a tour of the factory and reported that “Pegatron and Apple adopted new procedures to keep iPhone assemblers from amassing excessive overtime.”
Pegatron recently signed onto Apple’s “commitment to run their Apple production on 100 percent clean energy.”
Compal, $32B revenue
Lastly, let’s talk about Compal. The smallest of these 4 ODMs, Compal is also located in Taiwan and employs roughly 64,000 people. It was founded in 1984 and is known primarily for manufacturing notebooks, mobile devices, connected devices, liquid crystal displays, and health care products. Compal is purportedly in the midst of trying to expand beyond its primary PC business, dipping its toes into the mobile device and industrial computer sectors, according to Nikkei Asian Review.
The exterior of the Compal electronics, Inc.â€™s headquarters is seen in Taipei, Taiwan on Monday, October 23, 2006. Compal Electronics Inc., the world's second-largest maker of notebook computers, reported a 2 percent drop in third-quarter profit on price declines and losses at its flat-screen and telecommunications investments. Photographer: Maurice Tsai/Bloomberg News
BLOOMBERG NEWS Compal is responsible for the manufacturing of many products you may have used at some point—Amazon Alexa, Dell and Lenovo PCs, Apple iPads, HTC, and Sony smartphones. Compal brought in $32.09B in revenue in 2018, with profits of $987.67M. The company’s main manufacturing plant is in China, and, in addition to its headquarters in Taipei, it has offices across South Korea, the UK, the United States, and China.
Wrapping up
Hopefully, these Apple iPhone ODM profiles will serve as useful background information on some of the lesser-known players in the larger Apple-Qualcomm feud, which is set to reach a crescendo in the coming weeks. The net-net, Apple’s top 4 iPhone smartphone ODMs are very large and sophisticated companies, driving $260B in revenue, are based in Taiwan, do most of their manufacturing in China, employing half a million people. Keep that in mind as you follow along with the trial the next six weeks. I will be following the trial with interest—stay tuned for further coverage.
Note: Moor Insights & Strategy writers and editors may have contributed to this article.
Disclosure: Moor Insights & Strategy, like all research and analyst firms, provides or has provided paid research, analysis, advising, or consulting to many high-tech companies in the industry, including Advanced Micro Devices , Apstra, ARM Holdings , Bitfusion, Cisco Systems , Dell EMC , Diablo Technologies, Echelon, Ericcson, Frame, Gen Z Consortium, Glue Networks, GlobalFoundries, Google (Nest), HP Inc. HewlettPackard Enterprise, Huawei Technologies, IBM , Jabil Circuit , Intel , Interdigital, Konica Minolta, Lenovo , Linux Foundation, MACOM (Applied Micro), MapBox, Mavenir, Mesosphere , Microsoft , National Instruments , NOKIA (Alcatel Lucent), Nortek, NVIDIA , ONUG, OpenStack Foundation, Peraso, Portworx, Protequus, Pure Storage, Qualcomm , Rackspace, Rambus, Red Hat , Samsung Technologies, Silver Peak, SONY, Springpath, Sprint, Stratus Technologies, TensTorrent, Tobii Technology, Synaptics , Verizon Communications , Vidyo, Wellsmith, Xilinx , Zebra, which may be cited in this article."
12 Lessons In 12 Months: What This Teacher Learned During Her Entrepreneurial Journey,www.forbes.com,msn.com,04-14-2019,2019,4,https://www.forbes.com/sites/robynshulman/2018/08/06/12-lessons-in-12-months-what-this-teacher-learned-during-her-entrepreneurial-journey/,"If you are thinking of pursuing a new entrepreneurial journey, here are 12 critical lessons this educator learned in one year about the business world-both inside the classroom and outside the walls of education."" itemprop=""description"">
<a _ngcontent-c3="""" aria-label=""Forbes Homepage"" class=""header__link--forbes-logo"" href="
