title, publication, authors, date, year, month, url, content
Big ratings come with a big price tag for the final season of 'Game of Thrones'| Latest News Videos,video.foxnews.com,foxnews.com,04-12-2019,2019,4,http://video.foxnews.com/v/6025750777001/,Top Talkers: The final season reportedly cost a whopping $90 million.
Deputy Attorney General Rod Rosenstein defends Attorney General Bill Barr's handling of the Mueller report | On Air,video.foxnews.com,foxnews.com,04-12-2019,2019,4,http://video.foxnews.com/v/6025736784001/,The Wall Street Journal reporter Sadie Gurman says Deputy Attorney General Rod Rosenstein called allegations that AG Bill Barr mishandled the Mueller report is 'completely bizarre.'
"'Game of Thrones' star Liam Cunningham is 'nervous' about the premiere, explains why he doesn't give spoilers| Latest News Videos",video.foxnews.com,foxnews.com,04-12-2019,2019,4,http://video.foxnews.com/v/6025728648001/,"As the world prepares for the final 'Game of Thrones' season premiere, Liam Cunningham says he's anxious about fans finally seeing how it all ends."
PETA: Taxpayers are funding animal testing that rarely helps to find cures for human diseases | On Air,video.foxnews.com,foxnews.com,04-12-2019,2019,4,http://video.foxnews.com/v/6025718810001/,Is pointless animal testing being paid for by taxpayers? PETA vice president Kathy Guillermo responds.
Rebecca Schaeffer’s ‘My Sister Sam’ co-star Pam Dawber opens up about her murder | Latest News Videos,video.foxnews.com,foxnews.com,04-12-2019,2019,4,http://video.foxnews.com/v/6025714910001/,"In a new ABC documentary, actress Pam Dawber admits she still struggles with the loss of her former ‘My Sister Sam’ co-star Rebecca Schaeffer after a crazed fan murdered her in 1989."
Ariana Grande posts 'terrifying' brain scan showing PTSD after bombing| Latest News Videos,video.foxnews.com,foxnews.com,04-12-2019,2019,4,http://video.foxnews.com/v/6025643497001/,"Bringing awareness to post-traumatic stress disorder, pop star Ariana Grande posted a 'terrifying' image of her brain scan to her Instagram Stories. The image showed both a healthy brain compared to a brain with PTSD, and her brain after the bombing of her concert at the Manchester Arena in 2017. The healthy brain looked dark, while the brain with PTSD was highlighted in a few places. Grande's brain showed similar highlighting to the PTSD sufferer."
Bill Maher warns Dems against making immigration issue a ‘woke contest’ in 2020,www.foxnews.com,Joseph Wulfsohn,04-13-2019,2019,4,https://www.foxnews.com/entertainment/bill-maher-says-dems-will-lose-if-2020-election-becomes-woke-contest-on-immigration,"Email
Bill Maher arrives at an Oscar party on Feb. 22, 2015, in Beverly Hills, Calif. (Adrian Sanchez-Gonzalez/AFP/Getty Images) “Real Time” host Bill Maher warned Democrats that they'll lose the 2020 presidential election if their message on immigration is designed to appeal only to other Democrats. Turning the immigration issue into a “woke contest” will only hand the election to President Trump, the liberal late-night host said Friday.
During the show's panel discussion, Maher said he didn’t believe that immigration is a top 10 issue “in reality,” but stressed that it was a “campaign issue” on which Trump ran and won in 2016.
MAHER DEFENDS BIDEN, SAYS WOMEN SHOULD CALL OUT MISCONDUCT 'IN THE MOMENT' RATHER THAN 'FIVE YEARS LATER'
“If it becomes a 'woke' contest, then the Democrats lose on this,” Maher said. “Yes, they look better, but it’s impossible not to look better next to him!”
Panelist Wendy Sherman, who served in the State Department during the Obama administration, told Maher that Trump “created this immigration crisis,” pointing to his administration’s decisions on cutting aid to Central American countries, separating migrant families and “putting kids in cages.”
Maher, however, only chuckled at her remarks.
“This is what Democrats say, which only gets other Democrats,"" Maher told Sherman. ""This is not the speech that is going to win any [swing] voters. You’ve [already] got the compassion vote!”
The HBO star credited former President Barack Obama for being able to “keep the left” while deporting record numbers of illegal immigrants. On Our Radar"
"Migrants break border gate, force their way into Mexico",www.foxnews.com,US Tech Workers,04-13-2019,2019,4,https://www.foxnews.com/world/migrants-break-border-gate-force-their-way-into-mexico/,"Migrants break border gate, force their way into Mexico Posted on 12 Apr MEXICO CITY – Mexican authorities said a group of about 350 migrants broke the locks on a gate at the Guatemalan border Friday and forced their way into southern Mexico to join a larger group of migrants trying to make their way toward the United States. The National Immigration Institute did not identify the nationalities of the migrants, but they are usually from Central America.
A similar confrontation occurred on the same border bridge between Mexico and Guatemala last year.
The institute said the migrants were acting in a “hostile” and “aggressive” way, and accused them of also attacking local police in Metapa, a Mexican village that lies between the border and the nearby city of Tapachula.
The group of 350 pushed past police guarding the bridge and joined a larger group of about 2,000 migrants who are walking toward Tapachula in the latest caravan to enter Mexico.
Claudia Jaqueline Sandoval, 43, from El Progreso, Honduras, was walking toward Tapachula with her six-year-old daughter. Another son and a daughter are already in the United States.
“I have been HIV positive for 16 years,” said Sandoval, but her reason for going north was not just medical treatment. “It has been two years since I heard from my son” in the United States, and money is scarce, she said.
There are already several groups of migrants in the southern border state of Chiapas who have expressed frustration at Mexico’s policy of slowing or stopping the process of handing out humanitarian and exit visas at the border.
A group of several hundred Cuban, African and Central American migrants have been waiting at the immigration offices in Tapachula for documents that would allow them to travel to their U.S. border, where most plant to request asylum.
Some members of that group have scuffled with immigration authorities and broken windows at the offices in recent days, accusing officials of making them wait too long for papers.
And another group of an estimated 2,500 Central American and Cuban migrants have been stuck for at least a week further west in the Chiapas town of Mapastepec, also waiting for papers. This entry was posted in H1-B News , Immigration and tagged H1B Visa News , Immigration News . US Tech Workers"
Escaped teenager charged in mother's death recaptured,www.foxnews.com,Associated Press,04-12-2019,2019,4,https://www.foxnews.com/us/escaped-teenager-charged-in-mothers-death-recaptured,"Email
This undated photo released by the Orange County Sheriff's Department shows Ike Souzer, a 15-year-old accused of killing his mother who has escaped a Southern California jail. Probation officials say Souzer escaped from the Orange County Juvenile Hall and jumped a perimeter fence just after midnight, Friday April 12, 2019. The 6-foot-tall, 200-pound teen was wearing red pants and a white shirt and may have an injured leg. (Orange County Sheriff's Department via AP) LOS ANGELES – Authorities on Friday recaptured a 15-year-old boy who is charged with killing his mother and managed to escape a Southern California juvenile facility. A ""very good lead"" led authorities to a McDonald's restaurant in Anaheim, where Ike Souzer was taken peacefully into custody on Friday night, Orange County sheriff's Capt. Mike Peters said. The teenager was given medical treatment for puncture wounds on his leg that might have come from his escape, Peters said.
Ike Souzer escaped the Orange County Juvenile Hall, somehow got onto a roof and then jumped a perimeter fence just after midnight Friday, said Steve Sentman, chief probation officer for the county.
Jail staff spotted Souzer on the roof, then turned on a facility-wide alarm and called the sheriff's office, he said.
Peters said deputies were ""very quick"" to respond, but Souzer was able to elude capture.
The sheriff's office released surveillance footage showing Souzer tending to an apparent wound on his leg shortly after escaping and then walking seemingly casually away from the facility. The 6-foot, 200-pound teen was wearing red pants and a white shirt.
Dozens of law enforcement personnel, including FBI agents and federal marshals, searched for the boy.
Sentman said it was the first escape from the 434-bed facility in at least two decades and that an investigation is underway into how it happened.
Souzer has been in custody since he was 13, when he was arrested on suspicion of fatally stabbing his mother, 48-year-old Barbra Scheuer-Souzer. His escape came in the middle of Souzer's trial on a murder charge in juvenile court, said Kimberly Edds, a spokeswoman for the district attorney's office.
Souzer's public defender, David Hammond, didn't immediately respond to a request for comment late Friday.
A Gofundme page for Scheuer-Souzer says she was so good at helping her son with autism that she went back to school to help others with the condition and was about to graduate from the University of California, Los Angeles.
""Through her unconditional love and commitment, she helped her son go from non-verbal to verbal status,"" according to the page. ""Her whole goal was to help her son and the autistic community by giving back and serving the needs of others.""
Scheuer-Souzer had three other grown children and three grandchildren. Trending in US"
Poll workers journey to reach India's most remote voters,www.foxnews.com,Associated Press,04-13-2019,2019,4,https://www.foxnews.com/world/poll-workers-journey-to-reach-indias-most-remote-voters,"by AMRIT DHILLON
 02:38:09 by AMRIT DHILLON
In this April 10, 2019, photo, Indian election officials and paramilitary soldiers with election materials walk along the river Brahmaputra to board on a country boat on the eve of the first phase of general election in Majuli, Assam, India. (AP Photo/Anupam Nath, File) NEW DELHI – The figures involved in India’s general election are staggering: 900 million voters, 83 million first-time voters, 11 million poll workers, nearly 4 million electronic voting machines, 1 million polling booths and 570 special trains for migrant laborers and security personnel. Such numbers convey the scale of the world’s biggest democratic exercise. But its smaller numbers that show India’s commitment to reach every voter, no matter how remote.
In India’s six-week marathon election that began this week, the Election Commission has ruled that no voter should have to travel more than 2 kilometers, or just over a mile, from their home to cast a ballot, whether they live on a Himalayan peak or an island in the Bay of Bengal.
The polling booth in Gir Forest National Park in Gujarat is set up for the sole human inhabitant, a Hindu priest who lives among the lions. Polling officials hike for a whole day to reach the remote village of Malogam in Arunachal Pradesh, where just one woman is registered to vote.
Poll workers must be in superb physical condition to cross mountains, rivers, deserts, forests and national parks. The work entails arduous journeys by train, road, helicopter and boat, accompanied by porters who carry the briefcase-sized voting machines, registers, ink and other election paraphernalia on their backs.
In Arunachal Pradesh, a state in India’s northeast that borders Bhutan, China and Myanmar and where voting took place Thursday, most polling stations are located inside dense, Himalayan forest.
Poll workers set off a week before the vote. The first leg of the journey was a three-hour drive from Changlang, a district in the east, to the city of Maio, a tourist destination 100 kilometers (62 miles) away.
From Maio, the next stop was Vijoynagar, some 163 kilometers (101 miles) away, via the Namdapha National Park. No road connects the two towns, and the terrain is subject to frequent flash floods and landslides. Journeys here are measured in days rather than hours.
So, the team reached Vijoynagar by Indian Air Force helicopter. In pre-monsoon time, bad weather can force the pilot to abort several attempts. That’s why a week’s leeway is given to the team. If all else fails, it’s six days to reach Vijoynagar by foot.
From Vijoynagar, the caravan walked the final leg of their odyssey to the polling station of Gandhigram. It is only 12 kilometers (7.5 miles) from Vijoynagar but the trek takes eight hours, through eerily dark jungles where no sunlight steals through the canopy and under constant threat of an ambush by a herd of elephants.
Majestic gorges were crossed on casually strung, flimsy bamboo suspension bridges that wobble like jelly in strong winds. The team traveled with torches, water filters and emergency lights, and a local guide who knows the jungle.
“These are not Alpine tracks. These are sub-tropical forests with thick undergrowth. There is no stated rule, but we prefer people under 45 because a lot of stamina and energy are required,” said Kaling Tayeng, the chief electoral officer of Arunachal Pradesh.
The marathon expedition to Gandhigram was all for 242 voters.
In the Ladakh region of Indian-controlled Kashmir in the north, a polling station at an altitude of 4,327 meters (14,196 feet) is being set up for only 12 voters.
Another Ladakh station, Anlay Pho, is so high at 4,500 meters (almost 15,000 feet) above sea level that polling teams must carry oxygen tanks.
When Winston Churchill described India as a “geographical expression” no more a united nation than the equator, he was speaking to the diversity in landscapes that makes the Election Commission’s job so challenging.
At the other extreme of the country from the mountain peaks of Ladakh are the low-lying Andaman and Nicobar Islands where voting machines were transported by various seafaring vessels for Thursday’s vote.
The polling station at Pilopatia, just 9.7 meters (32 feet) above sea level, is famous for the trouble it presents election officials.
Officials start off on a 24-hour by ship journey from Port Blair, then by speedboat, then by small dinghy and finally by a “hodi,” or traditional boat used by the local tribe, said Dr. Monica Priyadarshini, a Nicobar district election officer.
“In places, the waters are infested with crocodiles and sea snakes,” Priyadarshini said.
The voting machines were protected inside waterproof boxes and other polling material was kept dry under layers of plastic cover. The journey ended with a splash: Priyadarshini and the team clambered out and waded through waist-high water to reach the shore. All this for just nine voters.
Many polling booths in remote areas have no mobile connectivity. Here too, the team had to use wireless sets and satellite phones to send the commission’s mandated twice hourly reports on the progress of polling.
“I had voted in elections, but I never had any idea of the work that goes into ensuring that every single vote is cast,” Priyadarshini said.
In Chhattisgarh, central India, where some polling stations were open this week, it is both geography and ideology that present problems. The jungles are thick with vegetation and teeming with Maoist insurgents called Naxalites who attack government officials with bullets, incendiary devices and land mines.
Earlier this week, insurgents attacked a convoy of India’s ruling Bharatiya Janata Party, killing a state party lawmaker and four other people in his vehicle with an improvised explosive device.
“We had 100 high security zones that are very dangerous. In some of them, over 100 security personnel accompanied just 20 polling officials to secure their path through the forest,” said Chhattisgarh police chief Durgesh Kumar Awasthi. “My men haven’t slept for days.”"
"Taliban ambush Afghan police convoy, killing 7",www.foxnews.com,Associated Press,04-13-2019,2019,4,https://www.foxnews.com/world/taliban-ambush-afghan-police-convoy-killing-7,"Asia Published 7 hours ago Taliban ambush Afghan police convoy, killing 7 Associated Press Facebook Twitter Flipboard Print Email KABUL, Afghanistan – An Afghan official says the Taliban have ambushed a police convoy, setting off an hours-long battle that killed seven security forces, including a provincial police official.
Abdul Hai Khateby, the spokesman for the governor of the western Ghor province, says the attack happened Friday afternoon. He says another two police and a civilian were wounded, and that four insurgents were killed.
He says Faqir Ahmad Noori, the head of operations for the provincial police, was among those killed.
The Taliban, who effectively control nearly half the country, have continued to carry out daily attacks on Afghan security forces despite holding several rounds of talks with the United States aimed at ending the 17-year war."
"Ocasio-Cortez coal-mine visit requires an apology to Crenshaw first, Ky. lawmaker says | Fox News",www.foxnews.com,Louis Casiano,04-13-2019,2019,4,https://www.foxnews.com/politics/kentucky-rep-wants-ocasio-cortez-to-apologize-to-war-veteran-colleague-before-visiting-his-state,"U.S. Rep. Andy Barr, R-Ky., placed the condition on Ocasio-Cortez&apos;s planned visit to the Bluegrass State in a letter to the freshman congresswoman on Friday. Barr’s demand stems from comments that Ocasio-Cortez recently directed at U.S. Rep. Dan Crenshaw , R-Texas, over his response to domestic terrorism.
""I urge you to apologize to our colleague prior to coming to visit Kentucky,"" Barr said in the letter, describing Ocasio-Cortez&apos;s&apos; remarks as an example of a ""lack of civility that is becoming far too common in the U.S. House of Representatives.""
Ocasio-Cortez told Crenshaw, a former Navy SEAL, that he should focus on domestic terrorism after he slammed Rep. Ilhan Omar, D-Minn., for describing the 9/11 attacks as “ some people did something .” In a March speech to the Council on American-Islamic Relations (CAIR), Omar spoke of the rise in anti-Islamic activity in response to terrorist incidents.
""Far too long we have lived with the discomfort of being a second-class citizen and frankly, I&apos;m tired of it, and every single Muslim in this country should be tired of it,"" she said. ""CAIR was founded after 9/11 because they recognized that some people did something and that all of us were starting to lose access to our civil liberties.""
Crenshaw decried her comments, tweeting: “First member of Congress to ever describe terrorists who killed thousands of Americans on 9/11 as &apos;some people who did something.&apos; Unbelievable.""
Ocasio-Cortez stepped in the middle of the feud to defend Omar and called out Crenshaw for not co-sponsoring a measure to aid 9/11 victims and their families.
""You refuse to cosponsor the 9/11 Victim’s Compensation Fund , yet have the audacity to drum resentment towards Ilhan w/completely out-of-context quotes,"" she tweeted.
“In 2018, right-wing extremists were behind almost all U.S. domestic terrorist killings,"" Ocasio-Cortez continued. ""Why don’t you go do something about that?""
Corbin Trent, a spokesman for Ocasio-Cortez, told the Louisville Courier-Journal that Crenshaw targeted Omar because she is one of the first Muslim women to serve in Congress.
Following Ocasio-Cortez&apos;s comments, Barr and other conservatives pointed to Crenshaw’s war record, having served three tours in Afghanistan and losing his right eye. During a hearing earlier this month about the Green New Deal , he invited Ocasio-Cortez to meet coal miners. But first, he would like her to apologize to Crenshaw.
Barr said his office has not received a response to his invitation.
""Luckily, Kentucky has open borders,"" Trent said. ""If we decided to go to Kentucky to visit with coal miners, which we certainly hope to, and talk about the opportunities that can be brought to the rural South ... and to coal-mine country and Appalachia, that can be brought by transitioning to renewable energy and the Green New Deal, we&apos;ll be excited to do so.""
 "
British envoy regrets 1919 colonial massacre of Indians,www.foxnews.com,,04-13-2019,2019,4,https://www.foxnews.com/world/british-envoy-regrets-1919-colonial-massacre-of-indians,"Last Update 6 hours ago British envoy regrets 1919 colonial massacre of Indians next Image 1 of 2
British High Commissioner to India Dominic Asquith, second left, pays homage to commemorate century of the Jallianwala Bagh incident, in Amritsar, India, Saturday, April 13, 2019. On April 13, 1919, hundreds were killed and more than 1,200 injured after British troops led by Reginald Dyer opened fire on a peaceful gathering at Jallianwala Bagh in Amritsar. (AP Photo/Prabhjot Gill) prev Image 2 of 2
Congress party president Rahul Gandhi, center, with others pays homage to commemorate century of the Jallianwala Bagh incident, in Amritsar, India, Saturday, April 13, 2019. On April 13, 1919, hundreds were killed and more than 1,200 injured after British troops led by Reginald Dyer opened fire on a peaceful gathering at Jallianwala Bagh in Amritsar. (AP Photo/Prabhjot Gill) NEW DELHI – The British envoy to India says his country regrets a massacre of hundreds of Indians by British colonial forces in the northwest city of Amritsar 100 years ago and ""will continue to do so."" Saturday marks the centenary of the attack at Jallianwala Bagh by British colonial troops against unarmed Indians attending a peaceful rally calling for independence.
More than 300 Indians were killed and 1,200 injured during the massacre, which galvanized the national independence movement.
British High Commissioner Dominic Asquith says ""the revulsion that we felt at the time is still strong today,"" as he paid tributes at the Jallianwala Bagh memorial in Amritsar.
British Prime Minister Theresa May on Wednesday called the killings a ""shameful scar"" in British-Indian history but stopped short of formally apologizing. Trending in World"
UK police arrest 4 Sri Lankans for suspected extremist links,www.foxnews.com,,04-13-2019,2019,4,https://www.foxnews.com/world/uk-police-arrest-4-sri-lankans-for-suspected-extremist-links,"TERRORISM Published 3 days ago UK police arrest 4 Sri Lankans for suspected extremist links LONDON – British police say four men from Sri Lanka have been arrested on suspicion of belonging to a banned extremist organization.
Police said Friday night they are suspected of violating the Terrorism Act.
The four men are being questioned at a police station in Bedfordshire northeast of London.
Police say the men arrived on an international flight at Luton Airport Wednesday night.
The men have not been identified and have not been charged. Police say the investigation is continuing."
Court temporarily blocks halt to Trump policy forcing asylum-seekers to stay in Mexico,www.foxnews.com,Louis Casiano,04-13-2019,2019,4,https://www.foxnews.com/politics/court-temporarily-blocks-halt-to-trump-policy-forcing-asylum-seekers-to-stay-in-mexico,"The decision by the three-judge panel on the 9th U.S. Circuit Court of Appeals blocked a lower ruling from taking effect and gave civil liberties groups until Tuesday to submit arguments on why the asylum policy should be put on hold. The government has until Wednesday to argue why it should remain in place. On Monday, a federal judge halted the change to the asylum system, saying it violated U.S. law by failing to evaluate the dangers to migrants while in Mexico . The suit was filed by 11 Central American asylum-seekers and advocacy groups who argue forcing asylum-seekers to wait in Mexico puts migrants risk given the uptick in violence there.
A girl from the Mexican state of Guerrero passes rows of tents as her family waits at a shelter of mostly Mexican to begin the process of applying for asylum Friday, April 12, 2019, in Tijuana, Mexico. (Associated Press)
Thousands have fled Guatemala, Honduras and El Salvador in recent months amid growing gang violence and abject poverty in the region. The ruling comes as more than 2,000 migrants made their way through Mexico on Friday, hoping to reach the U.S.-Mexico border. Mexican authorities said around 350 migrants broke the locks on a gate at the Guatemalan border Friday and forced their way into the country.
The government is asking the 9th Circuit to keep the asylum policy while the lawsuit makes its way through the courts. It argued halting it would endanger the public.
Central American migrants, part of a caravan hoping to reach the U.S. border, walk on the shoulder of a road in Frontera Hidalgo, Mexico on Friday. (Associated Press)
Families seeking asylum are typically released in the U.S. with notices to appear in court. The new policy began in January at the nation’s busiest border crossing in San Diego. More than 1,300 asylum-seekers have been to Mexico so far, according to the Mexican government.
""I haven&apos;t heard of anyone who&apos;s been sent back since the judge&apos;s order on Monday,"" American Civil Liberties Union attorney Judy Rabinovitz said.
The Trump administration has said its stance on asylum is a response to a shortage of detention space for migrants and overwhelmed immigration officials as more migrants appear at the border each day.
The Associated Press contributed to this report.
Trending in Politics"
