title, publication, authors, date, year, month, url, content
Mayor Pete: Trump “Falsified” Injury To Get Out of Military Service – Mother Jones,www.motherjones.com,Ari Berman,05-26-2019,2019,5,https://www.motherjones.com/politics/2019/05/mayor-pete-trump-falsified-injury-to-get-out-of-military-service/,"Podcasts Mother Jones is crowdfunding to hire and build a new beat focused on systemic corruption. Mother Jones is crowdfunding to hire and build a new beat focused on systemic corruption. Read our plan , and if you like how it sounds, please help fund ."
Trump Announces New Plan to Retain the Farm Vote – Mother Jones,www.motherjones.com,Political Blogger,05-26-2019,2019,5,https://www.motherjones.com/kevin-drum/2019/05/trump-announces-new-plan-to-retain-the-farm-vote/?utm_source=mj-newsletters&utm_medium=email&utm_campaign=food-for-thought-2019-06-02,"So many soybeans. Imago via ZUMA
We have a new one-year plan, comrades:
The Trump administration rolled out a $16 billion aid package for the U.S. farm sector, which primarily will take the form of direct payments to farmers to offset losses resulting from the trade conflict with China….The program is a reprise of a similar initiative in 2018 which had authorized $12 billion in funding.
$12 billion for not selling our soybeans wasn’t enough! This year we will distribute $16 billion for not selling our soybeans. Soon, we will be world leaders in not selling soybeans.
On a more serious note, here is a short Quote: : from the USDA’s projection of farm income a couple of months ago:
Inflation-adjusted net farm income is forecast to increase 8 percent in 2019, to $69.4 billion.
This forecast was published after China had already retaliated against Trump’s tariffs—so presumably that had been taken into account—but before Trump announced his new $16 billion worth of farm aid. Taken at face value, this means that the new forecast for net farm income is $85.4 billion, a whopping 33 percent increase over last year.
The USDA had already projected that direct government aid would account for one-sixth of net farm income this year. If farm operations really get another $16 billion, that will double to one-third of net farm income. Somehow this all seems unlikely, but I’m not quite sure where the math goes wrong. It sure looks as if farm income was already projected to go up and now Trump is going to increase it even more.
"
Moron Kicked Out of Office in Texas – Mother Jones,www.motherjones.com,Political Blogger,05-28-2019,2019,5,https://www.motherjones.com/kevin-drum/2019/05/moron-kicked-out-of-office-in-texas/,"Remember that story from a few months ago about the Great Immigrant Voter Hunt in Texas? Today brings a smidgen of good news on that front:
Texas’s acting secretary of state, David Whitley (R), resigned Monday just months after leading the botched voter purge of nearly 100,000 suspected noncitizens that erroneously also targeted U.S. citizens, efforts that drew rebukes from a federal judge and numerous voter rights groups.
Whitley didn’t actually “resign.” The Texas legislature refused to confirm his appointment, so he had to go. It’s a small thing, I suppose, but it’s nice to occasionally see someone get what they deserve these days.
"
Moron Kicked Out of Office in Texas – Mother Jones,www.motherjones.com,Political Blogger,05-28-2019,2019,5,https://www.motherjones.com/kevin-drum/2019/05/republican-kicked-out-of-office-in-texas/,"Remember that story from a few months ago about the Great Immigrant Voter Hunt in Texas? Today brings a smidgen of good news on that front:
Texas’s acting secretary of state, David Whitley (R), resigned Monday just months after leading the botched voter purge of nearly 100,000 suspected noncitizens that erroneously also targeted U.S. citizens, efforts that drew rebukes from a federal judge and numerous voter rights groups.
Whitley didn’t actually “resign.” The Texas legislature refused to confirm his appointment, so he had to go. It’s a small thing, I suppose, but it’s nice to occasionally see someone get what they deserve these days. Looking for news you can trust?
Subscribe to our free newsletters. DOES IT FEEL LIKE POLITICS IS AT A BREAKING POINT?
It sure feels that way to me, and here at Mother Jones , we’ve been thinking a lot about what journalism needs to do differently, and how we can have the biggest impact.
We kept coming back to one word: corruption. Democracy and the rule of law being undermined by those with wealth and power for their own gain. So we're launching an ambitious Mother Jones Corruption Project to do deep, time-intensive reporting on systemic corruption, and asking the MoJo community to help crowdfund it .
We aim to hire, build a team, and give them the time and space needed to understand how we got here and how we might get out. We want to dig into the forces and decisions that have allowed massive conflicts of interest, influence peddling, and win-at-all-costs politics to flourish.
It's unlike anything we've done, and we have seed funding to get started, but we're looking to raise $500,000 from readers by July when we'll be making key budgeting decisions—and the more resources we have by then, the deeper we can dig. If our plan sounds good to you, please help kickstart today .
Thanks for reading—whether or not you can pitch in today, or ever, I'm glad you're with us.
Clara Jeffery, Editor-in-Chief"
Chart of the Day: Here’s What Corporations Did With Their Tax Cut – Mother Jones,www.motherjones.com,Political Blogger,05-29-2019,2019,5,https://www.motherjones.com/kevin-drum/2019/05/chart-of-the-day-heres-what-corporations-did-with-their-tax-cut/,"Comments
The Congressional Research Service has analyzed the 2017 Republican tax bill and concluded that it had no noticeable effect on GDP, consumption, domestic investment, or wages. But wait! What about the reinvestment of overseas profits, which the act allowed companies to repatriate at a low tax rate?
One of the major sources of anticipated increased investment through supply-side effects is international capital flows….Some also argued that eliminating the tax barrier to repatriating funds (as was done with the tax revision) would lead to reinvestment in the United States of unrepatriated earnings held abroad in U.S. subsidiaries.
Let’s check! What happened to all those repatriated earnings?
Companies repatriated more than a half-trillion dollars (blue line), but reinvested earnings actually turned negative for a couple of quarters before returning to the same level as before. End result: bupkis. Nice work, Republicans.
Of course, none of the Republican arguments in favor of the tax act were offered in good faith anyway, so it’s hardly a surprise that it had little to no effect on the economy. As the report puts it, “Fiscal stimulus is limited in an economy that is at or near full employment.” The real goal of the tax act was to reduce the taxes of corporations and rich people. Rep. Chris Collins explained things elegantly: “My donors are basically saying, ‘Get it done or don’t ever call me again.'”
So they got it done. Now their donors are happy and will continue contributing money to Republican candidates. What’s not to like? Looking for news you can trust?
Subscribe to our free newsletters. DOES IT FEEL LIKE POLITICS IS AT A BREAKING POINT?
It sure feels that way to me, and here at Mother Jones , we’ve been thinking a lot about what journalism needs to do differently, and how we can have the biggest impact.
We kept coming back to one word: corruption. Democracy and the rule of law being undermined by those with wealth and power for their own gain. So we're launching an ambitious Mother Jones Corruption Project to do deep, time-intensive reporting on systemic corruption, and asking the MoJo community to help crowdfund it .
We aim to hire, build a team, and give them the time and space needed to understand how we got here and how we might get out. We want to dig into the forces and decisions that have allowed massive conflicts of interest, influence peddling, and win-at-all-costs politics to flourish.
It's unlike anything we've done, and we have seed funding to get started, but we're looking to raise $500,000 from readers by July when we'll be making key budgeting decisions—and the more resources we have by then, the deeper we can dig. If our plan sounds good to you, please help kickstart today .
Thanks for reading—whether or not you can pitch in today, or ever, I'm glad you're with us.
Clara Jeffery, Editor-in-Chief"
"Two Decades Ago, He Blocked Abortion Clinics and Dodged Police. Now He's Helping Wage Trump's War on Reproductive Rights.",www.motherjones.com,,05-29-2019,2019,5,https://www.motherjones.com/politics/2019/02/matt-bowman-hhs-abortion-arrest-record-clinic-protests/,"Podcasts Mother Jones is crowdfunding to hire and build a new beat focused on systemic corruption. Mother Jones is crowdfunding to hire and build a new beat focused on systemic corruption. Read our plan , and if you like how it sounds, please help fund it with a tax-deductible donation . Politics February 22, 2019 Two Decades Ago, He Blocked Abortion Clinics and Dodged Police. Now He’s Helping Wage Trump’s War on Reproductive Rights. A string of previously unreported arrests illuminate a top administration lawyer’s hard-held beliefs—and unlawful past."
Coal Plants Are a Dying Breed – Mother Jones,www.motherjones.com,Political Blogger,05-30-2019,2019,5,https://www.motherjones.com/kevin-drum/2019/05/coal-plants-are-a-dying-breed/?utm_source=dlvr.it&utm_medium=twitter,"Via Richard Meyer, here’s a chart showing that despite President Trump’s best efforts, retirement of old power plants is nearly at the goal agreed to by Barack Obama in the Paris Accord for 2030 , and is closing in on Obama’s goal in the Clean Power Plan for 2022 . Trump may think that it’s good politics to pretend that coal will thrive again someday, but it’s not true. Old coal-fired plants are shutting down and no new ones are being built. Coal simply can’t compete with modern gas-fired plants, and increasingly can’t compete with modern renewable plants either.
This is only a small fraction of what we need to do if we want to avoid the worst effects of climate change, but it does show that significant change can be made without serious sacrifice. Someday sacrifices will be needed, and it’s true that I’m skeptical of the global public’s willingness to make them. Either way, though, that’s no reason not to go after the low-hanging fruit and get as much easy reduction in CO 2 as we can. As this chart shows, plenty of that low-hanging fruit is still available to us.
"
Coal Plants Are a Dying Breed – Mother Jones,www.motherjones.com,Political Blogger,05-30-2019,2019,5,https://www.motherjones.com/kevin-drum/2019/05/coal-plants-are-a-dying-breed/,"Comments
Via Richard Meyer, here’s a chart showing that despite President Trump’s best efforts, retirement of old power plants is nearly at the goal agreed to by Barack Obama in the Paris Accord for 2030 , and is closing in on Obama’s goal in the Clean Power Plan for 2022 . Trump may think that it’s good politics to pretend that coal will thrive again someday, but it’s not true. Old coal-fired plants are shutting down and no new ones are being built. Coal simply can’t compete with modern gas-fired plants, and increasingly can’t compete with modern renewable plants either.
This is only a small fraction of what we need to do if we want to avoid the worst effects of climate change, but it does show that significant change can be made without serious sacrifice. Someday sacrifices will be needed, and it’s true that I’m skeptical of the global public’s willingness to make them. Either way, though, that’s no reason not to go after the low-hanging fruit and get as much easy reduction in CO 2 as we can. As this chart shows, plenty of that low-hanging fruit is still available to us. Looking for news you can trust?
Subscribe to our free newsletters. DOES IT FEEL LIKE POLITICS IS AT A BREAKING POINT?
It sure feels that way to me, and here at Mother Jones , we’ve been thinking a lot about what journalism needs to do differently, and how we can have the biggest impact.
We kept coming back to one word: corruption. Democracy and the rule of law being undermined by those with wealth and power for their own gain. So we're launching an ambitious Mother Jones Corruption Project to do deep, time-intensive reporting on systemic corruption, and asking the MoJo community to help crowdfund it .
We aim to hire, build a team, and give them the time and space needed to understand how we got here and how we might get out. We want to dig into the forces and decisions that have allowed massive conflicts of interest, influence peddling, and win-at-all-costs politics to flourish.
It's unlike anything we've done, and we have seed funding to get started, but we're looking to raise $500,000 from readers by July when we'll be making key budgeting decisions—and the more resources we have by then, the deeper we can dig. If our plan sounds good to you, please help kickstart today .
Thanks for reading—whether or not you can pitch in today, or ever, I'm glad you're with us.
Clara Jeffery, Editor-in-Chief"
Architect of GOP Gerrymandering Was Behind Trump’s Census Citizenship Question – Mother Jones,www.motherjones.com,Ari Berman,05-30-2019,2019,5,https://www.motherjones.com/politics/2019/05/architect-of-gop-gerrymandering-was-behind-trumps-census-citizenship-question/,"Podcasts Mother Jones is crowdfunding to hire and build a new beat focused on systemic corruption. Mother Jones is crowdfunding to hire and build a new beat focused on systemic corruption. Read our plan , and if you like how it sounds, please help fund it with a tax-deductible donation . "
Roger Stone: I Hooked Up Nigel Farage With Donald Trump – Mother Jones,www.motherjones.com,"Washington, DC, Bureau Chief",05-30-2019,2019,5,https://www.motherjones.com/politics/2017/06/roger-stone-nigel-farage-donald-trump-russia-fbi/,"Brent N. Clarke/AP
Last week, the Guardian published a report revealing a new and odd twist in the Trump-Russia scandal: Nigel Farage, the British politician who led the Brexit movement in Great Britain, is a “person of interest” in the FBI investigation of interactions between Trump associates and the Russian government. The newspaper reported that Farage was under FBI scrutiny because he had relationships with both the Trump camp and WikiLeaks, which disseminated Democratic emails swiped by Russian hackers in an effort to help Donald Trump’s presidential campaign. Farage dismissed the story as “hysteria” and said he had not been contacted by the FBI. But Farage did meet with Trump during the campaign. And a source close to the Trump camp tells Mother Jones that a Trump-Farage meeting was set up by Roger Stone, the veteran political dirty-trickster and long-time Trump adviser who has come under investigation in the Trump-Russia inquiry.
That source is Stone himself.
In the months since the election, Stone has drawn the attention of investigators and reporters because he made statements during the campaign that implied he possessed inside information about WikiLeaks’ plans to release material stolen in the hack-and-leak covert operation mounted by Putin’s regime to subvert the 2016 campaign and assist Trump. In early August—after WikiLeaks had disseminated Democratic Party emails hacked by Russian intelligence—Stone said at a Republican event in Florida, “I actually have communicated with [WikiLeaks founder Julian] Assange. I believe the next tranche of his documents pertain to the Clinton Foundation, but there’s no telling what the October surprise may be.” On October 2, he tweeted , “Wednesday@HillaryClinton is done. #Wikileaks.” (This was five days before WikiLeaks released the emails of Clinton campaign CEO John Podesta, which were stolen by Russian hackers.) That month, Stone claimed he had “a back-channel communication” with Assange through “a good mutual friend.” During the campaign, Stone also communicated with Guccifer 2.0, the online persona that posted hacked Democratic emails, and Stone publicly insisted Guccifer 2.0 was not connected to the Russians.
Stone’s prescient statements about WikiLeaks’ anti-Clinton dumps and his claim of a connection with Assange naturally have raised questions about his role in the Trump-Russia scandal. And the Guardian report on Farage partly focused on the Brit’s ties to Stone. The story raised the possibility that Farage might have been Stone’s contact with WikiLeaks.
After the Guardian article was published, Mother Jones asked Stone if Farage was Stone’s “mutual friend” who had been his go-between with Assange. Stone replied, “Dined with him once in Cleveland [during the GOP convention in July]. Got him a meeting with the candidate. Never spoke to him again.”
So did Stone hook up Farage and Trump? The two politicians had a much-noticed rendezvous when Farage, then the leader of the UK Independence Party, appeared with Trump at a campaign rally in Mississippi in late August and declared , “If I was an American citizen, I wouldn’t vote for Hillary Clinton if you paid me.” It was a moment when the conservative anti-European populism of England merged with Trump’s anti-establishment American Firstism. Farage spoke of pro-Brexit voters supporting the referendum to withdraw Great Britain from the European Union so “they could take back control of their country, take back control of their borders, and get back their pride and self-respect.” Farage urged the American people to “stand up against the establishment.”
A book written by a Farage associate and published in October reported that Farage’s partnership with Trump came about because the British politician, while attending the GOP convention, had a chance encounter at 4:30 a.m. in his hotel bar with an aide to Mississippi Gov. Phil Bryant, a Republican. The aide suggested Farage visit Mississippi and subsequently sent him a formal invitation. A month later, Farage flew to Mississippi, just when Trump was scheduled to speak at a Republican fundraiser and a campaign rally. Farage had dinner with Bryant and regaled him and other guests with Brexit stories. Bryant suggested Farage speak at the Trump rally the following night—after speaking at the GOP fundraiser. On a radio show the next morning, Farage announced he was in Mississippi to show his support for Trump. Steven Bannon, who had recently been named Trump’s chief strategist, called Farage to check what Farage intended to say at the Republican dinner and the Trump rally. Hours later, Farage met Trump for the first time, according to this account, in a holding room at the Republican fundraiser. Trump strode across the room and gave the British politician a bear hug.
This account makes no mention of Stone. I asked Stone how his assertion that he had set up a meeting between Farage and Trump squared with this report. He replied, “I suggested candidate [Trump] meet Farage immediately after the convention. Certain [Farage] asked others to secure a meeting. Don’t recall when it happened only that it did.” It’s unclear whether the meeting Stone says he brokered was the same as the Mississippi get-together.
Stone added, “You report so much bullshit why do you care about the facts?”
The facts here are intriguing. If the FBI is indeed examining Farage for his ties to Assange and the Trump crew, Stone’s interactions with Farage—and whether or not Stone really did connect him with Trump—could be relevant. The brash and brassy Stone, who relishes publicity and mud-slinging and who has written a book claiming LBJ killed JFK, has been an enticing target for Democrats and investigators pursuing the various threads of the Russia-Trump scandal. With the Farage connection, the plot thickens.
Farage did not reply to a request for comment. Neither did the White House.
UPDATE: A spokesman for Farage says, “Nigel met Roger Stone in a restaurant in Cleveland during the RNC purely by chance. They subsequently met each other in a hotel in Washington during Trump’s inauguration, again without planning and by chance. He did not organise any meeting between Mr Trump and Mr Farage.”
"
