title, publication, authors, date, year, month, url, content
Leahy grills Barr about prior 'purposefully misleading' statements under oath,www.msnbc.com,"May 1, 2019",05-02-2019,2019,5,https://www.msnbc.com/msnbc/watch/leahy-grills-barr-about-prior-purposefully-misleading-statements-under-oath-1515528771705,11th Hour Meacham: Barr's decided his fate is better off with Trump than the rule of law 
Tom Brokaw recalls Nixon at Notre Dame,www.msnbc.com,msnbc.com,05-02-2019,2019,5,http://www.msnbc.com/morning-joe/watch/tom-brokaw-recalls-nixon-at-notre-dame-58709573516,"NBC News' Tom Brokaw shares his memories of visiting Notre Dame cathedral, including being present in 1974 for the memorial service French President Georges Pompidou, which Richard Nixon also attended as U.S. president. May 2, 2019"
"Trump admin had no way to link separated families, emails show",www.msnbc.com,msnbc.com,05-02-2019,2019,5,http://www.msnbc.com/morning-joe/watch/trump-admin-had-no-way-to-link-separated-families-emails-show-58712133608,"Emails obtained by NBC News show the Trump administration had 'no way to link' separated migrant children to parents despite claims from the WH it would reunite thousands of families. Jacob Soboroff discusses. May 2, 2019"
Rep. Eric Swalwell calls for impeachment of Attorney General William Barr,www.msnbc.com,msnbc.com,05-03-2019,2019,5,http://www.msnbc.com/andrea-mitchell-reports/watch/rep-eric-swalwell-calls-for-impeachment-of-attorney-general-william-barr-58715205671,"California Congressman and Democratic Presidential Candidate Eric Swalwell, who serves on the Judiciary Committee, joins Andrea Mitchell to discuss Attorney General Barr’s decision to not show up to testify before the House Judiciary Committee today. May 2, 2019"
"On Mueller report hearing, Barr, Graham failed to do their homework | MSNBC",www.msnbc.com,Steve Benen,05-02-2019,2019,5,http://www.msnbc.com/rachel-maddow-show/mueller-report-hearing-barr-graham-failed-do-their-homework,"By Steve Benen Senate Judiciary Committee Chairman Lindsey Graham (R-S.C.) did not do himself any favors with his role in yesterday’s hearing with Attorney General Bill Barr. As a Washington Post analysis made clear, the Republican senator “played pretty fast and loose with the facts.”
Indeed, the list of missteps wasn’t brief. Among other things, Graham repeated obvious factual errors on everything from “collusion” evidence to Robert Mueller’s intentions on obstruction allegations.
The Republican does, however, have an excuse, though it’s not an especially good one: Graham admitted he hasn’t read the Mueller report . It’s easy for a senator to say things that aren’t true about an investigation when he hasn’t bothered to familiarize himself with the details of the investigation’s findings.
By this reasoning, Graham wasn’t trying to deceive people with his bogus claims; he just didn’t know, in a rather literal sense, what he was talking about.
But this in turn got me thinking about what Graham and William Barr may have in common: maybe both have struggled because neither one has done enough reading.
Sen. Kamala Harris (D-Calif.) asked the attorney general yesterday whether he personally reviewed the underlying evidence, alleging presidential obstruction of justice.
BARR: No, we accepted the statements in the report as the factual record. We did not go underneath it to see whether or not they were accurately accepted as accurate. And made our–made our–
HARRIS: Accepted the report as the evidence?
BARR: Yes.
HARRIS: You did not question or look at the underlying evidence that supports the conclusions in the report?
BARR: No.
HARRIS: Did Mr. Rosenstein review the evidence that underlies and supports the conclusions in the report to your knowledge?
BARR: Not to my knowledge. We accepted the statements in the report–and characterization of the evidence as true.
HARRIS: Did anyone in your executive office review the evidence supporting the report?
BARR: No.
HARRIS: No. Yet you represented to the American public that the evidence was not ‘sufficient to support an obstruction of justice offense’?
It was a rough exchange for the attorney general, but it wasn’t the only one.
A separate Washington Post report added, in reference to yesterday’s hearing, “Barr admitted he hadn’t reviewed the evidence underlying Mueller’s findings on obstruction, he hadn’t looked at the evidence undergirding the origination of the probe into possible coordination and, at one point, even made a comment raising questions about his familiarity with one of the key issues at the heart of the probe.”
This whole process might be more productive if key players were willing to do their homework.
 , Justice Department , Lindsey Graham and Scandals"
New White House lawyer letter to Barr a 'blistering attack' on Mueller report,www.msnbc.com,msnbc.com,05-03-2019,2019,5,http://www.msnbc.com/velshi-ruhle/watch/new-white-house-lawyer-letter-to-barr-a-blistering-attack-on-mueller-report-58717765554,"In a new letter to AG Barr, White House lawyer Emmett Flood described the Mueller report as suffering from an ""extraordinary legal defect,"" and says that it ""deliberately fails to comply with the requirements of governing law."" May 2, 2019"
Emails: DHS had no way to link separated families,www.msnbc.com,"May 2, 2019",05-02-2019,2019,5,https://www.msnbc.com/all-in/watch/emails-dhs-had-no-way-to-link-separated-families-1515896899623,"Morning Joe Trump admin had no way to link separated families, emails show "
Trump admin had no way to link children to parents after separation,www.msnbc.com,"May 2, 2019",05-03-2019,2019,5,https://www.msnbc.com/velshi-ruhle/watch/trump-admin-had-no-way-to-link-children-to-parents-after-separation-58721861554,"Morning Joe Trump admin had no way to link separated families, emails show "
Chris Matthews: Trump is making a big mistake,www.msnbc.com,msnbc.com,05-03-2019,2019,5,http://www.msnbc.com/hardball/watch/chris-matthews-trump-is-making-a-big-mistake-58754117796,"Chris Matthews details how LBJ brought Nixon back into the political arena by attacking him years before the 1968 presidential race started. May 3, 2019"
Six full time staffers investigating Trump for House Intel Cmte,www.msnbc.com,"May 3, 2019",05-03-2019,2019,5,https://www.msnbc.com/rachel-maddow/watch/six-full-time-staffers-investigating-trump-for-house-intel-cmte-58765893813,11th Hour Is Trump making a mistake taking on Biden directly this early in the race? 
