title, publication, authors, date, year, month, url, content
Doctors warn of high pollen counts this allergy season,www.nbcnews.com,nbcnews.com,04-10-2019,2019,4,https://www.nbcnews.com/nightly-news/video/doctors-warn-of-high-pollen-counts-this-allergy-season-1484465219829,This year’s battle has already begun for 50 million Americans with nasal allergies. Doctors recommend getting allergy tests now so they know exactly what to treat.
Boeing shareholders file class-action lawsuit over 737 Max plane crashes,www.nbcnews.com,Reuters,04-10-2019,2019,4,https://www.nbcnews.com/news/us-news/boeing-shareholders-file-class-action-lawsuit-over-737-max-plane-n992796,"U.S. news Boeing shareholders file class-action lawsuit over 737 Max plane crashes The Chicago-based company faces many other lawsuits over the crashes, including from victims' families and participants in its employee retirement plans. A worker works next to a Boeing 737 MAX 9 airplane on the tarmac at the Boeing Renton Factory in Renton, Washington on March 12, 2019. Jason Redmond / AFP - Getty Images file Breaking News Emails Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings. SUBSCRIBE April 10, 2019, 12:43 AM GMT By Reuters Boeing's legal troubles grew Tuesday as a new lawsuit accused the company of defrauding shareholders by concealing safety deficiencies in its 737 MAX planes before two fatal crashes led to their worldwide grounding. The proposed class action filed in Chicago federal court seeks damages for alleged securities fraud violations, after Boeing's market value tumbled by $34 billion within two weeks of the March 10 crash of an Ethiopian Airlines 737 MAX. Chief Executive Dennis Muilenburg and Chief Financial Officer Gregory Smith were also named as defendants. Boeing spokesman Charles Bickers had no immediate comment. According to the complaint, Boeing ""effectively put profitability and growth ahead of airplane safety and honesty"" by rushing the 737 MAX to market to compete with Airbus SE, while leaving out ""extra"" or ""optional"" features designed to prevent the Ethiopian Airlines and Lion Air crashes. It also said Boeing's statements about its growth prospects and the 737 MAX were undermined by its alleged conflict of interest from retaining broad authority from federal regulators to assess the plane's safety. Richard Seeks, the lead plaintiff, said Boeing's compromises began to emerge after the Ethiopian Airlines crash killed all 157 onboard, five months after the Lion Air crash killed 189. Seeks said he bought 300 Boeing shares in early March, and sold them at a loss within the last two weeks. The lawsuit seeks damages for Boeing stock investors from Jan. 8 to March 21. Shareholders often file lawsuits accusing companies of securities fraud for concealing material negative information that causes the stock price to decline upon becoming public. Chicago-based Boeing faces many other lawsuits over the crashes, including by victims' families and by participants in its employee retirement plans. Boeing said on Tuesday that aircraft orders in the first quarter fell to 95 from 180 a year earlier, with no orders for the 737 MAX following the worldwide grounding. On April 5, it said it planned to cut monthly 737 production to 42 planes from 52, and was making progress on a 737 MAX software update to prevent further accidents. The case is Seeks v Boeing Co et al, U.S. District Court, Northern District of Illinois, No. 19-02394."
Netflix pulls Felicity Huffman movie from April schedule after guilty plea,www.nbcnews.com,Variety,04-10-2019,2019,4,https://www.nbcnews.com/news/us-news/netflix-pulls-felicity-huffman-movie-april-schedule-after-guilty-plea-n992786,"LOS ANGELES - Netflix has removed the Felicity Huffman comedy ""Otherhood"" from its schedule after the actress agreed to plead guilty for her role in the college admissions bribery scandal. Netflix told the Associated Press that it was delaying the release of the film but did specify a new premiere date. Reps for Netflix have not commented further.
""Otherhood,"" which had been set for release on April 26, was no longer searchable Tuesday on the streaming platform's press site. Huffman co-stars with Patricia Arquette and Angela Bassett in a trio of suburban mothers who show up unannounced at the New York City homes of their sons. ""Otherhood"" is directed by Cindy Chupack from a screenplay she wrote with Mark Andrus, based on the novel ""Whatever Makes You Happy"" by William Sutcliffe.
The U.S. Attorney's Office announced on Monday that Huffman and a dozen other parents will plead guilty in the college admissions scandal. Huffman was charged with one count of conspiracy to commit mail fraud. According to the criminal complaint, she paid $15,000 to admissions consultant William Singer in order to boost her older daughter's SAT score. The Emmy winner and Oscar nominee was arrested March 12.
""I am in full acceptance of my guilt, and with deep regret and shame over what I have done, I accept full responsibility for my actions and will accept the consequences that stem from those actions,"" Huffman said in a statement Monday.
""I am ashamed of the pain I have caused my daughter, my family, my friends, my colleagues and the educational community. I want to apologize to them and, especially, I want to apologize to the students who work hard every day to get into college, and to their parents who make tremendous sacrifices to support their children and do so honestly.""
Huffman plays a prosecutor in another Netflix project, Ava DuVernay's Central Park Five miniseries ""When They See Us."" According to Netflix's press site, that project will premiere May 31."
Senator John Kennedy (R-LA) disappointed with outgoing treatment of Secretary Kristjen Nielsen,www.nbcnews.com,nbcnews.com,04-10-2019,2019,4,https://www.nbcnews.com/video/senator-john-kennedy-r-la-disappointed-with-outgoing-treatment-of-secretary-kristjen-nielsen-1484600387971,"Sen John Kennedy (R-LA), a member of the Senate Judiciary Committee, says he’s disappointed with the way that anonymous White House officials have treated outgoing Secretary Kristjen Nielsen."
NRA backs suit over Pittsburgh gun laws passed in wake of synagogue attack,www.nbcnews.com,Associated Press,04-10-2019,2019,4,https://www.nbcnews.com/news/us-news/nra-backs-suit-over-pittsburgh-gun-laws-passed-wake-synagogue-n992781,"U.S. news NRA backs suit over Pittsburgh gun laws passed in wake of synagogue attack ""All it will do is leave law-abiding citizens more vulnerable to attack from better-armed and more ruthless assailants,"" one suit challenging the laws says. Leigh Stein, daughter of victim Dan Stein, wipes away tears as Pittsburgh Mayor Bill Peduto signs three gun-control bills into law on April 9, 2019. Steph Chambers / Pittsburgh Post-Gazette via AP Breaking News Emails Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings. SUBSCRIBE April 9, 2019, 11:54 PM GMT / Updated April 10, 2019, 12:22 AM GMT By Associated Press PITTSBURGH — Gun rights groups sued Tuesday to block Pittsburgh from enforcing firearms legislation passed after a mass shooting at a synagogue, accusing city officials of blatantly defying the state's prohibition on municipal gun regulation. Democratic Mayor Bill Peduto signed the bills into law in a ceremony at the City-County Building, declaring the community had come together ""to say enough is enough."" City officials said they had to act because the Republican-controlled Pennsylvania Legislature — which is planning to hold a memorial service for the victims this week — will not. ""We are going to take some action, we are going to do something positive and, yes, it is going to be everlasting,"" said Peduto, surrounded by gun-control advocates and members of three congregations that were targeted in the shooting rampage at Tree of Life Synagogue. ""Change only happens when you challenge the status quo."" Minutes later, a coalition of gun rights groups sued to get the newly minted laws overturned, calling them ""patently unenforceable, unconstitutional, illegal."" Shortly after that, a second lawsuit, this one backed by the National Rifle Association , declared that ""Pittsburgh has violated the rights of its citizens."" ""Worse yet, Pittsburgh has committed this violation without any realistic prospect of diminishing the ... incidence of horrific mass shootings,"" said the suit, filed by four city residents. ""All it will do is leave law-abiding citizens more vulnerable to attack from better-armed and more ruthless assailants."" The new legislation restricts military-style assault weapons like the AR-15 rifle authorities say was used in the Oct. 27 massacre that killed 11 and wounded seven. It also bans most uses of armor-piercing ammunition and high-capacity magazines and allows the temporary seizure of guns from people who are determined to be a danger to themselves or others. The first two laws are due to take effect in 60 days, the imminent-danger law in 180 days. Breaking: Pgh Mayor signs gun control legislation #wpxi pic.twitter.com/hczIP1jrlZ — Rick Earle (@WPXIRickEarle) April 9, 2019 Whether the city will be able to enforce them is an open question. State law has long prohibited municipalities from regulating the ownership or possession of guns or ammunition, and courts have thrown out other local firearms measures, including a 1990s-era assault weapons ban in Pittsburgh. But city leaders said they were eager to take on the fight, given the Legislature's traditional reluctance to pass gun legislation. ""This fantasy that somehow the state is going to step up and help us is simply not going to happen,"" said Council President Bruce Kraus. The bill signing took place as state lawmakers prepared to come together for a memorial service for the Tree of Life victims. The unusual joint session at the Capitol in Harrisburg on Wednesday will bring together the House and Senate for prayers and speeches about the attack. Peduto's spokesman said the timing was coincidental. The Pittsburgh bills — proposed not long after the deadliest attack on Jews in U.S. history — were weakened ahead of City Council passage in an effort to make them more likely to survive a court challenge. While one of the bills originally included an outright ban on assault weapons, the revised measure bars the ""use"" of assault weapons in public places. A menorah at a memorial outside the Tree of Life Synagogue on the first night of Hanukkah in Pittsburgh on Dec. 2, 2018. Gene J. Puskar / AP A full ban on possession would take effect only if state lawmakers or the state Supreme Court give municipalities the right to regulate guns, which is seen as unlikely in a state where a majority of legislators are fiercely protective of gun rights. The city will be represented in court by lawyers with Everytown for Gun Safety, a group backed by billionaire Michael Bloomberg. In another legal filing Tuesday, the Allegheny County Sportsmen's League asked a judge to hold the city, Peduto and six council members who voted for the gun-control legislation in contempt of court, contending they violated a 1995 legal settlement in which city officials dropped the earlier effort to ban assault weapons and agreed to ""abide by and adhere to Pennsylvania law."" ""It is unfortunate that ... taxpayers will be burdened by the city's elected officials believing it is acceptable — and even gloating — that they are violating the Pennsylvania Constitution and Crimes Code,"" Joshua Prince, a lawyer seeking to overturn the laws, wrote in a statement."
Oregon woman lived to 99 with most organs on wrong side of body,www.nbcnews.com,,04-10-2019,2019,4,https://www.nbcnews.com/news/us-news/oregon-woman-lived-99-most-organs-wrong-side-body-n992801,"SALEM, Ore. — Rose Marie Bentley was an avid swimmer, raised five kids, helped her husband run a feed store, and lived to the ripe age of 99. It was only a year after she died, in 2017, that students and their teacher at a medical school discovered that all her internal organs except for her heart were in the wrong place. The discovery of the rare condition, which this week was presented to a conference of anatomists, was astounding, especially because Walker had lived so long. People with the condition known as situs inversus with levocardia often have life-threatening cardiac ailments and other abnormalities, according to Oregon Health & Science University.
Cameron Walker's class at the university in Portland was examining the heart of a cadaver last year when they noticed the blood vessels were different. When they opened the abdominal cavity, they saw that all the other organs were on the wrong side.
In a telephone interview Tuesday, Walker described his reaction to the find.
""Definitely a mix of curiosity, fascination and a sense of wanting to explore a little bit of a medical mystery — a medical marvel really — that was in front of us,"" Walker told The Associated Press. ""And I would say the students felt something very similar.""
Bentley's family had not known about the condition that OHSU says occurs only once in every 22,000 births. Apparently Bentley didn't either.
Bentley, who lived in Molalla, 25 miles (40 kilometers) south of Portland, had led a normal life. Her only recurrent physical complaint was arthritis, her daughter Louise Allee remembered.
But there were signs.
When Bentley was in her 50s, she underwent a hysterectomy, and the doctor also wanted to remove the appendix. But he couldn't find it, Allee said in a phone interview.
When Bentley had her gallbladder removed at least a decade later, it was on the opposite side of where it should have been, she said.
""No one said a thing,"" Allee said. ""I was surprised. This was before they did it with a scope, and she had a good-sized incision. You'd think they would have said something, but they didn't.""
Walker had agreed to donate her body to OHSU, Oregon's only academic health center. The first sign for the students there that Walker's anatomy was unusual was when they were examining the area around her heart.
""They were noticing that the blood vessels were different there and called us over, and instead of telling them that they were blind I decided we would take look and try to figure out what the anomaly was,"" said Walker, an assistant professor of anatomy.
""And It wasn't completely clear until we went into the abdominal cavity ... that her organs were transposed left to right,"" Walker said.
The unusual blood vessels near the heart had helped compensate for the condition.
Walker on Monday gave a poster presentation about the discovery at an annual meeting of the American Association of Anatomists, in Orlando, Florida, on experimental biology.
""This is an important case that really gave us an opportunity to talk about the importance of future clinicians paying attention to subtle anatomic variations, not just large anatomic variations, in terms of addressing their future patients as individuals,"" Walker said. ""Don't judge a book by its cover, and always check and see what you've got before you talk about care.""
He has researched how old people with the condition have lived, and he found no one documented cases in which a person lived beyond age 73. Bentley surpassed that by 26 years.
Allee said her mother would have been delighted that the donation of her body led to a learning experience.
""She would have been tickled to know she could educate with something unusual,"" Allee said. ""Dad would have loved to know about it so he could tease her.""
Her husband, James, died about 15 years ago."
5 ways to Marie Kondo your financial life,www.nbcnews.com,,04-09-2019,2019,4,https://www.nbcnews.com/know-your-value/feature/5-ways-marie-kondo-your-financial-life-ncna992201,"Out of Office 5 ways to Marie Kondo your financial life The tidying expert and bestselling author spoke to Know Your Value about how you can apply her principles to money management. Organizational expert Marie Kondo. KonMari Media, Inc. Share this — April 8, 2019, 8:58 PM ET By Renee Morad Marie Kondo’s principles of tidying aren’t just for your closets, dressers and cabinets. According to the Japanese decluttering expert, the same method can be applied to your finances as well. “Fewer items does not make everyone happier; it’s about finding the balance of items that makes you feel the most comfortable — and the same thing applies to your wealth,” the bestselling author and star of Netflix’s hit show “Tidying Up with Marie Kondo,” told NBC’s Know Your Value in an email. “What is important is to foster an awareness of what you need — and to make a plan to get there.” For the implausibly unfamiliar, the KonMari method revolves around discarding personal items that no longer spark joy. With finances, there is also some discarding and careful categorizing, but of dreams, rather than objects. Here are Kondo’s top five tips: 1. Create a financial plan “The same general principle of committing time to creating a plan definitely applies!” Kondo said. “If you procrastinate, you’ll never get around to it.” Having a financial plan might seem obvious. But only one in four Americans have written one, according to the Schwab Modern Wealth Index . Those who take the time to map it out are more likely to practice other positive financial behaviors, like saving money regularly and managing debt, according to the index. “When creating a financial plan, you want to think about how you want to live your life, whether you want to, say, buy a house in the next five years or save up for retirement,” Cynthia Loh, vice president of digital advice and innovation for Charles Schwab, told Know Your Value. View this graphic on nbcnews.com 2. Imagine what you want your life to look like “Imagining your ideal life serves as your motivation and clarifies your goals before you tidy,” said Kondo. “Similarly, imagining your ideal financial life allows you to see the gap between what you have now and what you’d like to obtain in the future.” Kondo added, “this practice will clarify your next, actionable steps.” You’ll want to evaluate how you want to live your life and ensure your partner or family is on the same page. Consider milestones such as whether you want to retire at, say, age 55 or 65, where you’d like to live and the costs associated with that lifestyle, Loh said. 3. Prioritize what you want to save and invest — and in what order Kondo stressed the importance of saving and investing. “Think of your top priority and where other financial priorities rank in your list of short and long-term goals,” Loh suggested. Don’t know how to start investing? You’re not alone. Over half of Americans say they want to spend more time investing but don’t know where to begin, according to a Schwab Consumer Digital Demands Report . Schwab recommends eight savings fundamentals . Your first priority should be matching your employer’s 401(k) contribution, followed by accelerating credit card payments. Next, focus on building an emergency fund and maximizing savings to tax-advantaged retirement accounts. Saving for your child’s education and a down payment on a home could follow. Then, you might want to prioritize paying off other debt and investing. 4. Discard spending habits that don’t spark joy “My method of tidying is focused on what to keep in life – and letting the rest go with gratitude,” said Kondo. “After tidying the home, many of my clients say that the ability to identify what sparks joy for them can be applied to other areas of their lives as well.” Her popular method encourages tidying by category (not by location) beginning with clothes, then moving on to books, papers, miscellaneous items and, finally, sentimental items. “Keep only those things that speak to the heart, and discard items that no longer spark joy,” Kondo wrote. “This practice allows you to identify what brings you joy, which is especially important when considering how you spend your money–what you’re saving for, how much money is needed and so on.” “After tidying, my clients are more mindful about what they purchase, and they avoid buying in excess,” Kondo added. “I do believe it is important to use this self-awareness to guide your spending habits and let go of any tendencies or habits that are hindering you from meeting your financial goals (and your ideal lifestyle, overall).” Small steps can go a long way. Take a closer look at your spending habits and discard certain habits (like buying lunch out on a regular basis) that might not serve your long-term goals, Loh recommended. 5. Categorize your dreams Also, consider categorizing your dreams by setting short- and long-term goals. This means weighing important decisions like saving for an annual family vacation or spreading your vacations out every few years so you can save up for something else, like a Florida home when you retire. “Some people find it helpful to categorize their goals while others don’t; it all depends on the person,” Kondo wrote. “Give it a try and see if it fits you.” MORE FROM "
Former CBS News correspondent Lara Logan adds to Sinclair Broadcasting's national ambitions,www.nbcnews.com,Claire Atkinson,04-10-2019,2019,4,https://www.nbcnews.com/news/all/former-cbs-news-correspondent-lara-logan-adds-sinclair-broadcasting-s-n992766,"News Former CBS News correspondent Lara Logan adds to Sinclair Broadcasting's national ambitions Logan’s hiring adds to recent moves by Sinclair that hint at the company’s national news ambitions outside of the journalism produced by its local TV stations. Lara Logan seen on day one of Summit LA18 in Downtown Los Angeles on Nov. 2, 2018, in Los Angeles. Amy Harris / Invision/AP file Breaking News Emails Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings. SUBSCRIBE April 9, 2019, 11:25 PM GMT By Claire Atkinson Former CBS News journalist Lara Logan is headed to the U.S.-Mexico border as a special correspondent for Sinclair Broadcast Group, the local TV giant that owns or operates more than 190 broadcast stations. Logan, who was most recently a correspondent for “60 Minutes,” will start a three-month assignment on May 1, with Sinclair’s local stations set to air her reporting. Logan, who won numerous national journalism awards for her coverage from international war zones, told NBC News she would be covering some of the untold stories involving immigrants and people living on both sides of the border, as well as the impact of the drug cartels operating in the area. “Everybody who is down there, all they talk about is the cartels,” Logan said. “Why is that not a much bigger part of the conversation?” Logan’s hiring adds to recent moves by Sinclair that hint at the company’s national news ambitions outside of the journalism produced by its local TV stations. Sinclair recently launched a weekly national news program, “ America This Week ,” led by former Fox News host Eric Bolling, and hired investigative journalist James Rosen, who had previously worked for Fox News. Boris Epshteyn and Sebastian Gorka, both former advisers to President Donald Trump, also appear on air for Sinclair. The company also added former Obama campaign staffer Ameshia Cross as a left-leaning commentator. Sinclair’s sizable reach into American homes through local TV news has caused alarm among liberal media watchdogs that have pointed to the company’s practice of pushing its affiliates to air “ must run ” segments with a conservative slant. A spokesperson for Sinclair said Logan’s segments would are on all its stations. Logan has emerged in recent months as a vocal critic of the national media over its coverage of the Trump administration, appearing several times on Fox News in the past few weeks to discuss media bias and pointing to a lack of coverage of immigrant detainment under the Obama administration as evidence of a double standard. Logan, who is also is in the midst of writing a book about her life and career, told NBC News that she agrees with the perception that the media has a liberal bias . “I dismissed people in conservative media as being crazy alt-right Nazis and that’s part of the propaganda,” Logan said. “Any outside view threatens the one dominant narrative that’s allowed. That’s what I’m standing up against.” Claire Atkinson"
Alabama passes budget with funding to address state's prison violence problem,www.nbcnews.com,Associated Press,04-10-2019,2019,4,https://www.nbcnews.com/news/us-news/alabama-passes-budget-funding-address-state-s-prison-violence-problem-n992806,"MONTGOMERY, Ala. — Alabama representatives on Tuesday approved a budget that provides money for 500 additional corrections officers as the state seeks to stave off a lawsuit from the Department of Justice over prison violence. The House of Representatives voted 103-0 for a general fund budget that includes funding for more officers as well as money to boost officer pay. The spending plan now moves to the Alabama Senate.
""This is a first step. It's part of the plan. It certainly won't be all of the plan to try to address these issues,"" said Republican Rep. Steve Clouse, who chairs the House Ways and Means Committee.
Clouse said much of a $40 million funding increase for the Department of Corrections is for the 500 additional officers and to boost pay by 20 percent to entice more people to work in state prisons.
The Department of Justice last week said Alabama is v iolating the Constitution by failing to protect inmates from violence and sexual abuse and by housing them in understaffed and overcrowded facilities. The department gave the state 49 days to respond or risk a federal lawsuit.
The state prison system, already facing a federal court directive to increase staff, had requested the money in January, but Clouse said the Justice Department report added increased urgency to the request. The department has indicated it plans to make the same request in subsequent years.
Gov. Kay Ivey last week said that the Justice Department identified many of the same concerns the state already has been working to address.
""This is just reinforcing the need we've been seeing all along. This is an Alabama problem. It's got to have an Alabama solution and we'll be addressing that in fast order,"" Ivey said.
Prisoners stand in a crowded lunch line during a prison tour at Elmore Correctional Facility in Elmore, Ala on June 18, 2015. Brynn Anderson / AP file While the House passed the budget without a dissenting vote, some Democrats used the debate time to question Ivey's proposal to build, or lease, three new large mega-prisons, housing about 3,000 inmates each. Most existing prisons would close.
While nothing has been finalized, the Alabama Department of Corrections is currently seeking ""expressions of interest"" from companies to build the three prisons and lease them back to the state for a maximum of $78 million annually. The deadline to respond is Thursday.
""Studies across the country have shown that mega-prisons are not the way to go,"" said Rep. Chris England, a Democrat from Tuscaloosa.
Some lawmakers noted that leasing the prisons would obligate the state to make lease payments without requiring legislative approval as a bond issue for construction would.
A prison system spokesman said the prison plan will be a collaborative effort with lawmakers and the request for industry proposals will help the state make an informed decision on the ""appropriate path forward.""
Clouse told reporters he wants to continue to gather information about the proposal.
""We've got to see what the costs are,"" he said.
A group representing inmates in an ongoing lawsuit over mental health care said the state needs to be more aggressive in responding to the Justice Department's concerns.
Ebony Howard, a senior supervising attorney with the Southern Poverty Law Center, said 500 officers is a ""wholly inadequate"" number. She cited a federal judge's order in an ongoing lawsuit over prison mental health care saying the state should hire 2,200 correctional officers by 2022.
""Governor Ivey has long said that the prison crisis is an Alabama problem that should have an Alabama solution. Well, the Department of Justice has made it very clear that time has passed,"" Howard said.
In a letter to the governor, the organization suggests that Alabama more than double the funding request to add 1,100 officers this year and again next year; implement sentencing reform; and replace the two worst state prisons, including Holman prison in Atmore.
Lawmakers applauded after approving the general fund budget, but Rep. John Rogers, a Democrat from Birmingham, said the money is inadequate to resolve the problems at state prisons.
""We should have been crying,"" Rogers said.
Associated Press"
Attorney for ex-Minneapolis officer who killed Justine Damond says he feared ambush,www.nbcnews.com,Associated Press,04-10-2019,2019,4,https://www.nbcnews.com/news/us-news/attorney-ex-minneapolis-officer-who-killed-justine-damond-says-he-n992791,"MINNEAPOLIS — A Minneapolis police officer who shot and killed an unarmed woman as she approached his squad car after calling 911 to report a possible crime was reacting to a loud noise and feared an ambush, his attorney said Tuesday, calling it ""a perfect storm with tragic consequences."" Mohamed Noor, charged with murder and manslaughter in the 2017 death of Justine Ruszczyk Damond, and his partner were rolling down a dark alley in response to Damond's 911 calls about a possible sexual assault when a bicyclist appeared in front of them and they heard ""a bang,"" defense attorney Peter Wold said in his opening statement at Noor's trial.
""It is the next split second that this case is all about,"" Wold said.
Noor fired a single shot, killing Damond, a 40-year-old dual citizen of the U.S. and Australia whose death rocked both countries and led to changes in the Minneapolis Police Department. The shooting came just two weeks after an officer in New York was ambushed and killed in a parked vehicle.
Attorneys for Noor, who was fired after being charged in the case and has never talked to investigators about what happened, argue that he used reasonable force to defend himself and his partner from a perceived threat. But prosecutors say there is no evidence he faced a threat that justified deadly force
Prosecutor Patrick Lofton, in his opening statement, questioned a statement from Noor's partner, Matthew Harrity, that he heard a thump right before the shooting. Lofton said Harrity never said anything at the scene about such a noise, instead mentioning it for the first time some days later in an interview with investigators.
Lofton also said investigators found no forensic evidence to show that Damond had touched the squad car before she was shot, an assertion that seemed aimed at the possibility that she had slapped or hit it upon approaching the officers.
Lofton also wondered why other officers responding to the scene didn't consistently have their cameras switched on. The officers did not turn on their body cameras until after the shooting, and there was no squad car video. Lofton noted that a sergeant taking statements had her camera on when she talked to Harrity, but off when she talked to Noor.
""We'll never hear what Noor said,"" he said.
Justine Damond Stephen Govel Photography Damond was a life coach who had been engaged to be married in just a month's time. Noor, 33, is a Somali American whose arrival on the force just a couple of years earlier had been trumpeted by city leaders working to diversify the police force.
Damond called 911 twice, then called her fiance and hung up when police arrived, Lofton said. One minute and 19 seconds later, Damond was cradling a gunshot wound to her abdomen and saying, ""I'm dying,"" Lofton added.
Minnesota law allows police officers to use deadly force to protect themselves or their partners from death or great bodily harm. Prosecutors charged Noor with second-degree intentional murder, third-degree murder and second-degree manslaughter.
Damond's fiance, Don Damond, was the first witness for prosecutors. Damond sobbed as he described calls from investigators the night of Justine's death, saying he wasn't told an officer had shot her until a second phone call.
Damond said calling her family members in Australia was ""painful, and traumatic, and the worst phone call I've ever had to make in my life."" Members of Justine's from Australia, including her father, stepmother, brother and sister-in-law, were in the courtroom Tuesday and could be heard crying as Damond testified.
Justine Damond had taken her fiance's name professionally before their marriage.
Former Minneapolis Police officer Mohamed Noor arrives with his lawyers for the beginning of his trial on April 1, 2019 in Minneapolis. Stephen Maturen / Getty Images file Earlier Tuesday, Hennepin County District Judge Kathryn Quaintance relented on restrictions that would have prevented the public and media from viewing video evidence introduced in the case. That's expected to include body-camera video that shows efforts to save Damond. Quaintance had cited a desire to protect Damond's privacy, but a coalition of media groups including The Associated Press had challenged the ban.
""The court, like the jury, must follow the law — even if I disagree with it,"" said Quaintance.
Noor's attorneys haven't said whether he will testify. If he does, prosecutors may be able to introduce some evidence that the defense wanted to keep out of the state's case, including that he has refused to talk to investigators. They also could bring up a 2015 psychological test that showed Noor disliked being around people and had difficulty confronting others. Despite that test, a psychiatrist found him fit to be a cadet officer.
The shooting raised questions about Noor's training. The police chief defended Noor's training, but the chief was forced to resign days later. The shooting also led to changes in the department's policy on use of body cameras.
Associated Press"
