"title, publication, authors, date, year, month, url, content"
Sri Lanka attack: Internet shutdowns more common than you think,www.nbcnews.com,admin,04-22-2019,2019,4,https://www.nbcnews.com/news/world/sri-lanka-attack-internet-shutdowns-are-more-common-you-think-n997301?cid=public-rss_20190423, Sri Lanka attack: Internet shutdowns more common than you think Sri Lanka attack: Internet shutdowns more common than you think
"House Democratic leaders push investigations of Trump, not impeachment",www.nbcnews.com,admin,04-22-2019,2019,4,https://www.nbcnews.com/politics/congress/pelosi-holding-conference-call-house-dems-discuss-next-steps-after-n997216?cid=public-rss_20190423," House Democratic leaders push investigations of Trump, not impeachment House Democratic leaders push investigations of Trump, not impeachment"
Supreme Court to rule whether civil rights law bans discrimination against LGBTQ employees,www.nbcnews.com,admin,04-22-2019,2019,4,https://www.nbcnews.com/politics/supreme-court/supreme-court-rule-whether-civil-right-law-bans-discrimination-against-n996996?cid=public-rss_20190423, Supreme Court to rule whether civil rights law bans discrimination against LGBTQ employees Supreme Court to rule whether civil rights law bans discrimination against LGBTQ employees
Six people killed in Texas plane crash,www.nbcnews.com,admin,04-22-2019,2019,4,https://www.nbcnews.com/news/us-news/six-people-killed-texas-plane-crash-n997191?cid=public-rss_20190423, Six people killed in Texas plane crash Six people killed in Texas plane crash
5th-grader from prestigious D.C. school among victims in Sri Lanka bombings,www.nbcnews.com,admin,04-22-2019,2019,4,https://www.nbcnews.com/news/us-news/5th-grader-prestigious-washington-d-c-school-among-victims-sri-n997291?cid=public-rss_20190423, 5th-grader from prestigious D.C. school among victims in Sri Lanka bombings 5th-grader from prestigious D.C. school among victims in Sri Lanka bombings
"Sanders releases internal poll showing lead over Trump in PA, WI and MI - NBC News",www.nbcnews.com,msn.com,04-23-2019,2019,4,https://www.nbcnews.com/card/sanders-releases-internal-poll-showing-lead-over-trump-pa-wi-n997281,"Vermont Independent Sen. Bernie Sanders' campaign is releasing new internal polling that shows him leading President Donald Trump in hypothetical matchups in Michigan, Wisconsin and Pennsylvania.""> <meta property=""fb:app_id"" content=""10150138890205613"
"Chalking tires to enforce parking rules is unconstitutional, court finds",www.nbcnews.com,Alex Johnson,04-23-2019,2019,4,https://www.nbcnews.com/news/us-news/chalking-tires-enforce-parking-rules-unconstitutional-court-finds-n997326,"U.S. news Chalking tires to enforce parking rules is unconstitutional, court finds Marking your tires with chalk is trespassing, not law enforcement, the federal appeals panel said in a Michigan case. A traffic enforcement officer chalks tires while walking the streets of Historic Old Town Arvada, Colorado, in August 2014. Kent Nishimura / Denver Post via Getty Images file Breaking News Emails Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings. SUBSCRIBE April 23, 2019, 1:24 AM UTC / Updated April 23, 2019, 9:19 PM UTC By Alex Johnson That parking officer who swipes a chalk mark on your tire to keep track of how long you've been parked is violating the Constitution, a federal appeals court panel found Monday. A three-judge panel of the 6th U.S. Circuit Court of Appeals in Cincinnati reinstated a 2017 case brought by Alison Taylor, who was issued 15 parking tickets in three years in Saginaw, Michigan, by the same parking enforcement officer, who's described in the suit as the city's ""most prolific issuer of parking tickets."" Taylor argued that marking tires with chalk constituted an unreasonable search under the Fourth Amendment to the Constitution. But a U.S. district judge in Michigan dismissed the suit in 2017, writing that even if chalking a tire is a search, it's a reasonable one, because a piece of chalk isn't an ""information-gathering device"" that could violate Taylor's privacy, like a GPS tracker, for example. Download the NBC News app for breaking news The appeals panel Monday agreed that chalking a tire is a search. But the judges disagreed that it was a reasonable search. U.S. Circuit Judge Bernice Bouie Donald wrote that when drivers pull into parking spaces, ""the city commences its search on vehicles that are parked legally, without probable cause or even so much as 'individualized suspicion of wrongdoing' — the touchstone of the reasonableness standard."" Moreover, overstaying your welcome at a parking space doesn't cause ""injury or ongoing harm to the community,"" she wrote, meaning the city is wrong to argue that parking enforcement is part of its ""community caretaking"" responsibility, potentially justifying a search without a warrant. In fact, she wrote, ""there has been a trespass in this case because the City made intentional physical contact with Taylor's vehicle."" One More Thing: Parking authorities marking car tires with chalk ruled unconstitutional April 23, 2019 01:22 While Saginaw is entitled to regulate public parking, ""the manner in which it chooses to do so is not without constitutional limitation,"" Donald wrote. Orin Kerr, a law professor at the University of Southern California, tweeted one suggestion: Take a picture of the car or its tires without ""trespassing"" on it with chalk. Third, and finally, seems easy enough these days for parking enforcers to just take a photo of the car, or even just a close-up photo of the tire, rather than chalk it. That way parking enforcement can learn the placement of the car w/o physically marking it. No 4A issues then. — Orin Kerr (@OrinKerr) April 22, 2019 Monday's ruling sends the lawsuit back to U.S. District Court in Bay City, Michigan. "
Washington state lawmaker blasted for saying some nurses ‘probably play cards’ at work,www.nbcnews.com,admin,04-23-2019,2019,4,https://www.nbcnews.com/news/us-news/washington-state-lawmaker-blasted-saying-some-nurses-probably-play-cards-n997241?cid=public-rss_20190423, Washington state lawmaker blasted for saying some nurses ‘probably play cards’ at work Washington state lawmaker blasted for saying some nurses ‘probably play cards’ at work
‘Hiding in plain sight': Man sought in murder of teen girls has close community ties,www.nbcnews.com,admin,04-22-2019,2019,4,https://www.nbcnews.com/news/us-news/delphi-indiana-murders-suspect-death-teens-has-close-connections-small-n997036?cid=public-rss_20190423, ‘Hiding in plain sight': Man sought in murder of teen girls has close community ties ‘Hiding in plain sight': Man sought in murder of teen girls has close community ties
Samsung delays Galaxy Fold phone launch over screen problems,www.nbcnews.com,Reuters,04-23-2019,2019,4,https://www.nbcnews.com/news/us-news/samsung-delays-galaxy-fold-phone-launch-over-screen-problems-n997321,"Samsung Electronics Co said on Monday it would delay the retail launch of its Galaxy Fold smartphone for an unspecified period of time after reviewers discovered problems with the display, a hit to the reputation of the world's largest handset maker. Last week, reviewers started posting problems with the device on Twitter, but as of Friday the company did not know the root cause of the screen defects, according to Patrick Moorhead, founder of Moor Insights & Strategy, who said he was in direct contact with the company.
About 50 units of the $1,980 foldable device had been sent for review to journalists, analysts and bloggers in the United States ahead of a planned April 26 launch, Moorhead said.
The Samsung Galaxy Fold smartphone is seen during a media preview event in London on April 16, 2019. Kelvin Chan / AP file It was not immediately clear how many of the devices were defective. Four units sent to journalists and a YouTube personality contained problems, according to their posts on Twitter.
Samsung declined comment beyond a prepared statement.
""To fully evaluate this feedback and run further internal tests, we have decided to delay the release of the Galaxy Fold. We plan to announce the release date in the coming weeks,"" a Samsung spokesperson said on Monday.
Samsung also postponed media events for the device planned for this week in Hong Kong and Shanghai.
While Samsung has not said how long the delay could be or whether production of the unit has halted completely, some analysts said the delay was minor compared to the massive recall and production halt that the company endured with its Galaxy Note 7 in 2016.
""It's certainly an embarrassment to Samsung's reputation but this won't have much financial impact on them since they created a whole new category of foldables with this product. There is no market share to lose,"" said Moorhead, who added that his test version of the phone was working without any issues.
Instead of plaudits ahead of the phone's planned launch, the South Korean conglomerate has been blighted by a handful of technology journalists reporting breaks, bulges and blinking screens.
Samsung said initial findings showed that the issues could be associated with impact on exposed areas of the hinges. It also said there were instances where substances found inside the device affected the display performance.
Wayne Lam, an analyst with IHS Markit, predicted the issue would likely be resolved within a month.
""We all know that Samsung has a technology that works. It's likely that this glitch is a problem with mass production and the failure is just in the single digit percentage,"" he said.
Samsung has hailed the folding design as the future in a field that has seen few surprises since Apple Inc's iPhone in 2007. Chinese rival Huawei Technologies Co Ltd has also announced a folding handset, the Mate X.
Samsung was initially planning to begin South Korean and European sales of the unit in May and Chinese sales from an undisclosed date.
AT&T, one of Samsung's U.S. launch partners for the Galaxy Fold, said the carrier was working to communicate with customers who pre-ordered the device as soon as possible. AT&T did not disclose the number of pre-orders.
Reuters"
Lawmaker apologizes for nurses 'probably play cards' during work comment,www.nbcnews.com,nbcnews.com,04-23-2019,2019,4,https://www.nbcnews.com/video/lawmaker-apologizes-for-nurses-probably-play-cards-during-work-comment-1502613059875,"Washington state Senator Maureen Walsh apologized for the remark about nurses playing cards, and said the comment was taken out of context."
Nightly News Full Broadcast (April 22nd),www.nbcnews.com,nbcnews.com,04-23-2019,2019,4,https://www.nbcnews.com/nightly-news-netcast/video/nightly-news-full-broadcast-april-22nd-1502632515889,"Islamist group blamed for Easter terror attacks as death toll climbs to nearly 300, President Trump ‘not even a little bit’ worried about impeachment, and FBI arrests member of armed group stopping migrants in New Mexico."
Sacramento Kings coach Luke Walton accused of sexual assault,www.nbcnews.com,msn.com,04-23-2019,2019,4,https://www.nbcnews.com/news/us-news/sacramento-kings-coach-luke-walton-accused-sexual-assault-n997346,"Luke Walton is being sued by a sports reporter who says the NBA coach sexually assaulted her, according to a court document filed Monday in Los Angeles Superior Court. The suit, which was first reported by TMZ, alleges that Walton groped and forcibly kissed the reporter, Kelli Tennant, in a Santa Monica hotel room on an unspecified date.
The Sacramento Kings coach, a former Los Angeles Lakers forward who won two championships with the team, previously served as assistant coach with the Golden State Warriors and head coach with the Lakers beginning in 2016.
Though the suit does not specify the date of the alleged assault, it indicates it happened while Walton was an assistant coach for the Warriors, a position he took beginning in the 2014-2015 season.
He was named the Kings new coach April 14.
Mark Baute, Walton's lawyer, said on Tuesday that Tennant's claim is ""baseless.""
""The accuser is an opportunist, not a victim, and her claim is not credible. We intend to prove this in a courtroom,"" Baute said in a statement.
The Kings said it was aware of the accusations.
""We are aware of the report and are gathering additional information. We have no further comment at this time,"" the team said Monday night.
The Lakers said the alleged incident occurred before Walton was the team's coach.
""At no time before or during his employment here was this allegation reported to the Lakers,"" a statement from the team said. ""If it had been, we would have immediately commenced an investigation and notified the NBA.""
The lawsuit alleges that Walton pinned Tennant — a former host of SportsNet LA — on the bed of his hotel room after she dropped off a book she'd written for student-athletes. Walton, who Tennant had known for years and considered a ""trusted mentor and colleague,"" had written the book's forward, according to the complaint, which claims sexual assault and battery.
Walton allegedly groped, forcefully kissed and held down Tennant, the complaint alleges.
""Terrified, Ms. Tennant immediately yelled 'Stop it,' and tried to free herself,"" the document says.
Tennant said Tuesday at a news conference with her lawyers that she was no longer comfortable staying silent.
""Out of nowhere, he got on top of me, and pinned me down to the bed, and held my arms down with all of his weight,"" Tennant said. ""He kissed my neck and my face and chest. And as I asked him to please stop and get off, he laughed at me.""
Walton allegedly continued to kiss her while she was pinned, Tennant said.
""And he continued to laugh at all of my pleas to get off and to stop,"" she said. ""I thought he was going to rape me.""
Tennant told ""certain people"" about the alleged assault, the suit states, but did not publicly report it because of her role as a sports broadcaster who covered the Lakers.
She said Tuesday that she was grateful that Walton was not based in Los Angeles, but that changed in 2016 after he was hired onto the Lakers.
Tennant said that Walton continued to make her uncomfortable at events where they were both attendees, including one for a charity she was on the board of.
""I had to moderate a panel with him and talk about how amazing he was for an hour,"" Tennant said. ""And it literally killed me inside.""
The suit was filed Monday but there is no indication of whether it has yet been served. It does not specify damages.
""By this lawsuit, Ms. Tennant speaks up and says #timesup to the culture of abuse women in the NBA that is demonstrated"" by Walton, the suit says.
Tim Stelloh Tim Stelloh is a reporter for NBC News, based in California.
Diana Dasrath Andrew Blankstein Andrew Blankstein is an investigative reporter for NBC News. He covers the Western United States, specializing in crime, courts and homeland security."
