title, publication, authors, date, year, month, url, content
"Internet Censorship Is Only for the Little People, French Edition - Reason.com",reason.com,IJustWorkHere,04-11-2019,2019,4,https://reason.com/archives/2019/04/11/internet-censorship-in-france#comment_7755512,Where did that Lady of Reason blogger lady go? This looks like one of hers...
Brickbat: How Do You Say 'Ironic' in French? - Hit & Run : Reason.com,reason.com,macsnafu,04-09-2019,2019,4,https://reason.com/blog/2019/04/09/brickbat-how-do-you-say-ironic-in-french#comment_7755719,"In an entirely unrelated comment, why do these advertisers keep wanting to tell me Alexandria Otasio-Cortez's net worth? Undoubtedly, her income increased when she went from being a bartender to being an elected politician. But I fail to see how her net worth adds anything of 'value' to the political discussion."
Brickbat: Pissed Off,reason.com,macsnafu,04-12-2019,2019,4,https://reason.com/blog/2019/04/12/brickbat-pissed-off#comment_7755686,"What? You mean they didn't point a gun at the 3-year-old, arrest him, and put him in jail?
I'm shocked, SHOCKED I tell you, to see so much restraint from law enforcement officers!"
"ACLU Defends Gun Owners' Constitutional s, Except for Second Amendment Right to Own Guns - Hit & Run :",reason.com,Unicorn Abattoir,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755788,"An individual right means you can own 1 gun. A collective right means you can own as many as you like.
I think that's what they mean."
"ACLU Defends Gun Owners' Constitutional s, Except for Second Amendment Right to Own Guns - Hit & Run :",reason.com,Quo Usque Tandem,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755696,"From their web site: ""The ACLU has evolved in the years since from this small group of idealists into the nation's premier defender of the rights enshrined in the U.S. Constitution. With more than 1.5 million members, nearly 300 staff attorneys, thousands of volunteer attorneys, and offices throughout the nation, the ACLU of today continues to fight government abuse and to vigorously defend individual freedoms including speech and religion, a woman's right to choose, the right to due process, citizens' rights to privacy and much more.""
""Much more"" clearly does not include the Second Amendment."
"ACLU Defends Gun Owners' Constitutional s, Except for Second Amendment Right to Own Guns - Hit & Run :",reason.com,Jerryskids,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755797,"A collective right is the things we choose to do together. AKA government. The government is in charge of the right to organize an armed resistance to an oppressive government. A good government will make generous allowances for resisting a bad government, a bad government will heavily restrict any resistance to a bad government. And that's how you know whether you've got a good or bad government - you can easily get rid of a good government, a bad government is one you can't get rid of."
"ACLU Defends Gun Owners' Constitutional s, Except for Second Amendment Right to Own Guns - Hit & Run :",reason.com,Jacob Sullum,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755725,Thanks. I've fixed that.
"ACLU Defends Gun Owners' Constitutional s, Except for Second Amendment Right to Own Guns - Hit & Run :",reason.com,//,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755754,"They also seem to be confused about the language ""shall not be infringed"", which is purposefully stronger language than anywhere else in the bill of rights.
The 1st only states that ""Congress shall pass no law"", and so only pertains to Congress. The second contains ""shall not be infringed"", which means neither Congress, the President, the Courts, nor any petty tyrant appointed to some alphabet agency can pass a law, make a rule, or interpret their way into taking arms from law abiding citizens. States and their subdivisions may have gotten away with it prior to the 14th, but Supremacy means nobody.
Any other reading of the 2nd Amendment is intellectually dishonest."
"ACLU Defends Gun Owners' Constitutional s, Except for Second Amendment Right to Own Guns - Hit & Run :",reason.com,PeteRR,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755721,"Amazing. All 10 original amendments reference individual rights, except magically, for the ACLU, the 2nd. And even though it clearly states ""the people"", which refers to actual people, such as does in the rest of the USC, not institutions or states, the people in the 2nd amendment means collective right to them."
"ACLU Defends Gun Owners' Constitutional s, Except for Second Amendment Right to Own Guns - Hit & Run :",reason.com,Enjoy Every Sandwich,04-13-2019,2019,4,https://reason.com/blog/2019/04/12/the-aclu-defends-the-rights-of-gun-owner#comment_7755712,"I'm still waiting for them to define what the fuck a ""collective right"" is. I wait in vain."
