title, publication, authors, date, year, month, url, content
"Ohio abortion ban, Game of Thrones, “Old Town Road,” Beverly Cleary.",slate.com,Slate Copy Desk,04-12-2019,2019,4,https://slate.com/news-and-politics/2019/04/ohio-abortion-ban-game-of-thrones-old-town-road-beverly-cleary.html,"Fox’s Wallace Only “Comfortable” Playing Five Seconds of Trump’s “Horrible” Omar Video Shifting the Overton window: Ohio’s six-week abortion ban, which was signed into law Thursday, shows just how far right the anti-abortion movement has shifted in just a few years. Emboldened by Donald Trump’s election and Brett Kavanaugh’s confirmation, Republican lawmakers are daring to challenge abortion rights in ways that once seemed unthinkable. Christina Cauterucci charts the rise of the extreme “ abortion abolition movement .” Attack of the thrones: Folks, Game of Thrones Season 8 premieres this Sunday. In honor of the occasion, Inkoo Kang wrote a retrospective on what TV critics first said about the show when it debuted back in 2011, while Kyle McAuley penned an ode to the sense of global community the show inspired in both viewers and non-viewers. Read all of our GoT coverage (and keep an eye out for the pieces to come) here . The highest of horses: You may have heard about the fuss over “ Old Town Road ,” the country-trap jam that climbed up Billboard’s country charts, was barred from the genre categorization, and then got a Billy Ray Cyrus remix. The whole ordeal set off a long-overdue discussion about the racial problems within music institutions and the discourse regarding genre. It also shows how entirely messed up the charting system is in the digital age. Pop scholar Chris Molanphy breaks it all down. Happy birthday, Ms. Cleary: Beloved children’s author Beverly Cleary turns 103 today. In honor of her birthday, Sarah Jaffe looked back at Cleary’s autobiography to see how the novelist drew inspiration from her own childhood to create the Ramona character , softening the edges of a harsh upbringing to form the spunky icon."
Six-week abortion bans are just the beginning. The abortion abolition movement is on the rise.,slate.com,,04-13-2019,2019,4,https://slate.com/news-and-politics/2019/04/six-week-abortion-bans-heartbeat-bills.html,"Abortion abolitionists are making inroads in Texas. Next stop: everywhere else.""> <link rel=""manifest"" href="
Candida auris: How do hospitals stop the spread of drug-resistant superbugs.,slate.com,Molly Olmstead,04-12-2019,2019,4,https://slate.com/technology/2019/04/candida-auris-hospitals-superbug-spread-prevention.html,"It’s Time for the Heroic Male Paleontologist Trope to Go Extinct On Saturday, the New York Times published a fascinating and anxiety-inducing article about the rise of an antifungal-resistant yeast called Candida auris in hospitals around the world. Patients with weakened immune systems are particularly susceptible, and once the fungus hits, infection spreads through their bloodstreams and causes fever and chills. Nearly half of people sickened by it die within 90 days, according to the Times, though it’s unclear if they are killed by the pathogen itself or by the diseases and conditions that landed them in the hospital in the first place. C. auris can also survive for weeks outside a patient—on sinks and mattresses, door knobs and bedside tables. To eradicate it after one patient died, a hospital in Brooklyn even “had to rip out some of the ceiling and floor tiles” in his room. How often do hospitals have to take such extreme steps to stop the spread of these drug-resistant superbugs? Fortunately, very rarely, but when they do, the steps required can be expensive and exacting. According to the CDC, hospitals can often manage outbreaks by simply paying more attention to cleaning the environment and equipment around a patient. Medical experts know how to kill pretty much everything we encounter with disinfectants. The hospital’s standard quaternary ammonium compound —a common antimicrobial cleaner that kills many bacteria, fungi, amoebas, and viruses—is used for everyday cleaning and works most of the time. For the viruses (such as noroviruses) and bacteria (such as the very-long-living Clostridioides difficile ) that survive, the hospital can use a bleach-based cleaner or other disinfectant known to kill specific organisms . The concern in infectious outbreaks is generally that we will encounter a strain of a familiar bacteria or fungus that has developed a drug resistance that makes it hard to kill once it’s settled in a patient’s body. Hospitals are, unfortunately, one place a patient is more likely to encounter an antibiotic-resistant strain of something. They are, after all, where a large amount of antibiotics are used. That becomes particularly troublesome when paired with the long life span and sturdiness displayed by hardier microbes such as C. auris and C. difficile. While most pathogens die when left without a host, these can survive for weeks or months. When hospitals know they have encountered an infection that can jump easily from patient to patient, they take crisis-level precautions. They isolate patients and prevent staff who treat them from caring for others. They hold meetings for medical and cleaning staff to train them on the specific rules for the specific microbe. They require visitors and staff to don gloves, gowns, and masks while in the patients’ rooms and become extra vigilant about ensuring no one leaves without washing their hands. (Thorough and careful hand-washing can go a long way to keeping pathogens from running amok.) Depending on the type of contaminant, they may also place patients in a ventilated room that doesn’t allow air to circulate into the rest of the hospital. In extreme circumstances, like this C. auris outbreak, hospitals may be forced to tear apart rooms to get to where the microorganisms may be living. Typically, hospitals are only forced to discard more easily movable objects: infected mattresses or linens (as in a particularly tragic outbreak of Mycobacterium abscessus in a New Orleans pediatric hospital) or tools and other smaller sources of infection. In one case in the 1970s, a green liquid soap used to clean skin for IV insertions had been contaminated with the bacteria Pseudomonas stutzeri . In a much more recent case, the Food and Drug Administration traced two types of fungi, including Aspergillus , the most common cause of fatal fungal infections, to drug vials given to six patients in an experimental study. It’s not unheard of for a hospital to have to tackle plumbing more aggressively. Especially in older buildings, bacteria cling to and flourish in sinks and pipes. When three people died in an outbreak of Legionnaires’ disease at the University of Wisconsin’s hospital in Madison last year, the hospital found the bacteria in its pipes and, like others in the same situation, simply pumped chlorine into the water. In other cases, the pipes have to be ripped out for testing and sanitizing. Recently, the staff at the National Institutes of Health Clinical Center in Bethesda, Maryland, experimented with reducing the amount of bacteria that can grow in a water system by “literally taking out plumbing and putting it in a different shape .” One of the most extreme responses to an outbreak occurred at that same hospital, during a 2011 outbreak of an antibiotic-resistant Klebsiella pneumoniae carbapenemase , or KPC , a bacterium that can, like C. auris , cause infections in blood streams or wounds, leading to fevers, chills, a bloody cough, and eventually organ failure. Patients began testing positive for serious infections at a rate of around one per week, and standard cleaning failed to stop the spread. The hospital staff tore apart the plumbing in some rooms to remove sink drains where they found the bacteria lurking. They also used a robot to spray hydrogen peroxide in those emptied-out rooms after patients were moved to a separate ICU. (According to the Centers for Disease Control and Prevention, this technique has not been tested and proven effective and is therefore only recommended as an extra precaution after scrubbing everything else by hand.) These cleaning and isolation methods eventually worked, but of the 18 patients infected by KPC that year, six died from it. The NIH case showed how techniques more advanced than bleach and isolation can come in handy to tackle outbreaks. A team of NIH researchers used genome sequencing to quickly decipher and trace the genetic code of the bacteria from one patient’s infection to another so that they were able to figure out how it had spread. According to a 2013 study from the case, the technology allowed the staff to determine that all the patients had been infected from one another, not independently, and they were able to pinpoint their areas of weakness. Advanced investigative approaches like this genetic sequencing have allowed hospitals to better track and confront the new and aggressive drug-resistant strains alarming the medical community. The anxiety some medical professionals have about C. auris is valid: It is not acting in a way experts may have expected based on other forms of Candida , and that uncertainty translates into a need for caution. As experts have become more familiar with C. auris , they feel more confident about how to eradicate it from an environment and likely won’t need to take such extreme measures as ripping out parts of the ceiling and walls—a simple bleach cleaning would likely do the trick. The real danger is in human fallibility: If someone fails to designate tasks clearly, a piece of medical equipment may fail to get the thorough disinfecting and sanitizing it needs in a crisis. The environmental services staff—the (sometimes underpaid) people in charge of scrubbing a patient’s room—often aren’t allowed to touch the medical equipment, and that discrepancy can allow germs to sneak through. Some medical equipment, such as X-ray machines, cannot be reserved for just one patient, and hospitals may struggle to eliminate bacteria from such bulky and complex machines. Manufacturers of hospital equipment can accidentally introduce contaminants to their products. And doctors and nurses, who often work long shifts, are susceptible to the kinds of careless mistakes we all make. But still, patients shouldn’t worry toomuch about how their hospital is preparing for these new infections. As Susan Matthews wrote in Slate , your risk of being harmed, even if immunosuppressed, is extremely low. The Explainer thanks Dr. Lisa Maragakis at the Johns Hopkins Health System and the Johns Hopkins University School of Medicine and Dr. Snigdha Vallabhaneni at the Centers for Disease Control and Prevention. "
"Chris Molanphy on the Billboard Hot 100 Chart of the year 1994 (including Ace of Base, Celine Dion, and Boyz II Men).",slate.com,Mike Pesca,04-13-2019,2019,4,https://slate.com/news-and-politics/2019/04/chris-molanphy-billboard-1994-celine-dion-boyz-ii-men.html,"Listen to The Gist via Apple Podcasts , Overcast , Spotify , Stitcher , or Google Play . On The Gist, two popes is one pope too many. In the interview, songs like “The Sign” and “I’ll Make Love to You” dominated the charts in 1994, but they weren’t all that emblematic of what was happening in music that year. Chris Molanphy has ideas as to why, and also opines on why there were so few number one singles that year—and why was Lisa Loeb considered alternative rock? Chris Molanphy has answers, and is the host of the Hit Parade podcast. He also writes Slate’s “Why Is This Song No. 1?” column. In the Spiel, Rep. Katie Porter’s viral moment—taking Jamie Dimon to task for his huge salary—is a little dishonest. Get The Gist in Your Inbox We encountered an issue signing you up. Please try again. Email address: Send me updates about Slate special offers. By signing up, you agree to our Privacy Policy and Terms . Sign Up
Thanks for signing up! You can manage your newsletter subscriptions at any time. Join Slate Plus! Members get bonus segments, exclusive member-only podcasts, and more. Sign up for a free trial today at Slate.com/gistplus . Join the discussion of this episode on Facebook . Email:"
Slate Money talks to Natalie Jaresko.,slate.com,Emily Peck,04-13-2019,2019,4,https://slate.com/business/2019/04/slate-money-talks-to-natalie-jaresko.html,"Slate is published by The Slate Group, a Graham Holdings Company. All contents © 2019 The Slate Group LLC. All rights reserved. We Need to Talk About Your Ad Blocker
Slate relies on advertising to support our journalism. If you value our work, please disable your ad blocker. Enable Ads on Slate Want to Block Ads But Still Support Slate?
By joining Slate Plus you support our work and get exclusive content. And you'll never see this message again."
The value and pathologies of democracy and democratic education.,slate.com,Barry Lam,04-13-2019,2019,4,https://slate.com/human-interest/2019/04/the-value-and-pathologies-of-democracy-and-democratic-education.html,"Copy this link and add it in your podcast app. copy link For detailed instructions, see our Slate Plus podcasts page . On this episode, preschool kids get their first taste of democratic participation when they vote on their class name, and private schools try to display the value of democracy by making kids vote on everything , even the school budget. Does it work, or do kids make terrible decisions? One diagnosis of our modern-day political problems is that too many stupid people are voting for stupid things. There are two proposed fixes: mandate that everyone vote, so as to diminish the power of ignorant and irrational voters; or find ways to disenfranchise misinformed people. This week, we examine both proposals, whether compulsory voting is a solution to the problems of democracy and whether getting rid of democracy altogether can be wise or just. We look at Sudbury Valley School and Brooklyn Free School, democratic schools where people who are thought too ignorant and irrational to vote are given democratic power. Do these schools offer any lessons for our democratic problems? Guest voices include Jill Sheppard, Jason Brennan, Noleca Radway, Jonathan Ho, and alumnae of democratic schools. In the Slate Plus segment, we look at how the compulsory voting system in Australia works, examine whether compulsory voting has consistent policy implications, and consider arguments that it is an infringement on liberty. For all back episodes from Seasons 1 and 2 of Hi-Phi Nation, visit www.hiphination.org ."
"Judge Carlton Reeves: Donald Trump is leading an ""assault on our judiciary.""",slate.com,,04-12-2019,2019,4,https://slate.com/news-and-politics/2019/04/judge-carlton-reeves-donald-trump-assault-judiciary-scotus.html,"Judge Carlton Reeves. U.S. District Court for the Southern District of Mississippi/ Wikimedia In his nine years on the bench, Judge Carlton Reeves has proved to be one of the most eloquent, courageous, and principled jurists in the United States. Reeves, appointed by President Barack Obama to the U.S. District Court for the Southern District of Mississippi, has issued a series of pathbreaking decisions protecting the rights of women and minorities. He struck down Mississippi’s same-sex marriage ban; invalidated a law banning abortions after 15 weeks, dismissing its ostensible goal of protecting women’s health as “pure gaslighting”; and threw out a racial gerrymander designed to dilute black citizens’ votes. This last decision so infuriated a conservative appeals court judge that she launched a personal attack on Reeves that is now the subject of a judicial ethics complaint . Advertisement Reeves is not one to mince words or conceal his contempt for injustice. And on Thursday, he delivered an extraordinary speech upon receiving the Thomas Jefferson Foundation Medal in Law. Reeves’ speech is worth reading or listening to in full. The address is a powerful defense of diversity and equality, as well as a grave warning that, as Reeves put it: “We are now eyewitnesses to the third great assault on our judiciary”—one led by President Donald Trump. The first assault, Reeves explained, came during Reconstruction when white supremacists reversed the post–Civil War march of civil rights. Ku Klux Klan members and their allies attempted to assassinate black judges, shot black jurors, and “filled judgeships with former Confederates who had sworn to uphold slavery.” The second came after Brown v. Board of Education , when segregations assailed courts’ efforts to integrate the South, “smearing judges, shrinking judicial power, and scrubbing diversity from courtrooms.” Senators tried to strip courts “of jurisdiction over civil rights claims and impeach judges receptive to those claims.” Judges “who sought to deliver justice” faced “death threats and hate mail. Their pets were poisoned. Their children’s graves were desecrated.” Beginning with President Jimmy Carter, however, “our nation witnessed a revolution, one that dramatically expanded and improved the body of expertise federal courts depend on to find truth. We saw the addition of more black judges, more women judges, more Latina and Latino judges, more Asian-American judges, more Native American and Pacific Islander judges, and more openly LGBTQ judges than ever before.” But “this effort to make our judiciary reflect America was as brief as it was remarkable.” Because now the third assault has begun. Reeves continued:
If you’ve never relied on a court, you may not see the assault. If you’ve never seen a friend or loved one wrongly imprisoned, you may not feel it. If you have never been stopped for Driving While Black, like my friend Judge Robert Wilkins, you might not fear it. But if you know the words of Mississippi’s darkest moments, you can hear it. Advertisement Then, in a remarkable passage, Reeves listed Trump’s litany of condemnations against the judiciary:
When politicians attack courts as “dangerous,” “political,” and guilty of “egregious overreach,” you can hear the Klan’s lawyers, assailing officers of the court across the South. … When the powerful accuse courts of “open[ing] up our country to potential terrorists,” you can hear the Southern Manifesto’s authors, smearing the judiciary for simply upholding the rights of black folk. When lawmakers say “we should get rid of judges,” you can hear segregationist senators, writing bills to strip courts of their power. And when the executive branch calls our courts and their work “stupid,” “horrible,” “ridiculous,” “incompetent,” “a laughingstock,” and a “complete and total disgrace,” you can hear the slurs and threats of executives like George Wallace, echoing into the present. Every single one of these quotes was uttered by Trump. Reeves went on: Advertisement
I know what I heard when a federal judge was called “very biased and unfair” because he is “of Mexican heritage.” When that judge’s ethnicity was said to prevent his issuing “fair rulings.” When that judge was called a “hater” simply because he is Latino. I heard the words of James Eastland, a race-baiting politician, empowered by the falsehood of white supremacy, questioning the judicial temperament of a man solely because of the color of his skin. I heard those words and I did not know if it was 1967 or 2017.
This false seed is being sown across this country, from Mississippi to Virginia. I know, because I am there. The proof is in my mailbox. In countless letters of hatred I’ve been called a “piece of garbage,” “an arrogant pompous piece of sh**,” “a disgrace,” an “asshole …[who] will burn in hell,” and the “embodiment of Satan himself.” One person has even told me that he has “prayed that God will give [me] complete discomfort.” The deliverers of hate who send these messages aim to bully and scare judges who look like me from the judiciary. And so they share an aim with those who used whips and ropes and trees against my ancestors: scrubbing the black experience from our nation’s courts. Reeves then tore into the astonishing lack of diversity among Trump’s judicial nominees:
This attack is heard loudest in the slander of Judge Curiel. But it will be felt through this administration’s judicial nominations, especially those confirmed with the advice and consent of the Senate. Of the Article III judges confirmed under the current administration, 90 percent have been white. Just one of those judges is black. Just two are Hispanic. It’s not just about racial diversity. Barely 25 percent of this administration’s confirmed judges are women. None have been black or Latina. Achieving complete gender equality on the federal bench would require us to confirm only 23 women a year. … Think: in a country where they make up just 30 percent of the population, non-Hispanic white men make up nearly 70 percent of this administration’s confirmed judicial appointees. That’s not what America looks like. That’s not even what the legal profession looks like. …
This administration and a bare majority of the Senate, walking arm-and-arm, are not stumbling unaware towards a homogeneous judiciary. Think of the slurs against Judge Curiel. Think of the nominations to the bench of those who call diversity “code for relaxed standards,” who call transgender children part of “Satan’s plan,” who defend the KKK in online message boards, who led voter suppression efforts for segregationists like Jesse Helms. Think of the pattern of judicial nominees refusing to admit, like generations of nominees before them have, that Brown v. Board was correctly decided. The consequences of this “homogeneous judiciary,” Reeves noted, will be devastating to justice. Advertisement
Defending the judiciary means more than demanding that more women and people of color be appointed to the bench. With no Muslims on the bench, will our judiciary understand the many facets of religious freedom? How can it defend economic opportunity with so few judges who know the taste of a free lunch program or the weight of poverty? How can our judiciary understand the depths of mass incarceration when so few judges have stood with the accused or know them as neighbors, as Sunday School students, as loved ones? Filled only with the experiences of prosecutors and state court judges, of Big Law partners and corporate counsel, of a single religion or sexual orientation, our courts will fail to find the many truths justice must see. We need a judiciary as diverse as our country—as diverse as “We the People.” Reeves then turned to the Supreme Court. “We have as many justices who have graduated from Georgetown Prep,” he pointed out, “as we have justices who have lived as a non-white person. When our Supreme Court captures such a narrow set of perspectives, what truths will it overlook?” Moreover, too many justices have failed to defend the judiciary against Trump’s bigotry. “It is not enough for judges,” Reeves said, “seeing race-based attacks on their brethren, to say they are merely ‘disheartened,’ ” as Justice Neil Gorsuch did , “or to simply affirm their nonpartisan status,” as Chief Justice John Roberts has . “We must do more to defend our bench.” But courts “must do more than denounce and diversify.” Judges must demand “resources they need to find truth. We must expand the reach and power of our courts, offering justice to all who claim the promise of America.” Unfortunately, the Supreme Court has lately moved in the opposite direction . And Trump’s new crop of judges shows no interest in “offering justice to all.” Due to the cynicism and cowardice of senators and judges who kowtow to Trump, this “third great assault on the judiciary” shows no sign of ceasing. But Reeves refuses to stand by and watch the erosion of civil rights in quiet dismay. He has issued a call to arms for all who support a strong, independent, and diverse judiciary: fight for what you believe in before Trump and his allies “close the courthouse doors to those who most need justice.” "
William Barr obliterated the DOJ’s standard for defending laws because Donald Trump asked.,slate.com,,04-13-2019,2019,4,https://slate.com/news-and-politics/2019/04/william-barr-aca-lawsuit-donald-trump-doj.html,"U.S. Attorney General William Barr on Capitol Hill on Tuesday. Chip Somodevilla/Getty Images Attorney General William Barr has faced harsh criticism for his problematic treatment of the Mueller report, which some have suggested appeared to be calculated to benefit the president. But a different action Barr recently took at President Donald Trump’s behest should be equally concerning. Last month, the attorney general announced that the United States will cease defending any portion of the Affordable Care Act in the courts. Instead, the DOJ will join a number of state attorneys general in challenging the constitutionality of the entire ACA, following the effective repeal of the individual mandate by Congress. Advertisement This comes after the DOJ stopped defending the constitutionality of the ACA’s protection of insurance coverage for those with preexisting conditions last year . In taking the position that the entire ACA is constitutionally void, Barr abandoned a long-standing principle that the Department of Justice is duty-bound to defend the constitutionality of federal laws. In the words of one of Barr’s predecessors, such an action by the nation’s chief law enforcement officer may jeopardize the equilibrium of our constitutional system. Barr has all but acknowledged that the arguments against the ACA’s constitutionality, although they were accepted by one trial judge, are far from compelling; in fact, most observers ( including some opponents of the law ) consider them to be extremely weak. But during testimony before Congress this week, Barr stated that he nonetheless feels duty-bound to attack the ACA in the courts because Trump, after failing to convince a majority of the Senate to vote in favor of repealing the ACA, is now eager to see the act nullified by the courts instead. Barr’s decision is at direct odds with a policy upheld for decades by attorneys general in Republican and Democratic administrations. As President Ronald Reagan’s first attorney general, William French Smith, wrote in 1981, the DOJ has “ a duty to defend the constitutionality of an Act of Congress whenever a reasonable argument can be made in its support .” While serving as President Jimmy Carter’s attorney general, Benjamin Civiletti explained that this policy is rooted in the Constitution’s separation of powers. While the courts are charged with protecting “ both the government and the citizenry from unconstitutional action, legislative and Executive [ … ] only the Executive Branch can execute the statutes of the United States, ” including by defending them in the courts. Therefore, “if executive officers were to adopt a policy of ignoring or attacking acts of Congress whenever they believed them to be in conflict with the provisions of the constitution, their conduct in office could jeopardize the equilibrium established within our constitutional system.” Advertisement Prior attorneys general recognized only one extremely narrow exception to this obligation to defend the nation’s laws: when an attorney general concludes that there is no reasonable argument in favor of a federal statute’s constitutionality. As Civiletti put it, where “everything in our constitutional jurisprudence inescapably establishes” that a law is unconstitutional, then the Executive Branch can properly decline to defend or enforce it. Until recently, conservative legal scholars emphasized the narrowness of this exception. Many of them assailed Eric Holder, President Barack Obama’s attorney general, for choosing to end the DOJ’s defense of a portion of the Defense of Marriage Act denying federal government recognition to same-sex marriages. While Holder argued that changes in Supreme Court jurisprudence left no reasonable basis to defend the law , his opponents contended that Holder was being disingenuous and placing ideological concerns above his duty to defend a duly enacted federal law. In fact, conservative legal advocate Edward Whelan continued to assail Holder’s decision to abandon the defense of DOMA even after the law was struck down by the Supreme Court, calling it a “ shameful moment in politicized government lawyering and … a dangerous precedent that deserves condemnation .” Barr’s decision to attack the ACA in court, however, sets a far more dangerous precedent. Unlike Holder, Barr does not even make a pretense of arguing that there is no reasonable argument in favor of the ACA’s constitutionality. Rather, during his recent testimony, Barr explained to Republican Sen. Susan Collins that he acceded to the president’s demand to attack the ACA in the courts because the arguments mounted against the law are “ defensible and reasonable .” Barr’s reasoning turns long-standing DOJ policy on its head, allowing the attorney general to abandon a federal law so long as there is some plausible basis to question its constitutionality—even if there are reasonable, or even compelling, arguments to be made in support of the law’s validity. When pressed, Barr asserted that supporters of the ACA have “ nothing to worry about ” if they are right that the arguments the DOJ is adopting against the ACA’s constitutionality are weak. “I think people should take a deep breath,” Barr said. “If this is such a wacky position that the administration is taking, then there’s nothing to fear. Then the law will be upheld.” Just “[l]et the courts do their job,” the attorney general suggested. But Barr’s argument misses the point. As his predecessor Civiletti observed decades ago, while it is the courts’ constitutional “job” to protect against “unconstitutional action,” the Constitution assigns the executive branch the obligation to faithfully defend the nation’s laws, including before the courts. It is, therefore, in Ed Whelan’s words, shameful for the DOJ to abandon that job. Advertisement Barr’s DOJ is already taking full advantage of its newfound freedom to pick and choose which federal laws to defend in court. Just this week the solicitor general informed House Judiciary Committee Chairman Jerrold Nadler that the DOJ has chosen to cease defending the constitutionality of a federal law criminalizing the practice of female genital mutilation and cutting (FGM/C) . Earlier this month, the acting director of the DOJ’s Office on Violence Against Women decried the “horrific crime of” FGM/C,” explaining that “ at least 513,000 women and girls in the United States have suffered or are at risk of becoming victims ” of it. The FBI, ICE , and the State Department have all recently likewise reiterated a commitment to using the full force of the federal government against this heinous practice. But the federal law against FGM/C is largely grounded in Congress’ regulatory authority under the Commerce Clause, which conservative legal scholars and judges have long been intent upon limiting on principles of federalism; the other rationale for the statute—that it implements Congress’ power to enforce an international human rights treaty— is similarly objectionable to strong advocates of federalism . Accordingly, as in the case of the ACA, the DOJ is abandoning its defense of a law against this heinous practice for transparently ideological reasons. Advertisement In explaining his decision to mount a litigation effort against the ACA, Barr stated that he serves the president and other “ stakeholders ” in the executive branch. Therefore, if the president directs him to attack a statute, even one Barr seems to believe will ultimately be upheld in the courts, the attorney general considers himself duty-bound to oblige. This goes to the heart of Barr’s misconception of his role as attorney general. He is the lawyer for the United States, not for Donald Trump. As such, he and the DOJ owe a duty to uphold and defend the laws of the nation, even if the president does not like them, just as he is obligated to disclose facts uncovered by Robert Mueller, even if they are harmful to Donald Trump. Barr’s failure to abide by such foundational principles truly threatens the equilibrium of our constitutional system. "
Participation trophies aren’t new. We’ve been handing them out since World War I.,slate.com,Stefan Fatsis,04-10-2019,2019,4,https://slate.com/culture/2019/04/participation-trophy-history-world-war-i.html,"Virginia Gives Hope to Humiliated Losers Everywhere Around the same time, universities began awarding a literal “participation trophy” to a fraternity or other group that had the most members participate in intramural sports. In 1924, the University of Minnesota debuted a “ 30-inch sterling participation trophy ” for “the campus organization having the highest number of participation points.” The idea was to encourage students to do sports—participation as something to be rewarded, because it’s good to exercise, to compete, to try hard, win or lose. The participation trophy was a feature of campus life for decades. Military bases handed out participation trophies during and after World War II. Schools and sports leagues picked up the practice, for individuals and teams. In 1942, each member of the winning team in the Western Division Class B of the Montana state boys’ basketball tournament—Corvallis, which beat Townsend, 50–35—got a miniature gold basketball, while “ all other players received participation trophies.” In 1955, the Ithaca, New York, peewee football program may have introduced the emphasis of playing over winning—hastening our cultural decline—when it gave a participation trophy to the team that used “ the greatest number of players per game for the season.” When David Holder and Billy Lothian of Wayne, New Jersey, were ousted from the 1955 state marbles championship, the local paper reported that they “came back with participation trophies.” “Susan and Dave Win Speech Test,” the Marysville, Ohio, Journal-Tribune headlined in 1956; 11 losers got participation trophies. So did the nonwinners in the 1970 Oneonta, New York, soap box derby, and the 17 members of the swine club and 13 members of the sheep club at the 1977 Lehigh County 4-H Beef Banquet (renamed the Livestock Banquet to account for the addition of swine and sheep). The Amsterdam News in New York recorded what might be the record for participation trophy distribution: 1,840 given to the “youngsters” in an anti-poverty recreation program in Brooklyn. The year? 1966. The headline on that story was “A Thousand Kids Earn Trophies.” The verb undoubtedly would have outraged James Harrison and could have served as a harbinger of the culture war to come. The handing out of participation trophies ratcheted up in the 1990s, coinciding with the growth of pay-for-play in youth sports, efforts to increase and broaden participation among children, and a cultural move to reduce the emphasis on winning. The first person to use “participation trophy” as an epithet might have been Janelle Gerth, the catcher on the 1993 Princeton, Minnesota, high school girls’ softball team, who, after back-to-back sixth-place finishes in the state tournament, “told the team that we’ve got enough participation trophies,” her coach told the St. Cloud Times. It was a short walk from there to the take that participation trophies foster entitlement and diminish achievement. John Powers of the Boston Globe complained in 1993 that “we have become a nation of ‘winners,’ our shelves lined with consolation trophies and certificates of participation.” Powers didn’t use the exact phrase, but a year later the Abbeville, Louisiana, Meridional did : “Participation Trophies Take Away Meaning.” A dad columnist in El Paso, Texas, complained in 1998 that participation trophies were responsible for “giving our children a false sense of accomplishment.” The backlash was in full swing by 2005, when the Wall Street Journal published a trend story on how youth sports leagues were abandoning participation trophies . While youth sports organizations continue to dump it , the participation trophy endures. But much more than a hunk of hardware, it’s a topic of study for its effects on children these days; a talking point for players like Bryce Harper and Kobe Bryant and coaches like Jeff Walz of Louisville’s women’s basketball team (and a sledgehammer point for the Alabama football strength coach); and a proxy for a dopey debate about whether a generation of Americans is spoiled, lazy, and needy. “Police Calm Millennial Protesters by Handing Out Participation Trophies,” a satirical website wrote in 2016 . People believed it . Literal participation trophies or medals are indeed dumb. Not because they send a “ dangerous life message ,” as a high school student wrote in the New York Times, or because they constitute “ child abuse ,” as a local news anchor in Washington said. They’re dumb because they inevitably wind up collecting dust. It’s fine to give a memento to children under the age of, say, 9 who complete a season of a sport or participate in some other competition. Just give them something useful, like a hat or a piece of equipment. Even better, give them something personal. Into middle school, every season, I designed a certificate for my daughter’s girls’ soccer team, the Power. One theme was a faux Instagram account written by our team mascot, Power Bar. The girls then created an actual account for Power Bar. Everyone participated in that. As Torie Bosch wrote in Slate last year, kids aren’t idiots . No one thinks they’re a great athlete—or, 20 years later, that they deserve a promotion—because they got a 4-inch-tall plastic cup for playing soccer in kindergarten. In a simpler time, a trophy for participation was just a trophy for participation. The top finishers in the 1955 soap box derby in San Bernardino, California, got a Schwinn bicycle, baseball equipment, fishing and scuba gear, and cameras. But the race organizers, and the local paper, didn’t want anyone to feel slighted. “ Best of all ,” the local paper wrote (emphasis mine), “each heat winner gets a trophy and both losers in each heat also get participation trophies.” The story was illustrated with photos of both trophies. The headline: “ Everybody Wins .”
This story was updated to include a 1993 Boston Globe article. "
Professor Carol Steiker on why the death penalty provokes such strong reactions at the Supreme Court.,slate.com,Dahlia Lithwick,04-13-2019,2019,4,https://slate.com/news-and-politics/2019/04/professor-carol-steiker-on-why-the-death-penalty-provokes-such-strong-reactions-at-the-supreme-court.html,"Tweet Dahlia Lithwick is joined by Harvard Law School professor Carol Steiker, co-author of Courting Death: The Supreme Court and Capital Punishment , to explore recent death penalty cases before the Supreme Court and why the Eighth Amendment has raised tensions among the justices. To listen to this episode of Amicus, use the player below: Get More Amicus
Slate Plus members get extended, ad-free versions of our podcasts—and much more. Sign up today and try it free for two weeks. "
