title, publication, authors, date, year, month, url, content
"Ocasio-Cortez lectures male reporter, implies sexism over Liz Warren story. There's just one MASSIVE problem.",www.theblaze.com,Chris Enloe,05-26-2019,2019,5,https://www.theblaze.com/news/ocasio-cortez-lectures-male-reporter,"Rep. Alexandria Ocasio-Cortez (D-N.Y.) lectured a male reporter this week and implied he was sexist over a story that he did not write, but merely shared.
What happened? On Thursday, CNN's Andrew Kaczynski shared a story from the Washington Post that detailed Sen. Elizabeth Warren's legal work while teaching at Ivy-League schools. According to the report, Warren charged clients as much as $675 per hour.
In his tweet, Kaczynski only summarized the story's main thesis, but did not offer additional commentary or analysis.
However, that did not stop Ocasio-Cortez — and thousands of others, for that matter — from criticizing Kaczynski has if he had criticized Warren or actually written the story himself.
""BREAKING NEWS: Lady Had A Job, Got Paid More Than Me,"" Ocasio-Cortez tweeted.
""Nice work. Now do the amount of Wall Street, Big Pharma, & Fossil Fuel presidential candidates accepted over their careers & how much they're taking now,"" she added, implying that Kaczynski's tweet was somehow sexist.
What's the problem with AOC's criticism?
As Alex Griswold of the Washington Free Beacon quickly pointed out, Ocasio-Cortez's criticism toward Kaczynski is unfounded because the CNN reporter did not write the Warren story.
In fact, two women, both Washington Post reporters, wrote the story: Annie Linskey and Elise Viebeck."
"WATCH: Iran Foreign Minister calls US policy 'terrorism', CNN reporter replies with question about Tweets - TheBlaze",www.theblaze.com,Caleb Howe,05-26-2019,2019,5,https://www.theblaze.com/news/iran-minister-cnn-us-terrorism,"Democrat Sen. Dianne Feinstein just had dinner with him . Beto O'Rourke sounds just like him . And this week, CNN interviewed him. He's Iran Foreign Minister Javad Zarif, and he's getting quite a lot of face time lately.
In his interview with CNN's Fred Pleitgen, Zarif said quite a lot that was clearly designed for Democrat ears. He goaded Trump, he bashed National Security Advisor John Bolton and Israel Prime Minister Benjamin Netanyahu, and he praised Obama's Iran Deal. He even snarked about the electoral college.
It wasn't all so, uh, tame, though. No, in addition to suggesting that Trump and Bolton are provoking a war, ominously suggesting that accidents, then correcting to ""incidents"" tend to happen in the Persian Gulf, where a U.S. Carrier Strike group was just sent, and warning that the United States is playing a ""dangerous game"" that could have ""painful consequences"", he also said that our policy toward Iran is ""terrorism.""
Not ""like"" terrorism, and not ""economic"" terrorism, as some outlets have characterized his comments. Just terrorism, point blank.
Watch this excerpt from CNN's interview (which you can find in full at the end of this post):
""Economic war means targeting Iranian people, targeting ordinary citizens, trying to deprive them of their means of livelihood. That amounts to terrorism,"" said Zarif.
After he finished his lengthy remarks about how the United States is to blame, CNN's Pleitgen followed up on that important point by asking if Zarif takes President Trump's tweets seriously. Seriously, watch.
""Do you take tweets by President Trump seriously?"" he asked pointedly.
He was referencing Trump's tweet from last week , where he said that threatening the U.S. would be an ""official end to Iran.""
Helpfully, Pleitgen added, ""Or has it come to the point where you don't take it seriously because the message keeps changing?""
At two other points in the interview, Pleitgen was equally helpful, as he prompted the foreign minister to theorize about who is ""actually"" calling the shots in American foreign policy. The idea that Bolton is pulling all the strings is very popular in the cable news crowd this week.
Watch:
Pleitgen did press for ask a few questions of Zarif that weren't about how bad and provoking Trump and Bolton are, including whether the country takes any responsibility for threats or attacks against the U.S. or its allies. Zarif said they don't.
You can watch the entire interview at CNN by clicking here ."
Trump tweets confidence in 'Chairman Kim' over 'small weapons' in apparent slight to John Bolton,www.theblaze.com,Caleb Howe,05-26-2019,2019,5,https://www.theblaze.com/news/trump-tweets-kim-confidence-missiles,"National Security Advisor John Bolton, who Iran and Beto O'Rourke paint as the real culprit behind nefarious war-making in Washington, is in the news for another reason this Saturday, and it appears to have caused indigestion in the President.
Bolton was speaking to reporters in Japan, where the President is visiting this weekend, when he said that North Korea's missile tests earlier this month were a violation of U.N. resolutions.
""U.N. Security Council resolutions prohibit North Korea from firing any ballistic missiles,"" Bolton said, speaking with regard to the ballistic missiles North Korea fired the first week of May. ""In terms of violating U.N. Security Council resolutions, there is no doubt about that.""
President Trump, however, has no concerns, and he said as much in a Tweet that is hard to read as anything but a direct reaction to Bolton. ""North Korea fired off some small weapons, which disturbed some of my people, and others, but not me,"" the President wrote, obviously referring to at least Bolton if not other members of his cabinet and administration.
""I have confidence that Chairman Kim will keep his promise to me,"" he added with some affection. He also shared an anecdote of an insult to former Vice President Joe Biden, currently the Democratic frontrunner for 2020, saying that Kim called him ""Swampman"" and insulted his IQ.
North Korea fired off some small weapons, which disturbed some of my people, and others, but not me. I have confidence that Chairman Kim will keep his promise to me, & also smiled when he called Swampman Joe Bidan a low IQ individual, & worse. Perhaps that's sending me a signal?
— Donald J. Trump (@realDonaldTrump) May 25, 2019
Update Note : President Trump deleted the original tweet, which had several typos (including spelling Joe Biden's name wrong) after this story was published, and resent a corrected version.
North Korean state television offered a number of insults to Joe Biden this past week. Enough that it prompted a pretty funny cold open on The Late Show with Stephen Colbert .
Obviously President Trump thought it was funny, in any case. But no cause for concern.
Unless it concerns you that the President felt it necessary to contradict the National Security Advisor's correct assessment of a hostile foreign dictator resuming missile tests expressly prohibited under U.N. agreements and this administration's own policy.
There has been a great deal of speculation in Washington this week that John Bolton, and to a lesser extent Mike Pompeo, are really calling the shots on big foreign policy matters like North Korea and Iran. Perhaps that perception of not being The Man is having the desired effect on Trump."
"Homeless Houston car thief and 'Mexican national' spent 40 minutes torturing, murdering grandmother of six as she begged for her life",www.theblaze.com,Caleb Howe,05-26-2019,2019,5,https://www.theblaze.com/news/homeless-houston-murder-grandmother,"The suspect in a brutal slaying of a grandmother of six over a small amount of money and a car battery was in court this week on capital murder charges, after he was caught at the scene and police say he confessed to the crime.
The shocking murder took place in the Houston suburb of Sharpstown early this week, either late Sunday night or early on Monday, police say.
Etta Nugent, 75, was found dead by her son, after she failed to show up to visit her husband, who was in a convalescent care facility recovering from a medical procedure. Nugent had three children and six grandchildren. She was a retired parish secretary at Holy Ghost Catholic Church. Her friend and neighbor Sharon Shanahan told KHOU that Nugent was ""well loved"" by family as well as her friends and neighbors. ""She's just salt of the Earth,"" said Shanahan.
Nugent was stabbed over and over in a murder that lasted from 40 minutes to an hour, according to police, because she opened the door to a man seeking help. She was unable to help him repair his stolen truck """"because of her age,"" reported the Houston Chronicle.
The man, identified as Marco Cobos, 19, invoked his fifth amendment right to remain silent in his first court appearance, according to his attorney Alvin Nunnery, who spoke with reporters shortly after leaving court, where he also revealed Cobos ""country of origin"" and that his last known whereabouts was Phoenix, Arizona.
""There is some question about whether he's in the country legally or not,"" said his attorney. Cobos is referred to in reports as a Mexican national. He also said separately that Cobos has been in the United States for 18 years.
The grisly murder was apparently spontaneous, like the confession. According to authorities, Cobos stabbed the victim but failed to kill her, by his own account , and sought more knives from the kitchen before returning to stab her again repeatedly.
During an interview, police said he confessed to forcing his way into the home. He forced his way into the home as Nugent spoke to him through a crack in the door. He stabbed her in the chest and went to the kitchen to find more knives, according to prosecutors.
He heard the doorbell ring and saw Nugent on the front porch trying to escape. Cobos said he went outside and grabbed her in a ""bear hug."" He got more knives from the kitchen and continued stabbing her until she died.
Cobos took her car keys and about $560 from her purse to buy food and a new battery for the stolen F-150, prosecutors said. He returned again to eat and look through her belongings, prosecutors said. During the hours Cobos spent in Nugent's home after murdering her, he not only had a meal but used her credit cards to pay his own cell phone bill.
Police were on the scene investigating Monday evening, following Nugent's son's discovery of her body, when Cobos attempted to return to her home in her stolen vehicle. He was caught at around 8:30pm a few doors down.
The Houston Chronicle reports that Nugent pleaded for her life during the torturous killing.
Cobos was held without bond."
MSNBC host asks Beto how media can 'do better' for him: 'If you don’t like the coverage you can change it' - TheBlaze,www.theblaze.com,Caleb Howe,05-26-2019,2019,5,https://www.theblaze.com/news/msnbc-asks-how-to-help-beto,"MSNBC's Nicole Wallace was so busy gushing over Beto O'Rourke, maybe she forgot the cameras were on. That's as plausible an explanation as any for why she asked the 2020 Democrat candidate how the media can do a better job covering his and other Democrats' campaigns going into next year.
Usually when the Democrats in the media are trying to figure out how to help the Democrats running for office, they don't say out loud that's what they're doing.
But former Republican Wallace just walked it right out.
""So I've straddled both sides of the campaign, and now covering campaigns,"" she said. ""Play media critic: What can we do better for those of us covering your candidacies far away from where the first votes will be cast in Iowa and New Hampshire?""
As Beto did his best ""befuddled but giant-toothed Hugh Grant"" bit, Wallace added ""don't hold back!"" and they both laughed together like old friends.
""That's a good question,"" said O'Rourke, proving all politicians lie.
He then launched into a lengthy reply in which at one point, without apparent irony or any seeming rebuke, he said one thing the media can do is ask more substantive questions. He said that. Watch:
""Present company excluded"" he said. Amazing.
Wallace, though, wasn't finished fawning. ""I'll leave you with some free advice,"" she said. ""Grab Garrett [Haake], who is NBC's correspondent on your campaign and tell him what's on your mind.""
""If you don't like the coverage, you can change it. You're the candidate,"" said Wallace.
You. Can. Change. It.
She thanked O'Rourke effusively for joining her, and Beto waved goodbye to the camera. That's not a figure of speech, he did that.
The entire bizarre exchange needed a hilarious soundtrack, honestly. Luckily we have the internet.
""If you don't like the coverage, you can change it."" Just wow. Expect to see that sound bite in a lot of ads and compilations for the next few years. Unbelievable."
Here's the story behind the viral photo of soldier placing flag at Tomb of Unknown Soldier during storm - TheBlaze,www.theblaze.com,Chris Enloe,05-26-2019,2019,5,https://www.theblaze.com/news/soldier-tomb-of-unknown-storm,"During a severe thunderstorm that ravaged our nation's capital last Thursday, a solider with the 3d U.S. Infantry Regiment was photographed placing a small flag at the Tomb of the Unknown Solider.
That image, and the story behind it, has gone viral ahead of Memorial Day.
Image source: Facebook/3d U.S. Infantry Regiment
What's the story behind the photo? In a Facebook post , The 3d U.S. Infantry Regiment — which is also known as ""The Old Guard"" — described the moment as ""one of the most extraordinary displays of discipline and dedication to duty ever to be witnessed at Arlington National Cemetery.""
Here's the full story:
[On Thursday], torrential rain and drastic wind gusts overcame America's most hallowed grounds. Visitors ran for cover. News media piled into vehicles together. The streets flooded. Trees as old as the cemetery itself broke at the trunk and came crashing down. But America's Regiment endured. They found low ground and held fast through the wind and the rain. Some had to be to ordered to stand down from planting flags, still determined to continue to honor the fallen.
During the storm, one of the most extraordinary displays of discipline and dedication to duty ever to be witnessed at Arlington National Cemetery was taking place at the Tomb of the Unknown Soldier. With only a few watching from cover, a Tomb Sentinel approached the Unknowns with U.S. flags in hand. As thunder shook the ground and rains washed down without abandon, the Tomb Sentinel pierced through the elements with breath-taking precision. He knelt and placed the flags in honor of the Unknowns. For the select few who saw this moment, it was jaw-dropping. Humans have their limits, but The Old Guard has yet to meet theirs. According to WTHR-TV , the sentinel photographed placing the flags at the tomb was identified as Tyler McKee.
The Old Guard is responsible for conducting memorial affairs and representing the U.S. during special events. Part of the regiment's duties include standing continuous watch outside the Tomb of the Unknown Soldier inside Arlington National Cemetery."
"Federal judge who ruled against Trump's border wall made large donations to Obama, DNC",www.theblaze.com,Chris Enloe,05-26-2019,2019,5,https://www.theblaze.com/news/judge-border-wall-obama-donations-haywood-gilliam,"The federal judge who blocked President Donald Trump's border wall plans in a ruling on Friday previously donated nearly $30,000 to former President Barack Obama, political action committees, and Democrats.
What are the details? U.S. District Court Judge Haywood Gilliam — who was confirmed to the bench in 2014 after being appointed by Obama — donated $6,900 to Obama's 2008 campaign and $14,500 to Obama's re-election efforts, federal election records show .
Additionally, records indicate Gilliam donated $4,500 to the Democratic National Committee in 2012 and sent $3,100 to the Covington Burling LLP PAC, a political action committee that supports Republican and Democratic political candidates, according to The Washington Examiner .
Gilliam made the donations before he was confirmed to the court.
SAUL LOEB/AFP/Getty Images
During his Senate confirmation, Gilliam told Sen. Chuck Grassley (R-Iowa) that he would remain impartial as a judge, not allowing political ideology motivate his rulings.
""I have never viewed my legal practice as ideological, and I can assure the Committee that if confirmed as a district judge, I would base my decisions solely on the facts of each case and the applicable precedent, without regard to any political ideology or motivation,"" Gilliam said.
He also told the Senate Judiciary Committee that ""any personal views would not interfere in any way with my ability to neutrally apply the law.""
Anything else? As The Examiner noted, Gilliam is one of three federal judges to recently rule against the Trump administration with major decisions who also donated to Obama.
The other two judges — U.S. District Judge Amit Mehta and U.S. District Judge Edgardo Ramos — ruled that Trump's accountants must comply with subpoenas for his financial records and that Deutsche Bank and Capital One can divulge Trump's financial records to Congress."
Utah judge disparaged President Trump from the courtroom. Now he's paying the price.,www.theblaze.com,Chris Enloe,05-27-2019,2019,5,https://www.theblaze.com/news/utah-judge-suspended-anti-trump-michael-kwan,"A Utah judge who openly disparaged President Donald Trump in the courtroom and on social media is now facing the consequences of his actions.
What are the details? The Supreme Court of Utah has upheld a six-month suspension without pay for Taylorsville Justice Court Judge Michael Kwan.
In a ruling last week, Utah's Supreme Court determined Kwan undermined public confidence in the judiciary for ""improper use of judicial authority and his inappropriate political commentary."" Kwan criticized Trump, both on social media and in his courtroom, before and after the 2016 election.
From NBC News :
Three days after the 2016 election, Kwan wrote on Facebook, ""Think I'll go to the shelter to adopt a cat before the President-Elect grabs them all"" — a reference to the ""Access Hollywood"" tape in which Trump was heard bragging about grabbing women's genitals without consent.
Almost a month after Trump's inauguration, Kwan said ""welcome to the beginning of the fascist takeover"" and questioned whether Congressional Republicans would be ""the American Reichstag,"" this time referring to the political body of Nazi Germany.
Kwan also disparaged Trump in 2017 when a defendant voiced hope that Trump would follow through on his promise to implement tax reform.
Kwan defended his actions before the Utah Supreme Court, characterizing his comments as ""constitutionally protected speech."" However, the court vehemently disagreed.
""Fulfillment of judicial duties does not come without personal sacrifice of some opportunities and privileges available to the public at large,"" the court wrote . ""And as a person the public entrusts to decide issues with the utmost fairness, independence, and impartiality, a judge must at times set aside the power of his or her voice.""
Ultimately, the court dismissed each of Kwan's defenses and upheld the stiff reprimand because the judge ""has been the subject of prior discipline and the recipient of prior guidance.""
""Judge Kwan's behavior denigrates his reputation as an impartial, independent, dignified, and courteous jurist who takes no advantage of the office in which he serves,"" the court said. ""And it diminishes the reputation of our entire judiciary."" "
"Media 'watchdog' pushes deceptively edited clip to smear Ben Shapiro, incites liberal outrage mob - TheBlaze",www.theblaze.com,Chris Enloe,05-27-2019,2019,5,https://www.theblaze.com/news/ben-shapiro-media-matters-science,"While Democrats and the mainstream media spent part of last week outraged over a viral video of House Speaker Nancy Pelosi (D-Calif.), which they claim was deceptively edited, a liberal media watchdog deceptively circulated a video of Ben Shapiro.
What happened? On Friday, Media Matters for America researcher Jason Campbell tweeted a clip of Ben Shapiro discussing the development of modern science and the distinctions between scientific advancement in the Western world and the Eastern world.
""Ben Shapiro thinks that 'the idea of science' is unique to the Western world,"" Campbell captioned the tweet.
However, the clip, which was deceptively edited and devoid of its entire context, disproves Campbell's summary. Instead, the clip shows Shapiro correctly describing the scientific revolution by distinguishing ""between generalized science and incremental technological change.""
Regardless of what Shapiro actually said, the clip incited the liberal outrage mob, which accused Shapiro of minimizing — or downright rejecting — scientific advancements, namely in the Islamic and Asian world.
""Mr. Shapiro, I'd be happy to let you sit in on either my History of Science course or my class on the History of Alchemy so you can see the Islamic/Arab origins of modern science,"" one person said .
""Where does he think the 'Al' in Algebra comes from?"" another person said .
""It took me 5 seconds to google that the ancient Chinese invented the compass, gunpowder, printing and paper making. Ben literally just makes sh*t up without even the most basic of sources, and on top of that he does it to promote this vague idea of the west' (aka white people),"" yet another person claimed .
How did Shapiro respond? In response to criticism, Shapiro pointed people to another video in which he discusses the contributions the Muslim world made to science.
Here's what Shapiro actually said in the video:
The truth is, that the vision of modern science: the idea of hypothesis and hypothesis being rejected by evidence — that sort of science, experimental science, is unique to the west. There is a difference between technological progress, which does exist in a vast number of civilizations. And that technological progress is generally linked to the human need to overcome the environment around them.
There's a difference between that and the pure idea of exploring science for its own sake, which then has technical applications later. That is something that seems fairly unique to the West, which is why you see thinkers in the West, like Isaac Newton, who are trying to figure out general rules of the universe in a way that very few people were doing in other civilizations.
Now, that doesn't mean that every other person in every other civilization was incapable of doing this. Obviously, there were strides in science and mathematics, particularly in the Indian world in the first millennium. But great expanse of science was deeply wedded to, historically speaking, the Judeo-Christian belief that in order to investigate God, you had to investigate God's universe, and that was tied to a Greek natural law evidentiary-based position that the way to discover natural rules, was to look at the evidence. That's an Aristotelian idea.
So, as I say, this is not to discount the discoveries of other civilizations. The question is why the West did it best. And the answer is that the West did it best not just because they were making technological advances — again, technological advances exist throughout history — the question is why is it that the West came up with this idea of science, this generalized idea of science that was then used to create tremendous technological change far beyond what you would get if you were just in a field and you needed to figure out how to make a plow work better, for example.
There is a difference between generalized science and incremental technological change. (H/T: Erick Erickson, The Resurgent )"
"Ocasio-Cortez lectures male reporter, implies sexism over Liz Warren story. There's just one MASSIVE problem. - TheBlaze",www.theblaze.com,Chris Enloe,05-26-2019,2019,5,https://www.theblaze.com/news/ocasio-cortez-lectures-male-reporter?utm_source=Sailthru&utm_medium=email&utm_campaign=Daily-Newsletter__PM-Final%202019-05-25&utm_term=TheBlaze%20Daily%20PM%20-%20last%20270%20days,"Rep. Alexandria Ocasio-Cortez (D-N.Y.) lectured a male reporter this week and implied he was sexist over a story that he did not write, but merely shared.
What happened? On Thursday, CNN's Andrew Kaczynski shared a story from the Washington Post that detailed Sen. Elizabeth Warren's legal work while teaching at Ivy-League schools. According to the report, Warren charged clients as much as $675 per hour.
In his tweet, Kaczynski only summarized the story's main thesis, but did not offer additional commentary or analysis.
However, that did not stop Ocasio-Cortez — and thousands of others, for that matter — from criticizing Kaczynski has if he had criticized Warren or actually written the story himself.
""BREAKING NEWS: Lady Had A Job, Got Paid More Than Me,"" Ocasio-Cortez tweeted.
""Nice work. Now do the amount of Wall Street, Big Pharma, & Fossil Fuel presidential candidates accepted over their careers & how much they're taking now,"" she added, implying that Kaczynski's tweet was somehow sexist.
What's the problem with AOC's criticism?
As Alex Griswold of the Washington Free Beacon quickly pointed out, Ocasio-Cortez's criticism toward Kaczynski is unfounded because the CNN reporter did not write the Warren story.
In fact, two women, both Washington Post reporters, wrote the story: Annie Linskey and Elise Viebeck.
"
