title, publication, authors, date, year, month, url, content
Logan Paul Sued Over Flat Earth Mockumentary by Guy Trying to Launch Himself Into Space on Homemade Rocket,www.thedailybeast.com,kelly.weill@thedailybeast.com (Kelly Weill),04-12-2019,2019,4,https://www.thedailybeast.com/logan-paul-sued-for-flat-earth-mockumentary-by-mad-mike-hughes,One is a YouTube celebrity. The other is an amateur astronaut trying to disprove millennia of science.
"Mark Riddell, Who Took Tests for Wealthy High Schoolers in College Scam, Pleads Guilty",www.thedailybeast.com,Pilar.Melendez@thedailybeast.com (Pilar Melendez),04-12-2019,2019,4,https://www.thedailybeast.com/test-taking-whiz-mark-riddell-pleads-guilty-in-college-admissions-scam,"ANOTHER ONE DOWN Mark Riddell, Who Took Tests for Wealthy High Schoolers in College Scam, Pleads Guilty Prosecutors allege that while William Singer crafted the college scam, Mark Riddell was the brains behind the operation. Now, both have pleaded guilty in the cheating scandal. 04.12.19 3:02 PM ET Getty
A former Florida prep-school administrator who posed as high-school students to take SAT and ACT tests as part of a nationwide college admissions scam pleaded guilty in Boston federal court Friday afternoon.
Mark Riddell, 36, pleaded guilty to conspiracy to commit mail fraud and conspiracy to commit money laundering in what investigators have called the “largest college admissions scam” ever prosecuted.
Prosecutors alleged over 50 parents paid admissions consultant William “Rick” Singer upwards of $25 million total to rig test scores, cheat on SAT exams, and bribe college coaches to secure their children spots at several elite universities. Many of the children were not aware of the scam.
While Singer is believed to be the engineer of the operation, prosecutors allege that Riddell was the brains—taking tests in students’ place or correcting answers after their tests were handed in.
“He was just a really smart guy,” Andrew Lelling, U.S. Attorney for the District of Massachusetts said at a March news conference announcing the charges from the FBI’s “Operation Varsity Blues.” “He didn’t have any side information about the correct answers. He was just smart enough to get a near-perfect score on the exam or to calibrate the score.”
Riddell, the former director of the IMG Academy, allegedly was paid $10,000 per test. That money was taken from “donations” parents made to Singer’s fake charity, Key Worldwide Foundation, which were also used to bribe Los Angeles and Houston test administrators to let Riddell pose as high-school students.
“I want to communicate to everyone that I am profoundly sorry for the damage I have done and grief I have caused those as a result of my needless actions. I understand how my actions contributed to a loss of trust in the college admissions process,” Riddell said in a statement last month , after the charges were announced.
According to the indictment, Riddell was not only able to ace the standardized tests, but he also made sure to get an appropriate exam score for each student so as not to raise the suspicion of test companies.
“Singer would discuss with parents what kind of score was impressive—but not too impressive,” Lelling said. “Then he would instruct Riddell to attempt to get that score, and he was just good enough to do it.”
Riddell helped the oldest daughter of Felicity Huffman, who allegedly paid $15,000 to have the 36-year-old correct her kid’s answers, giving her a 400-point bump. Huffman, 56, announced on Monday that she will plead guilty to bribery and fraud for her role in the scam.
“I am ashamed of the pain I have caused my daughter, my family, my friends, my colleagues and the educational community,” Huffman said in a Monday statement. “I want to apologize to them and, especially, I want to apologize to the students who work hard every day to get into college.”
Riddell, a Harvard graduate and failed tennis pro, has been working with authorities since February and agreed to the terms in a plea deal signed last month in exchange for his cooperation, “in the hope of obtaining leniency when he is sentenced,” the Massachusetts U.S. attorney’s office said.
“I will always regret the choices I made, but I also believe that the more than one thousand students I legitimately counseled, inspired, and helped reach their goals in my career will paint a more complete picture of the person I truly am,” Riddell said in the statement.
He now faces up to two decades in prison and a $250,000 fine, although prosecutors said Friday they are recommending 33 months for his July 18 sentencing hearing. His plea makes him the 18th person to plead guilty in the massive bribery scam."
Trump Wants to Bus Migrants to Sanctuary Cities. The Mayors There Are Fine With It.,www.thedailybeast.com,Scott.Bixby@thedailybeast.com (Scott Bixby) Sam.Brodey@thedailybeast.com (Sam Brodey),04-12-2019,2019,4,https://www.thedailybeast.com/trump-wants-to-bus-migrants-to-sanctuary-cities-the-mayors-there-are-fine-with-it,"Trump Wants to Bus Migrants to Sanctuary Cities. The Mayors There Are Fine With It. An elaborate attempt to troll liberal politicians seems to have hit a snag. 04.12.19 4:46 PM ET JIM WATSON
President Donald Trump may have assumed that his proposal to release undocumented immigrants into so-called “sanctuary cities” would back Democrats into a corner on the issue of immigration. But the local officials in those cities he’s targeting don’t seem to actually find the prospect all that foreboding.
Instead, when asked about the plan—which would entail busing migrants apprehended at the U.S.-Mexico border to be released in cities that do not cooperate with federal law enforcement to arrest undocumented immigrants—mayors of major cities, regional capitals and medium-sized towns told The Daily Beast said that they would welcome those currently being detained.
“The city would be prepared to welcome these immigrants just as we have embraced our immigrant communities for decades,” Philadelphia Mayor Jim Kenney told The Daily Beast in a statement. “This White House plan demonstrates the utter contempt that the Trump administration has for basic human dignity and the core values on which this nation was founded.”
“As a welcoming city, we would welcome these migrants with open arms, just as we welcomed Syrian refugees, just as we welcomed Puerto Ricans displaced by Hurricane Maria and just as we welcome Rohingya refugees fleeing genocide in Myanmar,” said Chicago Mayor Rahm Emanuel in a statement.
“I am proud that Cambridge is a sanctuary city,” Mayor Marc McGovern of Cambridge, Massachusetts, told The Daily Beast. “Trump is a schoolyard bully who tries to intimidate and threaten people. I’m not intimidated and if asylum seekers find their way to Cambridge, we’ll welcome them.”
The response to Trump’s proposal is almost certainly not what the president expected and reflects the vast gulf that is growing between the two parties on immigration policy. The president’s idea was presented as a threat meant to scare Democrats into admitting that they wouldn’t be as accommodating of immigrant communities as they have pledged to be.
“We’ll give ’em to the sanctuary cities, maybe, to take care of, if that’s the way they want it,” Trump said during an event originally intended to pitch U.S. companies on the deployment of 5G technology. “We are looking at the possibility, strongly looking at it, to be honest with you.”
“We’ll give them more people,” Trump continued. “We can give them an unlimited supply—let’s see if they have open arms.”
How serious the administration is about pushing the idea remains unclear. The White House originally denied that they were seriously considering busing undocumented immigrants and migrants detained at the border to sanctuary cities, saying it was “just a suggestion that was floated and rejected, which ended any further discussion.” But the president has since leaned into it, even tweeting that he was giving it “strong consideration.”
That gambit, experts say, is both logistically and legally dubious. And multiple mayors told The Daily Beast that it only makes the Trump administration’s immigration policy look incoherent.
“Like so many issues we are forced to talk about during this presidency, this isn’t a real idea or a real proposal, it’s just another scare tactic,” said San Francisco Mayor London Breed. The city, home to the congressional district currently held by House Speaker Nancy Pelosi, is specifically mentioned as a potential target of Trump’s policy. “Every time we talk about the president’s latest tweet… we aren’t talking about a path to citizenship for the over 10 million undocumented immigrants in our country.”
Some pointed out that the proposal would only exacerbate what the president has characterized as an immigration crisis.
“Humans are not pawns. This is not a game. These are people’s lives,” said Portland Mayor Ted Wheeler. “Portland will continue to protect its sanctuary status in accordance with Oregon law and the U.S. Constitution. We strongly denounce the cruel efforts of this administration to retaliate against sanctuary cities.”
Previous Trump administration threats to retaliate against sanctuary cities have not materialized into actual policy. Former Attorney General Jeff Sessions had vowed to withhold federal law enforcement grants from jurisdictions that declined to cooperate with ICE. But 29 of 30 municipalities that had received Sessions’ letters still ended up receiving those grants. Federal courts also sided with sanctuary cities after Trump issued an executive order restricting federal funding for such cities.
“It’s a sign of the president’s tremendous weakness as an executive and weakness as a leader, and of the degree to which he pales in comparison to all of his recent predecessors,” Mayor Daniel Drew of Middletown, Connecticut told The Daily Beast. “This threat is hollow and more than anything is a sign of the tremendous weakness of the Trump administration.”
In Coachella, the California desert town famous for its music festival, Mayor Steven Hernandez told The Daily Beast that the city already works with outside organizations to ensure that undocumented immigrants are able to integrate into the community. Were the administration to bus in migrants from the border, Hernandez said, the community would welcome them.
“We have already been working alongside partners to ensure that recently arrived families, women and children get the services they need to make their successful transition into America,” he said.
Democrats in Congress, meanwhile, were exasperated with the president’s latest immigration gambit, and said they stand willing to work on policy if the White House would quit with the posturing.
Rep. Ro Khanna, a California Democrat who represents part of San Jose, a sanctuary jurisdiction, called on Trump to propose “real solutions.”
“Most of the communities he believes people should be going to are ones who would believe in just processing and treating people humanely and having that process,” Khanna told The Daily Beast by phone. “Is he gonna pay for people to be flown in there? Is he going to be paying for judges? It’s just logistically infeasible.”
Rep. Jamie Raskin, a Democrat who represents Maryland’s Montgomery County, a jurisdiction ICE has called consistently not cooperative, said that the political conditions were actually ripe for negotiations with the White House and congressional Republicans.
“It’s unfortunate that the president is in such a dark and vindictive state of mind. I don’t know where he thinks that leads,” added Raskin. “He’s a day trader. He’ll be off on another idea tomorrow.”"
Scouted: Anthropologie Is Giving You an Extra 25% Off Virtually All Its Sale Items Today,www.thedailybeast.com,gideon.grudo@thedailybeast.com (Gideon Grudo),04-12-2019,2019,4,https://www.thedailybeast.com/anthropologie-sale-get-an-extra-25-off-sale-items,"Scouted By The Beast
There are more than 1,500 items on sale at Anthropologie right now — including clothing , shoes and accessories , and beauty and wellness products — and you can get an extra 25% off virtually all of them . The final and discounted price is applied at checkout. NEWSLETTERS Product recommendations that'll make your life better and tips to help you shop smarter. Subscribe By Clicking ""Subscribe"" you agree to have read the Terms of Use and Privacy Policy
Since the sale covers so many departments on sale, there’s something in here for everyone. Want to give your dining experience an upgrade? This 4-piece set of Daisy dinner plates is $19 right now (that’s 53% off). Heading into the bedroom, this washed Percale Betsy duvet cover is $83 (also 53% off). How about a springy Brittany Gingham blouse whose black and white style should go with virtually anything you pair with it. It’s going for $45 (54% off). Or how about getting functional with Anthropologie’s Wanderer Utility pants ? Also going for $45 (or 54% off), these have a relaxed fit and an adjustable tie belt.
Anthropologie’s stacked sale is a great opportunity to update some wardrobe essentials or step up kitchen and living room mainstays — check out your options before long as this sale likely won’t last long past the weekend.
Scouted is internet shopping with a pulse. Follow us on Twitter and sign up for our newsletter for even more recommendations and exclusive content. Please note that if you buy something featured in one of our posts, The Daily Beast may collect a share of sales. READ THIS LIST"
Google Deals New Blow to Alt-Right Social Network Gab,www.thedailybeast.com,William.Sommer@thedailybeast.com (Will Sommer),04-13-2019,2019,4,https://www.thedailybeast.com/google-deals-new-blow-to-alt-right-social-network-gab,"ONE STEP AT A TIME Google Deals New Blow to Alt-Right Social Network Gab Google and Mozilla have taken aim at Gab’s ‘Dissenter,’ an internet-wide comment section. 04.12.19 6:29 PM ET Photo Illustration by The Daily Beast
Google and Mozilla banned a browser extension made by the social network Gab on Thursday, dealing another blow to the racist alt-right’s favorite social platform .
The new bans target Dissenter , a browser extension created by Gab that adds a parallel comment section to any web page on the internet. The decision from the two tech companies makes it harder for people to add Dissenter to their browsers.
The extension allowed Gab commenters to avoid moderation on the website’s usual comment sections, leaving their posts instead on a separate overlay visible to anyone with the Dissenter plug-in installed in Google’s Chrome or Mozilla’s Firefox. As a result, Dissenter comments often featured the same discussions popular with Gab’s far-right user base: fervent support for Trump and Gamergate-style complaints over perceived “social justice warrior” infiltration of various video games and movies by liberals.
In a statement, a Mozilla spokesperson told The Daily Beast that Dissenter had violated Mozilla’s rules against hate speech.
“Mozilla does not endorse hate speech and we do not permit our platforms to be used to promote such content,” the statement reads.
Gab founder Andrew Torba said in a statement that Dissenter had been blocked by tech companies that “want to destroy free expression online.” In response to the bans that make it harder to install Dissenter on mainstream browsers, Torba claims that Gab will now be launching its own browser as well.
Google didn’t respond to a request for comment.
Mozilla and Google reportedly banned Dissenter ahead of a story from the Columbia Journalism Review about the browser extension. The Dissenter comment section on that CJR story quickly filled up with angry users who blamed the story’s authors for the bans.
Torba himself appeared in the Dissenter posts, denouncing one expert quoted in the story as “pure SOY”—a reference to the fringe belief that eating soy makes men feminine.
Gab has already lost the services of PayPal, GoDaddy, and a number of other tech companies after Pittsburgh synagogue shooting suspect Robert Bowers allegedly used the social network to announce his plans. In March, Torba claims, Gab was even kicked off the crowdfunding site that it had used to raise roughly $2 million.
Torba launched Dissenter in February in an attempt to create a “free speech comment section for the internet.” Gab claimed on Thursday that Dissenter has more than 85,000 users—although the platform’s user base figures have been repeatedly questioned by critics .
The bans from Google and Mozilla now put Dissenter’s user growth, whatever the actual figure is, in doubt. While Chrome and Firefox users can still install the extension through the Dissenter site, they have to go through a complicated, lengthy process that requires downloading Dissenter’s code and attempting to set it up themselves.
Before the bans, by contrast, Dissenter users could easily install it through Chrome or Mozilla add-on stores. "
Anatori Crypts: This Caucasus Ghost Town May Be the Creepiest Place on Earth,www.thedailybeast.com,msn.com,04-13-2019,2019,4,https://www.thedailybeast.com/anatori-crypts-this-caucasus-ghost-town-may-be-the-creepiest-place-on-earth?source=articles&via=rss&utm_source=dlvr.it&utm_medium=twitter,"Peek inside and you’ll be met with skulls, femurs, vertebrae, and teeth piled so high you can't see the floor. Something horrible happened here, and no one is quite sure what."
"He Stole the Gutenberg Bible, Then Became Porn’s Weirdest Star",www.thedailybeast.com,Aaron Skirboll,04-13-2019,2019,4,https://www.thedailybeast.com/vito-aras-stole-harvard-gutenberg-bible-transformed-into-porn-star-dr-infinity,The many lives of ‘Dr. Infinity.’
The LGBT Mormons Pushing the Church To Accept Equality,www.thedailybeast.com,samantha.allen@thedailybeast.com (Samantha Allen),04-13-2019,2019,4,https://www.thedailybeast.com/the-lgbt-mormons-pushing-the-church-to-accept-equality,"Progress The LGBT Mormons Pushing the Church To Accept Equality After the Mormon Church rolled back anti-LGBT policies on same-sex marriage and baptism, an increasingly vocal contingent of LGBT Mormons are campaigning for greater change. Photo Illustration by Lyne Lucien/The Daily Beast/Getty
The Church of Jesus Christ of Latter-day Saints is approaching an LGBT crossroads.
The faith, commonly known as the Mormon church or LDS church, recently rolled back a November 2015 statement that declared same-sex marriage to be an act of apostasy and placed restrictions on children of same-sex couples who wish to be baptized. (Lest one think this constitutes a full reversal of the LDS church’s anti-LGBT positions, however, a top leader reiterated that same-sex marriage is still seen as “a serious transgression.”)
But a growing number of Mormons are becoming more progressive than their spiritual leaders on issues like same-sex marriage. No one knows that better than Nathan Kitchen , president of the Affirmation support organization for LGBT Mormons, which now serves about 6,000 people at its conferences.
When Kitchen came out as gay to his Mormon family six years ago, he told The Daily Beast, “half of my brothers and sisters were not affirming [and] it was difficult for my parents.” Now, Kitchen is engaged to be married in November—and his whole family will be there.
“If someone would have told me that five, six years ago when I came out, I would not have believed it,” said Kitchen.
There is empirical data to back up Kitchen’s experience: According to surveys conducted by the Public Religion Research Institute , Mormon opposition to same-sex marriage fell from 68 percent to 53 percent from 2013 to 2017.
That may well below the current strong majority support for same-sex marriage in the United States overall—but as The Salt Lake Tribune noted in its analysis of PRRI data , millennial Mormons have now crossed the 50-percent support threshold.
In fact, in a large-scale study she conducted for her book The Next Mormons: How Millennials are Changing the LDS Church , author Jana Riess found that LGBT issues are the third most common reason why millennials leave the faith. (As a transgender ex-Mormon myself, I can certainly relate to that sentiment.)
The LGBT millennial Mormon exodus is understandable. Even though the LDS church rolled back its November 2015 policy two weeks ago, top leaders still teach that same-sex sexual activity is sinful. Transgender members face potential discipline, too . The severity of the Mormon church’s LGBT positions may have been adjusted but it is still far from being an LGBT-affirming faith.
Still, an increasingly vocal contingent of LGBT Mormons are holding out hope that their faith may one day more fully accept them. From his vantage point, Kitchen believes that that LGBT Mormons who stay in the faith can “find themselves being bridge builders and having some really good constructive interactions with church members.”
“But those that go, I salute [them], I understand, I know why that needs to be—there’s no reason to hang around and wait for happiness at some distant point in the future,” he said.
Reached for comment for this story, the LDS church referred to its statement on the rollback of the November 2015 policy , in which leaders stopped short of apologizing for the policy, but said, “We want to reduce the hate and contention so common today.”
“We are optimistic that a majority of people—whatever their beliefs and orientations—long for better understanding and less contentious communications,” said Mormon apostle Dallin H. Oaks. “That is surely our desire, and we seek the help of our members and others to attain it.”
When the 2015 policy was first rolled back earlier this month, Kitchen felt an initial relief that the pain so many in Affirmation felt would now be at least partially allayed.
In practice, the policy had led to familial separation and trauma for LGBT Mormons. But after the surprising announcement had time to sink in, Kitchen’s views shifted.
“We can never go back as a community,” he said, “because this event changed us. We move forward, I think, stronger and more resilient and more aware of ourselves because of what we lived under in the past three and a half years in the church.” “They’re going to do what they’re going to do. But what we’re doing is just saying, ‘See me, hear my story’”
Instead of waiting around for more statements or rollbacks, Kitchen added, he wants to keep building a community of LGBT Mormons and former Mormons who stand strong together—and allow policy announcements to come if and when they may.
“I know that lobbying the church does not work,” he told The Daily Beast. “They’re going to do what they’re going to do. But what we’re doing is just saying, ‘See me, hear my story.’”
“I think that we need to be proud of what we’ve endured and what we’ve been through,” Kitchen continued, “and realize that we can move forward personally regardless of what the church says.”
For those closely watching the LDS church’s positions on LGBT issues, the decade following the faith’s involvement in California’s Proposition 8 has been a rollercoaster. The church, which can have a strong influence on Utah state politics, opposed same-sex marriage but in 2015 supported a successful compromise law that granted crucial non-discrimination protections to LGBT people with some religious exemptions .
The following year, the church issued a statement opposing conversion therapy—but also effectively torpedoed the chances of an LGBT-inclusive hate crimes bill. This year, however the hate crimes bill finally passed thanks to the efforts of advocacy groups like Equality Utah and to the church’s fading opposition to the law . “I’m very optimistic because I really am seeing that parents, especially nowadays, they don’t want to leave their children behind”
LGBT advocates in Utah have been drawing the LDS church’s attention to the unusually high rate of youth suicide in the state, which they believe is driven in large part by the rejection of LGBT youth . At the same time, the support group Encircle has opened centers for LGBT families and youth in both Provo, Utah and Salt Lake City.
This budding support amid all the heartache and turbulence has left Kitchen feeling hopeful: “I’m very optimistic because I really am seeing that parents, especially nowadays, they don’t want to leave their children behind.”
Affirmation, too, has seen growth in its reach, both at its conferences and on Facebook.
“The reach is growing because the interest is growing, both not only in the community but outside of the community,” said Kitchen.
But whether that growing LGBT support leads to substantive policy change remains to be seen. Earlier this year, United Methodist Church leaders arrived at a heartbreaking split on LGBT issues—but ultimately chose to shore up anti-LGBT policies , leading to outrage and sorrow for LGBT-affirming members and congregations.
As support for same-sex marriage and transgender rights grows within the faith, the Mormon church could be headed for a similar moment of reckoning. Even as millennial Mormons pull the membership left, the faith’s top leaders, known as apostles—who are currently an average of 71 years old—belong to either the Silent Generation or the Baby Boomer generation, both of which are much less accepting of LGBT people .
That’s why Kitchen isn’t pinning his hopes to policy change—but rather to the community of LGBT Mormons he wants to keep building.
“I don’t want to just sit around and wait for something like that,” he said of possible future LGBT reforms. “The leaders of the church need to get that answer—and meanwhile I’m going to be me, and I’m going to draw my friends, my family, and my community into my circle of love. That’s where I focus.” READ THIS LIST"
This Caucasus Ghost Town May Be the Creepiest Place on Earth,www.thedailybeast.com,Benjamin Kemper,04-13-2019,2019,4,https://www.thedailybeast.com/anatori-crypts-this-caucasus-ghost-town-may-be-the-creepiest-place-on-earth,"BONE COLLECTOR This Caucasus Ghost Town May Be the Creepiest Place on Earth Peek inside and you’ll be met with skulls, femurs, vertebrae, and teeth piled so high you can't see the floor. Something horrible happened here, and no one is quite sure what. 04.12.19 9:52 PM ET Benjamin Kemper for The Daily Beast
Dark tourism, the type of sightseeing that revolves around tragedy and death, is more popular than ever—just ask the half a million people who queued up last year to wander Paris’ catacombs. But one of the world’s most bone-chilling destinations, the Anatori Crypts in northern Georgia, has surprisingly flown under the radar of the goosebump-seeking masses.
From afar, it doesn’t look like much: three crumbling stone structures perched on a ridge. An abandoned hamlet, you might think, or an old lookout post (after all, Chechnya is just two miles away). But peek inside a cobwebbed window, and you’ll be met with a scene so macabre it might knock you off your feet: skulls, femurs, vertebrae, and teeth piled so high that you can hardly see the floor. Something horrible happened in Anatori, and no one is quite sure what.
But there are clues. For starters, the original buildings had no doors or windows (the openings you see today are a recent refit), indicating that their tenants were intentionally walled in. Yet there are no signs of struggle, like scratch marks or weapons or bashed-in skulls, ruling out the houses’ use as jails or torture chambers. In fact, a closer look at the skeletal remains reveals relatively peaceful deaths: adult corpses curled around infant ones in a final embrace, others with arms folded meditatively across their chests.
Why would these ancient tribesmen knowingly, willingly lock themselves away to die among dozens of rotting corpses? According to historians and local oral history, they were making a last-ditch effort to save their compatriots from the plague.
Georgia’s location at the crossroads between Asia and Europe on the Silk Road made the country particularly susceptible to exotic infections. It’s unclear whether the specific plague that swept Khevsureti—the mountain region where Anatori is located—came on the backs of Tamerlane’s armies or Silk Road merchants, but local experts agree that it likely arrived in the second half of the 14th century, around the same time that the Black Death was sweeping Europe.
The plague, which locals called zhami , was so brutal, says Tinatin Ididze, licensed trekking guide and founder of Caucasus Adventure Tours, that there came a point when there were too many bodies to bury and too few survivors to bury them. Instead of dying at home and potentially infecting others, “sick villagers would walk to the crypts, lie down inside, and wait for death,” she said, adding that new arrivals were tasked with freeing up real estate on the stone beds by throwing the freshly deceased cadavers onto the floor—hence the skeletal pileup you can still see today.
As you tiptoe around Anatori’s long-forgotten necropolises, it’s hard not to shudder at the fate of these unlucky ancients, who not only knew their death was imminent but spent their final days in pitch darkness, alone or with other sufferers, surrounded by cadavers of people they probably knew. But their story is as inspiring as it is devastating: Those interred here made the ultimate sacrifice so that their tight-knit community would have a shot at survival.
But in the end, the whole village of Anatori perished. The crypts, built to last, are all that remain.
Call it what you will—dark tourism, black tourism, or otherwise—but coming face to face with tragedy is one of the most powerful ways to connect with a place and reflect on your vitality. Anatori is a case in point.
Getting there
The Anatori Crypts are situated in the northeastern region of Khevsureti, midway between the villages of Shatili and Mutso. Both are worth visiting for their splendid mountain countryside and impressive stone citadels, which warded off invaders through the centuries. You’ll need a 4x4 vehicle to access the region, and hiring a Georgian-speaking guide is recommended; InterGeorgia Travel is dependable and affordable ($150/day flat rate for up to four passengers). READ THIS LIST"
The Most Expensive Object Lost on the Titanic,www.thedailybeast.com,Allison McNearney,04-13-2019,2019,4,https://www.thedailybeast.com/the-most-expensive-object-lost-on-the-titanic-merry-joseph-blondels-la-circassienne-au-bain,"Lost Masterpieces The Most Expensive Object Lost on the Titanic According to claims filed afterwards, Merry-Joseph Blondel's 'La Circassienne au Bain' was the most expensive object to be lost when the Titanic sank in 1912. 04.12.19 9:47 PM ET Photo Illustration by Elizabeth Brockway/The Daily Beast/Alamy/Getty
As the doomed Titanic began its final countdown before disappearing under the sea 107 years ago Monday, there was a last gasp of activity on the deck.
These scenes have become well known thanks to big-screen adaptations of the disaster: the rush to load the few remaining life boats with women and children, the brave musicians who took up their instruments for one last concert, the tilt of the deck as the ship began to tip into the ocean.
Mauritz Håkan Björnström-Steffansson knew these final moments all too well—he experienced them first hand. His life was saved at the last minute by a frantic leap into a nearby lifeboat as the Titanic began to sink, but 1,517 passengers and crew were not so lucky. Nor was his prized possession, an oil painting by the renowned 19th century French painter Merry-Joseph Blondel.
“La Circassienne au Bain,” also known in its early days as “Une Baigneuse,” made its debut at the Paris Salon of 1814 just as Blondel’s career was beginning to take off, though it took a few years before the critics warmed up to his bathing Circassian woman.
But in 1912, it reached its pinnacle of fame when it became the most expensive piece of property buried with the Ship of Dreams, at least according to the claims filed.
Starting in the late 17th century, the annual Paris Salon was the place for artists to exhibit their work in France. The state-sponsored Salons were where new artists were discovered, where established artists solidified their reputations, and where the public was invited to join in the cultural conversation.
Blondel would eventually become one of France’s esteemed neoclassical painters. Throughout his long career, he was the recipient of public art commissions that continue to decorate some of the most important buildings in France including the Louvre and the Palace of Versailles; he was awarded some of the top honors of his day, namely the Prix de Rome in 1803 (courtesy of Louis XVIII) and the Légion d’Honneur two decades later (with thanks to Charles X); and he was named to prestigious academic positions.
But early in his career, in 1814, he was surely delighted when four of his works were accepted for exhibition in the Louvre rooms at the annual Paris Salon. “La Circassienne au Bain” was among them.
Initially, the historical loss of this work on the Titanic was near total. Not only did the actual painting perish at sea, but there was little information left behind as to what it once looked like—few descriptions existed and there were no reproductions or photographs of the original, only one engraving.
But in the early 2010s, an artist working under the pseudonym “John Parker” conductive extensive research on Blondel’s lost work and created a reproduction of “La Circassienne au Bain” that was auctioned off by Plymouth Auction Rooms in 2016 for £2,700. (The artist did not respond to an interview request sent via the auction house, which also declined to comment for this piece.)
Parker’s reproduction shows a classical setting of an open-air bath in which Blondel painted a nude Circassian woman stepping into the water with one foot, the other balanced behind her resulting in a figure arranged in the traditional Greek contrapposto style.
The woman’s emerald green robe is thrown over the short concrete wall behind her. She looks off to the side towards it as her arm extends out, both showing off her figure and in a gesture to remove the remaining transparent silk scarf that provides her with just a touch of modesty.
Despite her nudity, the woman’s hair remains in an elaborately braided updo and her ears are garnished with appropriately dazzling baubles. Lush trees and foliage hover beyond the open walls of the bath. “His design and color lack truth and finesse, and we can say nothing in favor of this work, except that it is executed by a very skillful artist in practice”
When Blondel showed this work in 1814, he had only been back in France for a few years after his stint studying art in Italy. Three years later, he would win a gold medal at the Salon, but in 1814, at least one of the four paintings, the one that was doomed to a watery grave a century later, did not receive overwhelming praise.
“His design and color lack truth and finesse, and we can say nothing in favor of this work, except that it is executed by a very skillful artist in practice,” French artist and art critic François Séraphin Delpech wrote of “La Circassienne au Bain” in his review of works at that year’s Salon.
Delpech’s pronouncement was representative of the critical response to the piece: “meh.” But that allegedly changed a few years later after Blondel’s star had risen higher. When the public took a shine to the nude bather, the critics decided it wasn’t so bad after all. If not his most famous work, “La Circassienne au Bain” became well regarded.
Fast forward nearly a century and hopscotch a few European countries north, and Mauritz Håkan Björnström-Steffansson enters the tragic story of “La Circassienne au Bain.”
In 1912, Björnström-Steffansson was the 28-year-old son of a Swedish pulp baron, and he was preparing to travel to the U.S. to further his studies. As was only natural for a prominent young lad in that year, he had secured passage on the inaugural voyage of the Titanic, the ship being hailed as the largest and grandest to ever sail the seas.
Before he left, Björnström-Steffansson purchased a masterpiece—the famed French painter Merry-Joseph Blondel’s early work “La Circassienne au Bain”—to take with him.
What drew him to this piece, what he paid for it, or why he decided to purchase it before traveling to America to start a new life is unknown. What is known is that when Björnström-Steffansson boarded the Titanic on a first-class ticket, the Blondel was with him.
During the early days of the voyage, Björnström-Steffansson fell in with a group of other first-class passengers including the English businessman Hugh Woolner. It is from the testimony of Woolner during a U.S. congressional inquiry into the disaster that we know the details of what Björnström-Steffansson experienced on that fateful night.
On the evening of April 14, Woolner and Björnström-Steffansson were in the smoking room when the Titanic struck an iceberg. “We felt a sort of stopping, a sort of, not exactly shock, but a sort of slowing down; and then we sort of felt a rip that gave a sort of a slight twist to the whole room,” Woolner testified .
After retrieving life jackets from their respective quarters, Woolner said the two men met up back on deck and began assisting women and children into the lifeboats. They also came to the aid of First Officer Murdoch when a group of men tried to swarm one of the starboard-side boats.
When most of the boats had been filled and dispatched, the two friends decided to go to the A deck one story below to make sure all of the passengers had evacuated to higher quarters. Woolner said it was completely empty of people.
“It was absolutely deserted, and the electric lights along the ceiling of A deck were beginning to turn red, just a glow, a red sort of glow. So I said to Steffanson [sic]: ‘This is getting rather a tight corner. I do not like being inside these closed windows. Let us go out through the door at the end.’ And as we went out through the door the sea came in onto the deck at our feet.” “I jumped too, and hit the gunwale with my chest, which had on this life preserver, of course and I sort of bounced off the gunwale and caught the gunwale with my fingers, and slipped off backwards”
Woolner testified that they then went out onto the gunwale to prepare to dive into the ocean to escape being drowned in the enclosed A deck.
Once outside, they happened to notice that one of the last lifeboats was still being lowered into the water. There was a little bit of room left in the boat, so the men decided to make a jump for it. (The authors of On a Sea of Glass note that the duo probably knew that this boat was still making its way to the sea when they went downstairs, and also that jumping into it from below would be their only shot at survival.)
“[Björnström-Steffansson] jumped out and tumbled in head over heels into the bow, and I jumped too, and hit the gunwale with my chest, which had on this life preserver, of course and I sort of bounced off the gunwale and caught the gunwale with my fingers, and slipped off backwards.”
By the time they were both safely inside, the Titanic was rapidly sinking. The lifeboat was quickly paddled away from the doomed ship, and Woolner estimated they were about 150 yards out when the Titanic disappeared under the water. Both men were saved.
Nearly a year after the Titanic sank in the early hours of April 15, 1912, The New York Times reported that claims for more than $6 million had been filed against the White Star Line for loss of life, personal injury, and loss of property. In the later category, there were claims for jewelry, rare books, cars, a set of bagpipes, and a signed picture of Garibaldi.
But the most expensive claim of all was by Björnström-Steffansson who requested $100,000 (or the equivalent of over $2 million today) in compensation for the drowning of “La Circassienne au Bain.”
It’s unclear how much money Björnström-Steffansson received. In the end, White Star settled all of the claims for a total of only $664,000.
There was one bright spot for the Swedish businessman, who ended up making the U.S. his home.
Five years after the sinking of the Titanic, he married a woman to whom he was introduced by a fellow Titanic passenger, one he and Woolner had helped to save. The Björnström-Steffanssons remained married for the rest of their long lives. READ THIS LIST"
