title, publication, authors, date, year, month, url, content
Valley high: finding a new life in Wales | Life and style,www.theguardian.com,mzcymro,04-06-2019,2019,4,https://www.theguardian.com/lifeandstyle/2019/apr/06/escape-to-wales-relocating-from-brighton-to-a-remote-house-in-the-valleys#127803251,Strictly speaking they're digraphs - useful to know when playing hangman in Cymraeg!
Sally Challen enjoys first day of freedom after being granted bail | UK news | The Guardian,www.theguardian.com,msn.com,04-07-2019,2019,4,https://www.theguardian.com/uk-news/2019/apr/06/sally-challen-first-day-freedom?utm_source=dlvr.it&utm_medium=twitter,"A decade after being found guilty of murdering her ‘coercive’ husband, she is freed"
Five damaging myths about video games – let’s shoot 'em up | Games,www.theguardian.com,Arctor84,04-06-2019,2019,4,https://www.theguardian.com/games/2019/apr/06/five-damaging-myths-about-video-games-lets-shoot-em-up#127803195,"“Far from being a meaningless waste of time, then, games help us explore what it means to be human, to explore notions of love and loss, and to allow us to travel to far-off incredible places, to become incredible people”
Anyone who has invested time in Red Dead Redemption 2 knows this to be true. Oh, Arthur..."
Five damaging myths about video games – let’s shoot 'em up | Games,www.theguardian.com,honeytree,04-06-2019,2019,4,https://www.theguardian.com/games/2019/apr/06/five-damaging-myths-about-video-games-lets-shoot-em-up#127803199,"...and violent video games might (for some people) provide a ""release"" and make them less likely to be violent. That's at least a theoretical possibility."
Luis Suárez and Lionel Messi take Barcelona to verge of La Liga title | Football,www.theguardian.com,honeytree,04-07-2019,2019,4,https://www.theguardian.com/football/2019/apr/06/luis-suarez-lionel-messi-barcelona-atletico-madrid-diego-costa-la-liga#127803264,It wasn't. Check the replay.
Luis Suárez and Lionel Messi take Barcelona to verge of La Liga title | Football,www.theguardian.com,TaxmanCometh,04-07-2019,2019,4,https://www.theguardian.com/football/2019/apr/06/luis-suarez-lionel-messi-barcelona-atletico-madrid-diego-costa-la-liga#127803323,Am I mistaken or once upon a time a handball in La Liga used to be an automatic yellow?
Luis Suárez and Lionel Messi take Barcelona to verge of La Liga title | Football,www.theguardian.com,petrillo,04-07-2019,2019,4,https://www.theguardian.com/football/2019/apr/06/luis-suarez-lionel-messi-barcelona-atletico-madrid-diego-costa-la-liga#127803207,This comment was removed by a moderator because it didn't abide by our community standards . Replies may also be deleted. For more detail see our FAQs .
Luis Suárez and Lionel Messi take Barcelona to verge of La Liga title | Football,www.theguardian.com,TaxmanCometh,04-07-2019,2019,4,https://www.theguardian.com/football/2019/apr/06/luis-suarez-lionel-messi-barcelona-atletico-madrid-diego-costa-la-liga#127803287,Even today he punch someone as he fell down in the Atleti box.
Bayern thrash Dortmund to go top on landmark night for Lewandowski | Football,www.theguardian.com,BrasilBranche,04-07-2019,2019,4,https://www.theguardian.com/football/2019/apr/06/bayern-munich-borussia-dortmund-bundesliga-match-report#127803234,That's a back-hander and a half innit.
Gabriel Jesus fires Manchester City past Brighton and into FA Cup final | Football,www.theguardian.com,tukaram,04-07-2019,2019,4,https://www.theguardian.com/football/2019/apr/06/manchester-city-brighton-fa-cup-semi-final-match-report#127803169,I think he knows Man City will have to play an assortment of good teams to establish greatness. Who cares about how the Guardian rates them? Who are the world-class players in City that football fans in other countries want to see week in week out? Some relative sterner examination is looming. Let's save the superlatives for later.
