title, publication, authors, date, year, month, url, content
What’s News: Business & Finance,www.wsj.com,Whats News Business Finance,04-16-2019,2019,4,https://www.wsj.com/articles/whats-news-business-finance-11555383704,"Goldman’s profit fell 21% as trading and underwriting slowed, showing the urgency of the firm’s pivot away from those unpredictable businesses.
Citigroup posted a 2%, gain in net, aided by growth in U.S. consumer banking and better trading performance compared with its rivals.
American Airlines is moving to give pilots additional ground-simulator..."
Oceanfront Villa in the Dominican Republic's Casa de Campo Resort,live.wsj.com,wsj.com,04-11-2019,2019,4,http://live.wsj.com/video/oceanfront-villa-in-the-dominican-republic-casa-de-campo-resort/B7CF9FDC-C3DF-40C0-9EB8-716A9C1733F2.html,"The home's staff includes a chef, butler, waiter, two housekeepers and two gardeners."
Enemies of the Economic Enlightenment,www.wsj.com,Opinion,04-16-2019,2019,4,https://www.wsj.com/articles/enemies-of-the-economic-enlightenment-11555366746,"The 18th-century Enlightenment liberated mind, soul and property, empowering people to think their own thoughts, worship their own gods, and benefit from the fruits of their own labor and thrift. As labor and capital came to serve their owners, not the crown, guild, church or village, economies began to awaken from a thousand years of stagnation. The British Parliament stripped away the leaching influence of royal charters and initiated reforms that ultimately allowed businesses to incorporate simply by meeting preset capital requirements. Parliament further established that its laws would govern business—laws created..."
The West and Middle East Dictators,www.wsj.com,Opinion,04-16-2019,2019,4,https://www.wsj.com/articles/the-west-and-middle-east-dictators-11555368174,"Another spring, another set of political crises in the Arab world. This time autocratic rulers, long past their “sell by” dates, have fallen in Algeria and Sudan. In both countries, factionalized ruling elites, insulated for decades from political pressures other than backstairs intrigue, now scramble to satisfy angry throngs of protesters without any idea how this can be done.
We can recite the mantras of development theory and democracy promotion: Economic reform and political opening are what the region needs. Such platitudes..."
Radical Kitsch Comes to Columbia,www.wsj.com,Opinion,04-16-2019,2019,4,https://www.wsj.com/articles/radical-kitsch-comes-to-columbia-11555366719,"New York
Students at New York’s Barnard College and Columbia University play-acted last week as residents of Ferguson, Mo., chanting about police racism and brutality. I hope they had fun: They got six Barnard security officers, who did nothing wrong, placed on administrative leave pending investigation.
Columbia senior Alexander McNab,..."
‘Tim Cook’ Review: How to Succeed a Success,www.wsj.com,Books,04-16-2019,2019,4,https://www.wsj.com/articles/tim-cook-review-how-to-succeed-a-success-11555368070,"For eight years, Tim Cook has had what could be the hardest job of any CEO around: running Apple. Overseeing any company with a trillion-dollar market cap is hard enough, but even in that rarefied space there are degrees of difficulty. More difficult is taking over when the company is firing on all cylinders—more than two-thirds of Americans now own Apple products—and there is seemingly nowhere to go but down. Harder still is assuming the role suddenly after a founder’s death. When that founder happens to be Steve Jobs, the most iconic innovator and inventor in our lifetime, then the degree of difficulty is matched only..."
The Theater Is the Phone Addict’s Last Solace,www.wsj.com,Opinion,04-16-2019,2019,4,https://www.wsj.com/articles/the-theater-is-the-phone-addicts-last-solace-11555368200,"The theater is the only remaining place on earth where it is absolutely unacceptable to use a cellphone. Scrolling through phones while dining, in meetings, and even while actively speaking to other people, is so commonplace that at this point there is little cultural abhorrence surrounding their use in almost any daily activity.
Many rules against cellphone use have softened as popular addiction has grown. Gone are the days of “all electronic devices must be switched off during takeoff and landing.” Cars let drivers check..."
Notre Dame in Flames,www.wsj.com,Opinion,04-16-2019,2019,4,https://www.wsj.com/articles/notre-dame-in-flames-11555368929,"Construction on Notre Dame began in Paris in the 1160s. The astonishing building, a technological and artistic marvel in that day and this, survived scarred but intact through the Reformation, the French Revolution, the Nazi invasion and other horrors of the 20th century. Catastrophe arrived unexpectedly and perhaps accidentally in a terrible fire on Monday.
Even..."
Canada’s Texas May Go ‘Blue’—Again,www.wsj.com,Opinion,04-16-2019,2019,4,https://www.wsj.com/articles/canadas-texas-may-go-blueagain-11555368098,"When voters in Alberta elect a new government Tuesday, the results could reverberate beyond the province. Alberta has long been an anchor of conservatism and free-market ideas in Canada. Most of its electoral history has been dominated by two right-leaning parties, Social Credit (1935-71) and the Progressive Conservatives (1971-2015). Alberta has usually supported conservatives in federal politics, helping propel the rise of Preston Manning’s Reform Party, Stockwell Day’s Canadian Alliance and former Prime Minister Stephen Harper’s Conservatives. Rich in energy, it’s the closest Canadian equivalent to Texas.
Yet..."
Mayor Pete and Tolerance,www.wsj.com,Opinion,04-16-2019,2019,4,https://www.wsj.com/articles/mayor-pete-and-tolerance-11555368877,"Pete Buttigieg is the flavor of the month in Democratic politics, and on Sunday the South Bend, Ind., mayor formally launched his 2020 bid. In his kickoff speech Mr. Buttigieg, age 37, reflected on his teenage fears that being gay meant he’d “never wear the uniform, never be accepted, never know love.”
But when Mr. Buttigieg deployed to..."
