title, publication, authors, date, year, month, url, content
"Trump tells Dems 'it's over,' says McGahn won't testify, hits Biden's 'very dumb statement' in Fox News interview",https://www.foxnews.com,"['Catherine Herridge', 'President Trump', 'Catherine Herridge Is An Award-Winning Chief Intelligence Correspondent For Fox News Channel', 'Fnc', 'Based In Washington', 'D.C. She Covers Intelligence', 'The Justice Department', 'The Department Of Homeland Security. Herridge Joined Fnc In As A London-Based Correspondent.']",,,,https://www.foxnews.com/politics/trump-democrats-subpoena-biden-very-dumb-statement,"President Trump told Fox News in an exclusive wide-ranging interview Thursday evening that the White House has lost patience with congressional Democrats, and forcefully dismissed their efforts to subpoena former White House counsel Don McGahn and other administration officials to testify.

""They've testified for many hours, all of them. I would say, it's done,"" Trump told Fox News' Chief Intelligence Correspondent Catherine Herridge. ""Nobody has ever done what I've done. I've given total transparency. It's never happened before like this. They shouldn't be looking anymore. It's done.""

Attorney General Bill Barr made the right call in deciding not to appear before the House Judiciary Committee on Thursday, Trump said, following his testimony Wednesday in the Senate. House Democrats had insisted that committee counsel, rather than members of Congress, question Barr.

""It's not up to me, it’s up to him,"" Trump said, referring to Barr's decision not to show up. ""And they were going to treat him differently than they’ve treated other people. And of course we’ve been treated differently to start off with. We’ve gone through so many investigations, everybody. And it’s so ridiculous. No obstruction, no nothing -- there’s been no nothing. There’s been no collusion, there never was, they knew that from day one.""

Trump added, in a shot at the total cost of Special Counsel Robert Mueller's Russia probe: ""Even my finances, it must have been looked at -- for $35 million, I assume they looked at my taxes, I assume Mueller looked at my financial statements. For $35 million, and having 20 people, 49 FBI agents, and all of the staff and all of the money they spent, I assume they looked at my taxes, which are fine -- except they are under audit, by the way.""

The New York Times reported earlier Thursday that the FBI secretly deployed an informant to London in 2016 to gather information from then-Trump foreign policy aide George Papadopoulos, who told Fox News later that the informant posed as a researcher and tried to ""seduce"" him.

Former FBI Director James Comey, Trump told Herridge, ""probably was one of the people leading the effort on spying"" on his campaign.

""Comey leaked and he lied,"" Trump said. ""He lied in front to Congress. He was sworn testimony, classified information. He did a terrible job. Everybody wanted him fired -- you now everybody; [Senate Minority Leader Chuck] Schumer, every Democrat almost, every Republican, almost -- probably 100 percent.""

Trump has called the subpoena issued to McGahn by House Judiciary Committee Chairman Jerrold Nadler, D-N.Y., a ""ridiculous"" waste of time. The ex-White House lawyer sat for more than two dozen hours of interviews with Mueller and featured prominently in Mueller's report, and Trump has disputed the account in the report that he ordered McGahn to fire Mueller at one point.

""They shouldn't be looking anymore. It's done."" — President Trump

Trump additionally told Herridge he expected that key FBI documents that may shed light on the origins of the bureau's probe into his campaign could be declassified and released within a matter of weeks, or months at the latest.

REPORT: FBI SENT INFORMANT TO 'SEDUCE' TRUMP AIDE IN LONDON, ASK HIM ABOUT RUSSIA CONTACTS

""Yes, I’m going to be allowing declassification pretty soon,"" Trump said. ""I didn’t want to do it originally because I wanted to wait, because I know what they -- you know I’ve seen the way they play. They play very dirty. So I decided to do it, and I’m going to be doing if very soon, far more than you would have even thought.""

Trump previously told Fox News that his attorneys advised him not to declassify and release the full documents -- including surveillance warrant applications to monitor former Trump aide Carter Page and related materials -- while the Mueller probe was ongoing, for fear the administration would be accused of obstructing justice by doing so.

Asked about New York Attorney General Letitia James' ongoing efforts to investigate him on multiple fronts, Trump dismissed the probes as partisan stunts.

""Can you imagine someone campaigning -- she doesn't know anything about me, and she's campaigning on that fact,"" Trump said of the Democrat. ""They've gone through everything -- my taxes, my financial statements, which are phenomenal. And I'm so clean. Think of it -- after two and a half years, and all of that money spent, nothing. Very few people could have sustained that.""

White House contenders Joe Biden and Bernie Sanders, Trump told Herridge, remain his most likely opponents in 2020.

""I'd be very happy if it were Biden, Sleepy Joe. I think he did a bad job. ... I just don't think he'd be a very good candidate. I mean, we'll see what happens. I wish him well, I'd like him to get it. I'd be happy with Bernie. I personally think it's between those two. I don't see anybody else, but could be. You never know.""

Biden expressed his lack of concern over China as a global competitor to the U.S. at a rally on Wednesday, prompting a grim response from Sen. Mitt Romney, R-Utah.

""China is going to eat our lunch? Come on, man!"" Biden exclaimed. ""The fact that they have this great division between the China Sea and the mountains in the East -- I mean in the West. They can't figure out how they're going to deal with the corruption that exists within the system. They're not bad folks, folks. But guess what, they're not competition for us.""

BIDEN DOWNPLAYS CHINA THREAT, AS ROMNEY ISSUES NEW WARNING

Reacting to those remarks, Trump said Biden was among many politicians ""naive"" over China. ""For somebody to be so naive, and say China's not a problem -- if Biden actually said that, that's a very dumb statement.""

And, as protesters and military forces clashed in Venezuela, Trump again indicated his strong support for opposition leader Juan Guaido.

""He's a brave guy, and what's happening in Venezuela is sad,"" Trump said, although he refused to draw a specific red line for military intervention.

""There's always a tipping point,"" Trump said, when pressed on what it would take for the U.S. military to become involved. ""Certainly, I'd rather not do that.""

Separately, Trump said China ""took advantage of us on trade like nobody in history has ever taken advantage of anyone,"" but revealed that an agreement amid the country's ongoing trade war with the U.S. could be imminent.

""Well, we are very close to a deal with China,"" Trump said. ""But it’s a question of whether or not I want to make it. I mean we’re going to make either a real deal, or we’re not going to make a deal at all. And if we don’t make a deal we’re going to tariff China, and that’ll be fine. We’ll -- frankly we’ll make a lot of money.""

Asked about the possibility of a June summit with his Chinese counterpart Xi Jinping, Trump was optimistic: ""I think we can probably do that. Yes, I do. I think we can do that. Yes."""
F.B.I. Sent Investigator Posing as Assistant to Meet With Trump Aide in 2016,https://www.nytimes.com,"['Adam Goldman', 'Michael S. Schmidt', 'Mark Mazzetti']",05-02-2019,2019,5,https://www.nytimes.com/2019/05/02/us/politics/fbi-government-investigator-trump.html,"Ms. Turk went to London to help oversee the politically sensitive operation, working alongside a longtime informant, the Cambridge professor Stefan A. Halper. The move was a sign that the bureau wanted in place a trained investigator for a layer of oversight, as well as someone who could gather information for or serve as a credible witness in any potential prosecution that emerged from the case.

A spokesman for the F.B.I. declined to comment, as did a lawyer for Mr. Halper, Robert D. Luskin. Last year, Bill Priestap, then the bureau’s top counterintelligence agent who was deeply involved in the Russia inquiry, told Congress during a closed-door hearing that there was no F.B.I. conspiracy against Mr. Trump or his campaign.

The London operation yielded no fruitful information, but F.B.I. officials have called the bureau’s activities in the months before the election both legal and carefully considered under extraordinary circumstances. They are now under scrutiny as part of an investigation by Michael E. Horowitz, the Justice Department inspector general. He could make the results public in May or June, Attorney General William P. Barr has said. Some of the findings are likely to be classified.

It is unclear whether Mr. Horowitz will find fault with the F.B.I.’s decision to have Ms. Turk, whose real name is not publicly known, meet with Mr. Papadopoulos. Mr. Horowitz has focused among other things on the activities of Mr. Halper, who accompanied Ms. Turk in one of her meetings with Mr. Papadopoulos and also met with him and other campaign aides separately. The bureau might also have seen Ms. Turk’s role as essential for protecting Mr. Halper’s identity as an informant if prosecutors ever needed court testimony about their activities.

Mr. Barr reignited the controversy last month when he told Congress, “I think spying on a political campaign is a big deal.” He backed off the charged declaration later in the same hearing, saying: “I think spying did occur. The question is whether it was adequately predicated. And I’m not suggesting that it wasn’t adequately predicated. But I need to explore that.”"
"Donald Trump Saves Aircraft Carrier, Ignoring Navy Advice",http://time.com,['John Walcott'],,,,http://time.com/5582063/trump-navy-truman-cybersecurity/,"In March, a report to the Secretary of the Navy warned that the service is preparing for the wrong war, one fought not with bombs and artillery but with terabytes and artificial intelligence.

“We find the Department of the Navy preparing to win some future kinetic battle, while it is losing the current global, counter-force, counter-value, cyber war,” the report says.

President Donald Trump, however, this week ordered the Navy to continue preparing for the last war, surprising Acting Secretary of Defense Patrick Shanahan, Navy Secretary Richard Spencer and Chief of Naval Operations, Adm. John Richardson, on Tuesday by reversing his February decision to retire the 21-year-old nuclear-powered aircraft carrier USS Harry S. Truman.

Trump’s decision will cost the Navy more than $20 billion over the next two decades, much of which the service had planned to spend on new unmanned vessels and other advanced technologies.

It also ignores the advice of the March report.

“In prior eras, for good or ill, navies shifted their definition from wood to steel to wing, or from sail to steam and beyond,” the report to Navy Secretary Spencer says.

“This time technology, not the naval service, or its opponents, have imposed a definition of what navies will be for the rest of the 21st Century,” it says. “Navies must become information enterprises who happen to operate on, over, under, and from the sea; a vast difference from a 355 ship mindset.”

Trump’s abrupt April 30 decision to change a section of the Navy budget he had approved earlier this year will please many bipartisan members of Congress, some of whom had vowed to keep the Truman — and a 355-vessel fleet with 12 aircraft carriers — afloat if Trump didn’t.

The decision also is consistent with the President’s aversion to discussing cybersecurity, such as protecting the 2020 elections from hackers. Physical structures have been the foundation of his business career, and building walls and ships employs more and different workers than writing algorithms does.

The President’s decision this week, however, was made without consulting Shanahan, Spencer or Richardson, according to two Administration officials who said they, too, were “ambushed,” as one put it.

“This is not the first time we’ve seen the President make a decision or countermand an order, and it won’t be the last,” said one of the officials, who helps oversee the Defense Department budget and spoke only on the condition of anonymity. “What’s really troubling though, is that decisions like this don’t go through any kind of policy process — there’s no deliberation, no meetings, no opportunity for input from anybody who knows what they’re talking about.”

According to a report in Breaking Defense, which TIME has confirmed, Shanahan was told of Trump’s decision only about two hours before Vice President Mike Pence announced it in remarks made aboard the Truman, and Richardson had prepared testimony defending the move to retire the carrier for a Senate Defense Appropriations subcommittee on Wednesday morning.

The Navy publicly supported the decision. “The Navy looks forward to working with the White House and Office of the Secretary of Defense in support of the President’s budget,” Capt. Greg Hicks, the Navy’s acting Chief of Information, said in a statement.

But the decision to remain on course may prove costly, as the 73-page readiness report warns.

“America once won wars with overwhelming manpower, then later won with superior industrial might, and with the Cold War, won with better technology,” it says. ” The cyber war has been ongoing for some time. The threat is long past the emergent or developing stage. While its ‘guns’ go unheard, it is real, and with as or more devastating consequences.”

While the U.S. remains “relatively flat-footed,” it continues, “both Russia and China are executing well developed cyber-enabled regional and global ‘grey zone’ unconventional strategies against the U.S. and its allies”.

Already, the report says, those strategies threaten to cripple the Navy’s ability to fight, no matter how many aircraft carriers it has.

“The systems the U.S. relies upon to mobilize, deploy, and sustain forces have been extensively targeted by potential adversaries, and compromised to such as extent that their reliability is questionable,” it says.

In layman’s terms, that means the U.S. Navy, as well as the Army, Air Force, and Marine Corps, may find they can’t count on all the satellites and other technology they use to navigate, communicate, locate targets and hit them.

Contact us at editors@time.com."
Trump announces 'conscience objection' rule for medical care is finalized,https://www.cnn.com,"['Maegan Vazquez', 'Jessica Ravitz']",05-02-2019,2019,5,https://www.cnn.com/2019/05/02/politics/trump-administration-final-rule-conscience-objections/index.html,"Washington (CNN) The Trump administration announced a new rule on religious conscience protections for the medical field on Thursday, aimed at protecting religious and moral objectors from participating in or paying for services such as abortion, sterilization and assisted suicide.

""Just today we finalized new protections of conscience rights for physicians, pharmacists, nurses, teachers, students and faith-based charities. They've been wanting to do that a long time,"" Trump said during a National Day of Prayer service at the White House Rose Garden on Thursday.

The final rule drew immediate condemnation from several civil and reproductive rights groups. They warned that those seeking reproductive care stand to lose, as do members of the LGBTQ community. They said the idea of religious liberty is being used to justify hurting communities and endangering lives and will negatively affect women's health and that of transgender patients.

The Health and Human Services Office for Civil Rights said in a statement on Thursday that this final rule replaces one from 2011 that it deemed ""inadequate.""

According to the office, the rule will protect individuals and health care entities from unwanted involvement with services such as abortion, sterilization or assisted suicide. The rule, according to the office, reestablishes existing protections created by Congress.

The final rule also notes that complaints submitted to the office about gender dysphoria-related surgeries will be considered on a case-by-case basis.

The proposed conscience rule was submitted in January 2018 alongside the Department of Health and Human Services creation of the Conscience and Religious Freedom Division within its civil rights office, which provides resources and personnel to enforcing the new guidelines and ensuring compliance.

The Sunlight Foundation reported that last month the HHS Office of Civil Rights overhauled its mission statement, to heavily emphasize the office's role in protecting ""conscience and free exercise of religion.""

The office's director, Roger Severino, touted the final rule in a statement: ""Finally, laws prohibiting government funded discrimination against conscience and religious freedom will be enforced like every other civil rights law.""

Vanita Gupta, president and CEO of the Leadership Conference on Civil and Human Rights, which aims to ""promote and protect the rights of all persons in the US,"" said in a statement that the rule should be ""scrapped.""

""HHS's final denial of care rule will substantially harm the health and well-being of many -- in particular women and transgender patients. The government should protect all patients from discrimination, not make it easier for those in the health care system to discriminate,"" Gupta, a former civil rights official at the Justice Department, said.

""Religious liberty is a fundamental right, but it doesn't include the right to discriminate or harm others,"" Louise Melling, deputy legal director at the American Civil Liberties Union, said in a statement. ""Denying patients health care is not religious liberty. Discriminating against patients based on their gender or gender expression is not religious liberty. Medical standards, not religious belief, should guide medical care.""

Letting personal religious beliefs get in the way of care is ""outrageous, immoral, and dangerous,"" said Kris Hayashi, executive director of the Transgender Law Center, in a statement.

The new rule also blocks access and chips away at the intent of important federal programs like the Title X family planning program, said Clare Coleman, president and CEO of the National Family Planning & Reproductive Health Association.

""This final rule ignores the needs of the patients and individuals served by HHS' programs and will create significant confusion about the rights and responsibilities of health care providers and entities,"" Coleman said in a statement."
Trump finds in Barr the attorney general — and shield — he long sought,https://www.washingtonpost.com,"['Matt Zapotosky', 'National Security Reporter Covering The Justice Department', 'Josh Dawsey', 'Reporter Covering The White House', 'Tom Hamburger', 'Investigative Reporter Focused On The Intersection Of Money', 'Politics In Washington', 'Ashley Parker', 'White House Reporter', 'May At Pm']",05-02-2019,2019,5,https://www.washingtonpost.com/world/national-security/trump-finds-in-barr-the-attorney-general--and-shield--he-long-sought/2019/05/02/03b5faf0-6cea-11e9-be3a-33217240a539_story.html,"For a time, President Trump was reluctant to select William P. Barr as his attorney general. The veteran Justice Department official from the George H.W. Bush administration was not a longtime Trump loyalist, and the president wondered whether one of his own political allies might serve better as a shield, people familiar with the matter said.

But Trump was ultimately persuaded — in part because his lawyers and advisers told him Barr was a strong supporter of presidential power and unafraid of taking on critics. This week, the president has been thrilled with his choice, particularly after Barr sparred so vigorously with Democrats on the Senate Judiciary Committee on Wednesday that some were left wondering whether he viewed himself as the president’s defense attorney, according to people familiar with the matter, who like others spoke on the condition of anonymity to discuss internal deliberations.

[Barr spars with Democrats over ‘snitty’ Mueller letter]

In Barr’s first three months in the job, his actions have served to protect Trump, though his motive is up for debate. Barr’s defenders note that the attorney general has long advocated strengthening the power of the executive branch, and the attorney general has told other lawyers that he is more interested in protecting the presidency than the man in the job.

But critics say that Barr has emerged as the partisan champion Trump always wanted — one willing to defend the president’s most questionable conduct, put a Trumpian spin on the results of special counsel Robert S. Mueller III’s investigation and mislead Congress along the way.

“He has failed the men and women of the Department of Justice by placing the needs of the president over the fair administration of justice,” Rep. Jerrold Nadler (D-N.Y.) said at a congressional hearing Thursday that Barr skipped after a dispute over the terms of his appearance.

Barr’s defenders say he is unbothered by the criticism.

“He is not at all surprised at the partisan reception he received,” said Richard Cullen, an attorney and close friend of Barr’s who spoke with Barr after his Senate testimony. “He is going to follow what he believes is the law, politics be damned.” Cullen represents Vice President Pence.

Political fires have raged around Barr, who was also attorney general in the George H.W. Bush administration, from even before his confirmation along largely partisan lines. But he has come under sustained attack this week after The Washington Post reported that Mueller had sent a memo to Barr complaining about how the attorney general had described the results of the special counsel investigation in a letter to Congress.

[Mueller complained that Barr’s letter did not capture ‘context’ of Trump probe]

In his letter to Congress after Mueller ended his inquiry, Barr wrote that Mueller had not found that Trump or his associates coordinated with Russia to influence the election, and that the special counsel would not reach a decision on whether the president obstructed justice. Mueller countered in his own letter that the attorney general “did not fully capture the context, nature, and substance” of the special counsel’s work.

The revelation of Mueller’s March letter — which Barr derided as “a bit snitty” — sparked calls from some Democrats for Barr to resign. They also accused the attorney general of lying to Congress for not revealing Mueller’s concerns during a congressional hearing in April. Barr was asked during that hearing whether he knew to what media reports were referring when they revealed frustration among some on Mueller’s team about the limited information Barr had revealed to Congress about their work.

“He lied to Congress,” House Speaker Nancy Pelosi (D-Calif.) said during a news conference Thursday. “The attorney general of the United States of America was not telling the truth to the Congress of the United States. That’s a crime.”

Kerri Kupec, a Justice Department spokeswoman, said Pelosi’s comment was “reckless, irresponsible, and false.”

Trump, who spent a few hours at most with Barr before picking him as attorney general, told people that he was pleased with Barr’s pugnacious performance before the Senate Judiciary Committee on Wednesday, though one Trump ally who regularly speaks with the president said his joy was “shortsighted” because Barr lost credibility with some lawmakers who could be useful later.

On Wednesday night, Trump tweeted a link to a Wall Street Journal editorial lauding Barr’s testimony and bearing the headline, “A Real Attorney General” — a phrase which, to Trump, means “someone who is defending him at all costs,” one former White House official said. Trump and senior White House officials have urged surrogates to go on TV and praise Barr — and even arranged a call Wednesday afternoon to disseminate supportive talking points.

People familiar with the matter said that in the call, deputy White House press secretary Steven Groves told them to say of Barr that “nobody really laid a glove on him” and that Barr had “dismembered arguments about obstruction of justice.”

[How a legal dispute between Mueller and Barr drove the end of the special counsel’s probe]

Before he was nominated, Barr wrote a detailed memo — which he sent to the Justice Department, as well as to lawyers working for the White House and Trump — blasting Mueller’s apparent theory of how Trump could have interfered with justice as “fatally misconceived.” In Barr’s view, the president should not be investigated for using his powers to affect an investigation — meaning that the firing of James B. Comey as FBI director would be out of reach for federal prosecutors.

Democrats alleged that the memo was essentially a tip at the time about how he might curtail Mueller’s not-yet-completed probe. On Wednesday, Barr held to his view, repeatedly insisting that Trump’s asking his White House counsel to have Mueller removed was not a prosecutable obstruction case because Trump had a legal right to end Mueller’s investigation.

Mueller declined to conclude whether his team believed there was a prosecutable case against Trump for obstructing justice. His report, which laid out detailed accounts of possible obstructive conduct he investigated, asserted that he could not say even privately whether the president committed a crime because of Justice Department guidance that says a sitting president cannot be indicted. Barr and Deputy Attorney General Rod J. Rosenstein reviewed the case themselves and determined that a charge could not be brought.

A White House official said that Barr had “set the narrative” in a way that was positive for the White House and that the swirling debate about the special counsel has just been “noise.”

David Rivkin, a conservative lawyer who has worked with Barr, said he believed Barr was more interested in defending the executive branch of government than the president himself. Barr was no early Trump supporter; he was a major political contributor to Jeb Bush, one of the president’s primary opponents.

“His behavior is sufficiently explained by his well-known and publicly articulated views to constitutional principles,” Rivkin said.

Barr also turned the tables on Mueller — expressing confusion about how the special counsel came to some decisions and confirming that he would examine, as many Republicans want, the origins of the FBI probe that the special counsel eventually took over.

Trump campaign advisers, who said they had raised more than $1 million after the Mueller report was released, said the attorney general’s comments have generally been helpful — especially his earlier assertion that there was “spying” during the 2016 presidential race.

At the same time, Barr sought to extricate the Justice Department from the political battles of Mueller’s investigation, declaring at one point, “We are out of it.” The comment resonated with some Barr supporters who are eager to see more stability in the Justice Department.

“It seems to me that the attorney general’s handling of the report and the issues it raised now has a punctuation point, and there are many other important matters to the American people on his plate that merit attention,” said George Terwilliger, a former deputy attorney general and a friend of Barr’s.

But more battles lie ahead. Last month, White House lawyer Emmet Flood sent Barr a letter declaring that Trump’s decision not to invoke executive privilege to block any portions of the Mueller report should not be over-interpreted. The president, Flood wrote, might still seek to curtail his advisers’ cooperation with Congress over the report or prevent the release of underlying investigative materials.

That posture will almost certainly spark a battle between Congress and the White House — with Barr at the center of the fight.

Alice Crites contributed to this report."
Are you a robot?,https://www.bloomberg.com,[],05-02-2019,2019,5,https://www.bloomberg.com/news/articles/2019-05-02/trump-tax-returns-deutsche-bank,"Why did this happen?

Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy."
The Catastrophic Performance of Bill Barr,https://www.theatlantic.com,"['Benjamin Wittes', 'Editor In Chief Of']",05-02-2019,2019,5,https://www.theatlantic.com/ideas/archive/2019/05/bill-barrs-performance-was-catastrophic/588574/,"Quinta Jurecic: All of the impeachable offenses

Barr has consistently sought to spin his department’s work in a highly political fashion, and he has done so to cast the president’s conduct in the most favorable possible light. Trump serially complained that Jeff Sessions didn’t act to “protect” him. Matthew Whitaker never had the stature or internal clout to do so effectively. In Barr, Trump has found his man.

Ironically, the redactions on the report—the matter on which I urged giving Barr the benefit of the doubt—are the one major area where his performance has been respectable. On this matter, he laid out a time frame for the release of the report. He met it. His redactions, as best as I can tell, were not unreasonable, though they were aggressive in some specific areas. To whatever extent he went overboard, Congress has a far-less-redacted version. The public, in any event, has access to a detailed account of Mueller’s conclusions. On this point, Barr did as he said he would.

Where Barr has utterly failed, by contrast, is in providing “honest leadership that insulates [the department] from the predations of the president.” I confess I am surprised by this. I have never known Barr well, but I thought better of him than that.

The core of the problem is not that Barr moved, as many people worried he would, to suppress the report; it is what he has said about it. I have spent a great deal of time with the Mueller report, about which Barr’s public statements are simply indefensible. The mischaracterizations began in his first letter. They got worse during his press conference the morning he released the document. And they grew worse still yesterday in his testimony before the Senate Judiciary Committee.

Barr did not lie in any of these statements. He did not, as some people insist, commit perjury. I haven’t found a sentence he has written or said that cannot be defended as truthful on its own terms, if only in some literal sense. But it is possible to mislead without lying. One can be dishonest before Congress without perjury. And one can convey sweeping untruths without substantial factual misstatement. This is what Barr has been doing since that first letter. And it is utterly beneath the United States Department of Justice.

John Yoo: Mueller left a gap. Barr just filled it.

The dishonesty only begins with the laughably selective quotation of Mueller’s report in Barr’s original letter, the scope of which Charlie Savage laid out in a remarkable New York Times article shortly after the full report was released. I urge people to look at Savage’s side-by-side quotations. The distortion of Mueller’s meaning across a range of areas is not subtle, and it’s not hard to understand why Mueller himself wrote to Barr saying that the attorney general’s letter “did not fully capture the context, nature, and substance of this Office’s work and conclusions.”"
Interior Dept. Loosens Offshore-Drilling Safety Rules Dating From Deepwater Horizon,https://www.nytimes.com,['Coral Davenport'],05-02-2019,2019,5,https://www.nytimes.com/2019/05/02/climate/offshore-drilling-safety-rollback-deepwater-horizon.html,"Want climate news in your inbox? Sign up here for Climate Fwd:, our email newsletter.

WASHINGTON — The Trump administration on Thursday made public its rollback of a major offshore-drilling safety regulation, significantly weakening an Obama-era rule that was put in place after the 2010 Deepwater Horizon explosion in the Gulf of Mexico, which killed 11 people and sent 4.9 million barrels of oil gushing into the sea, causing the worst oil spill in American history.

Interior Secretary David Bernhardt, a former oil lobbyist who was confirmed by the Senate last month to head the agency that oversees the nation’s public lands and waters, announced the plan Thursday afternoon in Port Fourchon, La., the vast industrial hub that serves as the onshore base for most companies that drill in the Gulf of Mexico.

The oil industry praised the move. Environmental groups warned that the rollbacks could pave the way for similar crises to happen again.

The weakened safety rules come as the Trump administration has also sought to vastly expand offshore drilling in the nation’s waters. Last year the Interior Department proposed opening almost the entire United States coastline to drilling, although Mr. Bernhardt recently said the administration may delay those plans while court challenges are addressed."
VA Comes Out Against Bills on Medical Marijuana for Veterans,https://www.military.com,['Patricia Kime'],05-02-2019,2019,5,https://www.military.com/daily-news/2019/05/02/va-comes-out-against-bills-medical-marijuana-veterans.html,"The Department of Veterans Affairs opposes three legislative proposals that would expand research on medical marijuana at the VA and give veterans access to the drug in states where it is legal.

During a hearing Tuesday on eight VA health-related bills under consideration by Congress, VA officials told House lawmakers that as long as marijuana is illegal under federal law, the department cannot support legislation that promotes its role at the VA.

""[The House Veterans Affairs Committee] can make strong proposals for us to move forward with recommendations of filling out forms and such but, in the end, we need to go back to the [Drug Enforcement Agency] and [Justice Department] for their opinion,"" said Larry Mole, chief consultant for population health at the VA.

Three of the bills before the House Veterans Affairs health subcommittee relate to medical marijuana. One, the Veterans Equal Access Act, H.R. 1647, sponsored by Rep. Earl Blumenauer, D-Oregon, would allow VA health providers to recommend medical marijuana to their veteran patients and fill out the necessary paperwork for them to enroll in state marijuana programs.

Related content:

Blumenauer, who has introduced the bill in every Congress since 2014, said that, for some veterans, marijuana and cannabis derivatives are lifesavers that keep them from using addictive medications such as opioids to treat post-traumatic stress disorder, chronic pain, seizures and glaucoma. Yet VA health care providers are not allowed to recommend it.

""Opioids steal the lives of 115 Americans every day ... as veterans with PTSD, chronic pain and any number of ailments are looking for relief, lethal opioid overdoses among VA patients are almost twice the national average. We are doing something wrong,"" he said.

Another bill, the VA Medicinal Cannabis Research Act, H.R. 712, would direct the VA to conduct a large-scale clinical trial on the effects of cannabis on conditions such as PTSD and chronic pain.

Bill sponsor Rep. Lou Correa, D-California, said the research would examine the effectiveness of cannabis on various health conditions, as well as delivery methods.

""It's time to do research. It's time for veterans to know what cannabis is good for and what cannabis is not good for,"" Correa said.

A third, the Veterans Cannabis Use for Safe Healing Act, H.R. 2192, would protect veterans' benefits by prohibiting the VA from denying health care and compensation for veterans participating in a state medical marijuana program.

Keita Franklin, the VA's national director of suicide prevention, said that while the department supports medical marijuana research and is currently involved in a trial for treating PTSD, it opposes the bills.

According to Franklin, VA doctors would be subject to criminal prosecution if they recommended medical marijuana or made referrals to state agencies, as specified by DEA guidance.

And Correa's bill, she said, would not follow standard practice in medical research.

""Typically, a smaller early-phase trial would advance our knowledge and the benefits and risks regarding cannabis before moving to the expansive approach described in this legislation,"" she said. ""Any trial involving human subjects must include an evaluation on the risks and the safety, and include the smallest number of participants to avoid putting the subjects at increased risk unnecessarily. For these reasons, we don't support this legislation.""

She added that the third piece of legislation is unnecessary because VA policy states that the department cannot deny benefits based on marijuana use, although VA physicians are allowed to tailor a patient's prescription medications based on whether they are using cannabis.

Veterans advocates who testified expressed varying levels of support for the bills.

Carlos Fuentes, director of national legislative service for the Veterans of Foreign Wars, said the VFW does not support the Veterans Equal Access bill because it doesn't think the VA should recommend unproven medical treatments, nor should it authorize a treatment for a veteran that would require the former service member to get it outside the VA, where they would be responsible for finding a quality product and paying for it.

The VFW does, however, support VA research on cannabis.

""VA's overreliance on opioids to treat chronic pain and other conditions has led to addiction and even deaths. To its credit ... VA has reduced the number of patients to whom it has prescribed opioids by 22 percent. Now, VA must expand research on the efficacy of nontraditional alternatives to opioids,"" Fuentes said.

Joy Ilam, national legislative director for Disabled American Veterans, agreed.

""We want to make sure there is no harm done. Research is the first step in doing that,"" Ilam said.

Iraq and Afghanistan Veterans of America research director Stephanie Mullen said the IAVA supports cannabis research and access to it.

""It's past time for VA to catch up,"" Mullen said. ""Veterans are suffering from their injuries today.""

Among the other bills and draft bills discussed at the hearing was one that seeks to expand complementary and alternative therapies and treatments at VA medical facilities, and another that would require the VA to report suicides and attempts that occur on VA campuses within a week of them happening.

Franklin said the VA supports both proposals.

-- Patricia Kime can be reached at Patricia.Kime@Military.com. Follow her on Twitter at @patriciakime."
State Dept. allowed foreign govts to lease luxury condos at Trump World Tower without Congress OK,https://www.nbcnews.com,[],,,,https://www.nbcnews.com/politics/donald-trump/state-dept-allowed-foreign-govts-lease-luxury-condos-trump-world-n1001201,"State Dept. allowed foreign govts to lease luxury condos at Trump World Tower without Congress OK

The transactions could run afoul of the Constitution's emoluments clause, which is already the focus of lawsuits against the president."
