title, publication, authors, date, year, month, url, content
Yellow Vests on the Streets for 21st Straight Weekend,www.breitbart.com,christianbosnia,04-06-2019,2019,4,https://www.breitbart.com/europe/2019/04/06/yellow-vests-streets-21st-straight-weekend/#post-8,The whole French nation needs to join the Yellow Vests boot out Macron from the Elysee Palace
Yellow Vests on the Streets for 21st Straight Weekend,www.breitbart.com,April Rose,04-06-2019,2019,4,https://www.breitbart.com/europe/2019/04/06/yellow-vests-streets-21st-straight-weekend/#post-9,They need to march on Brussels and their insane migration policy! Move Africa and the Middle East to Europe! Can't you just see the spear chuckers beating on old Druncker's door now?
Yellow Vests on the Streets for 21st Straight Weekend,www.breitbart.com,April Rose,04-06-2019,2019,4,https://www.breitbart.com/europe/2019/04/06/yellow-vests-streets-21st-straight-weekend/#post-11,The media works for the demonic Globalists! I keep wondering when we are going to see Satanic rituals streamed live from Brussels!
Nolte: Alexandria Ocasio-Cortez Melts Down over Criticism of Fake Accent,www.breitbart.com,oldswimcoach,04-06-2019,2019,4,https://www.breitbart.com/politics/2019/04/06/alexandria-ocasio-cortez-melts-criticism-fake-accent/#post-1,The female Hank Johnson.
Nolte: Alexandria Ocasio-Cortez Melts Down over Criticism of Fake Accent,www.breitbart.com,breitbart.com,04-06-2019,2019,4,https://www.breitbart.com/politics/2019/04/06/alexandria-ocasio-cortez-melts-criticism-fake-accent/," Illegal Immigration 2020 Dems Total Exoneration Free Speech Fight Brexit ‘Madness’ E.U. Migrant Crime Nolte: Alexandria Ocasio-Cortez Melts Down over Criticism of Fake Accent Spencer Platt/Getty Images JOHN NOLTE 6 Apr 2019 Rep. Alexandria Ocasio-Cortez (D-NY) responded to criticism for her patronizing use of a fake accent in front of a black audience in the usual manner — crybabying. The not-terribly-bright socialist was caught on video Friday patronizing the mostly black audience with a fake southern drawl at Rev. Al Sharpton’s National Action Network conference.
The humiliating video quickly made the rounds on social media, earning the criticism and ridicule it deserved.
The video is as shocking as it is excruciating. All of a sudden, the Westchester socialist, who is famous for her Jerry the Mouse voice, starts talking like a black preacher.
“This is what organizing looks like. This is what building power looks like,” Ocasio-Crazy said with her affected cadence. “This is what changing the country looks like. It’s when we choose to show up and occupy the room and talk about the things that matter most, talking about our future.”
“Ain’t nothing wrong with that. There’s nothing wrong with working retail, folding clothes for other people to buy,” she continued. “There is nothing wrong with preparing the food that your neighbors will eat. There is nothing wrong with driving the buses that take your family to work”:
The moment is reminiscent of two-time presidential loser Hillary “Hot Sauce” Clinton’s similar attempt to condescend to a predominantly black audience with her “Ain’t No Ways Tired” remarks in 2007:
And let’s not forget then-Vice President Joe “The Hair Sniffer” Biden warning a black audience that Mitt Romney’s going “to put y’all back in chains”:
“Ain’t.”
“Y’all.”
More like…
“Phony.”
“Freak.”
Anyway, using the Twitters, Ocasio-CowFart basically melted down over the ridicule, using the absurd argument that this is how Alex from The Block does her thang, and if you were from The Block, you’d know that’s how a thang is done, and y’all need to forget Miss Thang grew up in, ahem, Westchester:
Folks talking about my voice can step right off. Women’s March & Kavanaugh speech, same.
Any kid who grew up in a distinct linguistic culture & had to learn to navigate class enviros at school/work knows what’s up.
My Spanish is the same way.
These conspiracy mills are 🚮. https://t.co/8li33Jd6DL
— Alexandria Ocasio-Cortez (@AOC) April 5, 2019
“Folks talking about my voice can step right off,” she tweeted. “Women’s March & Kavanaugh speech, same. Any kid who grew up in a distinct linguistic culture & had to learn to navigate class enviros at school/work knows what’s up. My Spanish is the same way.”
What a load of crap.
Even though, at the time, I was younger than she is (she’s currently 29 going on 14), I managed to live, work, and go to school in Milwaukee’s inner city for a total of five years. My whole “class enviro” during those years was predominantly black, but the thought of affecting an accent never even crossed my mind — not because I was woke or sensitive, but because I didn’t want to look like an asshole — because this is what Ocasio-Crazy looks like (NSFW):
What’s more, she’s lying…
As Ryan Saavedra at the Daily Wire discovered , her claim that this is not the first time she’s used a “distinct dialect,” that she did the same during her “Women’s March & Kavanaugh speech,” simply isn’t true.
Below is video footage of those two speeches, and all you hear is Jerry the Mouse:
In a second tweet, she lied again.
“As much as the right wants to distort & deflect, I am from the Bronx. I act & talk like it, *especially* when I’m fired up and especially when I’m home,” she tweeted.
Except she’s not from the Bronx. She’s from Westchester.
“It is so hurtful to see how every aspect of my life is weaponized against me, yet somehow asserted as false at the same time,” she added, as though it wasn’t hurtful for us to have to watch her patronize a mostly black audience as though they were babies who require baby talk.
Man, she’s awful.
Follow John Nolte on Twitter @NolteNC . Follow his Facebook Page here .
Politics Al Sharpton Alexandria Ocasio-Cortez AOC black black accent fake accent Hillary Clinton John Nolte southern accent"
Australian Law Could Result in Jail Time for Social Media Executives,www.breitbart.com,dave Australia,04-04-2019,2019,4,https://www.breitbart.com/tech/2019/04/04/australian-law-could-result-in-jail-time-for-social-media-executives/#post-76,thanks for confirming... have a day with one of your guns
Reuters: Ethiopian Airlines 737 Max Crash Caused by Multiple Issues Including Flawed Software,www.breitbart.com,Rob Meldrum,04-05-2019,2019,4,https://www.breitbart.com/tech/2019/04/05/reuters-ethiopian-airlines-737-max-crash-caused-by-multiple-issues-including-flawed-software/#post-6,"The pilot repeatedly turned the MCAS system back on. The manual says when it malfunctions, turn off MCAS and make an emergency landing flying manually. The pilot screwed up. The copilot had only 200 hours of flying time under his belt. In the US you need something like 1500 hours, minimum."
Report: Amazon Customers Misled by 'Bundled' Reviews,www.breitbart.com,breitbart.com,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/report-amazon-customers-misled-by-bundled-reviews/," WH Scare Border Battle Antisemitic Omar Assange Trans Military Ban Mayor Pete Pops Off Farage’s Brexit ‘Revolution’ Report: Amazon Customers Misled by ‘Bundled’ Reviews Cliff Owen/AP Photo LUCAS NOLAN 6 Apr 2019 According to a recent report, Amazon’s practice of “bundling” reviews for different products together has resulted in inaccurate ratings of certain products. The Guardian reports that according to a recent analysis, Amazon’s policy of bundling reviews of different products together has resulted in poor translations of classic books and terrible remakes of Hollywood films to display high star ratings and positive reviews. A study by the Guardian found that many products which have been given one-star ratings appear alongside glowing reviews for other items making it extremely hard for buyers to understand the true quality of the product they’re attempting to buy.
The Guardian listed just a few examples they found of poor products receiving amazing reviews simply due to this bundling system. The Guardian listed a few of its findings writing:
• Badly translated or updated Kindle versions of Emma by Jane Austen and Charles Dickens’ Great Expectations , which include references to “moms”, “guys” and “buddies”, but appear to have 4.5-star ratings from hundreds of reviewers.
• A 2017 TV version of Dirty Dancing that shares the 4.5-star reviews of the original film, despite being described by Hollywood Reporter as a “bloated” remake “that nobody asked for and nobody is likely to truly enjoy”.
• Reviews for Wuthering Heights appearing under listings for Jane Eyre , and vice versa.
• Complaints from consumers who said they had been misled when buying books from a variety of authors – from JK Rowling to Shakespeare.
• Star ratings being combined for different products in other departments, from electronics to gardening equipment.
Complaints dating back to 2014 can be found on certain items noting that reviews were appearing under the incorrect editions of certain books. So far, Amazon has declined to comment on this issue.
A Kindle edition of the classic Charles Dickens book Great Expectations, which has a 4.5-star review rating, is reportedly riddled with errors. One review from a reader points this out, writing: “Each page has a dozen errors. It reads as if it has been translated from a foreign language. ‘Dog’ in the original is ‘canine’ in this version; ‘file’ in the original has become ‘document’; ‘tremendous’ has become ‘maximum incredible’; ‘man’ has become ‘guy’. That is just a short summary of the errors in the first two pages. The whole thing is unreadable and a waste of money.”
Natalie Hitchins, the head of home products and services at the consumer group Which? commented on Amazon’s practices, stating: “If online retailers are incorrectly grouping customer reviews for different products together, there is a real risk that their customers will be misled.” She added: “We need to know we can rely on the information that retailers provide about the products they sell. Online retailers must up their game and ensure reviews are presented in a clear and accurate way.”
Lucas Nolan is a reporter for Breitbart News covering issues of free speech and online censorship. Follow him on Twitter @LucasNolan or email him at lnolan@breitbart.com
Economy Tech Amazon Jeff Bezos Masters of the Universe"
Rep. Alexandria Ocasio-Cortez Is Wrong: There Is No Looming Climate Change 'Expiration Date' - Hit & Run,reason.com,Eman,04-06-2019,2019,4,https://reason.com/blog/2019/04/05/rep-alexandria-ocasio-cortez-is-wrong-th#comment_7748363,"It would play much more to her, um, strengths?"
Rep. Alexandria Ocasio-Cortez Is Wrong: There Is No Looming Climate Change 'Expiration Date' - Hit & Run,reason.com,Nardz,04-06-2019,2019,4,https://reason.com/blog/2019/04/05/rep-alexandria-ocasio-cortez-is-wrong-th#comment_7748361,"Good citations, mpercy.
Note that the rhetoric used is to justify economic manipulation via environmentalism, and vice versa.
But the endgame that the aim toward which they progress is, and has always been, the accumulation of power for a techno-eugenic ruling caste under global socialism.
Nazism was always the most honest version of progressivism. Lesson learned: deception is critical to achieving those aims, and that national socialism isn't ambitious enough."
Clashes Between Greek Police and Migrants Trying to Force the Border,www.breitbart.com,Chris H,04-06-2019,2019,4,https://www.breitbart.com/europe/2019/04/06/third-day-clashes-between-greek-police-migrants-trying-to-force-border/#post-1,"When does this get called a invasion??
where is NATO....
all over the west, our borders are getting crashed even though we let in 100 000's legally per year. (something else we were never consulted about, or asked to vote on. Cheap labour slavers working to destroy our well ordered and ""peaceful for the most part"" societies just to make a few extra bucks. Greed is a disease, and we need to lock up people who are so greedy they will ruin others and whole countries to fulfill their desire for more.)"
Clashes Between Greek Police and Migrants Trying to Force the Border,www.breitbart.com,Exceptionalists Way,04-06-2019,2019,4,https://www.breitbart.com/europe/2019/04/06/third-day-clashes-between-greek-police-migrants-trying-to-force-border/#post-2,"I remember the old days when this was called ""War"". Only back then, the young of the country would go and fight, rather than side with the enemy. Especially the women, they would run the entire nation while the menfolk died for it's freedom. Now they lie down for the enemy and brag about it on facebook."
