title, publication, authors, date, year, month, url, content
Pavone: New Films Underscore Similarities in Abortion Conversions | Breitbart,www.breitbart.com,Bald Eagle,04-06-2019,2019,4,https://www.breitbart.com/health/2019/04/06/fr-pavone-new-films-underscore-similarities-in-abortion-conversions/#post-100,Some claim BB is a conservative site. Others that it provides an even-tempered attitude towards most issues. I see them as nothing more then a member of the MSM. They’re in it for nothing but the coin. I get that. Just don’t lie while censuring and deleting conservative viewpoints. I’m always looking for a better alternative. Drudge is the same as BB.
Pavone: New Films Underscore Similarities in Abortion Conversions | Breitbart,www.breitbart.com,floridaobserver,04-06-2019,2019,4,https://www.breitbart.com/health/2019/04/06/fr-pavone-new-films-underscore-similarities-in-abortion-conversions/#post-96,""" Priests for Life."" - But it won't work because as the gullible masses get educated that God is imaginary, the forced birthers lose their largest supporter, the religious. The author has to get a real job"
Pavone: New Films Underscore Similarities in Abortion Conversions | Breitbart,www.breitbart.com,EstoVir,04-06-2019,2019,4,https://www.breitbart.com/health/2019/04/06/fr-pavone-new-films-underscore-similarities-in-abortion-conversions/#post-95,An amazing movie that everyone should see. This movie is changing the landscape of abortion opinion in America.
Pavone: New Films Underscore Similarities in Abortion Conversions | Breitbart,www.breitbart.com,DB,04-06-2019,2019,4,https://www.breitbart.com/health/2019/04/06/fr-pavone-new-films-underscore-similarities-in-abortion-conversions/#post-98,Prove it if God is imaginary why do communist governments want to harm Christians?
Pavone: New Films Underscore Similarities in Abortion Conversions | Breitbart,www.breitbart.com,Quoth the Raven...,04-06-2019,2019,4,https://www.breitbart.com/health/2019/04/06/fr-pavone-new-films-underscore-similarities-in-abortion-conversions/#post-99,I had to change from ... to harm so I wouldn’t be censored
"Sinaloa Cartel Money Launderer Arrested in South Texas, Say Feds",www.breitbart.com,Eric,04-05-2019,2019,4,https://www.breitbart.com/border/2019/04/05/sinaloa-cartel-money-launderer-arrested-in-south-texas-say-feds/#post-68,Just heard Kobach from Kansas give solutions! What's yours? Anybody! Solutions not name calling! America's in ICU we don't have time for courts or congress!
"Sinaloa Cartel Money Launderer Arrested in South Texas, Say Feds",www.breitbart.com,Eric,04-05-2019,2019,4,https://www.breitbart.com/border/2019/04/05/sinaloa-cartel-money-launderer-arrested-in-south-texas-say-feds/#post-67,"Your the one that sounds like the democrat calling names! Trump could have vetoed last budget and fought for the American people! ( the budget allows illegal with unaccompanied illegal minor to stay in America) Trump knows this and has played you, let's just face it! America's done after signing last budget! Trump has to play like the democrates and Obama and use his power to side step congress and judicial! This is about saving America now! Now give me your solutions to this problem, remember the country doesn't have time!"
"Sinaloa Cartel Money Launderer Arrested in South Texas, Say Feds",www.breitbart.com,Way2Go,04-05-2019,2019,4,https://www.breitbart.com/border/2019/04/05/sinaloa-cartel-money-launderer-arrested-in-south-texas-say-feds/#post-66,"dude you are not a trump supporter!
TRUMP IS ALMOST ONLY ONE FIGHTING FOR BORDER SECURITY!
weak LEADERS IN DHS BP ICE JUDICIAL & CONGRESS IS THE PROBLEM IDIOT"
"Trump, Pence Make Strong Push for Jewish Support in 2020 | Breitbart",www.breitbart.com,Morty,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/trump-pence-make-strong-push-for-jewish-support-in-2020/#post-65,"I don't know where you get this nonsense. Oh wait. Flat earth, con trail mind altering chemical, lizard people, false flags...Yep. Got it."
"Trump, Pence Make Strong Push for Jewish Support in 2020 | Breitbart",www.breitbart.com,Susan Sloate,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/trump-pence-make-strong-push-for-jewish-support-in-2020/#post-41,The only borders Americans have gone to war to protect in the region were those of Kuwait. Kuwait is pretty far from Isreal.
