title, publication, authors, date, year, month, url, content
Beto O'Rourke Looks to Regain Steam with Climate Change Proposal,www.cbn.com,John Jessup,04-30-2019,2019,4,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/politics/2019/april/beto-orourke-looks-to-regain-steam-with-climate-change-proposal,"Democratic presidential candidates are trying to break out from the two-dozen opponents by going specific with their agendas.
After an initial hot start, Beto O'Rouke has been steadily losing steam in the polls. Now the one-time top contender is out front with the first comprehensive proposal.
""Muy Buenos Dias ( A very good morning) from Yosemite Valley here in California where we are announcing the most ambitious climate plan in the history of the United States,"" O'Rouke said Monday.
The former Texas congressman is trying to reignite his once bright but fading star as the first candidate to lay out a major policy plan. And his focus is on climate change.
""I want you to be part of this effort,"" he told supporters.
The 10-year, $5 trillion plan, he says, would require the participation of all Americans and touch every sector from housing to health care, transportation, and pensions.
The four-part proposal would start on day one of an O'Rourke presidency by recommitting to the Paris Climate Accord and undoing the Trump administration's environmental agenda.
It would also raise taxes on businesses and the wealthy to fund the sweeping plan, which aims to cut carbon emissions to ""net zero"" by 2050 and get halfway there by 2030.
""It's hard to argue there's anything more important facing this country - this generation today,"" O'Rourke said.
He named climate change the ""greatest threat"" America faces.
The plan gives O'Rourke the chance to potentially avoid recent characterizations as a political lightweight."
Second 'Drag Queen Story Hour' Reader in Houston Exposed as a Convicted Child Sex Offender,www.cbn.com,Steve Warren,04-30-2019,2019,4,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/us/2019/april/second-drag-queen-story-hour-reader-in-houston-exposed-as-a-convicted-child-sex-offender,"The Houston, Texas group known as the Houston MassResistance activists have exposed a second ""drag queen"" as a convicted child sex offender, who was involved in reading stories to children at a local library.
LifeSite News reports the man was convicted of multiple sexual assaults against four young children (ages 4, 5, 6, and 8) in 2004. He was incarcerated and is listed as a ""high-risk sex offender.""
The man was part of a local drag queen group called the ""Space City Sisters"" who were invited by the Houston Public Library to read stories to little children during an event promoted as ""Drag Queen Story Hour."" The convicted sex offender served as a greeter for the event, according to LifeSite News . The activists also uncovered that the man had worked as a transgender prostitute and a porn actor.
According to their website, the Space City Sisters is a local chapter of a national organization of cross-dressing homosexual men. The men dress as parodies of Catholic nuns in order to mock Catholicism. The organization is active in gay pride parades and LGTBQ events across the country.
In March, the MassResistance activists also found another drag queen reading to children during a story time hour was also a sex offender.
Library officials later apologized for failing to conduct a background check on men who read to children at an event hosted by drag queens, according to MSN ."
"North Carolina Campus Shooting Leaves 2 Dead, 4 Injured",www.cbn.com,Associated Press,05-01-2019,2019,5,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/us/2019/april/shots-reported-at-university-of-north-carolinas-charlotte-campus-school-on-lockdown,"CHARLOTTE, N.C. (AP) — A shooting on a North Carolina university campus left two people dead and four wounded Tuesday, prompting a lockdown and chaotic scene in the state’s largest city.
UNC Charlotte issued a campus lockdown late Tuesday afternoon, saying shots had been fired. Later in the evening, the campus was declared secure after a suspect was taken into custody.
“Shots reported near kennedy. Run, Hide, Fight. Secure yourself immediately,” the university said in an alert, referring to the school’s Kennedy building on campus.
Mecklenburg Emergency Medical Services Agency said on Twitter that two people were killed, two others had life-threatening injuries and another two people were treated for less serious injuries. They said the numbers could change.
Aerial shots from local television news outlets showed police officers running toward a building, while another view showed students running on a campus sidewalk.
The Charlotte-Mecklenburg Police Department later said that the campus had been secured and that officers were going through buildings to let people who had sheltered in place know that it was safe. Police said that one suspect was in custody, and it didn’t appear that others were involved.
It was not immediately clear whether the victims were students.
The university has more than 26,500 students and 3,000 faculty and staff. The campus is located northeast of the city center and is surrounded by residential areas.
Sam Rice, a senior on UNC Charlotte’s tennis team, told Spectrum News that he was in the library studying for a final exam when he heard people yelling “shooter, shooter.” He said he heard police yelling for people to stay down and stay on the floor.
He was “waiting for someone to tell us everything was going to be OK.”
When people were told to leave, he ran out in his socks, running over glass on the floor.
His reaction is “just shock,” he told the television station. “It doesn’t feel real.”
Susan Harden, a UNCC professor, and Mecklenburg County Commissioner was at home when she heard of the shooting. She went to a staging area, she said, to provide support.
Harden said she has taught inside the Kennedy building, where the shootings occurred.
“It breaks my heart. We’re torn up about what’s happened,” Harden said. “Students should be able to learn in peace and in safety and professors ought to be able to do their jobs in safety.”
Copyright 2019 The Associated Press. All rights reserved."
"Violence in Venezuela: Maduro's Military Fights Guaido Uprising, Drives Over Civilian Protestors",www.cbn.com,CBN News,04-30-2019,2019,4,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/world/2019/april/violence-in-venezuela-maduros-military-fights-guaido-uprising-drives-over-civilian-protestors,"CBN News Contributing Reporter Chuch Holton appeared on CBN's Newswatch program Tuesday to talk about the situation in Venezuela and what his sources in the Venezuelan military were telling him about the uprising.
Venezuelan opposition leader Juan Guaido took to the streets with a top activist and some heavily armed soldiers Tuesday, calling for the military to rise up and overthrow socialist leader Nicolás Maduro.
Violent street battles erupted during the early morning hours in parts of Caracas in what was the most serious challenge yet to Maduro’s rule.
Despite media reports that the rebellion seems to have limited military support, CBN News Contributing Reporter Chuck Holton says this move has been planned by members of the military for some time.
""I've been meeting with members of the Venezuelan military who defected back on Jan. 23rd when the aid got burned there,"" Holton told CBN 's Newswatch program Tuesday. ""What they were telling me is that this has been planned for some time. Now they believe it may have gone off a little half-cocked, but they told me the military of Venezuela has been behind Guaido in large parts, a vast majority of them, but they have been waiting for the right moment to strike.""
""These troops have families,"" Holton noted. ""And if they stand up to Maduro, the troops and their families are in great peril. This is a widespread movement not just in Caracas.""
Guaido started the day's events when he appeared in an early morning video that showed him surrounded by heavily-armed soldiers outside a Caracas air base. He said the soldiers were joining him to protect the country's constitution.
En el marco de nuestra constitución. Y por el cese definitivo de la usurpación. https://t.co/3RD2bnQhxt
— Juan Guaidó (@jguaido) April 30, 2019
Guiado then took to the streets with activist Leopoldo Lopez who said he'd just been set free by members of the military in response to an order from Guaido.
Lopez said, ""I want to tell the Venezuelan people: this is the moment to take to the streets and accompany these patriotic soldiers.""
One of the soldiers said ""it's now or never.""
Report says even more military units are joining effort of Interim President @jguaido in #Caracas #Venezuela https://t.co/jxJpffKY8v
— Marco Rubio (@marcorubio) April 30, 2019
Thousands of protestors have responded to the call to rise up. Maduro's military has responded as well and has targeted the protestors. This graphic video below shows a military vehicle driving into a crowd and running over people.
!!! Intense clashes, a Venezuelan military vehicle just drove into a crowd of civilians on the highway. #Venezuela pic.twitter.com/pcSTd3TwMf
— Alejandro Alvarez (@aletweetsnews) April 30, 2019
The entire world just watched a National Guard armored vehicle ram into a crowd of civilian protestors in #Caracas .
How far will leaders of military allow this assault on their own people to go in #Venezuela ?
— Marco Rubio (@marcorubio) April 30, 2019
Guiado is the head of the Venezuelan National Assembly and is recognized by dozens of countries — including the US — as Venezuela's president.
Maduro's government said it's putting down what it callse a small coup attempt by military traitors working with right-wing opponents.
The country's Supreme Court issued arrest warrants for Guaido, Lopez, and other opposition leaders.
President Donald Trump tweeted his support for the protestors saying: ""I am monitoring the situation in Venezuela very closely. The United States stands with the People of Venezuela and their Freedom! ""
I am monitoring the situation in Venezuela very closely. The United States stands with the People of Venezuela and their Freedom!
— Donald J. Trump (@realDonaldTrump) April 30, 2019
Florida Sen. Marco Rubio has been tweeting the events in Venezuela throughout the day.
Video report of that #MaduroRegime secret police #FAES trying to arrest a civilian protestors but unarmed civilians intervened to prevent it. https://t.co/VQjJvIy2nI
— Marco Rubio (@marcorubio) April 30, 2019
Earlier, Rubio encouraged Guaido supporters, tweeting, ""Today there can be no bystanders in #Venezuela... military, police, judicial & political leaders you must either support restoring constitutional democracy or you are a supporter of Cuba's efforts to colonize Venezuela...the choice you make will define the rest of your life.""
Secretary of State Mike Pompeo responded to the uprising in Venezuela tweeting this morning: ""Today interim President Juan Guaido announced the start of Operacion Libertad. The U.S. government fully supports the Venezuelan people in their quest for freedom and democracy. Democracy cannot be defeated.""
Developing..."
40 Million Americans Will Miss At Least One Credit Card Payment In 2019,www.cbn.com,MoneyTips,05-01-2019,2019,5,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/finance/2019/april/40-million-americans-will-miss-at-least-one-credit-card-payment-in-2019,"It's another lean financial month. You'll be lucky just to make the minimum payment on your credit card bill. Should you wait until you can pay a larger portion of your bill, or pay what you can on time?
In a recent WalletHub survey, almost 16% of respondents said they expected to miss at least one credit card payment in 2019, equating to over forty million people nationwide. That's the wrong answer to the above question.
It's far better to make a partial credit card payment on time than it is to delay payment. Not only will you incur late fees (typically in the $20-$40 range) per missed payment, you'll also temporarily lose your grace period. Grace periods keep interest charges from the beginning until the end of the monthly payment cycle. Without a grace period, interest accrues from the time of purchase.
You may also incur a penalty annual percentage rate (APR) that's higher than your usual card APR (typically near 30%).
If your payment is more than thirty days late , then the late payment will be reported to the credit reporting agencies. The late payment will drop your credit score and cause lenders to re-assess your risk. You may have trouble qualifying for credit/loans or pay more for the privilege in the future. You can check your credit score and read your credit report for free within minutes by joining MoneyTips .
Convinced? Good. Now how do you avoid late credit card payments? Survey results suggest that you set a reminder.
The top reason by far to miss a credit card payment is the old classic – ""I forgot."" Approximately 46% of respondents gave this reason for missing a payment.
Does that excuse work anywhere else in life? It won't work with credit card companies, either – more than once. The survey found that 91% of people who asked to get a credit card late fee waived were successful (although it's unclear if a second request will be granted). Even if the fee is waived, you'll still lose the grace period and may see a penalty APR.
With all the ways to set reminders, there's no reason to forget a payment. Set regular alerts on your phone or computer. See if your credit card issuer offers reminders. Use old-school handwritten notes. Tattoo your payment schedule on your forehead if you have to. Do whatever it takes.
If all reminder options fail – or you're too busy traveling, as 9% of respondents were – consider setting up an automatic payment through your bank account. Since high-income consumers were twice as likely as low-income consumers to miss credit card payments due to forgetfulness, automatic payment may be a viable option. Consumers should only use automatic payments if they monitor their bank balance and can keep enough money in the account to avoid overdrafts.
As for the 29% of respondents who don't have enough money, the question is why. Are you spending more than you can afford to pay? Review your budget and look for ways to save.
Meanwhile, divide the money you do have to ensure that at least the minimum payment is made on all bills. Credit card debt is probably the highest interest debt you have. It must be addressed immediately after any payments on secured assets (like a mortgage or car payment).
Ultimately, if you can't pay your credit card bill on time for financial reasons, you have to charge less or find a way to get more income. It's critical to make at least the minimum payment on time to avoid making a bad situation even worse.
If you want to reduce your interest payments and lower your debt, join MoneyTips and use our free Debt Optimizer tool .
This
Not Paying Credit Cards – A Timeline to Avoid
Raise Your Credit Score With A Phone Call
Your Low Credit Score Could Cost You $45,000"
New Account Credit Card Fraud Up 24% In 2018: The Top Frauds of 2018,www.cbn.com,MoneyTips,05-01-2019,2019,5,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/finance/2019/april/new-account-credit-card-fraud-up-24-in-2018-the-top-frauds-of-2018,"Welcome to the 2018 Consumer Fraud Awards Show! We have a great show for you, with criminal activity galore. Tonight's winners are chosen based on information from the Consumer Sentinel Network 2018 Data Book and brought to you by the Consumer Information Group at your Federal Trade Commission (FTC).
Okay, there really isn't a consumer fraud awards show – but it has been a banner year for fraud and identity theft reports. After a three-year decline from a peak of 1.526 million fraud reports in 2014 to 1.29 million in 2017, 2018 fraud reports shot up to 1.427 million.
Similarly, identity theft reports peaked in 2015 at just over 490,000, sank for two consecutive years, and rose to over 444,000 in 2018. The number of combined annual fraud and identity theft reports is at a record high. One–quarter of those reporting fraud lost money in the process, resulting in a median loss of $375 and $1.48 billion in total losses.
The three top consumer reports of 2019 were imposter scams (18% of all reports), debt collection issues (16%), and identity theft (15%). There's little challenge to the top three, as no other category reached 6% of total reports.
Imposter scams involve someone pretending to be a trusted person to get you to send money or give out your personal information. These situations include romance scams and fraudsters claiming to be relatives in distress, technical support experts, government representatives, or well-known businesspeople in order to get your money.
Debt collection issues refer to creditors or third-party debt collectors who call repeatedly or continuously, use profanity, fail to send written notices of the debt, falsely represent the status or amount of the debt, falsely threaten legal action, or otherwise violate the Fair Debt Collection Practices Act.
The databook defines identity theft as someone appropriating your personal identification information, such as your Social Security Number or credit card account number, to commit theft or fraud. The most common types of identity theft reported include credit card fraud, bank fraud, phone or utility fraud, employment or tax-related fraud, loan or lease fraud, and government documents or benefits fraud.
While debt collection reports fell by 24% to move to second place, both imposter scams and identity theft are still going strong. Almost 20% of people lost money in imposter scams, with a median loss of $500 and $488 million in total losses. Identity theft losses are shifting in focus, with tax fraud losses dropping by 38% while fraudulent new credit card accounts increased by 24%. Let MoneyTips protect your credit and your identity with a free trial .
FTC data revealed an interesting relationship between fraud reporting and age. Younger people report losing money more often to fraudulent schemes compared to older people. Approximately 43% of Americans 20-29 years old reported fraud losses, compared to only 15% of Americans 70-79 years old.
However, when they did lose money to fraud, older Americans lost more on average. The 20-29 age group reported a median of $400 in losses, while the 70-79 age group reported a median loss of $751 – and those aged eighty and above had a whopping $1,700 median loss to fraud.
Older Americans may have seen scams before and be more skeptical than their younger counterparts – or it could be that older Americans are less likely to report the losses unless the losses are too large to ignore. They may be ashamed to admit they were victims of fraud, thinking that they should have known better.
If you're a victim of fraud and/or identity theft, be sure to report what happened to the FTC and local law enforcement. Don't be embarrassed. As the statistics show, you aren't alone – and your report may help catch fraudsters and prevent further damage.
Whether or not you've been a fraud victim in the past, avoid becoming one in 2019.
Take common-sense steps to protect your personal information, both in electronic and hard copy form. Learn to recognize common e-mail/telephone scams and be skeptical of any unsolicited requests for personal information.
Fight the increase in fraudulent credit card accounts by applying credit freezes to your accounts to keep identity thieves from opening new accounts in your name. Check your credit report regularly. Consider using a credit monitoring service if you're too busy to monitor all of your accounts. You can start monitoring your credit and see your credit report and score for free within minutes by joining MoneyTips .
There probably won't be a 2019 Consumer Fraud Awards Show. If there is one, don't have a reason to take part in it. That's one red carpet you want to avoid.
Protect your credit – protect your identity – protect yourself with a free MoneyTips trial .
This
What Identity Thieves Do With Stolen Credit Cards
Shimmers: The New Credit Card Skimmers
Why A Credit Freeze Won't Prevent Identity Theft"
The Top 200 Healthiest Foods and Why It's More Important Than Ever to Eat Them,www.cbn.com,Lorie Johnson,04-30-2019,2019,4,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/health/2019/april/the-top-200-healthiest-foods-and-why-its-more-important-than-ever-to-eat-them,"When we think about life's biggest decisions, images of choosing the right spouse, career or home come to mind. What to eat? Not so much.
New research may change that. Scientists now know our body has five natural defense systems that are magnificently effective at warding off our scariest diseases. There is a catch, however. These defense systems only work properly when nourished with healthy foods.
In his new book Eat to Beat Disease Dr. William Li explains how our body's defense systems work and lists 200 foods that keep them humming.
""We don't need to spend all of our time thinking about what to cut out of our diet,"" he told CBN News, ""It's now time to start thinking about what we can add to our lives,"" adding, ""we want to eat lots of foods that can activate our health defenses and because there are so many choices and everybody can find something they like in the 200 foods that I list, you can start eating healthy with the foods you already love.""
Readers will be thrilled to discover delicious sourdough and pumpernickel bread actually feed one of our health defense systems, as do certain cheeses. Many foods, called ""grand slams"" fuel all five defense systems.
Angiogenesis
This health defense system keeps cancers small. Believe it or not, we all have cancer cells within our body, but angiogenesis is a form of protection that starves those cancer cells and prevents them from growing and invading the rest of our body. Angiogenesis regulates our blood vessels. More than 100 foods can enhance angiogenesis such as pomegranate, black raspberries, and tomatoes. Dr. Li takes it a step further by pointing out that when it comes to tomatoes, cooked, San Marzano contains the most cancer-fighting lycopene.
""Almost 36,000 men have been studied,"" he said, ""And it was found that those who ate two to three servings of cooked tomatoes, that's tomato sauce, a week, had a thirty percent decreased risk of developing prostate cancer.""
Vitamin K-2 is key to controlling angiogenesis, you can find this vitamin in Gouda, Jarlesburg, and Edam
""This vitamin K2, which is a healthy side effect of making the cheese itself, is a powerful anti-angiogenic, cancer starving substance,"" said Dr. Li.
Microbiome
It may sound a little gross, but trillions of living bacteria call our intestinal tract home. Not only that, but we rely heavily on these microscopic critters to keep every aspect of our minds and bodies operating smoothly. The kind of bacteria and the amount of them comprise a very complex ecosystem called our microbiome. Dr. Li says a balanced microbiome leads to good physical and mental health.
""The healthy bacteria that live inside our bodies, 39 trillion bacteria live inside us, communicate with our immune system. They help our bodies heal. They even talk to our brain.""
Dr. Li says fermented foods like Kim Chi and yogurt contain healthy bacteria, also known as probiotics. Fiber-rich foods like broccoli, which are called prebiotics, play a role because they feed the good bacteria. Some people are surprised to learn sourdough bread boosts our microbiome.
""It turns out that sourdough is made with Lactobacillus reuteri. It's that bacteria that creates that nice tangy taste,"" he explained, ""That bacteria boosts our immune system, it can actually speed our healing, our ability to heal wounds and it also communicates to our brains to release that social hormone oxytocin that makes us feel good.""
Pumpernickel bread, which is made from rye flour, also fortifies the microbiome. ""Rye flour will decrease the levels of an unhealthy bacteria in our gut that creates a toxin that causes inflammation,"" he said, ""So eating pumpernickel bread can lower that bacteria and lower inflammation.""
CLICK HERE TO DOWNLOAD A FREE SHOPPING GUIDE TO THE HEALTHIEST FOODS
CLICK HERE TO WATCH MORE WITH DR. LI ON CBN'S HEALTHY LIVING PROGRAM
D-N-A
We all know D-N-A contains the genetic code we inherited from our parents. However, it's much more than that. It issues commands to our entire body, telling it what to do. Unfortunately, it's a fragile system that is constantly under attack from the environment. Natural enemies such as ultraviolet radiation from sun exposure can weaken D-N-A, as can toxins such as second-hand smoke and gasoline fumes. (Dr. Li recommends standing down-wind of these fumes when filling our cars).
Foods that repair and strengthen our D-N-A include kiwifruit, spinach, and lentils. Get this: over 100 different types of oysters strengthen D-N-A, particularly Pacific oysters. In one study, the oysters reduced D-N-A damage by a whopping 90 percent!
Stem Cells
Only recently have scientists uncovered the protective properties of our own stem cells, which are vital for growing and maintaining our organs. Researchers now tell us these foundational life units can actually regenerate our bodies throughout our lives.
""When we were kids we were taught salamanders and starfish regenerate, but people can't,"" Dr. Li said, ""Science is turning that upside down. We know that we do regenerate from the inside out using our stem cells.""
As if we need another reason to love chocolate, recent studies show the dark bean can be a super fuel for stem cells.
""And I write about in my book about a study with men who have coronary disease,"" Dr. Li explained, ""And when they were given dark cocoa, the chocolate alone was able to double the number of stem cells in their bloodstream, and when they measured their blood flow they were able to double that as well. So it's quite remarkable.""
Immune System
Our immune system is one of the most well-known health defense systems, yet scientists continue to learn more about how it works. It keeps us from getting an infection after we've been exposed to bacteria, fights off viruses and more. In short, a strong immune system provides protection against any pathogen seeking to harm us.
""We now know the immune system is more powerful than we ever thought,"" said Dr. Li, ""In fact, it can protect us against cancer.""
In addition to cancer, dozens of other conditions can be blamed on weak immune systems such as allergies, Celiac Disease, Psoriasis, even Diabetes.
Foods that stimulate the immune system include mushroom, garlic, and particularly extra virgin olive oil.
""There's actually a natural substance in the olive called hydroxytyrosol which is a powerful way to cut off the blood supply feeding cancer,"" said Dr. Li, ""It's also anti-inflammatory.""
Dr. Li says certain olive oils contain more of the healing hydroxytyrosol and polyphenols than others. He recommends buying olive oil made from Koroneiki, Picual or Moraiolo olives.
""So when I go shopping for olive oil,"" Dr. Li said, ""I pick up the bottle, and I turn it around, and I look for the name of the olive. What kind of olive was this oil pressed from?""
So while many of view food as an afterthought, Dr. William Li says putting a little thought into what we eat can pay dividends when it comes to our health.
""While medicines can be used to treat disease, foods can prevent it in the first place,"" he said."
Mueller Frustrated With Barr Over Portrayal of Findings,www1.cbn.com,,05-01-2019,2019,5,http://www1.cbn.com/cbnnews/politics/2019/april/mueller-frustrated-with-barr-over-portrayal-of-findings,"AG Barr Grilled in Senate as Mueller Letter Emerges Criticizing Barr's Summary of Findings 04-30-2019 Drew Parkhill Attorney General Bill Barr, Special Counsel Bob Mueller, and President Donald Trump (AP Photos)
Attorney General William Barr is on Capitol Hill today for what was expected to be an explosive hearing before the Senate Judiciary Committee.
It's the first time Barr has faced lawmakers' questions since releasing Special Counsel Robert Mueller's report.
The hearing comes as a Washington Post story reveals Mueller told Barr he was frustrated with how the conclusions of his investigation were being portrayed. The Post story and the Justice Department said Mueller made it clear that he didn't believe Barr's summary of Mueller's report was inaccurate or misleading.
""After the Attorney General received Special Counsel Mueller's letter, he called him to discuss it,"" Justice Department spokeswoman Kerri Kupec said. ""In a cordial and professional conversation, the Special Counsel emphasized that nothing in the Attorney General's March 24 letter was inaccurate or misleading. But, he expressed frustration over the lack of context and the resulting media coverage regarding the Special Counsel's obstruction analysis.""
But Mueller also wrote that the document ""did not fully capture the context, nature and substance"" of his report and that it created confusion about some results of the investigation.
Mueller did ask the attorney general to release introductions and executives summaries included in the report.
The story has increased concerns among Democrats about Barr's handling of the Mueller report."
The Top 200 Healthiest Foods and Why It's More Important Than Ever to Eat Them,www1.cbn.com,,04-30-2019,2019,4,http://www1.cbn.com/cbnnews/health/2019/april/the-top-200-healthiest-foods-and-why-its-more-important-than-ever-to-eat-them,"When we think about life's biggest decisions, images of choosing the right spouse, career or home come to mind. What to eat? Not so much.
New research may change that. Scientists now know our body has five natural defense systems that are magnificently effective at warding off our scariest diseases. There is a catch, however. These defense systems only work properly when nourished with healthy foods.
In his new book Eat to Beat Disease Dr. William Li explains how our body's defense systems work and lists 200 foods that keep them humming.
""We don't need to spend all of our time thinking about what to cut out of our diet,"" he told CBN News, ""It's now time to start thinking about what we can add to our lives,"" adding, ""we want to eat lots of foods that can activate our health defenses and because there are so many choices and everybody can find something they like in the 200 foods that I list, you can start eating healthy with the foods you already love.""
Readers will be thrilled to discover delicious sourdough and pumpernickel bread actually feed one of our health defense systems, as do certain cheeses. Many foods, called ""grand slams"" fuel all five defense systems.
Angiogenesis
This health defense system keeps cancers small. Believe it or not, we all have cancer cells within our body, but angiogenesis is a form of protection that starves those cancer cells and prevents them from growing and invading the rest of our body. Angiogenesis regulates our blood vessels. More than 100 foods can enhance angiogenesis such as pomegranate, black raspberries, and tomatoes. Dr. Li takes it a step further by pointing out that when it comes to tomatoes, cooked, San Marzano contains the most cancer-fighting lycopene.
""Almost 36,000 men have been studied,"" he said, ""And it was found that those who ate two to three servings of cooked tomatoes, that's tomato sauce, a week, had a thirty percent decreased risk of developing prostate cancer.""
Vitamin K-2 is key to controlling angiogenesis, you can find this vitamin in Gouda, Jarlesburg, and Edam
""This vitamin K2, which is a healthy side effect of making the cheese itself, is a powerful anti-angiogenic, cancer starving substance,"" said Dr. Li.
Microbiome
It may sound a little gross, but trillions of living bacteria call our intestinal tract home. Not only that, but we rely heavily on these microscopic critters to keep every aspect of our minds and bodies operating smoothly. The kind of bacteria and the amount of them comprise a very complex ecosystem called our microbiome. Dr. Li says a balanced microbiome leads to good physical and mental health.
""The healthy bacteria that live inside our bodies, 39 trillion bacteria live inside us, communicate with our immune system. They help our bodies heal. They even talk to our brain.""
Dr. Li says fermented foods like Kim Chi and yogurt contain healthy bacteria, also known as probiotics. Fiber-rich foods like broccoli, which are called prebiotics, play a role because they feed the good bacteria. Some people are surprised to learn sourdough bread boosts our microbiome.
""It turns out that sourdough is made with Lactobacillus reuteri. It's that bacteria that creates that nice tangy taste,"" he explained, ""That bacteria boosts our immune system, it can actually speed our healing, our ability to heal wounds and it also communicates to our brains to release that social hormone oxytocin that makes us feel good.""
Pumpernickel bread, which is made from rye flour, also fortifies the microbiome. ""Rye flour will decrease the levels of an unhealthy bacteria in our gut that creates a toxin that causes inflammation,"" he said, ""So eating pumpernickel bread can lower that bacteria and lower inflammation.""
CLICK HERE TO DOWNLOAD A FREE SHOPPING GUIDE TO THE HEALTHIEST FOODS
CLICK HERE TO WATCH MORE WITH DR. LI ON CBN'S HEALTHY LIVING PROGRAM
D-N-A
We all know D-N-A contains the genetic code we inherited from our parents. However, it's much more than that. It issues commands to our entire body, telling it what to do. Unfortunately, it's a fragile system that is constantly under attack from the environment. Natural enemies such as ultraviolet radiation from sun exposure can weaken D-N-A, as can toxins such as second-hand smoke and gasoline fumes. (Dr. Li recommends standing down-wind of these fumes when filling our cars).
Foods that repair and strengthen our D-N-A include kiwifruit, spinach, and lentils. Get this: over 100 different types of oysters strengthen D-N-A, particularly Pacific oysters. In one study, the oysters reduced D-N-A damage by a whopping 90 percent!
Stem Cells
Only recently have scientists uncovered the protective properties of our own stem cells, which are vital for growing and maintaining our organs. Researchers now tell us these foundational life units can actually regenerate our bodies throughout our lives.
""When we were kids we were taught salamanders and starfish regenerate, but people can't,"" Dr. Li said, ""Science is turning that upside down. We know that we do regenerate from the inside out using our stem cells.""
As if we need another reason to love chocolate, recent studies show the dark bean can be a super fuel for stem cells.
""And I write about in my book about a study with men who have coronary disease,"" Dr. Li explained, ""And when they were given dark cocoa, the chocolate alone was able to double the number of stem cells in their bloodstream, and when they measured their blood flow they were able to double that as well. So it's quite remarkable.""
Immune System
Our immune system is one of the most well-known health defense systems, yet scientists continue to learn more about how it works. It keeps us from getting an infection after we've been exposed to bacteria, fights off viruses and more. In short, a strong immune system provides protection against any pathogen seeking to harm us.
""We now know the immune system is more powerful than we ever thought,"" said Dr. Li, ""In fact, it can protect us against cancer.""
In addition to cancer, dozens of other conditions can be blamed on weak immune systems such as allergies, Celiac Disease, Psoriasis, even Diabetes.
Foods that stimulate the immune system include mushroom, garlic, and particularly extra virgin olive oil.
""There's actually a natural substance in the olive called hydroxytyrosol which is a powerful way to cut off the blood supply feeding cancer,"" said Dr. Li, ""It's also anti-inflammatory.""
Dr. Li says certain olive oils contain more of the healing hydroxytyrosol and polyphenols than others. He recommends buying olive oil made from Koroneiki, Picual or Moraiolo olives.
""So when I go shopping for olive oil,"" Dr. Li said, ""I pick up the bottle, and I turn it around, and I look for the name of the olive. What kind of olive was this oil pressed from?""
So while many of view food as an afterthought, Dr. William Li says putting a little thought into what we eat can pay dividends when it comes to our health.
""While medicines can be used to treat disease, foods can prevent it in the first place,"" he said.
"
Mueller Frustrated With Barr Over Portrayal of Findings,www.cbn.com,Associated Press,05-01-2019,2019,5,http://www.cbn.com/api/urlredirect.aspx?u=http://www1.cbn.com/cbnnews/politics/2019/april/mueller-frustrated-with-barr-over-portrayal-of-findings,"Attorney General William Barr is on Capitol Hill today for what was expected to be an explosive hearing before the Senate Judiciary Committee.
It's the first time Barr has faced lawmakers' questions since releasing Special Counsel Robert Mueller's report.
The hearing comes as a Washington Post story reveals Mueller told Barr he was frustrated with how the conclusions of his investigation were being portrayed. The Post story and the Justice Department said Mueller made it clear that he didn't believe Barr's summary of Mueller's report was inaccurate or misleading.
""After the Attorney General received Special Counsel Mueller's letter, he called him to discuss it,"" Justice Department spokeswoman Kerri Kupec said. ""In a cordial and professional conversation, the Special Counsel emphasized that nothing in the Attorney General's March 24 letter was inaccurate or misleading. But, he expressed frustration over the lack of context and the resulting media coverage regarding the Special Counsel's obstruction analysis.""
But Mueller also wrote that the document ""did not fully capture the context, nature and substance"" of his report and that it created confusion about some results of the investigation.
Mueller did ask the attorney general to release introductions and executives summaries included in the report.
The story has increased concerns among Democrats about Barr's handling of the Mueller report."
