title, publication, authors, date, year, month, url, content
Cornyn warns White House to consult Senate before announcing nominees like Herman Cain - CNNPolitics,edition.cnn.com,Ted Barrett,04-10-2019,2019,4,https://edition.cnn.com/2019/04/09/politics/john-cornyn-white-house-senate-nominees-herman-cain/index.html,"Washington (CNN) A senior Republican senator warned the White House on Tuesday that it needs to do a better job consulting with the Senate before announcing controversial nominees like Herman Cain for the Federal Reserve Board, because it's not ""a given that everybody whose name gets sort of floated without vetting and without consultation can be confirmed.""
Sen. John Cornyn of Texas, a member of the GOP leadership team, predicted that Cain, a former businessman and Republican presidential candidate who faced sexual harassment allegations, will ultimately be cleared by the Republican-controlled Senate but said the ""bigger issue"" is that the White House can avoid problems by reaching out in advance. ""Rather than have the embarrassment for the nominees or for the President or for senators, the thing that I just encourage is there should be consultation,"" Cornyn said. President Donald Trump has said he wants Cain and Stephen Moore , a conservative economic and political commentator, who share Trump's views on monetary policy, to fill seats on the Fed, which the President has routinely criticized . Democrats say neither man is a serious choice for the central bank, which is supposed to be independent of the White House. Cornyn's comments come amid a spate of openings for top jobs in the Trump administration, as the President has made many changes at the Department of Homeland Security and other agencies. Read More It's not clear if Cain or Moore can be confirmed in the Senate, where Republicans have a narrow 53-47 majority. Senate Majority Leader Mitch McConnell notably did not make any effort to defend them when he was asked at a news conference if they were acceptable nominees. ""Well, we are going to look at whoever the President sends up. It's his choice to decide and once he makes a nomination, we'll take a look at it,"" the Kentucky Republican said. Sen. Richard Shelby, an Alabama Republican who's a senior member of the Banking Committee, which would hold confirmation hearings for the pair, repeatedly noted to reporters that neither Cain or Moore had been officially nominated yet. Shelby said Moore has ""been around"" and ""active in politics."" But he seemed less comfortable with Cain. ""Cain's nomination, if it comes around, will be interesting to watch,"" he said."
"Claire Grady, acting No. 2 at Homeland Security, latest to leave department - CNNPolitics",edition.cnn.com,Kate Sullivan,04-10-2019,2019,4,https://edition.cnn.com/2019/04/09/politics/acting-deputy-secretary-dhs-resignation/index.html,"Washington (CNN) Transportation Security Administration Administrator David Pekoske is expected to be named acting deputy secretary at the Department of Homeland Security, according to two administration officials.
On Tuesday night, outgoing Secretary Kirstjen Nielsen announced the imminent resignation of Claire Grady, the acting deputy of Homeland Security, paving the way for President Donald Trump's pick of Kevin McAleenan to lead the department in an acting capacity. Following Nielsen's forced resignation Sunday night, Grady was statutorily next in line to become acting secretary. ""Acting Deputy Secretary Claire Grady has offered the President her resignation, effective tomorrow. For the last two years, Claire has served @DHSgov w excellence and distinction. She has been an invaluable asset to DHS -- a steady force and a knowledgeable voice,"" Nielsen tweeted. With Grady's departure, DHS is changing the order of succession. The previous line of succession included deputy secretary, under secretary for management, Federal Emergency Management Administration, which does not currently have a permanent administrator, and the Cybersecurity and Infrastructure Security Agency. It's unclear what the new order is. Read: DHS Secretary Kirstjen Nielsen's letter on acting deputy secretary's resignation Pekoske was confirmed by the Senate to lead TSA in August 2017. Last year, Congress established a five-year term for the TSA administrator. Pekoske is expected to return to his role at TSA, according to a source. Read More CNN has reached out to TSA for comment. A former administration official told CNN that Grady ""knew her fate was tied to Nielsen."" ""She is one of the people who got stuff done at DHS. Someone everyone went to at the department when they were having a bad day,"" the former official said. How Stephen Miller tightened his grip over Trump's immigration and border policy After Trump announced her resignation, Nielsen said on Twitter that she planned to stay on until Wednesday to help with the transition. Grady's departure comes as Trump is cleaning house in the department. The day after Nielsen's resignation was announced, Secret Service Director Randolph ""Tex"" Alles was ousted, and at least two officials have been named as possibly heading out the door: US Citizenship and Immigration Services director Francis Cissna and Office of the General Counsel's John Mitnick. ""There is a near-systematic purge happening at the nation's second-largest national security agency,"" an official has told CNN. At least some of the sudden personnel changes come at the urging of White House senior adviser Stephen Miller, who played a key role in Nielsen's ouster. In recent weeks, the President empowered Miller to lead the administration's border policies ""and he's executing his plan"" with what amounts to a wholesale decapitation of the department's leadership, an official has told CNN."
Trump to sign executive orders meant to free up oil and gas pipeline development - CNN,edition.cnn.com,"Jill Disis and David Goldman, CNN Business",04-10-2019,2019,4,https://edition.cnn.com/2019/04/09/business/trump-executive-order-oil-gas-pipeline/index.html,"New York (CNN Business) The Trump administration on Wednesday will announce two executive orders aimed at freeing up more pipelines to supply the United States with oil and gas. The orders could give the federal government more power over states in approving energy projects.
The United States is producing more oil and gas than any point in its history, in large part because of the shale boom in the Permian Basin in West Texas. But producers have trouble getting all of that supply to customers due to constraints on the number of pipelines. Canadian oil is also a problem, because Canada has run out of pipelines to send oil to the United States. Several states have invoked the Clean Water Act to delay approval of sections of pipelines, arguing that the pipelines will cause environmental damage. New York, for example, rejected a natural gas pipeline three years ago that state officials said failed to meet water quality standards. Developers still want to build that pipeline, which was supposed to transport natural gas throughout markets in the Northeast. Read More One of the executive orders will direct the Environmental Protection Agency to revise the way states can consider the Clean Water Act when deciding whether to approve pipelines, according to a senior administration official. The official told reporters Tuesday night that there are ""a lot of problems"" with the way the Clean Water Act is being interpreted, adding that the administration expects the executive order to ""alleviate"" some of those issues. A second executive order is aimed at making cross-border energy infrastructure approval more streamlined. It says that any decision to issue or deny a cross-border permit shall be made solely by President Donald Trump. There's trouble in OPEC and oil prices are up 50% That executive order isn't limited to pipelines, but would cover other kinds of energy infrastructure projects, too. It comes amid controversy over the Keystone XL Pipeline, which is operated by TransCanada and which would bring Canadian oil into the United States. The Obama administration opted to shut down that pipeline, but the Trump administration has sought to reopen it . An official said Tuesday that the new executive order would affect ""future"" permitting for energy projects at the border. As energy prices have risen over the past several months, Trump has called on OPEC, the oil cartel led by Saudi Arabia, to help reduce the price of oil in the United States. Oil prices have risen because of a variety of factors including fighting in Libya, sanctions against Venezuela and Iran, and the inability of United States energy producers to deliver their vast supply to US customers. It is unclear if the executive order will have its intended, if any, impact. Many states are embroiled in bitter legal disputes with the Trump administration, and the executive order is unlikely to settle any of those disputes."
Gun manufacturer asks Supreme Court to take on lawsuit involving Sandy Hook families,edition.cnn.com,Sarah Jorgensen,04-10-2019,2019,4,https://edition.cnn.com/2019/04/09/politics/sandy-hook-lawsuit-supreme-court/index.html,"(CNN) Gun manufacturer Remington is asking the US Supreme Court to hear a lawsuit involving the company and families of Sandy Hook victims.
In a filing dated Friday , Remington asked the Connecticut Supreme Court for a motion of stay as it petitions the high court to hear its argument. Remington is asking the court to decide on the state's interpretation of a federal statute that grants gun manufacturers immunity from any lawsuit related to injuries that result from criminal misuse of their product. The case could determine the degree to which gun manufacturers are liable for the marketing of their products. The Connecticut lawsuit is believed to be the first of its kind to reach the discovery phase after the enactment of the Protection of Lawful Commerce in Arms Act in 2005, which grants immunity to manufacturers and is at the center of Remington's motion. Remington manufactured the Bushmaster AR-15 rifle that the 20-year-old gunman used in the 2012 shooting at the Sandy Hook Elementary School. Twenty children and six adults were killed in the massacre in Newtown, Connecticut, in one of the deadliest mass shootings in modern US history. Following a state court ruling last month, Remington says it's heading to the US Supreme Court because ""the basis for jurisdiction in the Supreme Court is this court's decision on an important federal question that conflicts with a decision of a United States court of appeals."" Read More The Connecticut Supreme Court ruled in March that Remington can be sued under state law for how it marketed the AR-15. State law does not permit advertisements that encourage criminal behavior, according to the decision. However, Remington argues federal law should prevent the company from being sued. The attorney for the Sandy Hook families, Josh Koskoff, said Remington's attempt to stay the case is merely a tactic to delay discovery. ""Remington's attempt to stay the case is simply another tactic designed to delay and prevent the families from learning the truth of what went on behind closed doors. Fortunately for all of us, transparency is a cornerstone of our civil justice system, and nobody -- not even Remington -- is above the law."" CNN has reached out to attorneys for Remington for additional comment. In 2014, the families of nine of the victims filed a wrongful death suit against the manufacturers and distributors of the Bushmaster rifle. That case was dismissed in 2016 by Connecticut Superior Court Judge Barbara Bellis, citing the Protection of Lawful Commerce in Arms Act. However, Sandy Hook families appealed the dismissal, and last month , the Connecticut Supreme Court allowed the lawsuit against gun manufacturers to go forward. The families argue that the gun manufacturers knowingly marketed the gun to those who ""carry out offensive, military style combat missions against their perceived enemies."" In their original complaint, the families cite some of the marketing practices allegedly used for the Bushmaster. For example, the Bushmaster Defendant's 2012 Bushmaster Product Catalog, the lawsuit says, shows ""the silhouette of a soldier holding his helmet against the backdrop of an American flag"" and ""text that reads 'when you need to perform under pressure, Bushmaster delivers.' "" CORRECTION: This story has been updated to reflect Remington's position on why the US Supreme Court should hear the case."
Illinois to ensure Medicaid coverage of gender-change surgery,us.cnn.com,"Theresa Waldrop, CNN",04-10-2019,2019,4,http://us.cnn.com/2019/04/09/us/illinois-medicaid-gender-affirming-surgery/index.html,"(CNN) Illinois' Medicaid program will soon ensure coverage of gender-affirming surgeries for transgender adults who meet certain diagnostic criteria, the state's Department of Healthcare and Family Services said in a release .
The department is developing rules for the coverage, and it's likely to be adopted this summer, according to the release. Medicaid members must be at least 21 years old and have a diagnosis of gender dysphoria, a term that describes the distress people suffer when the gender they identify with doesn't match the gender assigned to them at birth. ""For those facing gender dysphoria, every day can be a painful challenge, Theresa Eagleson, HFS director, said in the statement. ""Helping these individuals overcome their struggles through compassionate and comprehensive treatment is the right approach for them and for Illinois."" What is medically necessary treatment for gender-affirming health care? Expanding Medicaid coverage of the procedure would be cost-effective, the department said, since it prevents ""negative health impacts,"" including depression and suicide. HFS is using Vermont's policies as a model, it said. Cost increases have not been reported by 17 states, and the District of Columbia, that offer this coverage, the department said. Read More In a study published in September, transgender teens reported the highest rates of suicide attempts . Among transgender male teens, almost 51% said they had tried to take their lives, the study said. ""Expanding Medicaid to cover gender affirming surgeries is cost effective, helps avoid long-term health consequences, and most importantly is the right thing to do,"" Gov. J. B. Pritzker said in the release. CNN has reached out to the department for comment on the policy change, but hasn't yet had a response. To be herself, she needs to change her body. But first, comes the battle with insurers The US Department of Health and Human Services in 2016 made a rule that interpreted the ban on sex discrimination to include discrimination on the basis of gender identity in federally funded health care facilities and insurance plans. The Illinois HFS said the previous administration didn't ""create the policies and coverage requirements to accomplish this."" The Trump administration has signaled it intends to undo the rule."
Cornyn warns White House to consult Senate before announcing nominees like Herman Cain CNNPolitics,us.cnn.com,Ted Barrett,04-10-2019,2019,4,http://us.cnn.com/2019/04/09/politics/john-cornyn-white-house-senate-nominees-herman-cain/index.html,"Washington (CNN) A senior Republican senator warned the White House on Tuesday that it needs to do a better job consulting with the Senate before announcing controversial nominees like Herman Cain for the Federal Reserve Board, because it's not ""a given that everybody whose name gets sort of floated without vetting and without consultation can be confirmed.""
Sen. John Cornyn of Texas, a member of the GOP leadership team, predicted that Cain, a former businessman and Republican presidential candidate who faced sexual harassment allegations, will ultimately be cleared by the Republican-controlled Senate but said the ""bigger issue"" is that the White House can avoid problems by reaching out in advance. ""Rather than have the embarrassment for the nominees or for the President or for senators, the thing that I just encourage is there should be consultation,"" Cornyn said. President Donald Trump has said he wants Cain and Stephen Moore , a conservative economic and political commentator, who share Trump's views on monetary policy, to fill seats on the Fed, which the President has routinely criticized . Democrats say neither man is a serious choice for the central bank, which is supposed to be independent of the White House. Cornyn's comments come amid a spate of openings for top jobs in the Trump administration, as the President has made many changes at the Department of Homeland Security and other agencies. Read More It's not clear if Cain or Moore can be confirmed in the Senate, where Republicans have a narrow 53-47 majority. Senate Majority Leader Mitch McConnell notably did not make any effort to defend them when he was asked at a news conference if they were acceptable nominees. ""Well, we are going to look at whoever the President sends up. It's his choice to decide and once he makes a nomination, we'll take a look at it,"" the Kentucky Republican said. Sen. Richard Shelby, an Alabama Republican who's a senior member of the Banking Committee, which would hold confirmation hearings for the pair, repeatedly noted to reporters that neither Cain or Moore had been officially nominated yet. Shelby said Moore has ""been around"" and ""active in politics."" But he seemed less comfortable with Cain. ""Cain's nomination, if it comes around, will be interesting to watch,"" he said."
Samantha Josephson: State lawmakers push for rideshare safety bill after student's death,us.cnn.com,Meridith Edwards,04-10-2019,2019,4,http://us.cnn.com/2019/04/09/us/usc-uber-killing-law-south-carolina/index.html,"(CNN) The South Carolina House has passed a bill to require rideshare vehicles to display illuminated signs in the wake of the death of a USC student who got into a vehicle she believed was her Uber.
South Carolina Rep. Seth Rose and Rep. Micah Caskey co-sponsored the ""Samantha L. Josephson Ridesharing Safety Act"" bill to make it easier for riders to identify Uber and Lyft vehicles. The bill passed by a vote of 99-1, Rose said. The bill now advances to the Senate. ""This legislation creates an initial step by which someone should be able to start the process of verifying that a rideshare is in fact their vehicle,"" said Rose, who filed the bill just days after Josephson's death. ""You still need to check the license plate, ask the driver to recite your name and follow other safety procedures that are available and in place. But with this bill, we are trying to allow the citizen to verify from a distance that a vehicle may be their rideshare."" Josephson, a 21-year-old student at the University of South Carolina, had called for an Uber around 2 a.m. March 29 in Columbia outside a bar. She was last seen getting into a black vehicle that was not her Uber. Her body was found with multiple sharp force injuries 14 hours later in a field about 90 miles away, authorities said . Read More Police arrested Nathaniel David Rowland on murder and kidnapping charges after an officer saw him driving a vehicle that matched the one seen in the surveillance video. Josephson's blood was found in the car's passenger side and the trunk, and her cell phone was in the passenger compartment, authorities said. JUST WATCHED Man mistaken for Uber driver charged in student's death Replay More Videos ... MUST WATCH
Man mistaken for Uber driver charged in student's death 01:09 The rideshare apps have a number of safety features that provide checks for riders so that they don't get into the wrong vehicle, as happened to Josephson. For example, the Uber app informs the rider of the make, model and color of the vehicle, the license plate number and the driver's name and photo. Uber and Lyft also allow drivers and riders to text or call each other, and riders can send their trip information and location to friends during the ride. Under current South Carolina law, rideshare drivers are required to have reflective stickers. What other campuses have done The issue of fake Uber drivers is particularly acute on college campuses, full of tech-savvy students who often use Uber and Lyft as a way to get around, especially when drinking alcohol. Uber said it has been working with police and college campuses to address this issue. ""Since 2017, we've been working with local law enforcement and college campuses across the country to educate the public about how to avoid fake rideshare drivers,"" an Uber spokesperson said. ""Everyone at Uber is devastated to hear about this unspeakable crime, and our hearts are with Samantha Josephson's family and loved ones. We remain focused on raising public awareness about this incredibly important issue."" Several college towns, including Columbia in the past few days, have taken steps in the wake of violent incidents. Since Josephson's death, Columbia Police placed fliers with safety tips for rideshare and taxi rides onto the windows of businesses in the city. The flier highlights a specific drop-off and pick-up zone, and advises riders to cross streets at crosswalks, put down their phones and avoid excessive alcohol consumption. Ridesharing guidelines and tips were placed on business windows in downtown Columbia, South Carolina. In an interview with CNN, Rose noted that USC currently holds a University 101 class for students that offers a crash course in what to do and what not to do in Columbia. He plans to send a formal letter to USC's president and board of trustees asking them to incorporate rideshare safety advice into that course. ""I think every place across this country, every university, needs to take note that this is a real danger and we need to take precautions to educate everyone that this is a possibility,"" Rose said. Florida Gulf Coast University had a similar reaction after an alleged assault by a fake Uber driver in August 2017. In that case, a female student mistakenly got into a car she believed was from a rideshare service, university police said, and the driver then allegedly assaulted the student. The university said officials speak on a regular basis with students, including at orientation, about the importance of personal safety. ""We encourage them to adopt the buddy system with their friends to minimize a criminal's opportunity to exploit a situation like we believe happened in this case you referenced,"" the university said in a statement. ""At the time the crime occurred, our University Police issued a reminder to all students and employees to carefully confirm the make, model and license plate of a private transportation company's car to make sure they are getting into the right vehicle."" Think you know how to Uber and Lyft? Make sure you're aware of these safety tips In November 2017, police said a man posing as an Uber driver sexually assaulted a woman on American University's campus, according to CNN affiliate WJLA . DC Superior Court records showed that the victim and her boyfriend had flagged down the suspect and paid him in cash, WJLA reported, and the assault allegedly occurred after the boyfriend left the vehicle. Court records show that the vehicle did have an Uber sticker visible, according to WJLA. An American University spokesman said they have a number of safety features and advice for students taking rideshares. ""We advise students to follow the safety policies of the rideshare services, including using the app to call and identify an authorized driver, rather than relying on a window decal,"" the spokesman said. ""In addition, AUPD offers a safety app called Rave Guardian that can be used in the District of Columbia. Rave Guardian has an emergency icon for Campus Police and Local Police Emergencies depending on on- or off-campus use. ""Finally, AUPD offers a Safe Ride back to Campus program. If a student finds themselves stranded in DC for any reason, they can call a cab and have it take them to University Police headquarters. The student should notify AUPD that they are on their way by calling 202-885-2527. AUPD will pay for the cab and place the charge on the student's account, ensuring that even without money or a ride, students can always return safely to campus. This service can be utilized within a 10-mile radius of the main campus."""
Judge demands white supremacist Andrew Anglin turn up for deposition. He says he's afraid.,us.cnn.com,Mallory Simon,04-10-2019,2019,4,http://us.cnn.com/2019/04/09/us/andrew-anglin-daily-stormer-lawsuit/index.html,"(CNN) The founder of one of the most highly trafficked neo-Nazi websites must face questioning in person under oath in the United States about allegations he called for a ""troll storm"" against a Jewish woman, a federal judge ruled.
But that's not likely to happen, according to Andrew Anglin's lawyer Marc Randazza. ""He doesn't live in the United States and doesn't want to come to the United States,"" Randazza says. ""I really can't tell you why...But I am duty bound to respect it."" Anglin, who was raised in the U.S. but has claimed he is no longer a citizen, was willing to sit for a deposition via video conference or in an embassy and argued in court motions that he should be able to do so instead of coming to the United States. Anglin has argued that he does not live in the United States and ""claims he fears violence from Southern Poverty Law Center supporters and harassment from the Southern Poverty Law Center itself,"" according to court documents. Those are allegations the court ""correctly concluded..."" ""were unfounded and without basis,"" David Dinielli, deputy legal director of the SPLC told CNN. Read More Anglin, founder of the Daily Stormer website, is being sued in a lawsuit which seeks to hold him liable after using his website to encourage his thousands of readers to contact Tanya Gersh. Most of the messages contained hate-filled language and centered on the fact that Gersh is Jewish. Anglin has argued his speech is protected by the First Amendment. An avalanche of hate: How a Montana mom became the target of a neo-Nazi troll storm Gersh, with the help of the Southern Poverty Law Center, is suing Anglin for ""invasion of privacy, intentional infliction of emotional distress and violations of Montana's Anti-Intimidation Act."" That suit was filed in April 2017 in the US District Court for Montana. Lawyers for Gersh and Anglin have been going back and forth about conditions for Anglin's deposition, which is central to the case. But US Magistrate Judge Jeremiah C. Lynch ruled that ""Anglin's personal safety concerns are factually unsupported"" to provide a blanket protective order that would allow him to be deposed outside the U.S. Lynch did say the court could resolve disputes about the deposition as they arose if Anglin did come to the United States. But Anglin has told his lawyer he will not come to the United States under any circumstance. ""The court has decided [Anglin] must re-emigrate to the United States in order to defend himself,"" Randazza told CNN. ""Unless he has a change of heart, he is never going to cross into the United States as long as he lives."" ""He has no fear of answering the questions. Just not under the circumstances the court is mandating."" What happens next Andrew Anglin is the founder of The Daily Stormer website. Randazza says he expects now Anglin will ""willingly accept a default"" judgement instead. Neither Anglin nor his attorneys have filed any paperwork indicating that he will defy the judge's order and not come to the U.S. In the meantime, Dinielli says Gersh and the SPLC will continue to seek justice in the case. ""We'll proceed under the rules of procedure and if Mr. Anglin does not comply with his discovery obligations then there'll be consequences,"" Dinielli says. Dinielli says ""Anglin has from the beginning played games"" and this is merely a ""continuation of that pattern."" Randazza calls it a situation where ""everyone loses."" ""The end result of that will be that the SPLC will get a piece of paper, my client will pay nothing and there won't even be a decision on the legal merits, at least clarifying the law,"" he says. Gersh's lawyers say they intend to see the process through and believe this isn't an everyone-loses situation. And it's not just a ""piece of paper,"" if a judge rules against Anglin in this case. ""That would be a very important piece of paper for Tanya Gersh to possess,"" Dinielli says. ""A significant judgment if not ultimately collected is an important message to people who would consider doing this kind of thing."" Case had been set up as a First Amendment clash Lawyers on both sides of the case had prepared for a legal battle expected to examine the boundaries of the First Amendment and attempts to hold people responsible for their words. In this case, the words came from readers of the Daily Stormer after Anglin wrote about Gersh on his website and asked people to unleash a troll storm on her. Most of the messages from his readers came in the form of anti-Semitic slurs. There were edited images of her face on the gates of the Nazi Auschwitz death camp. A voicemail with the sound of gunshots. There were letters sent to the home she shared with her husband and young son, who also received messages on social media. Randazza, Anglin's lawyer and a well-known First Amendment attorney, told CNN in the past, ""The only thing he (Anglin) did was call for people to speak, but people want to draw the line for speech they don't like."" Tanya Gersh says harassing messages reached her in every corner of her life. Gersh told CNN when she filed the lawsuit that she believed reducing the Daily Stormer readers to simply ""trolls"" minimizes the impact they had on her life. ""These are not trolls. They are terrorists,"" she told CNN. ""They are very harmful, they are very malicious and they are dangerous."" That is not how the law sees it, Anglin's lawyers have argued during the case's early stages. ""Even Nazi expression, no matter the psychic harm on Jewish residents, is nonetheless protected speech,"" Anglin's lawyers wrote. Speech that may be abhorrent to some still constitutes free speech, his lawyers maintain. ""Every word uttered by Mr. Anglin in this public dispute is protected by the First Amendment, no matter how many people find those views intolerable,"" Anglin's lawyers argue. Fighting on It's unclear now what may happen to the case. Discovery is still underway in the case. Gersh's lawyers are still trying to interview people connected to the ""troll storm."" But the case may lack the courtroom showdown that was once expected. ""I'm not terribly disappointed nor excited one way or another. Unfortunately, the public likes to see a spectacle in cases. They are used to the movie version of legal cases,"" Randazza says. ""That's just not how our court system works. The vast majority end with a whimper not with a bang."" Gersh's lawyers maintain that's not how they see this playing out. And that Gersh intends to make sure Anglin gets the message that what he did is not acceptable. ""She is intent on prosecuting the case to conclusion ... in order to demonstrate the depths of harm when an individual is targeted with the hate and vitriol Mr. Anglin directed at her,"" Dinielli says."
Bonnie Haim: Trial begins for man accused of killing his wife in 1993 cold case,us.cnn.com,Eric Levenson,04-10-2019,2019,4,http://us.cnn.com/2019/04/09/us/bonnie-michael-haim-trial/index.html,"(CNN) When Aaron Fraser began excavating behind his childhood home in Jacksonville, Florida, as part of a renovation in 2014, he made a gruesome discovery: human remains.
They were the skull and bones of his mother, Bonnie Haim, who had gone missing in January 1993 and whose body had not been found. Prosecutors say that discovery led officials to arrest her then-husband, Michael Haim, and charge him with second-degree murder. ""The truth was always out there, buried in their backyard,"" Assistant State Attorney Alan Mizrahi said in opening statements in the murder trial on Tuesday. Michael and Bonnie Haim had been having marital problems, and he has long been a prime suspect in the case, his defense attorney Janis Warren said in her opening remarks. Read More But he has maintained his innocence since her disappearance. In an interview with CNN affiliate WJXT shortly after Bonnie Haim disappeared in 1993, Michael Haim said she left their home on the night of January 6 after a relationship issue. ""Basically she just wasn't happy and she wanted to leave, and I couldn't stop her from leaving,"" he told WJXT . Michael Haim is accused of killing his wife, Bonnie Haim, in 1993. Warren said prosecutors did not have enough evidence to prove his guilt beyond a reasonable doubt. ""We agree she's dead. We agree that's her body in the backyard. But they have to prove to you that he did it,"" she said. ""When you listen to the evidence, ladies and gentlemen, and when you're finished, you're gonna see the lack of evidence in this case far outweighs any evidence they brought you."" The childhood memories of Fraser, who was 3 when his mother disappeared, are expected to be a major part of the case against Michael Haim, CNN affiliate WJXT reported . After his mother disappeared, he told a child welfare worker at the time, ""Daddy hurt Mommy,"" WJXT reported. ""Aaron also stated that 'Daddy shot Mommy' and 'My daddy could not wake her up,'"" a 2015 arrest affidavit said, according to WJXT . Opening statements in the trial Bonnie Haim's remains were found under a shower pallet in the home's backyard, Mizrahi said. A .22-caliber shell was also found near the body, he said, and Michael Haim owned a .22-caliber rifle. Although a medical examiner could not affirmatively determine how she was killed, Mizrahi argued that Michael Haim shot her and then buried her there in 1993. ""The defendant's actions before the killing and after the killing demonstrate his depraved indifference to Bonnie Haim's life,"" he said. Investigators had searched the property several times in the years after her disappearance, but did not find her remains until Fraser's discovery two decades later. ""That was the piece of the puzzle that we really felt we were missing,"" Jacksonville Sheriff's Office Director Mike Bruno told WJXT in 2015. ""There are so many unsolved or cold cases that are in this same situation of we just need that one clue, that one tip, that one piece. Here, we were able to get it, and to start that piece of closure."" Warren, Haim's attorney, said on Tuesday that prosecutors would not be able to prove that he killed her and placed her body there on the night she disappeared. ""The only thing that's important is: Can they prove he killed her? And can they prove he put the body in the yard? There's no evidence of either one of those,"" she added."
"Claire Grady, acting No. 2 at Homeland Security, latest to leave department CNNPolitics",us.cnn.com,Kate Sullivan,04-10-2019,2019,4,http://us.cnn.com/2019/04/09/politics/acting-deputy-secretary-dhs-resignation/index.html,"Washington (CNN) Transportation Security Administration Administrator David Pekoske is expected to be named acting deputy secretary at the Department of Homeland Security, according to two administration officials.
On Tuesday night, outgoing Secretary Kirstjen Nielsen announced the imminent resignation of Claire Grady, the acting deputy of Homeland Security, paving the way for President Donald Trump's pick of Kevin McAleenan to lead the department in an acting capacity. Following Nielsen's forced resignation Sunday night, Grady was statutorily next in line to become acting secretary. ""Acting Deputy Secretary Claire Grady has offered the President her resignation, effective tomorrow. For the last two years, Claire has served @DHSgov w excellence and distinction. She has been an invaluable asset to DHS -- a steady force and a knowledgeable voice,"" Nielsen tweeted. With Grady's departure, DHS is changing the order of succession. The previous line of succession included deputy secretary, under secretary for management, Federal Emergency Management Administration, which does not currently have a permanent administrator, and the Cybersecurity and Infrastructure Security Agency. It's unclear what the new order is. Read: DHS Secretary Kirstjen Nielsen's letter on acting deputy secretary's resignation Pekoske was confirmed by the Senate to lead TSA in August 2017. Last year, Congress established a five-year term for the TSA administrator. Pekoske is expected to return to his role at TSA, according to a source. Read More CNN has reached out to TSA for comment. A former administration official told CNN that Grady ""knew her fate was tied to Nielsen."" ""She is one of the people who got stuff done at DHS. Someone everyone went to at the department when they were having a bad day,"" the former official said. How Stephen Miller tightened his grip over Trump's immigration and border policy After Trump announced her resignation, Nielsen said on Twitter that she planned to stay on until Wednesday to help with the transition. Grady's departure comes as Trump is cleaning house in the department. The day after Nielsen's resignation was announced, Secret Service Director Randolph ""Tex"" Alles was ousted, and at least two officials have been named as possibly heading out the door: US Citizenship and Immigration Services director Francis Cissna and Office of the General Counsel's John Mitnick. ""There is a near-systematic purge happening at the nation's second-largest national security agency,"" an official has told CNN. At least some of the sudden personnel changes come at the urging of White House senior adviser Stephen Miller, who played a key role in Nielsen's ouster. In recent weeks, the President empowered Miller to lead the administration's border policies ""and he's executing his plan"" with what amounts to a wholesale decapitation of the department's leadership, an official has told CNN."
