title, publication, authors, date, year, month, url, content
"Suspect in custody in three Louisiana church fires, federal prosecutor says – Tokyo Daily News",www.nbcnews.com,,04-11-2019,2019,4,https://www.nbcnews.com/news/us-news/suspect-custody-three-louisiana-church-fires-federal-prosecutor-says-n993271/,"Home / WORLD NEWS / Suspect in custody in three Louisiana church fires, federal prosecutor says Suspect in custody in three Louisiana church fires, federal prosecutor says 1 hour ago WORLD NEWS Breaking News Emails
Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings.
SUBSCRIBE
April 11, 2019, 3:48 AM GMT / Updated April 11, 2019, 4:04 AM GMT
By Phil Helsel A suspect is in custody in connection with fires at three historically black churches in Louisiana, a federal prosecutor confirmed Wednesday night. The suspect’s name was not released. U.S. Attorney for the Western District of Louisiana David C. Joseph said in a statement that: “A suspect has been identified in connection with the three church burnings in Opelousas, Louisiana, and is in state custody.” The federal prosecutor did not name the churches in the brief statement, but three historically African American churches have burned in St. Landry Parish, where Opelousas is located, since late March. “The U.S. Attorney’s Office, ATF, and FBI are working with state and local law enforcement and stand shoulder-to-shoulder with the victims and those St. Landry Parish residents affected by these despicable acts,” Joseph said. The prosecutor’s statement does not indicate a suspected motive. ABC station KATC of Lafayette first reported that a suspect was in custody, citing law enforcement sources. There have been no injuries in the blazes, which were reported at the St. Mary Baptist Church in Port Barre on March 26; the Greater Union Baptist Church in Opelousas on April 2; and the Mount Pleasant Baptist Church in Opelousas on April 4, officials have said. Port Barre, where St. Mary Baptist Church was, is around 11 miles east of Opelousas. The churches were empty at the time of the fires, officials said, and each suffered considerable damage, forcing worshippers to hold Sunday services at other locations. A fourth fire last weekend at a church with a predominantly white congregation in another parish 200 miles away doesn’t appear to be connected, authorities have said. A news conference is expected in St. Landry Parish on Thursday morning, in which Gov. John Bel Edwards, the state fire marshal, and other federal and state law enforcement officials are expected to attend, and provide an update “on the fires that burned three historically African-American churches in St. Landry Parish over the span of 10 days,” Edwards’ office said in a statement. About 200 people, including from the FBI and the Bureau of Alcohol, Tobacco, Firearms and Explosives, had been examining the latest cases in Louisiana to help determine whether the fires were intentionally set and may have been motivated by racism or extremism. After the third fire, State Fire Marshal Butch Browning told reporters that investigators had identified “suspicious elements” in each case and “believe that crimes have occurred.” The president and CEO of the National Association for the Advancement of Colored People, Derrick Johnson, said in a statement earlier this week that “the spike in church burnings in Southern states is a reflection of the emboldened racial rhetoric and tension spreading across the country.” Phil Helsel is a reporter for NBC News. "
"Suspect in custody in three Louisiana church fires, federal prosecutor says - NBC News",www.nbcnews.com,,04-11-2019,2019,4,https://www.nbcnews.com/news/us-news/suspect-custody-three-louisiana-church-fires-federal-prosecutor-says-n993271,"U.S. news Suspect in custody in three Louisiana church fires, federal prosecutor says Authorities ""stand shoulder-to-shoulder with the victims and those St. Landry Parish residents affected by these despicable acts,"" the U.S. attorney said. The burnt ruins of the Greater Union Baptist Church, one of three that recently burned down in St. Landry Parish, in Opelousas, La., on April 10, 2019. Gerald Herbert / AP Breaking News Emails Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings. SUBSCRIBE April 11, 2019, 3:48 AM UTC / Updated April 11, 2019, 12:44 PM UTC By Phil Helsel and Gabe Gutierrez A suspect in custody in connection with fires at three historically black churches in Louisiana was identified Thursday morning as Holden Matthews, 21, the son of a local sheriff's deputy, a source briefed on the investigation told NBC News. Federal prosecutors confirmed the arrest Wednesday night and said the suspect was in state custody, but did not name him. The fires have broken out at the three historically African American churches in St. Landry Parish since late March. ""The U.S. Attorney’s Office, ATF, and FBI are working with state and local law enforcement and stand shoulder-to-shoulder with the victims and those St. Landry Parish residents affected by these despicable acts,"" U.S. Attorney for the Western District of Louisiana David C. Joseph said in a statement . The statement does not indicate a suspected motive. ABC station KATC of Lafayette first reported that a suspect was in custody, citing law enforcement sources. There have been no injuries in the blazes, which were reported at the St. Mary Baptist Church in Port Barre on March 26, the Greater Union Baptist Church in Opelousas on April 2, and the Mount Pleasant Baptist Church in Opelousas on April 4, officials have said. Port Barre is around 11 miles east of Opelousas. FBI investigating 3 fires at black churches in Louisiana April 8, 2019 01:39 The churches were empty at the time of the fires, officials said, and each suffered considerable damage, forcing worshippers to hold Sunday services at other locations. A fourth fire last weekend at a church with a predominantly white congregation in another parish 200 miles away doesn't appear to be connected, authorities have said. A news conference is expected in St. Landry Parish on Thursday morning, in which Gov. John Bel Edwards, the state fire marshal, and other federal and state law enforcement officials are expected to attend. They will provide an update ""on the fires that burned three historically African-American churches in St. Landry Parish over the span of 10 days,"" Edwards' office said in a statement. About 200 people, including from the FBI and the Bureau of Alcohol, Tobacco, Firearms and Explosives, had been examining the latest cases in Louisiana to help determine whether the fires were intentionally set and may have been motivated by racism or extremism. Related 'Suspicious' fires at black churches in Louisiana follow rise in hate crimes After the third fire, State Fire Marshal Butch Browning told reporters that investigators had identified ""suspicious elements"" in each case and ""believe that crimes have occurred."" Derrick Johnson, president and CEO of the NAACP, said in a statement earlier this week that ""the spike in church burnings in Southern states is a reflection of the emboldened racial rhetoric and tension spreading across the country."" Phil Helsel Phil Helsel is a reporter for NBC News. Gabe Gutierrez Gabe Gutierrez is an NBC News Correspondent based in Atlanta, Georgia. He reports for all platforms of NBC News, including ""TODAY,"" “NBC Nightly News,"" MSNBC and NBCNews.com."
Minnesota businessman and wife found dead at home,www.nbcnews.com,nbcnews.com,04-11-2019,2019,4,https://www.nbcnews.com/video/minnesota-businessman-and-wife-found-dead-at-home-1487910467864,"Two people were found dead at the home of prominent Minnesota businessman Irwin L. Jacobs. Several sources close to the family confirmed to NBC affiliate KARE 11 that the dead are Irwin Jacobs and his wife, Alexandra."
Hikers missing for 5 days in California mountains found safe,www.nbcnews.com,,04-11-2019,2019,4,https://www.nbcnews.com/news/us-news/hikers-missing-5-days-california-mountains-found-safe-n993276,"Two Southern California hikers who had been lost for nearly five days were found safe late Wednesday, officials said. A search team discovered two sets of footprints in Cucamonga Canyon, south of Mount Baldy, and followed them in the San Gabriel Mountains northeast of Los Angeles, the San Bernadino County Sheriff's Department said in a news release.
A helicopter team searching over the area then spotted two people who the crew believed could be missing hikers Gabrielle Wallace, 31, of Rancho Cucamonga, and Eric Desplinter, 33, of Chino Hills. Their identities were later confirmed.
The pair went missing Saturday while hiking in the snowy mountains. They vanished as they made their way toward the 8,860-foot Cucamonga Peak near Mount Baldy.
Eric Desplinter and Gabrielle Wallace vanished on Saturday. San Bernardino County Sheriff's Department / AP Desplinter was described as an experienced hiker, and the two were said to be carrying proper equipment for the icy conditions.
The San Bernadino Sheriff’s Department noted that search teams covered more than 30 square miles looking for the pair and that agencies from across the region aided in the search.
""Volunteers are a real blessing to our agencies, providing thousands of hours giving back to make our communities better and stronger,"" Sheriff John McMahon said in a statement. ""This is a perfect example of their commitment.""
Jamie Knodel Jamie Knodel is a Los Angeles-based breaking news editor for NBC News Digital.
Associated Press, Joe Studley and Kurt Chirbas contributed."
Hikers missing for 5 days found safe in California mountains,www.nbcnews.com,admin,04-11-2019,2019,4,https://www.nbcnews.com/news/us-news/hikers-missing-5-days-california-mountains-found-safe-n993276?cid=public-rss_20190411,Yardee.com | bringing Jamaica to Jamaicans and the World Home » News » Hikers missing for 5 days found safe in California mountains Hikers missing for 5 days found safe in California mountains
NBA star Dwyane Wade plays final game,www.nbcnews.com,admin,04-11-2019,2019,4,https://www.nbcnews.com/video/nba-star-dwyane-wade-plays-final-game-1488119875693?cid=public-rss_20190411,"After 16 years and 3 NBA championships, Dwyane Wade played his final game when the Miami Heat took on the …read more Leave a Comment"
"Suspect in custody in three Louisiana church fires, federal prosecutor says",www.nbcnews.com,admin,04-11-2019,2019,4,https://www.nbcnews.com/news/us-news/suspect-custody-three-louisiana-church-fires-federal-prosecutor-says-n993271?cid=public-rss_20190411,"Yardee.com | bringing Jamaica to Jamaicans and the World Home » News » Suspect in custody in three Louisiana church fires, federal prosecutor says Suspect in custody in three Louisiana church fires, federal prosecutor says"
California prosecutors to seek death penalty in ‘Golden State Killer’ case,www.nbcnews.com,admin,04-11-2019,2019,4,https://www.nbcnews.com/news/us-news/california-prosecutors-seek-death-penalty-golden-state-killer-case-n993266?cid=public-rss_20190411,Yardee.com | bringing Jamaica to Jamaicans and the World Home » News » California prosecutors to seek death penalty in ‘Golden State Killer’ case California prosecutors to seek death penalty in ‘Golden State Killer’ case
"N.C. gas explosion kills 1, injures a dozen",www.nbcnews.com,admin,04-11-2019,2019,4,https://www.nbcnews.com/news/us-news/north-carolina-gas-explosion-kills-least-1-injures-firefighter-n993036?cid=public-rss_20190411,"Yardee.com | bringing Jamaica to Jamaicans and the World Home » News » N.C. gas explosion kills 1, injures a dozen N.C. gas explosion kills 1, injures a dozen"
National Enquirer up for sale,www.nbcnews.com,admin,04-10-2019,2019,4,https://www.nbcnews.com/news/us-news/national-enquirer-sale-owner-ami-says-n993256?cid=public-rss_20190411,A sale would come just months after the supermarket tabloid revealed on its front page that Amazon CEO Jeff Bezos …read more Leave a Comment
