title, publication, authors, date, year, month, url, content
Colbert Unloads on Trump for Saying Obama Separated Families,www.thedailybeast.com,matt.wilstein@thedailybeast.com (Matt Wilstein),04-10-2019,2019,4,https://www.thedailybeast.com/colbert-unloads-on-trump-for-saying-obama-separated-families,"‘MONSTROUS ACT OF CRUELTY’ Colbert Unloads on Trump for Saying Obama Separated Families ‘The Late Show’ host has rarely gotten so upset about one of President Trump’s many lies. 04.09.19 10:08 PM ET CBS
Stephen Colbert admittedly spends an inordinate amount of time going after President Trump. But he rarely gets as worked up as he did on Tuesday after the president’s blatant lie that his predecessor Barack Obama was the one who separated immigrant families at the border.
“President Obama separated the children,” Trump told reporters unprompted earlier in the day. “Those cages that were shown, I think they were very inappropriate. They were built by President Obama’s administration. Not by Trump.” He added, “I’m the one that stopped it. President Obama had child separation. I was the one that changed it.”
“No, you didn’t!” Colbert shot back. “Obama didn’t have a family separation policy.” The host reminded Trump that the policy was announced by his former Attorney General Jeff Sessions, who called it “zero tolerance, as in your feelings toward Mexicans.”
“It was the brainchild of Stephen Miller and John Kelly,” Colbert said, “who told Kirstjen Nielsen to implement it, and now she’ll be scraping that hot black tar off her soul for the rest of eternity.”
“It didn’t stop people from coming, it was a monstrous act of cruelty and ruled unconstitutional by a federal judge,” he continued, “but for some reason you are now pushing to reinstate broader family separation policies and today you publicly defended it in the same meeting where you claimed it was all Obama’s fault.”
In response to Trump’s argument that without family separation migrants would try to cross the border just to go to Disneyland, Colbert imagined a parent saying, “My kids love not being terrorized by a narco-syndicate, but my favorite part has got to be the Tea Cups.”
Finally, the host admitted that Obama was “no angel,” pointing to “ample evidence of Barack taking kids from their parents.” As adorable images of Obama entertaining kids in the Oval Office appeared on screen, Colbert accused him of subjecting them to “harsh interrogations” and “confiscating all of their hugs.”
“I miss you,” he whispered into the camera."
These Women Say Their OBGYN Visits Were Secretly Recorded at San Diego’s Sharp Grossmont Hospital,www.thedailybeast.com,msn.com,04-10-2019,2019,4,https://www.thedailybeast.com/these-women-say-their-obgyn-visits-were-secretly-recorded-at-san-diegos-sharp-grossmont-hospital,"‘I just feel like if I go into the hospital, someone will recognize me and for all the wrong reasons.’"
Trump Hush Money Probe ‘Gathered Evidence From Hope Hicks’ and Others Close to President,www.thedailybeast.com,,04-10-2019,2019,4,https://www.thedailybeast.com/trump-hush-money-probe-gathered-evidence-from-hope-hicks-and-others-close-to-president,"Criminal investigation has more evidence than previously thought, including recording of Michael Cohen call."
Right-Wingers Spread Lie That Pete Buttigieg Isn’t a Real Christian,www.thedailybeast.com,msn.com,04-10-2019,2019,4,https://www.thedailybeast.com/right-wingers-spread-lie-that-pete-buttigieg-isnt-a-real-christian,"Right-Wingers Spread Lie That Pete Buttigieg Isn’t a Real Christian And it’s not because he’s gay. 04.10.19 4:28 AM ET Bloomberg/Getty
On the campaign trail, South Bend Mayor Peter Buttigieg has actively highlighted his own religious faith, and called for a resurgence of a “religious left” in the United States.
“The left is rightly committed to a separation of church and state… but we need to not be afraid to invoke arguments that are convincing on why Christian faith is going to point you in a progressive direction,” Buttigieg told USA Today in a recent conversation about religion and faith, characterizing conservative Christians as “saying so much about what Christ said so little about, and so little about what he said so much about.”
But an increasing number of right-wing figures, displeased that Buttigieg has taken to pointing out the plank in their eye , have begun undercutting Buttigieg’s religiosity by dismissing him as not “really” Christian—not because he’s gay, but because, like 11 American presidents, he’s an Episcopalian.
“He says he’s a traditional Episcopalian, whatever that means these days,” Fox News host Laura Ingraham said in a segment that dismissed Buttigieg as “but another creation of a media apparatus desperate to oust Trump.”
“If Buttigieg thinks evangelicals should be supporting him instead of Trump, he fundamentally does not understand the roots of Christianity,” conservative commentator and reformed #NeverTrump Republican Erick Erickson tweeted on Sunday. “But then he is an Episcopalian, so he might not actually understand Christianity more than superficially.”
After online Episcopalians and their defenders chased Erickson’s tennis ball into traffic, the commentator—who previously accused Buttigieg of thinking “Jesus would be okay with beastiality [sic]”—has since mounted a days-long crusade of tweets and blog posts on his website The Resurgent deriding the Episcopal Church , its leadership and laity.
Buttigieg, Erickson said in one post, “is not really Christian so much as he is Episcopalian.”
As evidence that the Episcopal Church is no longer, in his view, a Christian one, Erickson pointed to some Episcopal leaders supporting access to abortion and the openness of some Episcopal priests to questions about the physical resurrection of Jesus, which Erickson considers heretical.
“The Episcopal Church itself is no longer a Christian institution and those who remain will either walk into a Christian denomination or walk into atheism potentially with a helping of spirituality,” Erickson wrote in a blog post on Tuesday, prompted by a request from The Daily Beast for him to elaborate on his feelings regarding the Episcopal Church.
“The people remain behind [sic] are a bunch of rich, white people who want to feel good about themselves by feeling morally superior to their neighbors who really believe that whole ‘Jesus died for me’ stuff,” Erickson said.
Among the rich, white people sitting in Episcopal pews: President Donald Trump, whose third marriage was held at Bethesda-by-the-Sea, an Episcopal church in Palm Beach where the first family often attends Christmas and Easter services. (Trump identifies as a Presbyterian, although he’s not particularly doctrinal .)
As a religiously devout son of the American heartland and Afghanistan veteran, Buttigieg has complicated traditional right-wing narratives about Democratic presidential hopefuls as effete coastal elitists. But as his fundraising and poll numbers have risen, so too has negative coverage from the right. Opposition researchers and political analysts have told The Daily Beast that attacks on Buttigieg’s sexuality would almost certainly backfire , but long-simmering doctrinal and cultural differences between mainline Protestants and evangelical Christians might be an easier fault line to exploit.
“In our time, the Episcopal Church is a generally progressive denomination that ordains gay and lesbian bishops, makes room for liberation theology, was never part of the Christian Right, and lost the conservative congregations that hated these developments,” Prof. Gary Dorrien, who teaches social ethics, theology, and philosophy of religion at Union Theological Seminary, told The Daily Beast.
“The history of that division is a theological,” added the Rev. Dr. Kelly Brown Douglas, dean of Episcopal Divinity School at Union Theological Seminary. “The Episcopal Church faith tradition has been concerned with salvation as it talks about issues of social justice and issues of freedom—a movement toward ‘God’s Just Earth,’ so that the issues that really become central to our concern are issues of how one treats those who have been marginalized.”
That espousal of the so-called “Social Gospel,” Dr. Douglas said, generally stops short of more doctrinaire views of social issues like abortion and same-sex relations—“we leave people the ability to makes choices... which in evangelical and Catholic faith traditions, they don’t generally do”—has left evangelical Christians skeptical of the legitimacy of the Episcopal Church.
“Sometimes righteousness becomes self-righteousness,” Dr. Douglas said. “These things divide us theologically, and so I think that’s what you see, is an historical theological divide, because of the way we understand the centrality of the Gospel message.”
But beyond those long-held philosophical and religious differences, Dr. Douglas said, Buttigieg’s status as a gay Christian is likely inseparable from the critiques against the Episcopal Church at large.
“The very fact that Mayor Pete is a gay man and he professes to be Episcopalian, well, that would be the rub for evangelical Christians, because fundamentalists—and not all evangelicals, to be clear: fundamental evangelicals, the right-wing branch—they are not going to accept someone that claims to be Christian and also gay,” Dr. Douglas said. “We need to be clear as to what the rub is in this regard.”
For Buttigieg, whose personal distaste for religious hypocrisy runs deep, attacks on his faith are almost definitionally unworthy of direct engagement.
“I think good faith is so important,” Buttigieg told The Daily Beast last month in a conversation about his relationship with Vice President Mike Pence. “Even when I have a very stark disagreement with somebody, it’s just a lot easier on both sides I think for us to navigate it if we both understand where the other is coming from, and believe that those different opinions are something we came by honestly.”
Accordingly, Buttigieg’s campaign told The Daily Beast that Erickson and Ingraham’s broadsides against the Episcopal Church don’t merit engagement.
“We’ll let whatever that meltdown was speak for itself,” said Lis Smith, Buttigieg’s communications director. “The mayor has spoken extensively about his faith and how it guides him as a human being and elected official. It’s not surprising that this administration’s defenders are sensitive about being called out for their hypocrisy.”"
Trump Would Wreck the Rule of Law to Keep Hiding His Tax Returns,www.thedailybeast.com,msn.com,04-10-2019,2019,4,https://www.thedailybeast.com/trump-would-wreck-the-rule-of-law-to-keep-hiding-his-tax-returns,The law is clear. The will of the people is clear. Yet here’s Trump’s attorney talking about how respecting those would be ‘a gross abuse of power.’
"Drugs, Sex and Murder: Inside 'Dark Side' of Wrestling...",www.thedailybeast.com,,04-10-2019,2019,4,https://www.thedailybeast.com/drugs-sex-and-murder-dark-side-of-the-ring-exposes-pro-wrestlings-ugly-past,"ART IMITATING LIFE Drugs, Sex and Murder: ‘Dark Side of the Ring’ Exposes Pro Wrestling’s Ugly Past Viceland’s new six-part documentary series examines the real-life chaos and carnage that occurred outside the ring. 04.10.19 4:30 AM ET Viceland
Wrestling is fake, insofar as its soap-opera narratives are scripted and its outcomes are predetermined. Yet as Viceland’s Dark Side of the Ring elucidates, reality and fantasy often collide in and out of the squared circle—with disastrous consequences .
Tackling some of the industry’s most infamous incidents, Jason Eisener’s six-part documentary series (premiering Wednesday, April 10) is a behind-the-curtain peek that reveals the havoc caused when wrestlers fail to maintain stable boundaries between their public personas and private lives. Equal parts nostalgia trip, investigative inquiry and tabloidy exposé, it revisits stories and stars that are defined by their notoriety. In doing so, it affords a fascinating glimpse at the unique dynamics that make wresting so popular .
And, also, so ideally suited for tragedy.
Death hovers over Dark Side of the Ring , as four of its installments concern untimely demises due to some combination of drugs, murder and unfathomable misfortune. Eisener sets his tone with his debut episode, “The Match Made in Heaven,” about the tumultuous relationship between Randy “Macho Man” Savage and Miss Elizabeth (i.e. Elizabeth Ann Hulette), who worked together for years as grappler and manager (respectively), and also lived, unbeknownst to fans, as husband and wife. Randy and Elizabeth’s on-screen 1980s love affair was one of the defining elements of Vince McMahon’s World Wresting Federation (now known as World Wresting Entertainment)—he the “paranoid schizophrenic” beast and she the demure, loyal beauty. At their peak, they weren’t just stars; they were foundational icons upon which a skyrocketing business was built.
It’s long been public record that the couple eventually split, and that Elizabeth died of a drug overdose (while involved with WCW headliner Lex Luger) in 2003, while Savage perished in a car accident (after a heart attack behind the wheel) in 2011. Dark Side of the Ring uses tons of superb archival footage and new interviews with Jake “The Snake” Roberts, Jim Cornette, Scott Hall, Bruce Prichard (aka Brother Love) and other wrestling luminaries to underline how, in their case, art imitated life, which then imitated art, resulting in doom. Naturally protective of his wife, Savage made his character egomaniacally jealous of Ms. Elizabeth—only to find his fictional storylines about betrayal (specifically with Hulk Hogan ) echoed in his real marriage. With lines blurring, catastrophe was just about inevitable.
Narrated by Dutch Mantel (save for one episode handled by Mick Foley), the show benefits not only from copious clips and photos, but from staged recreations—using top-notch lookalikes—that are shrouded in shadow, the better to impart a sense of mythic charisma and impending calamity. The latter comes in a variety of forms in Dark Side of the Ring , though usually via loss of life. “The Killing of Bruiser Brody” details the untimely fate of the late-‘70s/early-‘80s wild man, who was fatally stabbed in a Puerto Rico locker room shortly before an event. “The Mysterious Death of Gorgeous Gino,” meanwhile, reopens the case of the early-‘80s heel (i.e. villain), whose body was found under puzzling circumstances in his apartment. In the former, Brody’s crazy-barbarian reputation (and vicious feud with rival José González) seems to have contributed to his slaying. In the latter, Gino’s desire to live the life of his cocky-cokehead-playboy alter ego turned out to be a lethal mistake.
The suggestion forwarded throughout Dark Side of the Ring is clear: striving for authenticity in art can be a double-edged sword, and losing sight of what’s legitimate and what’s make-believe is rarely a recipe for happiness or longevity. As depicted in “The Last of the Von Erichs,” attempting to live up to a wholesome-religious-Texan image—and a famous family legacy—destroyed four of Kevin Von Erich’s wrestler brothers (this after a fifth died in adolescence). Now a gaunt man enjoying a peaceful existence in Kauai, Hawaii, Kevin remains shaken by his siblings’ passing, which came about at least partly because they couldn’t reconcile who they were with who they wanted to be.
If there’s a weak link here, it’s the concluding “The Fabulous Moolah.” Eisener addresses charges that the female wrestling legend was a bully who pimped out her protégés for cash, as well as screwed them out of money and championships—just what you’d expect from someone with her nasty in-ring reputation. Yet it never settles on a coherent viewpoint; like the Gorgeous Gino installment, it offers ominous suggestions and unconvincing “conclusions” in place of definitive answers. Nonetheless, even those episodes are bolstered by entertainingly candid and profane interviewees who don’t hold back when discussing the cutthroat business, their backstabbing compatriots, and their own expertise. ““If you could cross a genius with P.T. Barnum and Donald Trump, you would get the love child that would be Vince McMahon.””
In that regard, Dark Side of the Ring peaks with “The Montreal Screwjob.” Arguably the most controversial moment in modern wrestling history, Bret Hart and Shawn Michaels’ 1997 SummerSlam title bout was marked by treachery, when the former—refusing, on the eve of his departure to rival WCW, to lose his belt to the hated Michaels—was blindsided by a three count ordered by WWE owner Vince McMahon. “Say what you want about wrestling—that was real. I really screwed that guy,” crows Cornette, who continues to feud with writer Vince Russo over credit for devising the ruse. Regardless of responsibility, Hart claims in a new chat that “the innocence of wrestling changed,” and everyone more or less agrees, because the ensuing fallout exposed the boardroom machinations behind the spectacle. The illusion of reality (known in wrestling lingo as the code of “kayfabe”) was forever shattered.
Fueled by bitter grudges and corporate competition, “The Montreal Screwjob” highlighted the chaotic downside to blending the personal and the professional, and it ultimately did change fans’ perception of wrestling. Ironically, however, that change wasn’t a death knell for the industry; on the contrary, it gave birth to an era of popular self-referential storylines in which Vince McMahon exploited his newfound villainous status to become the evil “Mr. McMahon” (“If you could cross a genius with P.T. Barnum and Donald Trump, you would get the love child that would be Vince McMahon,” smiles Cornette). There’s no doubt that, in trying to create characters and conflicts that resonated as believable, many wrestlers lost control of their careers, and lives. But for proof that wrestling’s appeal hinges on the push-pull between truth and invention, one need look no further than Dark Side of the Ring itself. READ THIS LIST"
“fbi surveillance” – Google News: AG William Barr: ‘I Think Spying Did Occur’ on Trump Campaign – Daily Beast,www.thedailybeast.com,mikenova,04-10-2019,2019,4,https://www.thedailybeast.com/attorney-general-william-barr-i-think-spying-did-occur-on-trump-campaign,"COME AGAIN? AG William Barr: ‘I Think Spying Did Occur’ on Trump Campaign The comment came after Barr reportedly created a team to look into the FBI’s handling of the Russia investigation. 04.10.19 11:33 AM ET
Attorney General William Barr believes the Obama administration spied on the Trump 2016 campaign.
The comment came after reports that Barr will create an internal Department of Justice team to investigate “controversial counterintelligence decisions” made by the DOJ and the FBI in the Russia probe, including those made by Special Counsel Robert Mueller’s team.
Sen. Jeanne Shaheen (D-NH) questioned Barr on his decision to convene such a team. “News just broke today that you have a special team looking into why the FBI opened an investigation into Russian interference in the 2016 elections,” she said. “I wonder if you can share with this committee who is on that team, why you felt a need to form that kind of a team and what you intend to be the scope of their investigation?”
“I am going to be reviewing both the genesis and the conduct of intelligence activities directed at the Trump campaign during 2016,” Barr responded. “One of the things I want to do is pull together all the information from the various investigations that have gone on... and see if there are any remaining questions to be addressed.”
Sen. Shaheen then questioned Barr further: “You’re not suggesting, though, that spying occurred?”
And Barr replied: “I don’t—well, I guess you could. I think spying did occur, yes. I think spying did occur.”
The attorney general continued, hedging that he wants to determine whether such alleged surveillance was legal or not. “There were a lot of rules put in place to make sure that there’s an adequate basis before our law-enforcement agencies get involved in political surveillance,” he said. “I’m not suggesting that those rules were violated, but I think it’s important to look at that. And I’m not talking about the FBI necessarily, but intelligence agencies more broadly.”
He added: “Congress is usually very concerned about intelligence agencies and law enforcement agencies staying in their proper lane, and I want to make sure that happened.”
The attorney general’s suggestion echoes President Trump’s longstanding claims that the feds spied upon his campaign.
Shortly after taking office, Trump infamously tweeted an unfounded claim that Obama ordered a wiretap of his campaign. “Terrible! Just found out that Obama had my ‘wires tapped’ in Trump Tower just before the victory. Nothing found. This is McCarthyism!” he wrote .
Last year, the president tweeted : “I hereby demand, and will do so officially tomorrow, that the Department of Justice look into whether or not the FBI/DOJ infiltrated or surveilled the Trump Campaign for Political Purposes - and if any such demands or requests were made by people within the Obama Administration!”
And on Wednesday, Trump told reporters that the Mueller probe was an “ attempted coup .” And he praised Barr’s decision to look into the FBI and DOJ’s actions: “He’s doing a great job getting started on going back to the origins of exactly where this all started because this was an illegal witch hunt... and what they did was treason.”"
"Jeffrey Rosen, Trump’s Nominee for Deputy Attorney General, Refuses to Say if He Supports Brown v. Board Ruling",www.thedailybeast.com,msn.com,04-10-2019,2019,4,https://www.thedailybeast.com/jeffrey-rosen-trumps-nominee-for-deputy-attorney-general-refuses-to-say-if-he-supports-brown-v-board-ruling,"NO COMMENT Trump’s Nominee for Deputy Attorney General Refuses to Say if He Supports Brown v. Board Ruling When asked about the landmark segregation ruling, Jeffrey Rosen said it wouldn’t be ‘a productive exercise’ for him to say ‘which ones are right and which ones are wrong.’ 04.10.19 11:52 AM ET REUTERS
Jeffrey Rosen, President Donald Trump’s nominee to be second-in-command at the Justice Department, declined on Wednesday to tell the Senate whether he thought the Supreme Court ruled correctly in Brown v. Board of Education .
The remark came during Rosen’s confirmation hearing before the Senate Judiciary Committee. Sen. Richard Blumenthal, a Connecticut Democrat, pressed Rosen on Brown v. Board of Education , the landmark ruling that found school segregation to be unconstitutional; and Roe v. Wade , the ruling that affirmed that abortion access is a constitutional right.
“Would you agree that Roe v. Wade was correctly decided?” Blumenthal asked.
“What I would agree with is that it’s the precedent of the Supreme Court for better than 40 years now and unless and until that changes, it’s the law,” he replied.
Blumenthal then pressed him on whether it was decided correctly, and Rosen said he didn’t have anything more to say.
“Was Brown v. Board of Education correctly decided?” Blumenthal asked.
“Senator, I don’t think that it would be a productive exercise for me to go through the most–thousands of Supreme Court opinions and say which ones are right and which ones are wrong,” he said.
“These are pretty simple questions,” Blumenthal said. “They’re answerable by yes or no. Most lawyers, I suspect, would agree based on knowledge of the law that these two cases, pillars of our jurisprudence, were correctly decided by the United States Supreme Court.”
“I, um, I have views about lots of Supreme Court cases,” Rosen said, “but I’m not being nominated for this position to be the Solicitor General nor a judge and I think in this context the point I’m trying to make is that, whatever the law is, whether it’s a decision I would favor or disfavor, I see it as the role of the Department of Justice to uphold the law such as it is, unless Congress or the courts change it.”
Rosen’s reticence distinguishes him from Attorney General Bill Barr, who noted in his confirmation hearing that he previously said Roe was “wrongly decided,” added that he didn’t expect it to be overturned, and was committed to enforcing legislation that protects women’s access to clinics that provide abortions.
But it puts him in the same camp as Supreme Court Justice Neil Gorsuch, who also declined to weigh in on Brown during his confirmation hearing, as The Atlantic noted . Judge Wendy Vitter, who was sworn in last year as a district judge, also refused to comment on the decision. Several other judicial nominees fielded the question in the same way, as Slate has reported . But Supreme court Justice Brett Kavanaugh praised it during his confirmation, calling it “inspirational.”
Rosen is nominated as deputy attorney general, the post Rod Rosenstein now holds. As the second-in-command, he would oversee the day-to-day workings of the Justice Department—a uniquely powerful position.
After the hearing, Sherrilyn Ifill—president and director-counsel at the NAACP Legal Defense and Educational Fund—called on senators to oppose his confirmation, citing his comments on Brown .
“This is an unprecedented and completely disqualifying action for anyone seeking to be confirmed to a leadership position in the U.S. Department of Justice,” she said in a statement. “As Deputy Attorney General, Jeffrey Rosen would oversee the Solicitor General’s Office and the Civil Rights Division, making his views on this seminal civil rights decision both relevant and critical.”"
Kim Kardashian Is Studying to Become a Lawyer,www.thedailybeast.com,msn.com,04-10-2019,2019,4,https://www.thedailybeast.com/kim-kardashian-is-studying-to-become-a-lawyer,"She’s currently working on a four-year apprenticeship at a firm in San Francisco, and plans to take the bar in 2022."
Pentagon’s Space Development Agency Admits Satellite Plan Might Not Prevent Chinese or Russian Attacks,www.thedailybeast.com,msn.com,04-10-2019,2019,4,https://www.thedailybeast.com/pentagons-space-development-agency-admits-satellite-plan-might-not-prevent-chinese-or-russian-attacks,"PIE IN THE SKY? Pentagon Admits Plan to Launch 1,300 Satellites Might Not Prevent Chinese or Russian Attacks The Space Development Agency’s own director said it probably was ‘no panacea’ against an enemy attack. 04.10.19 11:42 AM ET Photo Illustration by Kelly Caminero/The Daily Beast/Getty
A new Pentagon space agency wants to launch nearly 1,300 small satellites and, in the process, totally reinvent the way the military operates in orbit.
The goal: to help the U.S. satellite constellation survive a sneak-attack by China or Russia. With hundreds of satellites in orbit, no single satellite is critically important, or so the thinking goes. If the Chinese or Russians were to knock out one or even dozens of satellites, scores more could take their place.
But the new “mega-constellation” plan from the Space Development Agency might not actually work. The agency’s own director, Fred Kennedy, said it probably was “no panacea” against an enemy attack.
It could be prohibitively expensive to deploy so many sats. Rocket launches are getting cheaper. But they might not yet be so cheap that the Pentagon could afford to conduct hundreds of them in a short span of time.
In any event, the agency’s plan is advisory. The Pentagon could just ignore it. But the idea is interesting if no for other reason than its contrarianness.
Today the U.S. military and other government agencies, universities and private companies together operate around 850 satellites, according to a count by the Massachusetts-based Union of Concerned Scientists. Second-place China has 280 satellites and Russia, in third place, has 150.
But America’s satellites increasingly are vulnerable to attack, according to military officials. “China and Russia both are building direct-ascent weapons that can shoot down our satellites,” U.S. Air Force general John Hyten, the head of U.S. Strategic Command, said on Tuesday at the annual Space Symposium conference in Colorado Springs.
“Direct-ascent weapon” is military parlance for “rocket.”
That’s not all. Hyten also said Russia and China also are building lasers that can blind American spacecraft and jammers that cut the satellites’ links to controllers on the ground plus “on-orbit” weapons—in essence, kamikaze satellites that can ram into American sats.
Not only are Moscow and Beijing building arsenals for taking down America’s space assets, they’re “doing it aggressively and quickly,” Hyten said.
To be clear, the U.S. military has anti-satellite weapons of its own. And American sats aren’t exactly defenseless. Starting in 2018, the Air Force spent a billion dollars adding “resilience features” to some of its spacecraft. Resilience features might include better thrusters, allowing the spacecraft to maneuver more quickly in order to avoid attack.
They may also include extra sensors on the spacecraft that act as a sort of orbital home-security system, monitoring the approach of potential assailants, according to James Oberg, an independent space expert and former NASA mission control specialist.
“Now that autonomous mini-satellites can approach other satellites, sometimes without detection from the ground, space-based detection must be installed on the potential targets,” Oberg told me. The sensors could include cameras, radars, radio-signal detectors and “sniffers” that can track the energy from other satellites' thrusters, Oberg added.
But the Space Development Agency, a small research organization that opened shop in March, wants to take a different approach. The Pentagon asked Congress for $150 million to fund the new agency through 2020.
Rather than beefing up individual spacecraft, under the mega-constellation plan the military would simply buy lots more small, inexpensive satellites, reinforcing or replacing the roughly 170 large, expensive sats the armed forces currently operate.
Speaking at the Colorado conference on Tuesday, Kennedy said he wants to see the Pentagon deploy “hundreds, perhaps even a thousand or more small satellites exhibiting a host of capabilities.”
A graphic Kennedy displayed broke down the numbers of different kinds of spacecraft in the proposed mega-constellation. In all, 1,258 small satellites would crowd low orbit, scanning the Earth and space and relaying radio communications. Three copies of an “advanced maneuvering vehicle”—presumably some version of the Air Force’s secretive X-37B robotic mini-shuttle—would orbit above the other sats.
Artificial intelligence would help ground-based controllers to maneuver and coordinate the hundreds of spacecraft, Kennedy said.
But the plan hinges on very cheap space launches. Lots of them. In 2018, U.S. entities launched just 31, mostly big, satellites—many of which might remain in orbit a decade or longer. Since small satellites might last just a year or two, to build the mega-constellation the military could need to expand its launch activities by a factor of 20.
It could be pricey. According to a 2018 paper by NASA researcher Harry Jones, the price per pound of a satellite launch has decreased from around $24,000 in the 1980s and 1990s to just $1,200 in 2019. But launching 600 or more satellites annually instead of 30 could more than offset the falling per-pound price of a launch.
Kennedy acknowledged the downsides of his agency’s satellite plan. “We recognize that this isn’t the sum total of the nation's space construct,” he said. ""We should not jump to extremes.”
But even experimenting with a new approach to deploying satellites could result in better technology and methods that could make it harder for Russia or China to knock out America’s spacecraft, Kennedy said. “This puts us on a wonderfully disruptive path.”
Kennedy said his agency would begin conducting conducting war games in order to test out the mega-constellation concept starting in 2022. READ THIS LIST"
