title, publication, authors, date, year, month, url, content
Supercharged Son jolts City to show Spurs can prosper without Kane | Football,www.theguardian.com,Pat956,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/son-manchester-city-spurs-kane-injury-champions-league#127919205,Hidetoshi Nakata
Supercharged Son jolts City to show Spurs can prosper without Kane | Football,www.theguardian.com,MarcCalifornia,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/son-manchester-city-spurs-kane-injury-champions-league#127919361,Son really has turned into a fantastic player. The guy must have an unbelievable work ethic because he's unrecognizable from the player I saw play in Bundesliga. His risk taking athleticism is great to watch.
Supercharged Son jolts City to show Spurs can prosper without Kane | Football,www.theguardian.com,livingstonfc,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/son-manchester-city-spurs-kane-injury-champions-league#127919357,It is what it is.
Supercharged Son jolts City to show Spurs can prosper without Kane | Football,www.theguardian.com,PSmd,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/son-manchester-city-spurs-kane-injury-champions-league#127919385,yes.
Supercharged Son jolts City to show Spurs can prosper without Kane | Football,www.theguardian.com,Bolge1,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/son-manchester-city-spurs-kane-injury-champions-league#127919410,Aye.
Supercharged Son jolts City to show Spurs can prosper without Kane | Football,www.theguardian.com,norfsider,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/son-manchester-city-spurs-kane-injury-champions-league#127919425,"Spurs will have all kinds of vim and vigour up front with their starting 11. Where the next game, and future league matches, will become intriguing is who they bring in as subs. Llamela will be severely needed. Llorente will be given a chance to shine yet again. After that, their attacking options basically disappear."
James Milner shows the intensity Liverpool will need for run-in | Football,www.theguardian.com,iesteve,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/james-milner-intensity-liverpool-porto-champions-league#127919344,"I didn't get to watch the game, but it'll be interesting to see how Klopp sets up for the away tie. Porto seems to rely a lot on Telles, plus physicality in the center of the park to win duels. Porto will have to stick their necks out to advance; on the counter, we could cause them headaches, particularly if Telles is to routinely get forward. I don't expect a clean sheet: Marega can't possibly continue to miss such sitters. Loose ends, a good game from Lovren for his first full return."
What's the (golden) point of the NRL's extra-time lottery? It's not fair | Matt Cleary | Sport,www.theguardian.com,Niall Connolly,04-10-2019,2019,4,https://www.theguardian.com/sport/2019/apr/10/whats-the-golden-point-of-the-nrls-extra-time-lottery-its-not-fair#127918468,I meant 3 as the NRL are thinking about 4 points for a standard win. I think the problem with 5 minutes each way is the attrition of an extra 10 minutes.
What's the (golden) point of the NRL's extra-time lottery? It's not fair | Matt Cleary | Sport,www.theguardian.com,Eaglelegal,04-10-2019,2019,4,https://www.theguardian.com/sport/2019/apr/10/whats-the-golden-point-of-the-nrls-extra-time-lottery-its-not-fair#127918807,"The problem with it not applying to field goals is that sides wanting to deliberately kick the ball dead from, say, 40 metres out, will simply drop kick instead of punt."
What's the (golden) point of the NRL's extra-time lottery? It's not fair | Matt Cleary | Sport,www.theguardian.com,numberfortytwo,04-10-2019,2019,4,https://www.theguardian.com/sport/2019/apr/10/whats-the-golden-point-of-the-nrls-extra-time-lottery-its-not-fair#127918786,"I think that’s how they’re going to decide the final of the AFLX if it’s still drawn after three rounds of paper, scissors, rock."
What's the (golden) point of the NRL's extra-time lottery? It's not fair | Matt Cleary | Sport,www.theguardian.com,antipepp,04-10-2019,2019,4,https://www.theguardian.com/sport/2019/apr/10/whats-the-golden-point-of-the-nrls-extra-time-lottery-its-not-fair#127919103,"I wouldn't back more than a handful of players in the NRL to reliably drop kick a ball 40+ metres in a 5th tackle scenario. Plus I'd love the hilarity of a team accidentally scoring one point.
It's just too much of a punishment. Narrowly miss a field goal attempt to win a game and the other team is almost guaranteed to end up well over the half line, on the attack."
Why it’s dumb to think the government can pay down debt like John Howard did | Greg Jericho | Opinion,www.theguardian.com,Vixstar,04-09-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/09/why-its-dumb-to-think-the-government-can-pay-down-debt-like-john-howard-did#127917855,Read the article its on top ten budget deceptions ask them!
Why it’s dumb to think the government can pay down debt like John Howard did | Greg Jericho | Opinion,www.theguardian.com,Friarbird,04-09-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/09/why-its-dumb-to-think-the-government-can-pay-down-debt-like-john-howard-did#127918242,This comment was removed by a moderator because it didn't abide by our community standards . Replies may also be deleted. For more detail see our FAQs .
Why it’s dumb to think the government can pay down debt like John Howard did | Greg Jericho | Opinion,www.theguardian.com,Vixstar,04-09-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/09/why-its-dumb-to-think-the-government-can-pay-down-debt-like-john-howard-did#127917870,"Here ya go
https://independentaustralia.net/politics/politics-display/top-ten-budget-deceptions-brought-to-you-by-treasurer-josh-frydenberg,12551"
Why it’s dumb to think the government can pay down debt like John Howard did | Greg Jericho | Opinion,www.theguardian.com,Whatwokeme,04-09-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/09/why-its-dumb-to-think-the-government-can-pay-down-debt-like-john-howard-did#127918285,"History will show the Howard years as severely impacting Australia's future. War we didn't have to be involved in, sell off of government bodies, neoliberalism, trust all to the market, unions made into bad guys,rich get richer and the poor get poorer. Now look at what is left a government in disarray shouting misinformation to the masses. Advance Australia Fair."
Why it’s dumb to think the government can pay down debt like John Howard did | Greg Jericho | Opinion,www.theguardian.com,dusty11,04-09-2019,2019,4,https://www.theguardian.com/commentisfree/2019/apr/09/why-its-dumb-to-think-the-government-can-pay-down-debt-like-john-howard-did#127918443,Come on the CHAOTIC LNP could not run a chook raffle.
'The great untold scandal': the sordid tale of boyband mogul Lou Pearlman | Music,www.theguardian.com,SisterDollyCake,04-09-2019,2019,4,https://www.theguardian.com/music/2019/apr/09/the-boy-band-con-lou-pearlman-story-youtube-documentary-nsync-backstreet-boys#127919215,There really were very few Peter Grant type managers in this world
'The great untold scandal': the sordid tale of boyband mogul Lou Pearlman | Music,www.theguardian.com,lampshadehat,04-09-2019,2019,4,https://www.theguardian.com/music/2019/apr/09/the-boy-band-con-lou-pearlman-story-youtube-documentary-nsync-backstreet-boys#127919052,yes and yes.
Liverpool cruise to victory over Porto after Naby Keïta’s flying start | Football,www.theguardian.com,fuchsine,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/liverpool-porto-champions-league-quarter-final-first-leg-match-report#127919247,"Comfortable enough but they sure will be up for the return leg, not without justification either."
Liverpool cruise to victory over Porto after Naby Keïta’s flying start | Football,www.theguardian.com,MarcCalifornia,04-10-2019,2019,4,https://www.theguardian.com/football/2019/apr/09/liverpool-porto-champions-league-quarter-final-first-leg-match-report#127919287,I was surprised to see Lovren in the starting line-up considering how well Matip has been playing lately. My guess is Klopp was also thinking of a critical league match against Chelsea.
