title, publication, authors, date, year, month, url, content
Russiagate and the Media’s News Denial,www.wsj.com,Opinion,04-13-2019,2019,4,https://www.wsj.com/articles/russiagate-and-the-medias-news-denial-11555107491,"The most universal press bias is to exaggerate the importance of whatever is being claimed or reported. Don’t underestimate the role this played in Russiagate. For CNN and MSNBC, the collusion story was a commercial godsend.
When you’re not thinking with your brain, you’re thinking with the brain of your milieu. Virtue signaling is almost a nondescriptive term if you ask any psychologist or, increasingly, an economist: People are intensely social animals. Everything we do is about display. This also played a role in the media..."
The Canadians Who Didn’t Say ‘Sorry’,www.wsj.com,Opinion,04-13-2019,2019,4,https://www.wsj.com/articles/the-canadians-who-didnt-say-sorry-11555110781,"If a Canadian Cree performs experimental Inuit throat singing, is she guilty of cultural appropriation? The only correct answer is “eh?” But believe it or not, this reductio ad absurdum has caused major drama at the Indigenous Music Awards in Winnipeg.
A part of the annual Manito Ahbee Festival, the Indigenous Music Awards are among the most prestigious honors globally for indigenous musicians. This year’s controversy began when Connie LeGrande, who performs as Cikwes, was nominated for best folk album. Ms. LeGrande is Cree,..."
Supreme Court Denies Reprieve to Alabama Death-Row Inmate,www.wsj.com,U.S.,04-13-2019,2019,4,https://www.wsj.com/articles/supreme-court-denies-reprieve-to-alabama-death-row-inmate-11555106760,"WASHINGTON—The Supreme Court stepped in to lift a stay on an execution in Alabama, the latest case to signal a tougher position against granting last-minute reprieves to condemned inmates.
The 5-4 directive, issued just before 3 a.m. Friday, overruled lower-court decisions and prompted a frustrated dissent from the liberal minority, which had asked for a chance to discuss the case at the court’s regular private meeting on Friday.
..."
"At This Trump Store, You Can Shop Till the Polls Drop",www.wsj.com,Opinion,04-13-2019,2019,4,https://www.wsj.com/articles/at-this-trump-store-you-can-shop-till-the-polls-drop-11555107445,"New York
Andrej, 31, is a banker from Prague. He popped into a Trump Tower shop recently with a shopping list of clothes and other items. But he was turned away because he isn’t American.
No offense, but that’s the law. Welcome to the Trump Campaign Store, a speck of an emporium tucked away on the lower level of the eponymous building...."
U.S. Moves to Accelerate 5G Rollout in Race With China,www.wsj.com,Tech,04-13-2019,2019,4,https://www.wsj.com/articles/u-s-moves-to-accelerate-5g-rollout-in-race-with-china-11555105017,"WASHINGTON—President Trump touted U.S. progress in the race to next-generation 5G wireless infrastructure Friday—pushing back against critics who contend China is inching ahead—as his administration unveiled initiatives designed to advance the networks’ rollout.
Joined at the White House by hard-hat tower climbers, farmers and ranchers—representing groups that could benefit from 5G’s rollout in the U.S.—Mr. Trump said the emerging technology presents “astonishing and really thrilling opportunities.”
..."
Investors Question Chevron’s Clean Energy Commitment in Anadarko Deal,www.wsj.com,Markets,04-13-2019,2019,4,https://www.wsj.com/articles/investors-question-chevrons-clean-energy-commitment-in-anadarko-deal-11555105419,"Chevron Corp.’s $33 billion deal for Anadarko Petroleum Corp. faces opposition from some environmentally focused shareholders who consider it risky to expand in fossil fuels as companies and governments world-wide increasingly mull investments in clean energy.
“There are much better ways to spend $33 billion in sustainable energy,” said Mark van Baal, founder of Follow This, a European group of 4,600 shareholders in oil and gas companies. He said the group’s shareholders with holdings in Chevron will vote against the deal...."
Slow Ventures Founder Dave Morin Moving On,www.wsj.com,Pro VC VC Funds,04-13-2019,2019,4,https://www.wsj.com/articles/slow-ventures-founder-dave-morin-moving-on-11555108364,"Dave Morin, an early Facebook Inc. employee who founded Slow Ventures, is stepping aside at the early-stage venture firm.
Mr. Morin won’t be investing out of Slow’s newly raised venture funds, according to the firm. He will remain involved with existing portfolio companies, but will mostly focus on a mental health nonprofit he created called Sunrise and entrepreneurial projects. Mr. Morin also co-founded the social-networking app Path, which shut down last year.
..."
‘A Season on the Wind’ Review: Giving Spring a Winged Welcome,www.wsj.com,Books,04-13-2019,2019,4,https://www.wsj.com/articles/a-season-on-the-wind-review-giving-spring-a-winged-welcome-11555106892,"In his poem “Primavera,” Robin Robertson imagines walking north in step with spring:
I could walk to you now
with Spring just ahead of me,
..."
‘The Unwanted’ Review: One Small Town in Germany,www.wsj.com,Books,04-13-2019,2019,4,https://www.wsj.com/articles/the-unwanted-review-one-small-town-in-germany-11555107612,"When I visited the United States Holocaust Memorial Museum in Washington, D.C., recently, I found the lobby packed with middle- and high-school students from around the country. At first their spirits seemed buoyed by a day away from the classroom. It did not take long, however, for the chilling documentary evidence of Nazi genocide—gruesome photographs of partially burned corpses, a display of bales of hair shaved from female prisoners at Auschwitz—to shock the youths into solemnity. As the students stepped inside a cattle car used to transport Jews to the death camp, their mouths began to open wide as if to ask, What..."
Make Washington Small Again,www.wsj.com,Opinion,04-13-2019,2019,4,https://www.wsj.com/articles/make-washington-small-again-11555102531,"The great failing of the Trump presidency has been the lack of spending restraint. But increasing demands from the new Democratic majority in the House of Representatives may be inspiring the President to finally set some reasonable limits. Meanwhile there’s another significant milestone in Mr. Trump’s successful effort to restrain Washington’s production of red tape. Americans who still dream of limited government have at least some cause for hope.
As for federal spending, which is expected to surge past $4.4 trillion this..."
